Name,BSE Code,NSE Code,Industry,Current Price,Return over 3months,Return over 6months,Volume 1month average,Volume 1week average,Volume,High price,Low price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
Indl. Inv. Trust,501295,IITL,Finance & Investments,209.77,22.64,-21.14,102673,321375,1333327,284.95,98.05,287.10,27.15,4.87,11.53,3.89,184.73,176.37,183.71,176.04,64.88,4.13,2.82,4.11,4.10,102.48,46.77,30.70,53371,16.28,9.65,472.98
Indl.& Prud.Inv.,501298,,Finance & Investments,6334.50,19.99,14.75,194,228,3,6974.70,2601.00,6974.70,120.00,-1.00,-1.47,-1.91,6009.38,4979.77,5996.11,4966.15,54.33,125.25,140.58,172.58,184.41,132.12,57.25,47.74,232,24.87,26.27,1061.56
Indo Amines,524648,INDOAMIN,Chemicals,154.39,16.61,-4.64,896958,680914,390638,184.75,100.30,187.03,1.78,-1.76,2.22,12.11,139.48,131.47,138.87,131.24,58.34,6.80,7.11,6.02,5.82,34.54,0.44,38.31,372137,19.92,31.09,1091.50
Indo Borax & Ch.,524342,INDOBORAX,Chemicals,188.59,8.79,-5.21,177476,69992,50416,238.00,143.80,238.00,1.62,0.67,-0.39,-7.25,183.51,174.46,183.30,174.32,51.11,1.85,2.11,3.17,3.50,9.14,2.07,39.51,156024,29.92,29.10,605.19
Indo Cotspin,538838,,Textiles - Cotton/Blended,93.60,108.79,119.15,8799,8143,12102,96.00,34.25,102.00,1.99,-1.54,17.90,16.22,70.33,53.04,69.38,52.63,73.33,6.93,6.72,6.52,6.42,135.83,124.43,74.11,2878,,,39.32
Indo Count Inds.,521016,ICIL,Textiles - Cotton/Blended,381.05,-2.09,45.13,468205,392252,297587,450.65,202.95,450.65,0.51,-2.68,-5.87,-6.97,386.71,332.18,386.94,331.69,44.38,1.43,2.98,3.43,3.93,80.55,11.32,61.11,712203,15.21,29.50,7546.86
Indo Credit Cap.,526887,,Finance & Investments,2.14,15.05,20.22,151,151,151,2.14,1.49,7.52,0.36,0.00,0.00,9.74,1.71,1.38,1.69,1.37,78.56,0.11,0.09,0.06,0.05,25.15,54.52,27.71,1517,12.99,10.62,1.55
Indo Euro Indch.,524458,,Trading,14.75,25.96,-5.45,1638,2347,2024,22.82,10.36,38.00,2.40,1.94,-4.22,-0.27,15.12,15.62,15.14,15.63,48.16,-0.10,-0.10,-0.20,-0.22,-37.63,11.05,9.20,5767,,1.04,13.36
Indo National,504058,NIPPOBATRY,Dry Cells,577.05,-1.98,-10.22,19676,10606,6009,857.80,396.65,857.80,90.00,-0.14,-1.98,-0.57,587.50,589.79,587.93,589.92,46.74,-0.24,0.29,-0.95,-1.12,32.66,3.05,21.97,24487,3.78,8.83,432.79
Indo Rama Synth.,500207,INDORAMA,Textiles - Manmade,46.89,8.92,-23.94,419379,516760,236198,67.10,36.40,99.80,8.25,-2.62,-3.32,-0.26,45.57,47.27,45.52,47.27,52.50,0.80,0.88,0.64,0.60,1.93,-4.06,8.88,456987,6.31,7.57,1224.36
