Name,BSE Code,NSE Code,Industry,Current Price,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Euphoria Infotec,544094,,Computers - Software - Medium / Small,66.85,,,,,,,,,,,,,,,,,19.40
Eureka Forbes,543482,,Domestic Appliances,493.15,508.14,47.39,-5.15,51.37,12.92,38.45,3.49,25.83,9.54,21.78,-9.13,16.28,9.33,4.29,193.48,0.84,9537.08
Eureka Industrie,521137,,Textiles - Cotton/Blended,3.64,0.25,-1.73,0.01,-1.72,0.00,-1.72,0.00,-1.72,-0.34,-1.38,0.00,-1.38,-692.00,-552.00,8.75,-1.58,3.19
Euro Asia Export,530929,,Trading,17.03,0.09,0.08,-0.02,0.06,0.00,0.06,0.00,0.06,0.01,0.04,0.00,0.04,88.89,44.44,2.38,0.25,2.67
Euro India Fresh,,EIFFL,Food - Processing - Indian,149.22,34.84,2.32,0.01,2.33,0.68,1.65,0.87,0.78,0.50,0.28,0.00,0.28,6.66,0.80,24.80,0.11,370.07
Euro Leder Fash,526468,,Leather / Leather Products,28.28,14.53,-0.35,1.12,0.77,0.10,0.67,0.51,0.16,0.11,0.06,0.00,0.06,-2.41,0.41,3.91,0.13,12.64
Euro Panel,,EUROBOND,Aluminium and Aluminium Products,194.00,179.07,14.96,,,,,,,,,,6.66,,,,2.72,475.30
Eurotex Industri,521014,EUROTEXIND,Construction,15.25,5.71,4.04,0.53,4.57,0.76,3.81,0.65,3.16,-0.54,3.70,0.00,3.70,70.75,64.80,8.74,4.23,13.34
Evans Electric,542668,,Miscellaneous,300.00,4.95,1.19,,,,,,,,,,0.94,,,,3.43,82.32
Evantra Ventures,512099,,Trading,963.90,1.65,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.01,0.04,0.00,0.04,3.03,2.42,,0.28,175.37
Eveready Inds.,531508,EVEREADY,Dry Cells,415.00,363.57,43.80,2.84,46.64,7.20,39.44,8.99,30.45,5.59,24.86,0.00,24.86,12.05,6.84,,3.42,3016.22
Everest Inds.,508906,EVERESTIND,Cement Products,1160.35,484.14,20.26,12.49,25.15,7.85,17.30,2.67,22.23,4.64,11.77,7.60,17.58,4.18,2.43,,11.17,1832.75
Everest Kanto,532684,EKC,Packaging,173.62,297.89,50.06,1.11,52.30,11.23,41.07,3.18,36.76,0.51,37.28,-1.13,36.25,16.80,12.51,22.44,3.24,1948.15
Everest Organics,524790,,Pharmaceuticals - Indian - Bulk Drugs,155.60,50.75,2.28,0.69,2.97,1.26,1.71,0.95,0.76,0.65,0.11,0.00,0.11,4.49,0.22,,0.14,124.48
Everlon Fin.,514358,,Finance & Investments,155.55,0.43,0.00,0.03,0.03,0.02,0.01,0.00,0.01,0.63,-0.62,0.00,-0.62,0.00,-144.19,5.62,-1.10,96.44
Evexia Lifecare,524444,,Trading,2.98,24.78,-0.14,0.18,0.04,0.10,-0.06,0.52,-0.58,0.24,-0.83,0.00,-0.83,-0.56,-3.35,61.93,-0.01,310.39
Evoq Remedies,543500,,Trading,9.55,4.60,-4.04,,,,,,,,,,1.31,,,,0.96,23.78
Excel Industries,500650,EXCELINDUS,Pesticides / Agrochemicals - Indian,1352.90,226.09,10.70,2.59,13.29,7.84,5.45,0.39,5.06,2.90,2.16,0.00,2.16,4.73,0.96,6.29,1.72,1700.69
Excel Realty,533090,EXCEL,Construction,0.84,0.64,-0.29,0.52,0.23,0.04,0.19,0.01,0.18,0.01,0.16,0.00,0.16,-45.31,25.00,,0.00,118.50
Exhicon Events,543895,,Miscellaneous,264.95,29.53,5.88,,,,,,,,,,4.45,,,,5.15,343.44
Exicom Tele-Sys.,544133,EXICOM,Electric Equipment,443.95,185.47,20.89,10.71,31.60,4.09,27.51,6.73,20.78,0.95,19.83,0.00,19.83,11.26,10.69,,27.43,5364.00
Exide Inds.,500086,EXIDEIND,Auto Ancillaries,508.85,4245.48,438.16,22.56,460.72,132.43,328.29,23.92,304.37,80.26,222.31,0.00,224.11,10.32,5.28,,2.62,43252.25
Expleo Solutions,533121,EXPLEOSOL,Computers - Software - Medium / Small,1338.05,225.12,32.87,1.68,34.55,8.06,26.49,0.63,25.86,5.67,20.19,0.00,20.19,14.60,8.97,,13.01,2076.62
Explicit Finance,530571,,Finance & Investments,5.64,3.59,0.35,0.00,0.35,0.00,0.35,0.01,0.34,0.00,0.34,0.00,0.34,9.75,9.47,9.27,0.37,5.23
Expo Gas Contain,526614,,Packaging,40.14,31.05,-2.18,0.11,-2.07,0.09,-2.16,1.00,-3.16,-0.10,-3.05,0.00,-3.05,-7.02,-9.82,7.61,-1.60,91.50
Exxaro Tiles,543327,EXXARO,Ceramics - Tiles / Sanitaryware,88.81,93.79,9.47,-0.65,9.80,4.34,5.46,3.12,1.36,0.24,1.89,-0.98,1.13,10.10,2.02,44.74,0.25,397.35
F A C T,590024,FACT,Fertilizers,996.85,1248.84,184.19,51.89,236.08,9.15,226.93,61.49,165.44,0.00,165.44,0.00,165.44,14.75,13.25,647.07,2.56,64503.37
F Mec Intl. Fin.,539552,,Finance & Investments,103.95,0.40,0.22,0.00,0.22,0.01,0.21,0.03,0.18,0.09,0.10,0.00,0.10,55.00,25.00,3.10,0.32,92.43
Faalcon Concepts,544164,FAALCON,Construction,59.05,9.07,1.28,,,,,,,,,,0.88,,,,387.67,40.33
Fabino Enter,543444,,Trading,26.86,2.32,0.02,,,,,,,,,,0.00,,,,0.00,5.64
Facor Alloys,532656,,Mining / Minerals / Metals,6.97,106.81,4.83,-17.27,7.73,0.52,7.21,0.15,-13.11,1.06,4.37,-20.17,-14.17,4.52,4.57,19.55,-0.65,136.30
Fairchem Organic,543252,FAIRCHEMOR,Chemicals,1344.85,151.90,19.24,0.17,19.41,2.13,17.28,1.32,15.96,4.10,11.86,0.00,11.86,12.67,7.81,13.02,9.11,1751.12
Falcon,,FALCONTECH,Engineering - Turnkey Services,62.10,6.83,0.58,,,,,,,,,,0.35,,,,7.00,33.27
Family Care,516110,,Healthcare,8.12,13.68,2.20,0.33,2.53,0.33,2.20,0.12,2.08,0.77,1.30,0.00,1.30,16.08,9.50,32.10,0.24,43.86
Faze Three,530079,FAZE3Q,Textiles - Processing,546.45,142.08,24.27,1.49,25.76,4.08,21.68,2.77,18.91,4.08,14.83,0.00,14.83,17.08,10.44,24.32,6.10,1328.91
FCS Software,532666,FCSSOFT,Computers - Software - Medium / Small,3.77,8.29,1.70,0.59,1.97,1.76,0.21,0.32,0.21,0.08,0.04,0.32,0.13,20.51,0.48,170.96,0.00,644.50
FDC,531599,FDC,Pharmaceuticals - Indian - Bulk Drugs & Formln,508.55,434.80,48.96,7.05,56.01,9.74,46.27,1.16,45.11,14.45,30.66,0.00,30.66,11.26,7.05,16.88,1.85,8279.71
Fedbank Financi.,544027,FEDFINA,Finance & Investments,125.12,361.39,237.82,6.48,244.30,8.66,235.64,163.58,72.06,18.18,53.88,0.00,53.88,65.81,14.91,,1.68,4639.99
Fedders Holding,511628,,Finance & Investments,895.75,55.56,3.95,8.37,12.32,0.49,11.83,0.27,11.56,-0.82,12.39,0.00,12.39,7.11,22.30,3.50,35.38,1468.73
Federal Bank,500469,FEDERALBNK,Banks - Private Sector,197.71,5349.77,3715.64,741.31,4456.95,0.00,4456.95,3254.51,1202.44,310.70,880.12,0.00,893.90,69.45,16.71,,4.16,48404.33
Federal-Mogul Go,505744,FMGOETZE,Auto Ancillaries,433.00,409.70,53.36,7.94,61.30,20.16,41.14,1.04,40.10,5.89,31.69,0.00,34.22,13.02,8.35,55.63,5.70,2408.78
Felix Industries,,FELIX,Engineering,288.20,,,,,,,,,,,,,,,,,358.61
Fermenta Biotec.,506414,,Pharmaceuticals - Indian - Bulk Drugs,256.15,105.16,19.29,-7.91,20.45,6.19,14.26,6.31,-1.12,4.18,-0.31,-9.07,-5.29,18.34,-0.38,14.42,-1.40,753.87
Fervent Synerg.,533896,,Trading,18.42,0.89,0.15,0.00,0.15,0.01,0.14,0.00,0.14,0.14,0.00,0.00,0.00,16.85,0.00,30.00,0.00,55.26
FGP,500142,,Miscellaneous,8.73,0.30,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.02,0.07,0.00,0.07,30.00,23.33,,0.06,10.39
Fiberweb (India),507910,FIBERWEB,Textiles - Products,59.45,4.90,-5.35,-0.97,-5.39,0.72,-6.11,0.19,-7.23,-2.08,-4.22,-0.93,-5.15,-109.18,-86.12,28.79,-1.79,171.17
Fidel Softech,,FIDEL,Computers - Software - Medium / Small,114.25,9.22,2.03,0.15,2.18,0.05,2.13,0.00,2.13,0.57,1.56,0.00,1.56,22.02,16.92,,1.13,157.10
Fiem Industries,532768,FIEMIND,Auto Ancillaries,1349.10,436.25,60.47,4.59,65.06,15.97,49.09,2.08,47.01,8.94,38.03,0.00,38.03,13.86,8.72,13.16,14.46,3550.79
Filatex Fash.,532022,FILATFASH,Textiles - Products,6.96,40.82,2.30,3.62,5.92,0.16,5.76,0.34,5.42,1.74,3.68,0.00,3.68,5.63,9.02,48.41,0.38,1160.10
Filatex India,526227,FILATEX,Textiles - Manmade,59.35,1046.78,68.76,5.56,74.32,17.67,56.65,31.38,25.27,6.66,18.61,0.00,18.61,6.57,1.78,45.05,0.42,2634.28
Filmcity Media,531486,,Entertainment / Electronic Media Software,2.31,0.00,-0.17,0.00,-0.17,0.00,-0.17,0.00,-0.17,0.00,-0.17,0.00,-0.17,,,3.06,-0.06,7.06
Filtra Consult.,539098,,Trading,87.00,48.31,2.05,,,,,,,,,,1.61,,,,1.46,95.39
Fine Line Cir.,517264,,Electronics - Components,96.53,7.30,0.17,0.04,0.21,0.12,0.09,0.13,-0.04,-0.03,-0.01,0.00,-0.01,2.33,-0.14,4.83,-0.02,46.43
Fine Organic,541557,FINEORG,Chemicals,5461.00,532.14,151.87,14.45,166.32,11.71,154.61,0.65,153.96,39.74,114.22,0.00,114.22,28.54,21.46,,37.25,16743.41
Finelistings,544173,,Computers - Software - Medium / Small,53.70,,,,,,,,,,,,,,,,,19.53
Fineotex Chem,533333,FCL,Chemicals,373.65,137.69,32.71,2.09,34.80,1.16,33.64,0.26,33.38,7.38,25.82,0.00,26.00,23.76,18.88,22.15,2.33,4138.73
Finkurve Fin.,508954,,Finance & Investments,74.77,17.29,5.13,0.06,5.19,0.16,5.03,1.49,3.54,1.28,2.26,0.00,2.26,29.67,13.07,12.69,0.18,948.52
Fino Payments,543386,FINOPB,Banks - Private Sector,335.85,32.97,-281.19,315.34,34.15,0.00,34.15,15.45,18.70,0.00,18.70,0.00,18.70,-852.87,56.72,,2.25,2794.75
Finolex Cables,500144,FINCABLES,Cables - Power,1533.40,1224.32,147.71,41.82,189.53,15.14,174.39,0.85,173.54,38.96,134.58,0.00,134.58,12.06,10.99,30.59,8.80,23451.72
Finolex Inds.,500940,FINPIPE,Plastics Products,310.45,1179.17,152.47,40.26,192.73,34.39,158.34,9.02,149.32,38.44,110.88,0.00,110.88,12.93,9.40,,1.79,19262.71
First Custodian,511122,,Finance & Investments,105.06,0.16,0.05,0.00,0.05,0.02,0.03,0.09,-0.06,0.00,-0.06,0.00,-0.06,31.25,-37.50,1.50,-0.40,15.76
First Fintec,532379,,Computers - Software - Medium / Small,10.00,1.61,-0.12,0.00,-0.12,0.13,-0.25,0.00,-0.25,0.07,-0.32,0.00,-0.32,-7.45,-19.88,10.40,-0.31,10.40
Firstsour.Solu.,532809,FSL,Computers - Software - Medium / Small,297.35,1529.21,240.18,1.73,241.91,61.25,180.66,25.37,155.29,29.31,125.99,0.00,125.99,15.71,8.24,,1.79,20960.71
Fischer Medical,524743,,Trading,623.40,,,,,,,,,,,,,,,,,3335.19
Five-Star Bus.Fi,543663,FIVESTAR,Finance & Investments,777.55,480.37,343.69,3.20,346.89,4.85,342.04,96.17,245.87,62.16,183.71,0.00,183.71,71.55,38.24,,6.30,22740.43
Flair Writing,544030,FLAIR,Printing & Stationery,322.15,243.78,46.83,2.23,49.06,6.23,42.83,2.60,40.23,10.55,29.67,0.00,29.67,19.21,12.17,,3.18,3395.31
Flex Foods,523672,,Food - Processing - Indian,152.35,34.80,5.23,-0.07,5.16,3.53,1.63,11.81,-10.18,-2.70,-7.48,0.00,-7.48,15.03,-21.49,12.45,-6.01,189.68
Flexituff Vent.,533638,FLEXITUFF,Packaging,75.84,184.01,-20.18,2.10,-18.08,16.14,-34.22,17.35,-51.57,-31.50,-20.07,0.00,-20.07,-10.97,-10.91,24.88,-8.14,203.88
Flomic Global,504380,,Miscellaneous,68.84,75.22,6.98,1.06,8.04,4.77,3.27,2.03,1.24,0.37,0.87,0.00,0.87,9.28,1.16,18.17,0.48,125.07
Flora Corporatio,540267,,Trading,11.39,21.38,-0.39,0.00,-0.39,0.00,-0.39,0.00,-0.39,0.03,-0.42,0.00,-0.42,-1.82,-1.96,8.73,-0.48,9.95
Flora Textiles,530705,,Textiles - Processing,41.86,0.10,-0.07,0.01,-0.06,0.01,-0.07,0.19,-0.26,0.00,-0.26,0.00,-0.26,-70.00,-260.00,,-0.43,25.12
Fluidomat,522017,,Engineering,648.05,14.29,4.45,0.17,4.62,0.14,4.48,0.00,4.48,1.18,3.30,0.00,3.30,31.14,23.09,4.93,6.70,319.49
Foce India,,FOCE,Trading,1069.00,15.13,3.12,,,,,,,,,,2.37,,,,4.84,523.05
Focus Business,543312,,Miscellaneous,95.76,9.85,0.70,,,,,,,,,,0.34,,,,0.85,44.05
Focus Lighting,,FOCUS,Electric Equipment,118.15,51.37,11.16,1.61,12.77,1.17,11.60,0.30,11.30,2.27,9.03,0.00,9.03,21.72,17.58,,1.39,783.10
Fone4 Communica.,543521,,Trading,4.36,83.81,-1.85,,,,,,,,,,-2.00,,,,-1.17,7.43
Fonebox,,FONEBOX,Trading,195.00,113.75,2.28,,,,,,,,,,0.97,,,,19.40,200.07
Foods & Inns,507552,FOODSIN,Food - Processing - Indian,157.54,332.74,33.22,1.04,34.14,3.39,30.75,8.81,22.06,6.86,15.12,0.12,15.20,9.98,4.54,5.03,2.98,921.57
Forbes & Co,502865,,Engineering,626.25,11.37,0.07,17.40,18.01,0.41,17.60,0.24,16.82,6.07,11.29,-0.54,10.75,0.62,99.30,,8.33,807.86
Forbes Precision,544186,,Engineering,343.05,47.64,8.27,0.15,8.42,2.92,5.50,0.38,5.12,0.00,5.12,0.00,5.12,17.36,10.75,,,1769.95
Force Motors,500033,FORCEMOT,Automobiles - LCVs / HCVs,9051.95,1487.55,177.14,11.47,188.61,63.46,125.15,17.90,107.25,38.66,68.59,0.00,68.59,11.91,4.61,,52.06,11930.47
Fortis Health.,532843,FORTIS,Healthcare,505.70,1642.70,270.87,26.04,286.37,81.78,204.59,31.72,183.41,45.11,124.93,10.54,138.30,16.49,7.94,754.96,1.76,38178.23
Fortis Malar,523696,,Healthcare,63.69,17.76,-0.51,1.61,1.10,2.67,-1.57,1.35,-2.92,0.00,-2.93,0.00,-2.93,-2.87,-16.50,,-1.56,119.37
Fortune Interntl,530213,,Trading,56.11,0.00,-0.02,0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,0.99,0.00,0.99,,,7.04,1.41,39.50
Foseco India,500150,FOSECOIND,Chemicals,5003.15,120.95,18.27,17.11,23.89,2.05,21.84,0.00,33.33,5.66,18.26,11.49,27.66,15.11,15.10,6.39,43.31,3197.01
Foundry Fuel,513579,,Miscellaneous,11.33,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.02,-0.05,0.00,-0.05,0.00,-0.05,,,8.02,-0.06,9.09
Fourth Gen.,532403,,Computers - Software - Medium / Small,5.43,0.00,-0.01,0.00,-0.01,0.05,-0.06,0.00,-0.06,0.00,-0.06,0.00,-0.06,,,3.55,-0.17,1.93
Franklin Indust.,540190,,Trading,3.61,7.27,0.75,0.07,0.82,0.01,0.81,0.00,0.81,0.21,0.60,0.00,0.60,10.32,8.25,,0.04,52.20
Franklin Leasing,539839,,Finance & Investments,13.21,5.79,9.91,,,,,,,,,,0.00,,,,0.00,20.85
Fraser & Company,539032,,Trading,4.76,0.00,0.29,0.00,0.29,0.03,0.26,0.03,0.23,0.06,0.18,0.00,0.18,,,8.12,0.22,3.87
Fredun Pharma,539730,,Pharmaceuticals - Indian - Formulations,837.70,62.05,7.61,0.00,7.61,0.92,6.69,2.61,4.08,1.68,2.40,0.00,2.40,12.26,3.87,,5.24,392.39
Freshtrop Fruits,530077,,Food - Processing - Indian,130.70,28.67,4.78,4.04,4.89,1.06,3.83,-0.24,8.00,1.12,2.95,3.93,6.88,16.67,10.29,10.69,6.95,104.17
Frog Cellsat,,FROG,Telecommunications - Equipment,342.50,33.40,3.64,0.66,4.30,0.63,3.67,0.01,3.66,0.96,2.70,0.00,2.70,10.90,8.08,,1.76,528.67
Frontier Capital,508980,,Finance & Investments,22.22,0.08,-0.09,0.43,0.34,0.00,0.34,0.00,0.34,-0.04,0.38,0.00,0.38,-112.50,475.00,16.76,0.23,37.25
Frontier Springs,522195,,Auto Ancillaries,1505.60,29.15,3.69,0.21,3.90,0.97,2.93,0.06,2.87,0.70,2.17,0.00,2.17,12.66,7.44,3.96,5.51,593.21
Frontline Corp.,532042,,Trading,68.48,20.56,-0.92,2.22,1.30,0.42,0.88,0.08,0.80,0.17,0.63,0.00,0.63,-4.47,3.06,,1.26,34.24
Fruition Venture,538568,,Finance & Investments,50.00,0.00,-0.12,0.05,-0.07,0.00,-0.07,0.00,-0.07,-0.13,0.06,0.00,0.06,,,4.00,0.15,20.00
FSN E-Commerce,543384,NYKAA,Trading,200.12,1301.72,70.69,9.74,80.43,53.04,27.39,18.76,8.63,4.36,2.27,0.00,2.27,5.43,0.17,47.41,0.01,57174.41
Fundviser Capit.,530197,,Finance & Investments,154.35,-0.03,-0.10,0.00,-0.10,0.00,-0.10,0.00,-0.10,-0.01,-0.09,0.00,-0.09,,,3.69,-0.24,70.46
Fusion Microfin.,543652,FUSION,Finance & Investments,435.85,500.89,308.66,19.80,328.46,2.30,326.16,174.24,151.92,37.40,114.52,0.00,114.52,61.62,22.86,,11.38,4385.99
Future Consumer,533400,FCONSUMER,Trading,0.76,85.07,-7.58,-17.33,-1.02,5.70,-6.72,13.98,-44.59,1.65,-23.26,-23.89,-46.23,-8.91,-27.38,1190.15,-0.23,151.77
Future Ent. DVR,570002,FELDVR,Trading,5.46,2368.29,243.56,108.84,351.40,124.16,227.24,161.76,66.48,0.00,65.48,1.00,66.48,10.28,2.76,,41.81,21.50
Future Enterp.,523574,FEL,Trading,0.78,321.52,-349.87,-855.94,-346.86,126.88,-473.74,177.42,-1510.11,0.00,-651.16,-858.95,-1510.11,-108.82,-202.53,98.86,-33.19,56.98
Future Lifestyle,536507,FLFL,Trading,2.33,833.14,19.01,2.57,28.73,165.79,-137.06,75.07,-219.28,-10.06,-202.07,-7.15,-209.22,2.28,-24.25,40.36,-10.37,47.01
Future Market,533296,FMNL,Miscellaneous,6.51,25.22,10.38,-14.83,16.46,4.46,12.00,4.39,-13.30,9.06,-10.16,-20.91,-22.35,41.16,-41.59,57.54,-3.76,37.46
Future Retail,540064,FRETAIL,Trading,2.28,1486.30,-117.28,26.84,-90.44,353.94,-444.38,396.75,-841.13,0.00,-841.13,0.00,-841.13,-7.89,-56.59,,-15.51,123.64
Future Supply,540798,FSC,Miscellaneous,3.53,128.99,15.54,7.02,22.56,42.28,-19.72,22.89,-42.61,0.00,-42.61,0.00,-42.61,12.05,-33.03,,-9.71,15.49
Futuristic Sec.,523113,,Finance & Investments,24.35,0.02,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,-0.01,0.00,0.00,0.00,-50.00,0.00,,0.00,4.75
Futuristic Solu,534063,,Finance & Investments,93.62,3.50,3.42,0.07,3.49,0.03,3.46,0.01,3.45,0.70,2.75,0.00,2.75,97.71,78.57,10.47,2.63,98.02
G G Automotive,531399,,Engineering,153.70,22.50,1.82,0.24,2.06,1.04,1.02,0.77,0.25,-0.33,0.57,0.00,0.57,8.09,2.53,7.92,0.72,128.05
G G Dandekar,505250,,Miscellaneous,142.75,0.80,0.53,-2.40,0.56,0.72,-0.16,0.11,-2.70,0.08,-0.34,-2.43,-2.77,66.25,-42.50,0.48,-5.82,67.97
G G Engineering,540614,,Trading,2.11,18.95,0.91,-0.38,0.53,0.07,0.46,0.02,0.44,0.11,0.34,0.00,0.34,4.80,1.79,,0.00,323.78
G K Consultants,531758,,Finance & Investments,16.05,0.17,-0.07,0.00,-0.07,0.00,-0.07,0.01,-0.08,-0.05,-0.03,0.00,-0.03,-41.18,-17.65,,-0.06,8.52
G K P Printing,542666,,Trading,9.25,13.59,0.50,0.05,0.55,0.31,0.24,0.10,0.14,0.05,0.09,0.00,0.09,3.68,0.66,14.67,0.04,20.35
G M Breweries,507488,GMBREW,Breweries & Distilleries,793.65,146.86,27.06,1.07,28.13,1.50,26.63,0.02,26.61,6.70,19.91,0.00,19.91,18.43,13.56,,8.73,1813.25
G M D C,532181,GMDCLTD,Mining / Minerals / Metals,395.35,765.60,246.74,64.27,311.01,19.47,291.54,0.56,290.98,72.28,218.70,0.00,218.70,32.23,28.57,,6.88,12572.13
G M Polyplast,543239,,Plastics Products,186.90,38.80,3.98,,,,,,,,,,2.39,,,,1.78,251.56
G N F C,500670,GNFC,Chemicals,679.45,2271.00,369.00,123.00,492.00,74.00,418.00,1.00,417.00,83.00,334.00,0.00,334.00,16.25,14.71,155.00,21.49,9983.88
G R Infraproject,543317,GRINFRA,Construction,1680.55,2478.23,607.35,21.30,628.65,60.24,568.41,136.61,431.80,121.97,309.84,0.00,309.84,24.51,12.50,,32.05,16249.07
G S Auto Intl.,513059,,Auto Ancillaries,46.00,37.97,-0.09,0.05,-0.04,1.12,-1.16,1.43,-2.59,-1.34,-1.25,0.00,-1.25,-0.24,-3.29,7.26,-0.86,66.77
G S F C,500690,GSFC,Fertilizers,236.90,2383.87,325.53,27.69,353.22,44.86,308.36,3.11,305.25,80.34,224.90,0.00,224.91,13.66,9.43,79.70,5.64,9439.93
G V Films,523277,,Entertainment / Electronic Media Software,0.91,1.05,0.26,0.00,0.26,0.43,-0.17,0.54,-0.71,0.17,-0.89,0.00,-0.89,24.76,-84.76,91.46,-0.01,83.23
G-Tec Janix,,GTECJAINX,Miscellaneous,75.36,2.20,0.43,0.09,0.52,0.10,0.42,0.00,0.42,-0.15,0.58,0.00,0.58,19.55,26.36,10.19,0.57,76.79
G-Tech Info.,532139,,Computers - Software - Medium / Small,1.68,0.00,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.35,0.00,0.59
Gabriel India,505714,GABRIEL,Auto Ancillaries,497.20,736.98,52.36,6.46,58.82,12.97,45.85,0.85,45.00,11.24,33.76,0.00,33.76,7.10,4.58,14.36,2.35,7141.98
Gabriel Pet,544108,,Textiles - Manmade,144.30,,,,,,,,,,,,,,,,,38.19
GACM Tech,531723,GATECH,Finance & Investments,1.23,1.81,0.53,0.01,0.54,0.19,0.35,0.13,0.22,0.00,0.23,0.00,0.23,29.28,12.71,,0.00,110.66
GACM Tech-DVR,570005,GATECHDVR,Finance & Investments,2.28,,,,,,,,,,,,,,,,,26.95
Gagan Gases,524624,,Chemicals,23.50,0.34,-0.05,0.00,-0.05,0.02,-0.07,0.00,-0.07,0.00,-0.06,0.00,-0.06,-14.71,-17.65,,-0.13,10.62
GAIL (India),532155,GAIL,Miscellaneous,237.01,32788.63,2660.21,528.98,3189.19,721.65,2467.54,185.03,2282.51,489.52,1791.85,0.00,1792.99,8.11,5.47,,2.73,155836.44
Gajanan Sec.Serv,538609,,Finance & Investments,80.75,-0.03,-0.07,0.00,-0.07,0.00,-0.07,0.00,-0.07,0.00,0.01,0.00,0.01,,,3.10,0.03,25.05
Gala Global,539228,,Printing & Stationery,3.45,30.53,-1.32,0.04,-1.28,0.05,-1.33,0.24,-1.57,-0.40,-1.17,0.00,-1.17,-4.32,-3.83,27.29,-0.21,18.83
Galactico Corpo.,542802,,Finance & Investments,3.90,6.65,0.60,0.78,1.38,0.23,1.15,0.16,0.99,0.26,0.74,0.00,0.74,9.02,11.13,,0.05,58.11
Galada Finance,538881,,Finance & Investments,18.86,0.29,0.16,0.03,0.19,0.02,0.17,0.06,0.11,0.02,0.08,0.00,0.08,55.17,27.59,3.00,0.27,5.66
Galaxy Agrico,531911,,Castings & Forgings,44.80,1.30,-0.12,0.10,-0.02,0.13,-0.15,0.02,-0.17,-0.01,-0.15,0.00,-0.15,-9.23,-11.54,,-0.55,12.23
Galaxy Bearings,526073,,Bearings,1510.35,43.02,8.77,0.35,9.12,0.46,8.66,0.17,8.49,2.59,5.90,0.00,5.90,20.39,13.71,3.18,18.55,480.29
Galaxy Cloud,506186,,Food - Processing - Indian,41.98,2.42,-0.97,-4.67,-0.95,0.05,-1.00,0.16,-5.85,0.00,-1.16,-4.69,-5.85,-40.08,-47.93,44.94,-1.30,188.65
Galaxy Surfact.,540935,GALAXYSURF,Chemicals,2942.90,979.60,134.51,7.03,141.54,22.51,119.03,6.13,112.90,22.37,90.53,0.00,90.53,13.73,9.24,35.45,25.53,10433.98
Gallantt Ispat L,532726,GALLANTT,Steel - Medium / Small,311.70,1094.39,124.12,1.10,125.22,25.06,100.16,8.51,91.65,23.73,67.92,0.00,67.92,11.34,6.21,81.32,2.81,7520.73
Gallops Enterp.,531902,,Construction,22.50,0.10,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,50.00,50.00,5.01,0.10,11.28
Gandhar Oil Ref.,544029,GANDHAR,Refineries,210.67,986.68,46.55,6.30,52.85,4.55,48.30,13.87,34.43,6.04,22.19,0.00,28.38,4.72,2.88,,2.77,2061.82
Gandhi Spl. Tube,513108,GANDHITUBE,Steel - Medium / Small,854.75,34.70,12.97,1.59,14.56,0.78,13.78,0.00,13.78,3.33,10.46,0.00,10.46,37.38,30.14,6.08,8.61,1038.69
Ganesh Benzopl.,500153,GANESHBE,Miscellaneous,172.29,51.78,19.74,2.77,22.83,4.39,18.44,1.70,16.42,4.16,12.48,-0.32,12.26,38.12,24.10,6.24,1.88,1240.31
Ganesh Green,,GGBL,Engineering - Turnkey Services,461.60,,,,,,,,,,,,,,,,,1144.81
Ganesh Holdings,504397,,Finance & Investments,133.20,0.03,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.01,-0.02,0.00,-0.02,-33.33,-66.67,0.41,-0.49,5.39
Ganesh Housing,526367,GANESHHOUC,Construction,888.70,270.45,215.95,1.00,216.95,0.93,216.02,0.98,215.04,53.71,161.34,0.00,161.34,79.85,59.66,,19.35,7410.61
Ganesha Ecosphe.,514167,GANECOS,Textiles - Processing,1568.00,301.55,33.71,3.51,37.22,8.93,28.29,6.61,21.68,6.31,15.38,0.00,15.38,11.18,5.10,21.83,7.05,3974.41
Ganesha Ecoverse,539041,,Textiles - Products,71.00,0.10,-1.25,,,,,,,,,,-1.14,,,,-1.02,79.37
Ganga Forging,,GANGAFORGE,Castings & Forgings,7.17,9.86,0.52,0.00,0.52,0.22,0.30,0.16,0.14,0.02,0.12,0.00,0.12,5.27,1.22,,0.01,96.65
Ganga Papers,531813,,Paper,95.57,72.90,1.38,0.03,1.41,0.56,0.85,0.51,0.34,0.11,0.23,0.00,0.23,1.89,0.32,10.79,0.21,103.12
Ganga Pharma.,539680,,Pharmaceuticals - Indian - Formulations,24.67,1.23,-0.07,,,,,,,,,,0.01,,,,0.02,11.93
