Name,BSE Code,NSE Code,Industry,Current Price,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,13.92,19.71,3.82,0.15,3.97,2.00,1.97,0.48,1.49,0.43,1.06,0.00,1.06,19.38,5.38,10.13,0.10,140.94
Aananda Lakshmi,539096,,Construction,19.00,0.00,-0.07,5.54,0.49,0.00,0.49,0.00,5.47,0.00,0.49,4.98,5.47,,,3.50,15.63,6.65
Aanchal Ispat,538812,,Steel - Medium / Small,5.53,55.67,-21.47,0.07,-21.40,0.16,-21.56,2.04,-23.60,-7.02,-16.59,0.00,-16.59,-38.57,-29.80,20.85,-7.96,11.53
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,49.57,162.88,2.52,0.84,3.36,1.02,2.34,0.20,2.14,1.78,0.36,0.00,0.36,1.55,0.22,25.38,0.14,125.83
Aarnav Fashions,539562,,Textiles - Products,48.70,78.67,5.24,0.06,5.30,1.78,3.52,3.19,0.33,0.09,0.23,0.00,0.23,6.66,0.29,,0.05,205.70
Aaron Industries,,AARON,Engineering,277.15,16.06,2.79,0.03,2.82,0.31,2.51,0.26,2.25,0.58,1.66,0.00,1.66,17.37,10.34,10.04,1.65,290.27
Aartech Solonics,542580,AARTECH,Electric Equipment,219.06,2.83,-0.43,0.15,-0.28,0.01,-0.29,0.04,-0.33,-0.01,-0.31,0.00,-0.31,-15.19,-10.95,,-0.30,231.99
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,511.40,591.63,71.91,0.65,72.56,11.75,60.81,7.77,53.04,13.50,39.54,0.00,39.54,12.15,6.68,,4.27,4701.56
Aarti Industries,524208,AARTIIND,Chemicals,738.40,1656.00,253.00,0.00,253.00,84.00,169.00,33.00,136.00,-13.00,149.00,0.00,149.00,15.28,9.00,181.25,4.11,26768.27
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,647.75,485.06,79.99,0.74,80.73,15.95,64.78,5.94,58.84,15.97,42.87,0.00,42.87,16.49,8.84,45.56,4.73,5870.30
Aarti Surfactant,543210,AARTISURF,Chemicals,637.20,148.70,14.80,0.03,14.83,3.95,10.88,3.32,7.56,2.31,5.25,0.00,5.25,9.95,3.53,,6.18,538.98
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,38.05,49.92,-4.80,0.07,-4.73,5.43,-10.16,12.60,-22.76,-7.32,-15.44,0.00,-15.44,-9.62,-30.93,23.46,-6.58,89.27
Aarvi Encon,,AARVI,Miscellaneous,140.77,106.30,4.63,0.27,4.90,0.35,4.55,0.46,4.09,0.64,3.45,0.00,3.45,4.36,3.25,,2.33,208.11
Aashka Hospitals,543346,,Healthcare,111.50,7.41,-0.50,,,,,,,,,,-2.10,,,,-0.90,260.91
AastamangalamFin,511764,,Finance & Investments,42.93,1.15,0.98,0.01,0.99,0.00,0.99,1.18,-0.19,-0.11,-0.08,0.00,-0.08,85.22,-6.96,4.28,-0.19,38.25
Aatmaj Health,,AATMAJ,Healthcare,27.20,13.74,5.25,,,,,,,,,,3.01,,,,1.86,61.47
AAVAS Financiers,541988,AAVAS,Finance - Housing,1673.40,466.81,334.55,0.04,334.59,7.28,327.31,186.63,140.68,30.97,109.71,0.00,109.71,71.67,23.50,,13.87,13243.24
Aayush Art,540718,,Trading,146.40,13.23,0.05,0.03,-0.02,0.03,-0.05,0.00,-0.05,0.00,-0.04,0.00,0.20,-2.34,-1.87,,0.66,190.50
Aayush Wellness,539528,,Trading,293.70,1.09,-0.64,0.34,-0.30,0.01,-0.31,0.00,-0.31,0.00,-0.30,0.00,-0.30,-58.72,-27.52,3.25,-0.92,95.31
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,220.00,97.66,7.17,,,,,,,,,,1.35,,,,1.31,226.43
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,66.08,72.95,-93.49,18.31,-73.06,10.70,-83.76,286.73,-372.61,7.98,-378.47,-2.12,-380.59,-128.16,-518.81,11.67,-65.21,385.68
ABans Enterprise,512165,,Trading,132.00,343.21,2.55,1.17,3.72,0.34,3.38,1.85,1.53,0.10,1.31,0.00,1.44,0.74,0.42,13.95,0.94,184.14
Abans Holdings,543712,AHL,Finance & Investments,571.75,572.26,27.46,0.58,28.04,0.19,27.85,2.39,25.46,2.87,21.00,0.00,22.58,4.80,3.95,,4.19,2867.09
Abate As Indust,531658,,Trading,27.44,0.00,-0.17,0.02,-0.17,0.00,-0.17,0.00,-0.15,0.00,-0.17,0.02,-0.15,,,5.02,-0.30,13.77
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,28227.70,1343.08,280.12,49.64,329.76,17.34,312.42,4.01,308.41,76.99,231.42,0.00,231.42,20.86,17.23,21.25,108.91,59983.86
ABC Gas (Int.),513119,,Trading,96.15,0.00,-0.17,0.00,-0.17,0.01,-0.18,0.00,-0.18,0.23,-0.41,0.00,-0.41,,,1.98,-2.07,19.04
ABC India,520123,,Miscellaneous,108.70,37.00,1.47,1.04,1.55,0.32,1.23,0.60,1.59,-0.33,0.96,0.96,1.92,3.97,2.59,5.41,3.54,58.89
Abhinav Capital,532057,,Finance & Investments,193.85,2.34,2.26,0.00,2.26,0.00,2.26,0.08,2.18,0.58,1.60,0.00,1.60,96.58,68.38,,2.31,134.23
Abhinav Leasing,538952,,Finance & Investments,2.07,5.16,1.23,-0.08,1.15,0.02,1.13,1.11,0.02,0.00,0.03,0.00,0.03,23.84,0.58,5.00,0.01,10.35
Abhishek Finle.,538935,,Finance & Investments,33.00,0.11,0.02,0.02,0.04,0.01,0.03,0.00,0.03,0.00,0.03,0.00,0.03,18.18,27.27,,0.07,14.07
Abhishek Infra.,539544,,Construction,6.74,0.41,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,73.17,73.17,3.25,0.59,3.40
Abhishek Integr.,,AILIMITED,Construction,92.90,13.76,0.80,,,,,,,,,,0.34,,,,0.57,55.94
Abirami Fin.,511756,,Finance & Investments,58.06,0.00,-0.26,0.31,0.05,0.01,0.04,0.00,0.04,0.00,0.04,0.00,0.04,,,,0.07,31.35
ABM Knowledge,531161,,Computers - Software - Medium / Small,159.80,15.80,2.78,1.58,4.36,0.30,4.06,0.05,4.01,0.86,3.14,0.00,3.14,17.59,19.87,,1.57,319.64
ABS Marine,,ABSMARINE,Shipping,317.05,,,,,,,,,,,,,,,,,778.36
ACC,500410,ACC,Cement - North India,2435.30,5201.11,770.88,79.83,850.71,200.05,650.66,25.11,625.55,159.41,466.10,0.00,466.14,14.82,8.96,,24.82,45731.83
Accedere,531533,,Computers - Software - Medium / Small,87.03,0.52,-0.04,0.01,0.01,0.08,-0.07,0.00,-0.11,-0.02,-0.03,-0.04,-0.09,-7.69,-9.62,4.76,-0.10,43.78
Accel,517494,,Computers - Software - Medium / Small,23.15,49.30,3.64,3.66,7.30,1.94,5.36,1.84,3.52,4.21,-0.68,0.00,-0.70,7.38,-1.42,11.46,-0.12,133.28
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,335.00,2.80,0.71,,,,,,,,,,0.58,,,,2.96,71.98
