Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back
Sati Poly,,SATIPOLY,Packaging,207.50,32.38,102.65,0.00,,,,,19.73,22.40,3.61,0.00,8.69,22.40,0.00,56.37,31.19,0.00,17.11,14.09,0.00,0.00,40.68,26.63,0.00,0.00,11.06,56.37,19.40,0.00,24.75,12.38,10.00,2.92,1.06,18.17,0.01,26.31,17.75,11.38,26.29,0.00,13.06,,,,25.97,,,,12.54,,
Satia Industries,539201,SATIA,Paper,124.44,5.89,1244.40,0.80,39.45,-14.76,430.59,-17.30,23.37,319.14,10.00,0.00,922.29,337.57,97.14,1404.47,1194.92,0.00,490.94,855.06,16.07,0.00,441.81,255.70,0.00,0.00,108.61,1404.47,336.06,18.52,174.80,163.14,1.00,20.15,4.75,64.13,10.00,434.71,305.02,703.98,1194.92,137.58,114.88,106.48,100.62,64.63,344.84,206.15,204.35,175.57,431.59,382.64,291.36
Satin Creditcare,539404,SATIN,Finance & Investments,215.57,5.25,2381.42,0.00,105.28,19.81,632.66,36.84,16.65,7914.94,110.04,0.00,2290.81,7372.22,542.72,10490.01,219.70,0.00,87.07,132.62,0.09,56.49,1383.61,174.22,69.31,0.00,44.05,10490.01,1209.39,0.00,0.00,8.45,10.00,1271.13,0.00,3.86,8.32,5911.25,931.23,128.96,210.26,0.00,1668.45,1501.51,1743.70,,6181.13,5270.61,3889.11,,131.27,80.63,72.74
Satra Properties,508996,,Construction,0.95,,16.94,0.00,-0.43,-290.91,0.00,,-1.14,88.83,35.67,0.00,23.62,48.14,40.69,300.45,1.20,0.00,0.91,0.26,0.00,0.01,295.49,241.03,0.00,0.00,1.58,300.45,143.29,0.00,203.98,13.93,2.00,1.03,32.10,30.64,17.84,87.56,144.58,0.42,1.48,0.00,133.28,217.92,125.09,359.03,207.40,173.39,171.62,329.56,1.17,0.83,0.81
Sattrix,544189,,Computers - Software - Medium / Small,162.90,27.69,110.77,0.00,,,,,49.06,1.94,0.01,0.00,11.93,1.13,0.81,25.67,2.87,0.00,1.57,1.30,1.26,0.00,22.32,13.60,0.00,0.00,0.00,25.67,10.66,0.00,0.00,15.43,10.00,1.54,0.00,9.40,0.00,2.36,7.46,1.41,2.85,0.00,,,,,,,,,,,
Saumya Cons,539218,,Finance & Investments,201.00,6.49,138.83,0.00,-0.20,91.80,18.70,14284.62,28.58,0.31,6.91,0.00,102.19,0.00,0.00,118.23,3.05,0.00,1.21,2.19,0.00,79.66,116.03,0.61,1.66,0.00,0.00,118.23,115.73,0.00,29.73,0.35,10.00,0.47,0.00,0.00,0.69,0.00,18.54,1.84,3.05,0.00,10.09,12.79,12.22,14.38,0.00,0.00,0.14,0.19,1.63,1.61,1.81
Saurashtra Cem.,502175,SAURASHCEM,Cement - North India,131.39,20.96,1458.20,1.52,31.08,117.19,497.49,5.53,12.09,85.03,110.98,0.00,816.76,84.06,0.97,1571.01,1536.46,0.00,664.20,872.26,31.48,0.02,618.25,514.95,0.00,0.00,67.43,1571.01,177.34,0.96,262.62,88.17,10.00,249.37,74.78,204.32,7.04,65.95,33.77,830.95,1474.79,51.09,135.75,35.02,25.83,-52.47,22.05,32.08,17.27,125.54,345.24,348.61,317.41
Savani Financial,511577,,Finance & Investments,20.56,,55.85,0.00,-0.88,,0.03,50.00,-87.53,2.21,4.00,0.00,-3.90,0.00,2.21,2.67,0.08,0.00,0.00,0.08,0.00,0.00,2.59,0.35,0.00,0.00,0.00,2.67,2.24,0.00,0.00,0.00,10.00,2.11,0.00,0.18,3.20,0.00,2.10,0.00,0.00,0.00,0.51,1.60,2.03,1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saven Tech.,532404,,Computers - Software - Medium / Small,61.98,25.64,67.43,3.23,0.68,23.64,3.30,-3.79,18.30,0.00,1.09,0.00,17.37,0.00,0.00,19.40,7.41,0.00,6.61,0.73,0.45,7.25,10.88,0.94,0.00,0.00,0.00,19.40,9.94,0.00,0.00,2.23,1.00,7.98,0.00,0.12,1.09,0.00,9.95,0.79,7.41,0.00,10.17,7.10,11.12,12.52,0.00,0.00,0.00,0.11,0.59,0.76,1.21
Savera Industrie,512634,,Hotels,154.00,17.82,183.72,1.95,1.90,-29.37,18.99,16.86,17.47,3.58,11.93,0.00,66.43,2.36,1.81,95.44,66.88,0.00,18.74,41.57,0.31,14.67,28.20,11.01,0.00,12.57,0.00,95.44,18.75,1.17,0.21,1.58,10.00,25.89,0.89,0.87,1.19,4.17,16.00,46.18,66.88,0.00,4.52,-0.71,-4.76,-5.86,5.08,3.31,13.06,26.28,54.86,59.12,64.81
Savita Oil Tech,524667,SOTL,Petrochemicals,628.75,22.75,4344.69,0.64,42.30,-23.98,955.50,3.82,19.85,0.07,13.82,0.00,1611.42,0.00,0.12,2480.09,387.16,0.00,207.65,192.10,19.46,404.22,1990.41,839.69,0.00,59.49,60.19,2480.09,1150.77,0.07,849.89,784.80,2.00,122.15,4.78,759.20,6.91,0.12,927.86,179.51,387.16,20.12,639.73,588.04,430.25,360.49,0.48,3.83,22.25,95.66,184.63,202.34,230.12
Sawaca Business,531893,,Trading,0.62,77.11,35.47,0.00,0.01,200.00,6.03,1156.25,4.88,0.68,11.44,0.00,1.77,0.09,0.16,14.76,0.50,0.00,0.25,0.17,0.00,0.00,1.19,0.95,0.00,0.00,0.00,14.76,0.32,0.00,0.00,0.36,1.00,0.12,0.00,0.68,57.20,0.25,-0.15,0.25,0.50,0.00,0.03,0.48,1.40,0.39,0.14,0.00,0.00,0.00,0.19,0.00,0.00
Sayaji (Indore),544080,,Hotels,1150.00,24.85,350.36,0.00,1.63,250.93,24.06,6.41,15.86,41.82,3.05,0.00,48.99,0.00,41.82,111.93,225.83,0.00,152.94,72.89,14.31,0.00,12.84,33.80,0.00,0.00,2.42,111.93,0.63,21.25,4.19,2.96,10.00,2.58,3.43,3.10,,32.71,-0.03,72.30,218.79,0.91,0.02,,,,0.00,,,,0.00,,
Sayaji Hot. Pune,544090,,Hotels,858.25,15.79,261.47,0.00,4.57,48.86,19.45,23.26,35.53,1.97,3.05,0.00,61.89,0.36,1.61,75.51,149.14,0.00,108.08,41.06,0.00,0.00,9.20,8.32,0.00,0.00,0.00,75.51,2.53,0.00,1.45,2.70,10.00,2.25,0.58,3.00,,8.13,1.96,43.13,148.39,0.00,,,,,,,,,,,
Sayaji Hotels,523710,,Hotels,393.45,48.06,689.24,0.00,8.01,42.78,33.76,-21.18,9.81,55.04,17.52,0.00,141.00,0.04,55.00,228.70,84.19,0.00,33.11,51.08,0.84,126.81,31.63,21.52,0.00,0.00,0.00,228.70,19.25,54.63,2.57,7.03,10.00,2.91,1.59,5.31,1.75,79.74,13.91,149.68,299.39,0.91,8.13,10.44,11.89,-2.70,161.49,126.58,133.26,117.34,199.81,153.77,172.40
Sayaji Industr,540728,,Miscellaneous,177.00,,111.86,0.00,-7.82,-19450.00,265.13,-1.51,-1.50,171.39,3.16,0.00,100.35,84.48,43.80,538.69,400.08,0.00,152.44,297.93,10.71,14.97,199.30,321.65,0.00,0.00,1.36,538.69,-40.41,8.13,120.15,67.46,5.00,1.50,11.84,203.55,0.63,128.28,-11.91,247.64,400.08,21.97,20.84,19.11,17.09,,140.26,149.83,105.94,,210.24,205.88,132.91
SBC Exports,542725,SBC,Textiles - Products,28.29,66.72,898.09,0.12,5.20,13.54,57.06,15.02,28.72,24.79,31.75,0.00,12.42,16.58,10.18,184.17,12.25,0.00,4.54,23.05,0.57,0.00,143.95,114.90,0.00,2.02,0.00,184.17,29.05,0.00,35.49,91.36,1.00,4.47,4.01,63.80,31.75,26.76,47.34,7.71,12.25,0.23,26.53,22.69,0.53,0.46,9.14,13.47,1.01,0.40,4.49,3.49,0.45
SBEC Sugar,532102,,Sugar,66.07,,314.82,0.00,32.38,135.19,239.17,8.26,15.16,231.89,47.69,0.00,-85.49,0.00,120.39,713.65,509.08,0.00,261.33,234.44,5.91,38.03,282.84,690.93,0.00,0.00,24.63,713.65,-229.01,0.00,255.16,21.20,10.00,1.52,0.00,488.47,4.77,120.39,-309.97,247.75,509.08,3.57,-189.94,-176.00,-234.35,-121.20,231.01,274.83,89.64,144.27,257.42,280.29,315.98
SBEC Systems,517360,,Miscellaneous,49.56,37.26,49.56,0.00,0.61,-30.68,1.17,9.35,154.49,16.74,10.00,0.00,-24.65,0.00,17.01,2.54,0.07,0.00,0.07,0.02,0.00,0.00,1.04,7.85,0.00,0.00,30.52,2.54,0.63,0.00,0.00,0.90,10.00,0.04,0.00,0.04,,17.01,0.79,0.00,0.07,0.00,0.25,0.38,0.28,,18.62,17.59,14.48,,0.00,0.00,0.00
SBFC Finance,543959,SBFC,Finance & Investments,82.60,33.01,8873.02,0.00,78.72,67.60,297.49,29.58,10.93,3996.02,1071.89,0.00,1706.37,3996.02,0.00,7062.97,343.61,0.00,43.74,299.87,1.53,427.16,497.92,277.69,264.45,0.00,1.39,7062.97,220.23,0.00,0.00,14.58,10.00,465.80,0.00,11.25,89.70,3739.06,159.90,296.40,327.85,0.75,140.87,132.93,,,2768.17,841.71,,,301.11,269.99,
SBI Cards,543066,SBICARD,Finance & Investments,714.55,28.21,67957.46,0.35,594.45,0.19,4358.64,11.42,12.54,39891.08,950.97,0.00,11133.06,26793.64,13097.44,58171.23,1195.46,0.00,653.36,542.10,22.31,3519.13,4654.13,6196.12,3519.60,0.00,81.43,58171.23,-1541.99,0.00,0.00,243.08,10.00,2729.62,101.09,1507.71,94.61,31109.61,-1381.32,550.96,1067.63,22.69,-933.15,-1152.69,9277.64,3723.30,17894.78,13549.38,8268.42,3497.69,308.10,196.22,23.85
SBI Life Insuran,540719,SBILIFE,Finance & Investments,1744.90,86.00,174765.15,0.15,519.52,36.34,34653.74,24.23,14.88,0.00,1001.58,0.00,14569.43,0.00,0.00,422667.52,1583.14,0.00,716.27,557.18,0.00,411760.94,9932.01,5843.86,303988.05,0.00,1077.44,422667.52,4088.15,0.00,0.00,0.00,10.00,3315.05,0.00,0.00,100.09,0.00,4341.65,866.87,1583.14,1.07,2912.39,2905.40,2678.29,2437.41,0.00,0.00,0.00,0.00,563.94,563.37,507.43
SBL Infratech,543366,,Construction,37.10,30.10,3.01,0.00,0.22,,0.34,,2.83,0.00,0.81,0.00,2.82,0.00,0.00,3.88,0.05,0.00,0.03,0.02,0.00,0.00,0.66,0.08,0.00,0.00,0.00,3.88,0.58,0.00,0.19,0.37,10.00,0.08,0.00,0.04,0.08,0.00,3.12,0.02,0.05,0.00,1.61,-0.02,,,0.11,0.00,,,0.01,0.00,
SC Agrotech,526081,,Miscellaneous,20.39,50.96,12.23,0.00,0.11,-35.29,0.68,,10.28,0.00,6.00,0.00,-3.34,0.00,0.00,3.11,0.57,0.00,0.08,0.46,0.00,0.00,1.50,0.28,0.00,0.00,0.00,3.11,1.22,0.00,0.00,0.84,10.00,0.23,0.00,0.06,0.60,0.00,0.74,0.48,0.57,0.00,0.16,0.20,0.01,-0.11,0.22,0.33,0.33,0.33,0.62,0.59,0.70
Scan Projects,531797,,Trading,70.43,22.97,20.21,0.00,0.75,1350.00,3.07,111.72,19.96,0.12,4.00,0.00,0.84,0.00,0.08,6.15,1.54,0.00,1.19,0.43,0.00,0.09,5.50,0.96,0.00,0.00,0.00,6.15,4.56,0.10,0.85,2.35,10.00,0.52,0.00,0.64,0.29,0.08,4.45,0.36,1.54,0.00,4.59,3.84,4.34,3.25,0.76,0.39,0.99,0.88,0.45,0.60,0.46
Scan Steels,511672,,Steel - Medium / Small,69.96,13.28,366.26,0.00,14.57,209.34,233.55,2.82,6.85,118.92,52.35,0.00,347.24,39.10,55.33,604.97,488.54,0.00,207.66,279.27,0.98,25.57,257.67,164.65,0.00,0.03,21.71,604.97,206.13,0.00,175.56,25.03,10.00,31.79,0.00,5.36,5.24,112.42,180.72,280.88,488.54,2.18,124.55,99.51,48.72,149.63,95.87,153.17,211.53,217.62,268.78,283.77,283.62
Scanpoint Geoma,526544,,Computers - Software - Medium / Small,9.61,86.85,161.55,0.00,0.47,104.35,17.75,417.49,2.21,64.18,13.86,0.00,72.31,11.93,41.91,191.92,10.88,0.00,6.19,3.51,96.39,1.88,84.08,50.86,0.00,0.00,0.97,191.92,43.53,0.00,0.00,28.85,2.00,10.10,0.00,16.38,33.62,53.84,43.26,4.70,10.88,83.69,33.10,23.92,23.14,15.17,32.97,17.51,27.99,9.94,5.10,5.71,6.41
Scarnose Inter.,543537,,Trading,101.35,3193.00,31.93,0.00,0.05,,0.41,,0.10,0.00,3.15,0.00,6.40,0.00,0.00,9.59,0.08,0.00,0.02,0.05,0.00,0.11,7.97,0.04,0.00,0.00,0.00,9.59,7.93,0.00,0.00,5.37,10.00,0.15,0.00,0.02,0.32,0.00,7.89,0.06,0.08,0.00,1.54,0.01,,,0.01,0.00,,,0.00,0.00,
Schaeffler India,505790,SCHAEFFLER,Bearings,4044.40,67.46,63215.46,0.64,253.54,6.85,2071.93,13.27,26.72,46.73,31.26,0.00,4860.87,0.00,51.10,6630.14,2544.32,0.00,1264.04,1446.51,544.87,142.40,4207.68,1687.12,0.00,0.00,85.28,6630.14,2530.81,46.73,1633.98,1338.28,2.00,1112.13,4.76,1345.70,15.63,57.38,2585.41,1122.71,2169.87,249.34,1776.88,1699.57,947.89,435.43,65.09,57.74,0.00,0.00,1005.84,730.70,386.16
Schneider Elect.,534139,SCHNEIDER,Electric Equipment,804.75,109.88,19241.57,0.00,3.28,-92.96,471.75,14.92,38.51,546.83,47.82,0.00,248.35,0.00,317.95,1581.54,457.07,0.00,137.15,401.21,31.83,0.00,1074.94,744.49,0.00,0.00,257.91,1581.54,391.56,77.65,296.81,655.89,2.00,47.30,68.44,443.96,23.91,560.05,242.39,319.92,457.07,13.98,187.86,124.53,183.95,118.81,628.98,537.77,479.73,259.66,299.80,308.45,346.67
Scintilla Comm,538857,,Finance & Investments,5.24,,5.25,0.00,-2.30,-160.00,0.18,-5.26,-1.10,0.81,10.03,0.00,-0.11,0.00,0.77,10.74,0.02,0.00,0.00,0.00,0.00,2.64,0.48,0.00,0.00,0.00,0.00,10.74,0.48,0.00,0.00,0.26,10.00,0.17,0.00,0.00,1.00,0.77,0.84,0.02,0.02,0.00,0.91,0.28,9.43,5.45,0.00,0.00,0.00,0.00,0.02,0.02,0.02
Scoobee Garments,531234,,Textiles - Products,75.65,27.31,102.13,0.00,-0.75,-117.94,7.54,-46.07,11.91,52.46,13.50,0.00,-10.28,60.89,0.00,58.04,50.92,0.00,0.00,48.84,0.00,0.00,8.46,41.63,0.00,0.00,2.56,58.04,6.41,0.00,6.38,0.57,10.00,0.09,0.05,0.57,1.35,60.89,8.78,50.92,50.92,0.00,8.64,-2.80,1.67,3.75,68.95,44.28,0.00,1.23,48.09,45.11,3.46
SDC Techmedia,535647,,Entertainment / Electronic Media Software,11.14,,7.23,0.00,-1.29,,5.48,,-12.99,11.33,6.49,0.00,-4.65,14.26,0.00,24.08,32.83,0.00,15.82,14.37,0.00,0.00,9.45,2.18,0.00,0.00,0.00,24.08,7.27,0.00,0.49,5.55,10.00,0.36,0.34,0.00,0.65,14.26,10.17,17.02,32.83,0.00,6.52,10.29,3.51,3.34,29.62,29.49,12.74,0.00,22.03,22.09,12.53
Sea TV Network,533268,,Entertainment / Electronic Media Software,8.63,,10.37,0.00,-0.03,-101.76,2.95,23.43,,25.67,12.02,0.00,-52.05,60.36,6.35,15.61,46.02,0.00,37.22,8.20,0.00,0.00,4.88,36.95,0.00,0.00,2.70,15.61,-22.51,0.00,0.04,3.02,10.00,0.32,0.17,10.29,1.20,66.71,-15.06,8.80,46.02,0.00,-65.60,-72.87,-63.61,27.62,66.16,66.18,69.19,48.63,9.59,15.79,24.26
Seacoast Ship.,542753,,Shipping,6.44,17.10,346.91,0.00,7.50,514.75,125.02,8.24,28.33,30.30,53.87,0.00,73.32,18.29,10.08,324.65,0.06,0.00,0.01,0.03,0.00,0.15,324.47,181.81,0.00,0.00,0.00,324.65,157.31,0.00,0.00,320.52,1.00,0.01,0.00,136.44,53.87,28.37,90.33,0.04,0.06,0.00,65.52,3.47,1.26,0.03,20.55,0.25,0.31,0.00,0.06,0.14,0.17
Sealmatic India,543782,,Engineering,664.00,61.13,600.92,0.17,3.26,,34.00,,16.08,3.36,9.05,0.00,78.71,3.36,0.00,110.45,33.02,0.00,11.79,21.23,2.94,0.00,80.88,20.03,0.00,0.00,0.23,110.45,61.85,0.00,42.21,15.80,10.00,16.57,1.40,15.26,0.91,4.56,67.30,15.27,24.98,0.00,16.33,,,,2.72,,,,7.09,,
SEAMEC Ltd,526807,SEAMECLTD,Miscellaneous,1492.25,32.20,3794.05,0.07,52.74,1235.13,236.38,87.84,12.46,326.75,25.43,0.00,886.00,306.34,20.41,1407.45,1221.47,0.00,504.03,717.43,0.70,122.87,451.55,280.07,0.00,0.00,18.75,1407.45,298.13,19.89,54.29,227.65,10.00,136.12,0.00,112.50,2.54,138.73,198.04,584.89,1013.63,0.05,204.79,95.93,91.98,211.27,95.80,72.25,17.91,0.00,290.84,235.70,206.05
Seasons Textiles,514264,,Textiles - Products,15.97,,11.96,0.00,-0.04,42.86,7.74,50.00,3.86,24.31,7.49,0.00,27.53,24.19,0.00,63.88,71.80,0.00,34.57,36.53,0.00,0.00,26.56,14.29,0.00,0.00,3.22,63.88,23.76,0.00,15.13,6.77,10.00,1.09,0.00,2.43,0.75,24.19,23.31,37.23,71.80,0.00,27.05,23.61,21.06,17.75,27.30,25.33,19.66,17.62,37.57,38.60,33.92
Secmark Consult.,543234,SECMARK,Computers - Software - Medium / Small,97.95,,101.69,0.00,1.84,1515.38,7.29,18.34,-7.74,11.06,10.38,0.00,5.66,10.16,0.00,31.35,15.66,0.00,4.24,14.12,0.08,0.27,13.31,15.01,0.00,0.00,0.00,31.35,9.36,0.00,0.00,0.98,10.00,10.78,0.02,3.02,1.04,10.16,14.23,11.41,15.66,0.00,0.81,-0.52,1.23,0.18,0.88,0.42,0.88,0.10,1.81,1.90,0.60
SecUR Credential,543625,SECURCRED,Miscellaneous,6.69,5.71,27.47,0.00,0.41,-88.86,7.04,-41.33,21.17,22.81,41.06,0.00,8.30,17.97,3.32,92.57,27.88,0.00,12.57,13.80,0.00,0.02,72.02,22.63,0.00,0.00,0.53,92.57,53.09,2.41,14.27,36.09,10.00,2.57,0.00,7.88,4.12,22.97,36.29,16.82,26.10,1.99,28.14,23.20,0.38,,26.69,3.97,0.16,,30.88,12.74,0.00
SecureKloud Tech,512161,SECURKLOUD,Computers - Software - Medium / Small,36.87,,123.18,0.00,-49.34,-53.66,59.67,-44.00,-17.15,120.69,16.71,0.00,-22.72,74.81,35.64,195.57,290.37,0.00,88.43,148.86,0.00,0.00,44.64,171.99,0.00,0.00,0.00,195.57,-43.93,2.88,0.00,32.83,5.00,3.57,0.00,40.20,3.34,110.45,-24.14,201.95,290.37,0.00,29.35,197.62,232.64,17.09,140.33,118.34,40.79,3.78,159.46,636.99,187.40
