Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,287.75,1015.37,16.89,0.43,2.88,10.35,0.34,17.75,44.95,9.24,0.00,23.08,1076.44,3.53,100.02,4.10,1.16,0.00,8.00,6.00,1.40,1.57,26057.00,44.95,15.11,58.93,3.59,,87.97,16.90,194.00,103.51,54.44,58.93,99.02,54.21,0.78,0.05,0.06,0.06,83.20,19.27,8.10,15.34,22492.00
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,86.30,90.62,1.53,2.90,1.70,68.93,0.00,86.98,64.30,72.49,0.00,23.21,86.63,1.05,50.73,0.33,16.28,0.00,7.00,6.00,0.83,0.88,5889.00,64.30,76.29,162.31,1.89,,354.31,113.01,254.12,1151.08,0.00,162.31,988.78,35.71,0.00,0.00,0.00,0.00,19.71,-57.67,-50.88,-70.57,5943.00
360 ONE,542772,360ONE,Finance & Investments,1056.30,38329.62,41.38,1.56,10.99,6.11,2.75,24.47,15.79,4.14,40.46,23.21,47163.38,36.29,96.13,,0.84,0.00,3.00,6.00,0.22,3.81,58786.00,9.40,215.86,41.01,1.89,,-120.92,12.91,228.04,41.01,,41.01,0.00,10.92,64.56,1.34,8.72,0.38,87.67,13.33,6.00,21.41,46512.00
3B Blackbio,532067,,Healthcare,1245.65,1069.10,33.31,0.20,4.79,13.89,0.00,16.28,41.29,4.41,0.00,47.90,1007.80,0.86,259.88,2.65,6.56,0.00,5.00,3.00,0.32,1.04,9399.00,41.29,28.40,178.51,7.10,,215.59,17.92,472.22,253.38,66.01,178.51,140.89,53.48,3.28,0.31,1.96,0.07,228.05,19.06,12.77,16.00,9753.00
3C IT Solutions,544190,,Computers - Software - Medium / Small,39.30,23.66,197.17,0.00,,0.42,1.23,2.93,51.67,5.97,0.00,36.72,28.16,0.60,,1.57,0.90,0.00,4.00,1.00,1.03,7.04,1006.00,51.67,5.20,125.13,3.82,,204.52,10.45,,222.68,134.31,125.13,231.86,48.34,0.00,,0.00,,,25.63,3.59,33.98,
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,35.69,604.10,,0.00,2.06,-8.99,0.29,-15.71,0.00,-5.87,0.00,36.72,634.07,16.93,17.34,,1.05,0.00,4.00,3.00,1.00,2.79,266783.00,0.00,-10.90,70.33,3.82,,8.32,-5.61,,70.33,,70.33,,90.25,1.00,0.06,8.75,-1.40,38.16,2.59,0.31,0.45,272076.00
3M India,523395,3MINDIA,Diversified - Large,39413.25,44418.73,82.91,0.41,18.73,16.97,0.01,24.81,75.00,1.66,0.00,24.13,43318.59,1.13,2104.02,4.47,1.87,0.00,9.00,4.00,1.24,1.33,29243.00,75.00,31.86,63.12,3.17,,23.52,21.21,4747.23,21.18,119.02,63.12,77.08,12.95,3.77,0.13,8.27,-0.17,1729.09,25.29,13.48,18.75,29198.00
3P Land Hold.,516092,3PLAND,Finance & Investments,37.25,67.05,34.74,0.00,0.68,2.11,0.00,2.20,73.30,3.86,0.00,23.21,66.83,1.80,54.84,,1.04,0.00,5.00,5.00,0.04,0.87,8446.00,73.30,385.11,0.00,1.89,,-21.53,2.47,36.37,0.00,,0.00,,26.69,0.00,0.00,0.00,0.00,36.70,3.07,2.27,2.32,8551.00
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.57,5.48,32.24,0.00,0.34,0.85,0.23,1.07,9.43,1.87,0.00,41.62,9.09,3.49,4.56,0.00,4.84,,6.00,2.00,0.01,1.25,7559.00,9.43,0.89,0.00,2.64,,24767.86,0.85,2.24,0.00,,0.00,,90.57,0.00,0.00,0.00,0.00,4.52,-0.56,-0.55,-0.69,7278.00
5Paisa Capital,540776,5PAISA,Finance & Investments,486.00,1516.79,26.45,0.00,2.80,2.81,0.62,10.29,32.78,49.85,0.00,15.74,216.42,3.12,173.39,,1.57,0.00,4.00,7.00,0.21,3.41,44686.00,32.78,10.62,0.03,2.79,,-897.34,5.27,268.45,0.03,,0.03,,44.27,22.70,0.04,0.25,-0.04,152.36,12.29,2.66,10.44,42465.00
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,403.40,1858.81,8.86,0.50,0.56,5.90,0.00,6.49,45.63,36.97,0.00,36.72,581.16,4.61,726.45,,6.12,1.20,8.00,5.00,0.13,1.06,51235.00,45.63,10.95,35.03,3.82,,228.81,5.89,888.42,35.03,,35.03,,50.15,4.12,-0.23,0.09,-0.03,676.02,1.99,-2.13,-1.43,50511.00
7NR Retail Ltd,540615,,Trading,7.61,21.31,,0.00,0.74,-2.41,0.18,-3.79,10.96,-3.90,0.00,55.52,26.44,2.80,10.25,2.07,4.15,0.00,1.00,2.00,0.25,1.60,41440.00,10.96,-3.04,686.02,5.67,,1042.23,-2.38,,562.30,219.53,686.02,95.81,89.05,0.00,0.00,0.00,0.00,10.65,1.76,0.69,1.18,43624.00
7Seas Enter.,540874,,Computers - Software - Medium / Small,70.00,130.62,136.06,0.00,12.84,13.61,0.04,20.69,31.32,0.96,0.00,36.72,129.81,1.87,5.45,,12.63,0.00,5.00,3.00,1.67,0.69,2999.00,31.32,12.04,17.65,3.82,,169.34,11.50,7.94,17.65,,17.65,,68.68,0.00,0.00,0.00,0.00,-0.59,17.12,13.11,,2903.00
A B B,500002,ABB,Electric Equipment,7578.80,160601.12,109.80,0.31,27.02,12.28,0.01,22.92,75.00,1.26,0.00,58.55,155833.93,21.19,280.54,4.26,1.59,0.00,9.00,5.00,1.03,1.71,132505.00,75.00,22.80,88.90,9.25,,-9.18,17.84,658.67,-0.40,179.32,88.90,90.02,7.29,12.06,0.17,5.64,-0.31,233.10,23.03,8.79,17.01,102557.00
A B Infrabuild,,ABINFRA,Construction,63.25,314.63,26.87,0.00,3.85,9.35,0.26,33.15,36.82,6.50,0.00,25.97,326.02,4.97,16.41,2.75,1.14,0.00,5.00,4.00,1.47,3.55,231.00,36.82,27.37,64.14,3.06,,103.20,13.53,29.13,94.17,102.50,64.14,132.53,63.18,0.00,0.00,0.00,0.00,24.70,20.15,5.26,19.01,187.00
A B M Internatl.,,ABMINTLLTD,Trading,60.05,56.50,,0.00,3.80,-9.20,0.68,-20.70,74.70,-6.45,0.00,38.53,62.34,0.94,15.80,7.03,0.68,0.00,4.00,3.00,2.52,2.50,1607.00,74.70,-23.52,18.79,3.35,,48.02,-10.27,,21.12,50.76,18.79,53.09,25.30,0.00,0.00,0.00,0.00,19.35,-43.17,-23.51,-34.09,1597.00
A F Enterprises,538351,,Trading,16.57,60.80,,0.00,1.82,-0.52,0.20,0.00,5.72,-0.82,0.00,38.53,66.69,3.67,9.09,2.82,1.32,0.00,5.00,3.00,0.06,4.31,6825.00,5.72,0.00,5048.59,3.35,,1326.45,-0.41,,-1808.25,6984.05,5048.59,127.21,94.29,0.00,0.00,0.00,0.00,5.59,-0.67,-0.20,-1.51,7476.00
A G Universal,,AGUL,Trading,61.00,33.45,17.42,0.00,1.92,4.34,0.89,28.32,70.64,8.35,0.00,38.53,48.85,0.55,31.77,8.36,0.82,0.00,4.00,3.00,1.77,6.53,236.00,70.64,14.30,55.00,3.35,,38.66,8.47,50.02,15.95,82.73,55.00,43.67,29.35,0.00,0.00,0.00,0.00,,7.32,0.64,4.26,247.00
A K Spintex,539300,,Textiles - Processing,200.10,100.69,14.36,0.00,2.58,13.16,0.18,24.32,70.76,8.88,0.00,22.45,107.80,0.50,77.45,3.30,0.83,0.00,7.00,4.00,1.83,1.65,3571.00,70.76,19.48,52.52,2.59,,25.09,13.96,155.81,-91.69,253.57,52.52,109.37,29.25,0.00,0.00,0.00,0.00,60.65,27.52,13.05,27.25,3520.00
A R C Finance,540135,,Finance & Investments,1.12,56.55,209.44,0.00,1.11,0.38,0.31,0.53,12.02,0.64,0.00,23.21,72.32,50.49,1.01,0.45,0.48,0.00,4.00,4.00,0.13,1.39,182228.00,12.02,1.50,48.98,1.89,,817.69,0.64,0.35,937.40,188.06,48.98,1076.47,87.97,0.00,0.00,0.00,0.00,1.02,2.46,0.44,0.64,142377.00
A-1 Acid,542012,,Trading,348.70,401.01,364.55,0.43,8.39,1.68,0.22,2.29,70.03,0.61,0.00,38.53,405.11,1.15,41.54,112.53,3.33,0.00,6.00,2.00,3.14,1.37,1845.00,70.03,3.06,54.96,3.35,,57.01,3.89,29.90,52.68,6.06,54.96,3.79,27.08,2.90,0.00,0.00,0.00,42.09,9.79,4.91,7.63,2028.00
A.K.Capital Serv,530499,,Finance & Investments,1033.75,682.28,7.44,1.55,0.74,2.67,3.00,10.43,71.50,9.35,0.00,23.21,3406.27,0.66,1392.53,0.00,4.13,0.00,5.00,7.00,0.15,3.77,2606.00,71.50,65.01,1.37,1.89,,183.13,8.37,2086.56,1.37,,1.37,,28.51,0.00,0.00,0.00,0.00,1271.79,8.77,3.03,10.96,2557.00
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,20.44,359.99,,0.00,11.19,-7.17,6.15,-132.12,28.14,-10.09,99.68,43.55,555.08,17.61,1.83,75.35,0.72,0.00,5.00,3.00,0.46,26.01,42187.00,0.09,-21.21,146.75,4.65,,24.83,-8.20,,146.75,,146.75,0.00,70.20,1.64,0.03,0.01,0.01,2.16,6.57,1.32,15.74,41790.00
AA Plus Trade,543319,,Trading,25.31,61.57,116.17,0.00,4.61,3.43,0.10,4.10,21.32,1.16,0.00,38.53,62.77,2.43,5.49,,2.00,0.00,5.00,2.00,1.29,1.19,360.00,21.32,3.57,60.38,3.35,,271.69,2.73,5.07,60.38,,60.38,0.00,78.68,0.00,0.00,0.00,0.00,5.28,2.06,1.20,1.64,385.00
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,113.85,146.03,45.49,0.44,5.22,11.25,0.00,12.03,71.51,3.43,0.00,36.72,125.52,1.28,21.80,,19.53,1.14,8.00,2.00,0.83,1.02,7872.00,71.51,11.53,91.29,3.82,,91.90,14.63,35.03,91.29,,91.29,,28.50,0.00,0.00,0.00,0.00,19.79,15.93,10.76,11.88,6542.00
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,427.15,18218.74,24.30,0.00,,4.20,3.14,18.40,76.48,6.30,0.00,21.79,30904.93,42.65,,,2.39,0.00,6.00,5.00,0.14,4.01,239696.00,76.48,153.14,0.00,2.73,,-50.85,10.19,,0.00,,0.00,,10.86,4.18,,8.50,,,10.24,3.64,16.48,
Aadi Industries,530027,,Plastics Products,5.80,5.80,,0.00,,-28.57,,,24.86,-0.80,0.00,35.04,12.54,1.00,-6.69,,0.03,,4.00,2.00,0.00,-0.05,5220.00,24.86,-71.43,,3.92,,,-52.63,,,,,,74.89,0.00,0.00,0.24,0.00,-6.60,-43.37,-36.00,,5126.00
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,13.92,140.94,22.70,0.00,2.41,7.01,0.31,11.21,66.67,6.42,0.00,23.26,158.22,10.12,5.78,,1.21,0.00,9.00,5.00,1.04,1.51,41861.00,66.67,9.79,97.12,2.41,,67.44,10.84,8.93,97.12,,97.12,0.00,33.32,0.00,-0.03,0.00,0.00,5.17,11.25,5.97,9.19,37338.00
Aananda Lakshmi,539096,,Construction,19.00,6.65,1.12,0.00,,50.21,,,58.67,21.24,0.00,29.62,27.96,0.35,-52.70,0.17,1.15,0.00,8.00,1.00,0.18,-0.64,7059.00,58.67,137.82,448.43,2.84,,425.83,44.49,,448.43,,448.43,,41.32,0.00,0.00,0.02,0.00,-64.36,33.79,-7.18,,7072.00
Aanchal Ispat,538812,,Steel - Medium / Small,5.53,11.53,,0.00,0.69,-5.48,5.00,-31.23,31.85,-4.50,0.00,27.97,89.51,2.09,8.07,7.12,0.71,0.00,6.00,2.00,0.96,6.79,6272.00,31.85,-4.42,188.56,2.86,,201.68,-3.44,,222.86,8.91,188.56,43.22,68.15,0.00,0.00,0.00,0.00,11.13,-20.09,-19.25,-67.59,6332.00
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,49.57,125.83,26.89,0.00,0.95,1.57,0.24,3.78,45.28,4.52,0.00,36.38,155.59,2.54,52.30,12.03,1.47,0.00,5.00,3.00,1.33,2.25,16179.00,45.28,3.93,170.20,3.45,,129.99,2.31,46.58,80.11,123.23,170.20,33.15,51.32,3.40,0.00,0.00,0.00,45.34,6.38,1.41,3.33,16843.00
Aarnav Fashions,539562,,Textiles - Products,48.70,205.70,28.73,0.00,1.15,1.39,0.61,3.20,67.72,6.90,0.00,34.69,311.02,4.22,42.37,2.13,0.83,0.20,8.00,4.00,0.88,2.26,31576.00,67.72,4.82,108.95,2.47,,172.52,5.49,40.20,211.78,64.37,108.95,167.19,32.28,0.00,0.00,0.00,0.00,40.86,3.98,0.10,0.25,33909.00
Aaron Industries,,AARON,Engineering,277.15,290.27,45.86,0.36,8.10,11.16,0.88,22.48,73.06,3.08,0.00,47.31,319.28,1.05,34.22,2.71,0.43,0.00,3.00,5.00,1.11,1.58,11965.00,73.06,17.57,20.38,6.08,,85.38,13.18,68.22,139.98,23.16,20.38,142.76,26.94,0.00,0.00,0.00,0.00,20.39,29.71,15.78,29.69,12497.00
Aartech Solonics,542580,AARTECH,Electric Equipment,219.06,231.99,178.45,0.15,7.86,3.40,0.14,4.46,52.68,1.30,0.00,58.55,233.85,1.06,27.88,3.33,2.01,0.00,6.00,3.00,0.84,1.32,5662.00,52.68,5.59,105.69,9.25,,231.55,7.42,27.75,143.82,93.63,105.69,131.77,45.93,0.00,-0.01,1.39,0.00,27.13,6.90,3.99,4.88,4734.00
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,511.40,4701.56,36.38,0.20,4.00,6.50,0.40,12.39,55.67,3.95,0.00,36.38,5172.46,9.19,127.83,3.33,1.08,0.00,7.00,1.00,1.04,1.86,150218.00,55.67,11.28,103.68,3.45,,117.24,9.41,201.09,115.26,93.87,103.68,105.44,34.01,2.95,0.39,7.35,1.36,120.33,15.34,7.23,14.65,157547.00
Aarti Industries,524208,AARTIIND,Chemicals,738.40,26768.27,63.77,0.14,5.06,4.61,0.61,8.22,43.24,2.04,3.79,42.78,29880.73,36.25,145.92,3.34,0.51,56.81,6.00,2.00,0.70,1.72,349415.00,41.60,8.47,47.33,3.90,,82.01,6.35,194.22,114.22,54.62,47.33,121.51,27.58,10.61,-0.32,18.55,1.31,135.73,10.44,6.63,11.55,377953.00
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,647.75,5870.30,27.12,0.46,3.34,8.97,0.16,13.06,46.46,5.17,0.00,37.69,6131.48,9.06,193.88,1.77,0.91,0.00,4.00,2.00,0.77,1.37,189012.00,46.46,12.16,102.32,4.03,,162.61,12.28,323.12,196.92,135.28,102.32,229.88,35.00,7.07,-1.26,11.47,1.50,171.97,16.09,9.03,13.14,204122.00
Aarti Surfactant,543210,AARTISURF,Chemicals,637.20,538.98,27.85,0.00,2.46,5.39,0.45,11.50,49.81,6.69,0.00,42.78,631.97,0.85,259.21,5.24,0.78,25.97,8.00,3.00,1.43,1.89,41653.00,49.81,9.74,43.38,3.90,,70.28,9.99,364.74,69.49,54.98,43.38,81.09,50.14,0.04,-0.05,0.00,0.00,197.79,10.60,3.15,8.36,43091.00
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,38.05,89.27,,0.00,5.19,-9.24,16.14,-113.54,65.80,-9.96,51.00,28.09,364.70,2.35,7.33,0.77,0.70,0.00,6.00,1.00,0.18,28.09,11303.00,32.24,-17.07,429.62,1.52,,595.04,-8.28,,599.76,234.52,429.62,404.67,32.09,0.00,0.00,2.10,0.00,26.17,-10.54,-11.56,-71.18,11439.00
Aarvi Encon,,AARVI,Miscellaneous,140.77,208.11,18.35,1.42,1.78,6.89,0.08,10.09,73.54,6.98,0.00,33.53,194.53,1.48,78.94,,2.56,0.00,4.00,1.00,2.47,1.41,10382.00,73.54,12.54,74.56,3.44,,61.48,7.93,116.72,74.56,,74.56,,26.46,0.00,0.00,0.00,0.00,73.09,17.52,9.94,15.05,10663.00
Aashka Hospitals,543346,,Healthcare,111.50,260.91,110.09,0.00,2.71,1.90,0.21,2.49,61.28,2.10,0.00,47.90,279.32,2.34,41.15,9.35,0.62,0.00,8.00,1.00,0.18,1.30,1641.00,61.28,9.88,76.93,7.10,,70.22,4.83,30.56,-137.86,263.54,76.93,48.75,38.71,0.00,0.00,0.00,0.00,40.14,0.42,-2.00,-2.70,2066.00
AastamangalamFin,511764,,Finance & Investments,42.93,38.25,10.62,0.00,1.02,5.10,1.07,11.75,27.60,8.87,0.00,23.21,72.27,0.89,42.29,,2.57,0.00,4.00,6.00,0.10,1.87,6168.00,27.60,116.73,0.00,1.89,,-110.07,7.96,62.01,0.00,,0.00,,72.41,0.00,0.00,0.00,0.00,55.12,8.37,3.85,7.70,6138.00
Aatmaj Health,,AATMAJ,Healthcare,27.20,61.47,69.85,0.00,1.24,2.84,0.11,6.21,63.72,4.61,0.00,47.90,56.14,2.26,21.89,6.15,6.32,0.00,1.00,1.00,0.51,2.19,1537.00,63.72,6.41,413.47,7.10,,349.23,4.49,13.85,158.26,314.55,413.47,59.35,36.28,0.00,0.00,0.00,0.00,,46.64,24.38,52.65,1772.00
AAVAS Financiers,541988,AAVAS,Finance - Housing,1673.40,13243.24,26.12,0.00,3.51,3.28,3.29,13.93,26.47,6.38,0.00,21.79,23843.72,7.91,476.79,,7.67,0.00,2.00,5.00,0.13,3.97,144395.00,26.47,9.91,2.21,2.73,,21.77,9.21,829.11,2.21,,2.21,,13.26,35.88,1.08,24.39,0.40,413.68,9.51,3.52,14.14,151680.00
Aayush Art,540718,,Trading,146.40,190.50,732.69,0.00,8.33,1.48,0.00,1.78,6.69,0.12,0.00,38.53,189.09,1.30,17.57,27.46,43.74,0.00,4.00,3.00,0.42,0.81,119.00,6.69,1.49,0.50,3.35,,691.66,0.92,9.10,13.79,4.09,0.50,17.38,89.89,0.00,0.00,0.00,0.00,24.70,5.20,2.99,3.56,124.00
Aayush Wellness,539528,,Trading,293.70,95.31,167.21,0.00,19.37,11.99,0.00,12.22,0.00,0.62,0.00,38.53,95.26,0.32,15.16,,5.60,0.00,6.00,2.00,0.13,0.97,2345.00,0.00,121.28,12.17,3.35,,249.42,11.75,24.48,12.17,,12.17,,100.01,0.00,0.00,0.00,0.00,13.59,-5.10,-5.25,-8.95,2069.00
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,220.00,226.43,33.80,0.00,3.31,4.48,1.78,15.74,34.91,5.11,0.00,28.09,348.05,1.03,66.53,4.49,0.66,0.00,5.00,3.00,1.71,3.51,164.00,34.91,10.26,19.21,1.52,,84.80,8.98,98.71,97.90,2.67,19.21,81.36,65.09,0.00,0.00,0.00,0.00,41.37,5.79,1.66,4.74,171.00
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,66.08,385.68,,0.00,,-80.97,,,46.00,-1.30,19.37,21.76,15650.04,5.84,-4090.09,0.45,0.02,0.00,3.00,2.00,0.25,-0.07,98359.00,37.09,,126.61,1.45,,-8727.12,-13.43,,-2045.36,3050.34,126.61,878.37,52.21,0.08,-0.35,1.71,0.00,-3820.21,,-50.30,,101568.00
ABans Enterprise,512165,,Trading,132.00,184.14,20.09,0.08,0.99,2.55,0.84,5.08,74.56,10.19,0.00,38.53,322.65,1.39,133.00,17.02,0.98,0.00,5.00,4.00,4.69,2.03,1615.00,74.56,6.68,37.19,3.35,,43.01,7.39,141.09,38.51,19.70,37.19,21.01,15.61,9.83,0.00,0.00,0.00,125.70,8.02,5.60,8.78,1647.00
Abans Holdings,543712,AHL,Finance & Investments,571.75,2867.09,35.07,0.00,3.08,3.75,1.00,9.30,72.09,4.33,14.20,23.21,3507.69,5.01,185.62,19.61,1.90,0.00,5.00,1.00,0.58,2.56,11459.00,61.86,14.51,58.46,1.89,,164.94,5.24,260.95,30.20,46.02,58.46,17.77,17.50,10.42,-1.05,0.01,0.01,164.89,7.91,4.58,8.90,12871.00
Abate As Indust,531658,,Trading,27.44,13.77,,0.00,,-189.58,62.00,,31.87,-6.10,0.00,38.53,14.91,0.50,-1.79,,0.19,,3.00,1.00,0.00,-0.53,1010.00,31.87,-413.64,,3.35,,,-275.76,,,,,,68.13,0.00,0.00,0.00,0.00,0.02,-57.85,-56.00,-184.21,1028.00
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,28227.70,59983.86,49.94,1.45,16.22,24.64,0.02,34.88,74.99,2.81,0.00,46.45,57932.60,2.12,1740.71,5.10,1.96,1.34,8.00,5.00,1.20,1.32,71588.00,74.99,55.66,19.91,13.57,,-11.54,31.39,4705.37,-23.50,113.64,19.91,70.22,16.01,0.18,0.00,8.81,-0.10,1500.54,41.13,21.63,31.61,69382.00
ABC Gas (Int.),513119,,Trading,96.15,19.04,,0.00,4.81,-13.12,0.00,-14.79,0.00,-3.65,0.00,38.53,15.34,0.20,20.00,0.23,53.43,0.00,6.00,4.00,0.00,1.10,6150.00,0.00,-11.42,0.00,3.35,,8760.00,-13.90,21.85,1095.00,312.86,0.00,1407.86,99.99,0.00,0.00,0.00,0.00,18.94,-1.31,-1.66,-3.70,6545.00
ABC India,520123,,Miscellaneous,108.70,58.89,26.77,0.46,1.30,2.36,0.46,5.07,64.69,6.77,0.00,40.29,76.69,0.54,83.44,78.57,1.60,0.00,7.00,3.00,1.76,2.06,5755.00,64.69,6.86,58.86,3.26,,92.43,5.26,88.89,-82.26,145.37,58.86,4.25,35.30,0.00,0.00,0.00,0.00,76.72,7.64,2.78,6.16,5843.00
Abhinav Capital,532057,,Finance & Investments,193.85,134.23,14.50,0.00,1.74,9.87,0.49,13.47,71.48,11.79,0.00,23.21,120.59,0.69,111.28,,3.25,0.00,5.00,5.00,0.16,1.22,1208.00,71.48,9.90,0.00,1.89,,1695.61,11.63,182.99,0.00,,0.00,,28.52,0.00,0.00,0.00,0.00,87.23,23.20,16.49,18.11,1223.00
Abhinav Leasing,538952,,Finance & Investments,2.07,10.35,60.88,0.00,1.77,0.32,5.14,2.97,3.66,5.23,0.00,23.21,38.98,5.00,1.17,4.44,0.22,0.00,5.00,5.00,0.63,9.21,11468.00,3.66,112.43,1.30,1.89,,-1.08,4.56,0.95,97.53,0.00,1.30,96.23,96.34,0.00,0.00,0.00,0.00,1.12,47.46,0.20,1.78,9727.00
Abhishek Finle.,538935,,Finance & Investments,33.00,14.07,67.00,0.00,3.18,4.45,0.00,4.86,72.74,2.32,0.00,23.21,12.08,0.43,10.37,0.65,5.46,0.00,8.00,5.00,0.20,1.07,956.00,72.74,8.32,11.53,1.89,,126.79,5.82,9.64,575.62,0.00,11.53,564.09,27.26,0.00,0.00,0.00,0.00,9.87,3.33,1.96,2.17,947.00
Abhishek Infra.,539544,,Construction,6.74,3.40,,0.00,0.83,-3.31,0.30,-6.18,26.41,-5.74,0.00,42.24,4.53,0.50,8.08,,2.94,0.00,1.00,3.00,0.00,1.93,2840.00,26.41,-5.38,,3.59,,,-3.35,,,,,,73.58,0.00,0.00,0.00,0.00,8.60,0.00,0.00,0.00,2774.00
Abhishek Integr.,,AILIMITED,Construction,92.90,55.94,72.65,0.00,6.06,5.42,0.61,9.09,67.72,2.94,0.00,42.24,60.96,0.60,15.33,0.50,0.96,0.00,5.00,4.00,1.79,1.68,202.00,67.72,12.77,30.69,3.59,,125.49,11.00,21.00,692.04,75.52,30.69,736.87,32.28,0.00,0.00,0.00,0.00,14.12,12.09,5.25,8.24,215.00
Abirami Fin.,511756,,Finance & Investments,58.06,31.35,21.62,4.31,1.52,6.11,0.00,6.75,65.65,8.81,0.00,23.21,12.48,0.54,38.17,,44.78,,4.00,5.00,0.00,1.15,1584.00,65.65,5.58,,1.89,,,5.22,48.02,,,,,34.35,0.00,0.00,0.00,0.00,37.23,123.60,85.36,97.07,1416.00
ABM Knowledge,531161,,Computers - Software - Medium / Small,159.80,319.64,21.48,0.78,1.44,6.04,0.00,6.89,66.93,6.32,0.00,36.72,303.48,2.00,111.07,,4.61,0.00,7.00,3.00,0.32,1.11,5300.00,66.93,13.41,190.60,3.82,,253.43,7.57,136.35,190.60,,190.60,,32.73,0.34,0.00,0.00,0.00,104.94,8.33,5.44,6.29,5017.00
ABS Marine,,ABSMARINE,Shipping,317.05,778.36,32.09,0.00,,14.53,0.39,23.02,63.42,3.95,0.00,26.73,816.98,2.46,,,1.73,0.00,7.00,0.00,0.75,1.54,,63.42,25.39,86.58,2.23,,91.39,17.46,,86.58,,86.58,,,,,,,,10.57,5.50,9.90,
ACC,500410,ACC,Cement - North India,2435.30,45731.83,22.67,0.31,2.80,9.82,0.02,14.15,56.69,5.77,0.00,30.76,44223.81,18.78,869.58,5.62,1.16,0.00,8.00,2.00,0.91,1.35,168397.00,56.69,17.39,15.13,3.11,,20.83,10.92,1524.84,11.59,120.89,15.13,117.35,12.68,5.64,-0.53,24.82,0.18,752.90,9.37,4.49,6.57,149893.00
Accedere,531533,,Computers - Software - Medium / Small,87.03,43.78,,0.00,10.80,-1.92,0.07,-1.71,81.46,-0.17,0.00,36.72,41.69,0.50,8.06,0.00,6.00,0.00,6.00,5.00,0.55,1.16,1925.00,81.46,-1.33,52.75,3.82,,158.26,-1.50,,52.75,,52.75,,18.55,0.00,0.00,0.00,0.00,8.20,-2.27,-1.75,-0.73,1956.00
Accel,517494,,Computers - Software - Medium / Small,23.15,133.28,36.72,1.30,2.04,1.95,1.13,5.67,71.62,6.13,0.00,36.72,197.42,5.76,11.34,7.67,0.91,0.00,7.00,3.00,0.90,2.85,13710.00,71.62,7.88,75.95,3.82,,25.95,6.43,12.40,-35.59,158.74,75.95,47.20,28.12,0.00,0.00,0.24,0.00,10.89,10.63,1.50,3.77,13493.00
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,335.00,71.98,599.83,0.00,18.41,4.12,0.14,5.50,70.72,2.53,0.00,36.72,70.29,0.21,18.20,,31.29,0.00,3.00,3.00,2.33,1.33,247.00,70.72,2.24,45.76,3.82,,27.99,36.70,7.56,45.76,,45.76,,29.29,0.00,0.00,0.00,0.00,,,,,197.00
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1807.30,2698.30,23.10,3.60,9.54,29.91,0.12,42.25,74.66,6.54,0.00,36.72,2625.72,1.49,189.50,,3.48,0.00,6.00,5.00,1.31,1.38,32982.00,74.66,39.53,54.71,3.82,,88.72,41.71,517.78,54.71,,54.71,,24.41,0.28,-0.11,0.65,0.00,180.92,56.12,32.54,44.25,33673.00
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.60,598.88,19.32,0.00,3.66,27.17,0.08,70.14,55.09,7.17,0.00,37.69,539.18,2.10,77.85,2.72,3.45,0.00,5.00,4.00,2.15,2.58,2418.00,55.09,47.47,35.56,4.03,,51.96,18.88,158.48,83.21,86.54,35.56,134.19,43.26,0.03,,1.62,,,29.26,12.47,34.11,
