Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
Salona Cotspin,590056,SALONA,Textiles - Cotton/Blended,295.85,155.62,25.39,0.00,1.95,1.93,3.22,7.96,67.10,5.74,0.70,28.09,411.28,0.53,151.58,11.02,0.94,0.00,2.00,3.00,2.28,3.97,2803.00,66.63,5.77,72.84,1.52,,114.37,6.49,199.32,99.68,7.11,72.84,33.94,32.91,0.00,0.00,0.00,0.00,140.96,13.83,7.02,26.60,2607.00
Salora Intl.,500370,,Trading,59.94,52.81,,0.00,0.94,-2.60,0.28,-3.64,73.76,-1.88,0.00,55.52,68.25,0.88,64.04,7.82,0.44,0.00,6.00,5.00,1.98,1.42,3818.00,73.76,-5.68,12.96,5.67,,47.83,-1.64,,48.29,6.59,12.96,41.92,26.23,0.00,0.00,0.00,0.00,66.40,-3.84,-1.44,-2.06,3794.00
Salzer Electron.,517059,SALZERELEC,Electric Equipment,893.15,1579.33,36.57,0.28,3.33,4.68,0.66,10.09,37.53,4.94,17.17,58.55,1883.11,1.77,268.12,3.10,0.84,12.29,6.00,4.00,1.23,1.98,42501.00,31.09,8.88,103.45,9.25,,162.13,9.59,387.16,182.75,42.40,103.45,121.69,59.56,2.81,-0.39,0.11,-0.01,241.22,11.96,4.45,9.70,35035.00
Sam Industries,532005,,Construction,76.52,84.85,7.92,0.00,1.25,12.82,0.39,17.17,74.83,11.49,0.00,29.62,108.83,1.11,61.14,0.75,0.46,0.00,4.00,4.00,0.12,1.23,2048.00,74.83,19.52,102.39,2.84,,122.28,12.35,115.33,238.33,165.91,102.39,301.85,25.16,0.00,0.00,0.00,0.00,51.48,14.23,8.66,10.39,1912.00
Sambandam Spg.,521240,,Textiles - Cotton/Blended,166.05,70.74,,0.00,0.78,-2.89,1.28,-8.26,50.22,0.95,0.00,28.09,186.18,0.43,214.09,2.23,0.44,0.00,5.00,3.00,0.80,3.00,2978.00,50.22,0.85,48.99,1.52,,130.33,0.66,,164.37,68.64,48.99,184.02,49.77,0.00,0.00,0.00,0.00,234.30,-0.89,-4.00,-11.18,3012.00
Sambhaav Media,511630,SAMBHAAV,Entertainment / Electronic Media Software,5.38,102.82,321.31,0.00,1.24,0.30,0.16,0.39,62.93,2.50,0.00,16.06,115.34,19.11,4.36,46.99,3.44,0.00,8.00,3.00,0.38,1.28,17946.00,62.93,3.39,151.35,1.40,,280.14,2.80,1.72,110.80,46.51,151.35,5.96,36.81,0.25,0.00,0.00,0.00,4.32,2.07,-2.60,-3.36,18319.00
Sameera Agro,,SAIFL,Food - Processing - Indian,83.95,99.98,9.33,0.00,1.09,18.45,0.03,57.11,69.00,14.26,0.00,41.69,102.35,1.19,77.36,35.88,4.21,0.00,3.00,5.00,3.14,3.09,,69.00,49.78,93.24,3.84,,42.68,13.08,125.17,39.77,63.64,93.24,10.17,,,,,,,83.96,20.43,73.02,
Samhi Hotels,543984,SAMHI,Hotels,179.36,3946.86,,0.00,3.77,-5.66,2.04,-139.82,0.00,3.53,0.00,44.74,5922.14,22.01,47.63,19.64,0.38,0.00,5.00,6.00,0.34,2.75,60389.00,0.00,5.76,23.08,4.62,,-28.86,6.07,,-600.83,644.43,23.08,20.52,18.64,63.51,-5.97,17.85,1.25,,8.45,-15.39,,44601.00
Samkrg Pistons,520075,,Auto Ancillaries,255.05,250.46,19.86,0.98,1.32,5.07,0.21,6.82,66.88,6.91,0.00,38.32,289.98,0.98,193.48,3.38,1.29,0.00,4.00,4.00,0.99,1.31,10371.00,66.88,6.89,101.76,3.96,,122.68,7.65,236.43,179.71,39.97,101.76,117.92,33.11,0.00,0.00,0.01,0.00,183.14,11.43,6.40,8.28,10960.00
Sammaan Capital,535789,SAMMAANCAP,Finance - Housing,166.35,8251.49,6.78,0.75,0.62,1.64,2.45,6.55,0.00,13.29,0.00,21.79,52320.76,49.60,267.93,,2.70,0.00,5.00,5.00,0.11,3.74,487849.00,0.00,66.45,0.67,2.73,,128.03,9.52,314.81,0.67,,0.67,,72.54,19.13,-0.20,6.62,-0.53,245.42,9.79,1.44,6.62,493288.00
