Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,287.75,17.15,10.14,35.20,17.97,9.98,10.80,10.27,9.05,21.32,9.06,9.68,12.31,35.20,17.97,20.05,48.07,20.05,48.68,0.12,36.19,24.91,68.28,56.31,1015.37
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,86.30,73.96,,86.12,49.25,-108.73,-103.49,22.10,36.10,86.43,56.80,24.19,60.82,86.12,49.25,28.70,48.53,28.70,48.53,3.48,0.34,2.21,0.55,3.80,90.62
360 ONE,542772,360ONE,Finance & Investments,1056.30,20.86,13.10,29.42,16.51,-0.73,8.78,,,21.88,11.52,,,28.54,,,,,,-7.12,522.53,,1142.50,,38329.62
3B Blackbio,532067,,Healthcare,1245.65,-31.11,26.06,-34.43,43.69,-6.75,19.86,24.31,12.95,-33.23,41.72,48.71,41.85,-37.29,35.54,54.71,51.35,61.30,55.84,2.94,42.36,22.22,57.19,30.33,1069.10
3C IT Solutions,544190,,Computers - Software - Medium / Small,39.30,-9.76,,-48.13,,-7.32,-7.32,,,8.60,,,,-93.14,,,,,,,,,,,23.66
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,35.69,10.17,-6.22,,,-1.26,7.70,-2.95,-4.63,5.73,,,,,,,2.81,,6.05,0.00,-4.67,-57.30,-5.36,31.00,604.10
3M India,523395,3MINDIA,Diversified - Large,39413.25,17.50,6.93,53.48,10.65,8.17,5.18,7.53,8.47,43.23,7.41,9.16,19.33,53.48,10.65,12.10,28.58,12.10,28.58,0.00,316.76,276.17,435.47,400.37,44418.73
3P Land Hold.,516092,3PLAND,Finance & Investments,37.25,36.17,14.11,146.23,86.60,0.54,17.21,40.46,-32.57,128.64,14.24,3.22,-12.13,146.23,86.60,44.75,11.55,44.75,11.55,0.00,1.25,0.55,1.54,2.23,67.05
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.57,,-44.91,26.48,15.56,-100.00,-100.00,,,26.49,15.57,-26.87,7.28,26.48,15.56,-26.66,7.27,-26.66,7.28,0.00,-1.87,-0.72,-1.68,-0.59,5.48
5Paisa Capital,540776,5PAISA,Finance & Investments,486.00,26.73,45.42,44.15,36.51,53.50,53.50,76.24,56.14,30.64,52.83,37.28,50.93,34.82,33.50,32.14,24.21,30.47,46.23,2.81,23.88,6.15,53.75,20.55,1516.79
