Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Average return on equity 3Years,Number of equity shares 10years back,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,287.75,14.98,16.11,3.38,60.78,53.22,21.01,2.89,3.49,3.43,3.53,0.00,0.00,1.83,20.14,18.86,19.18,17.75,14.20,15.09,1.90,12.74,12.83,22332.00,4.73,56.42,68.03,52.97,7.30,8.53,8.41,9.12,8.38,8.39,124.03,134.79,123.50,105.34,84.01,0.75,0.06,1015.37
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,86.30,1.16,32.13,1.05,22.33,17.43,52.00,,,,,0.00,,0.52,24.82,2.16,2.43,7.13,5.45,0.66,58.82,,,6566.00,2.72,81.17,940.14,-2289.41,1.85,22.68,1.74,2.14,3.49,2.09,14.65,20.21,19.16,4.25,172.84,-0.35,-0.15,90.62
360 ONE,542772,360ONE,Finance & Investments,1056.30,17.25,21.97,,80.43,85.77,,,4.25,,,0.00,0.00,865.34,13.73,11.58,11.46,11.46,,,9.29,57.85,,35921.00,177.18,47.33,49.95,68.46,4.65,6.02,27.09,29.31,29.31,29.31,10894.33,,,,-109.10,39.65,7.35,38329.62
3B Blackbio,532067,,Healthcare,1245.65,34.65,17.98,0.64,175.88,42.77,15.78,0.23,0.04,0.12,2.51,0.00,0.00,3.40,22.23,51.94,44.46,33.72,32.79,34.11,-8.68,54.75,48.43,12416.00,10.55,171.51,56.00,289.74,31.57,14.46,13.71,15.51,13.15,10.86,213.76,48.38,22.11,4.79,210.92,1.81,1.87,1069.10
3C IT Solutions,544190,,Computers - Software - Medium / Small,39.30,,24.86,,,,,,,,,0.00,,,21.52,21.52,21.52,21.52,,,,,,,0.00,88.36,58.42,,,2.73,132.14,132.14,132.14,132.14,,,,,122.43,,,23.66
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,35.69,-0.83,-5.90,60.38,4.66,2.42,-6.89,,14.37,7.14,7.03,0.00,0.00,0.00,-2.13,-1.02,3.43,3.16,,3.46,,-1.96,-2.44,300942.00,0.00,60.67,52.93,79.52,-1.23,-3.98,97.06,8.20,8.40,10.78,1204.41,622.41,597.74,443.80,40.42,0.93,-6.08,604.10
3M India,523395,3MINDIA,Diversified - Large,39413.25,14.60,18.07,1.13,1972.03,1841.77,717.01,3.58,4.12,3.97,3.90,0.00,0.00,368.53,24.51,19.82,23.27,25.03,16.55,15.92,5.46,13.97,14.92,28054.00,133.75,59.74,69.45,70.97,10.57,13.01,78.57,76.49,76.73,81.54,34287.19,27330.09,13030.96,3973.82,31.22,-0.18,0.57,44418.73
3P Land Hold.,516092,3PLAND,Finance & Investments,37.25,2.26,2.19,1.80,25.90,16.28,10.67,,,,4.65,0.00,0.00,0.00,2.93,2.73,3.38,4.54,1.63,2.07,42.05,62.14,6.99,6778.00,0.00,0.00,0.00,0.00,2.30,2.12,29.40,29.61,26.39,25.65,15.48,20.16,19.44,12.20,-7.26,0.00,0.00,67.05
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.57,-11.25,-3.65,3.49,5.09,4.86,4.57,1.91,0.00,-1.31,,,0.00,0.00,-1.65,-6.92,-5.49,-2.51,-4.37,-8.68,15.69,,,6022.00,0.00,-10503.89,,253.25,-7.53,-2.80,38.80,42.80,21.62,33.00,2.96,4.95,559.13,25.17,50749.48,0.00,0.00,5.48
5Paisa Capital,540776,5PAISA,Finance & Investments,486.00,8.41,9.33,0.61,62.22,54.27,,,,0.32,12.00,0.00,0.00,0.00,11.17,9.51,-1.15,-2.67,3.78,4.85,18.06,22.38,16.92,27914.00,0.00,0.04,0.00,11.73,1.45,2.22,32.28,53.72,53.72,53.72,637.13,369.29,,,-955.27,-2.35,0.25,1516.79
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,403.40,0.36,1.32,4.61,670.78,679.62,635.50,,1836.00,78.33,0.18,0.00,0.00,7.38,2.25,0.98,1.04,-0.16,-0.90,0.16,52.14,-21.59,-48.54,42904.00,-17.46,60.85,91.60,98.04,0.10,0.84,11.99,16.20,21.28,12.29,319.55,373.70,347.43,1721.49,209.01,-0.78,-0.03,1858.81
7NR Retail Ltd,540615,,Trading,7.61,-0.62,-0.15,2.40,2.09,2.20,,0.54,1.88,3.13,1.48,0.00,0.00,0.00,2.10,0.63,1.11,1.13,-0.17,-0.21,,-1.11,-0.15,38631.00,0.00,319.37,19.84,3.04,-0.02,0.91,71.65,113.33,116.08,109.00,21.50,156.14,,,479.26,0.00,0.00,21.31
7Seas Enter.,540874,,Computers - Software - Medium / Small,70.00,,,0.71,-5.19,-6.80,,,,,,0.00,0.00,0.00,12.58,-100.56,-97.11,-72.71,,,,5.98,-32.56,2369.00,0.00,58.36,182.50,73.00,69.19,9.29,63.02,62.40,62.40,62.40,7.74,10.18,,,372.67,0.00,0.00,130.62
A B B,500002,ABB,Electric Equipment,7578.80,14.06,17.76,21.19,170.19,166.12,132.70,4.39,5.21,3.64,5.20,0.00,0.00,187.74,23.27,18.23,17.55,17.25,12.87,13.72,11.71,9.83,8.84,109435.00,24.42,92.41,106.28,92.03,6.60,8.86,103.81,84.92,89.91,101.35,25683.34,25058.87,19566.42,12996.67,-5.51,8.33,-1.42,160601.12
A B Infrabuild,,ABINFRA,Construction,63.25,15.88,19.34,0.28,18.78,20.34,,1.12,1.13,1.04,2.56,0.00,0.00,0.00,19.97,16.88,17.84,16.86,15.83,17.23,8.29,10.70,11.00,137.00,0.00,105.04,213.22,104.87,3.93,5.03,8.95,7.43,7.43,7.48,9.15,,,,178.27,0.00,0.00,314.63
A B M Internatl.,,ABMINTLLTD,Trading,60.05,-4.44,-15.23,0.20,19.50,10.88,,15.21,10.92,51.11,,0.00,0.00,0.00,-17.05,-0.09,-1.26,-0.25,,-4.73,,-0.61,-0.33,1352.00,0.00,13.80,15.13,23.87,-2.43,-9.38,30.40,27.87,34.35,18.82,68.27,17.46,71.27,,30.90,,,56.50
A F Enterprises,538351,,Trading,16.57,,1.32,,4.35,,,,,,,0.00,,,2.36,2.36,2.36,2.36,,,,,,4883.00,,2614.47,1036.99,,,0.03,31.73,31.73,31.73,31.73,44.68,4.22,6.10,,626.60,0.00,0.00,60.80
A G Universal,,AGUL,Trading,61.00,,20.30,,,,,71.50,,,,0.00,0.00,0.00,12.91,12.02,12.02,12.02,,,,3.41,,,0.00,50.65,31.62,,,3.02,20.83,20.83,20.83,20.83,,,,,39.89,,,33.45
A K Spintex,539300,,Textiles - Processing,200.10,15.95,20.95,0.50,42.51,41.60,,2.24,3.89,6.75,5.03,0.00,0.00,0.00,22.13,16.44,14.55,14.36,13.94,14.47,28.65,13.07,12.11,3018.00,0.00,63.76,110.79,90.31,7.02,9.95,9.59,9.65,8.69,8.72,13.33,15.70,30.12,,40.32,0.00,0.00,100.69
A R C Finance,540135,,Finance & Investments,1.12,0.51,0.57,50.50,1.01,1.01,,0.84,2.13,2.72,74.91,0.00,0.00,0.00,1.36,1.02,0.66,0.74,0.32,0.24,19.73,6.11,5.18,82068.00,0.00,50.74,4.36,33.11,0.39,0.41,89.00,76.00,76.00,77.75,19.19,5.05,66.16,,478.56,0.00,0.00,56.55
A-1 Acid,542012,,Trading,348.70,7.95,8.04,0.12,34.97,32.59,,82.39,102.14,136.62,,0.00,0.00,1.04,9.72,9.87,12.13,13.43,,9.24,-33.28,1.87,1.69,2106.00,77.31,50.52,91.19,69.56,5.38,5.25,80.68,60.39,60.39,64.68,99.85,60.00,,,51.88,2.90,0.00,401.01
A.K.Capital Serv,530499,,Finance & Investments,1033.75,10.60,10.89,0.66,1036.14,931.32,581.44,0.00,0.00,0.00,0.00,0.00,0.00,5.28,8.91,9.13,9.29,9.60,11.17,11.08,-4.17,63.01,61.81,2169.00,7.07,4.19,4.60,7.01,3.12,3.04,3.75,3.84,3.68,3.61,203.74,217.14,257.80,80.78,464.14,0.00,0.00,682.28
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,20.44,-33.02,-54.06,8.65,19.18,23.44,82.27,0.09,1.21,8.64,3.47,0.00,0.00,0.00,-11.33,-7.50,-5.04,-3.39,-29.84,-30.48,,-13.79,-3.35,44969.00,0.00,338.19,794.15,413.10,-5.53,-5.50,,13.20,13.20,13.20,66.04,292.36,629.08,77.52,97.17,0.33,0.01,359.99
AA Plus Trade,543319,,Trading,25.31,2.55,2.65,,,,,,,,,0.00,0.00,0.00,3.15,3.15,3.16,3.16,,,17.74,-3.28,,322.00,0.00,109.54,165.57,44.12,1.63,1.91,107.58,108.44,108.44,108.44,,,,,380.47,,,61.57
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,113.85,13.49,11.46,0.08,17.49,,,,,,,0.00,0.00,0.46,15.40,22.64,27.06,20.96,13.99,15.05,-19.52,22.07,16.46,1874.00,20.20,169.92,331.88,225.21,13.36,10.35,36.71,30.85,30.85,30.85,36.26,,,,232.43,0.00,0.00,146.03
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,427.15,15.76,16.88,,,,,,,,,0.00,0.00,0.00,10.50,10.24,10.24,10.24,,,,76.63,,,0.00,1.26,0.63,1.11,3.08,3.67,22.68,22.68,22.68,22.68,,,,,-58.67,,,18218.74
Aadi Industries,530027,,Plastics Products,5.80,,,1.00,-6.07,-5.96,-6.05,0.00,10.67,,,0.00,0.00,0.00,-52.89,-45.64,-45.64,-28.85,,,,,,4663.00,0.00,3163.33,,2246.15,-11.76,-42.74,,2.74,,,1.03,1.03,1.29,3.49,3771.67,0.00,0.00,5.80
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,13.92,11.60,11.25,3.00,4.10,3.69,,,,,,0.00,0.00,0.00,13.31,13.61,13.32,12.20,,11.80,-2.51,19.02,18.54,24153.00,0.00,86.22,91.23,130.40,7.18,7.29,23.12,20.98,20.98,22.03,131.69,12.16,,,45.93,0.00,0.00,140.94
Aananda Lakshmi,539096,,Construction,19.00,,,0.35,-82.45,-69.99,,18.29,13.29,0.95,6.32,0.00,0.00,0.00,74.92,37.64,22.09,12.34,,,,-12.81,-5.55,6810.00,0.00,726.08,153.99,513.39,-0.74,11.38,1.80,1.64,1.91,1.80,1.82,0.79,1.17,,-140.78,0.00,0.01,6.65
Aanchal Ispat,538812,,Steel - Medium / Small,5.53,-22.20,-33.35,2.09,24.20,26.85,18.80,6.61,6.94,9.90,6.99,0.00,0.00,0.00,-7.82,-5.18,-1.34,1.63,-8.96,-12.91,,-4.68,-0.07,4396.00,0.00,152.11,221.85,69.72,-7.67,-9.41,,15.93,13.87,12.79,12.51,19.25,19.35,,178.72,0.00,0.00,11.53
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,49.57,5.24,4.40,1.68,41.28,38.50,21.05,18.87,15.17,33.77,45.22,0.00,0.00,0.00,6.96,7.84,9.43,10.23,6.14,6.01,-14.08,1.61,1.68,17538.00,0.00,145.50,169.72,108.88,2.43,1.90,20.84,18.64,13.00,12.99,54.25,67.58,183.83,18.21,107.93,-0.02,0.00,125.83
Aarnav Fashions,539562,,Textiles - Products,48.70,3.62,2.97,0.30,110.05,13.88,,4.88,153.19,,1.25,2.32,0.00,0.99,6.15,10.30,9.08,7.14,3.60,3.63,-8.78,6.81,6.84,40084.00,7.55,124.06,270.80,323.42,3.61,1.15,16.14,27.99,27.99,27.97,133.54,4.51,,,160.65,0.00,0.00,205.70
Aaron Industries,,AARON,Engineering,277.15,22.91,25.57,,12.12,10.56,,2.78,2.71,2.95,,0.00,0.00,0.63,24.11,21.16,24.69,23.60,,22.98,6.68,16.27,,9503.00,18.93,20.22,25.30,38.27,11.66,13.79,42.68,34.83,34.83,37.78,57.45,22.81,,,86.91,0.00,0.00,290.27
Aartech Solonics,542580,AARTECH,Electric Equipment,219.06,3.08,5.23,,23.58,23.32,,2.30,2.05,,,0.00,0.00,0.28,8.25,5.11,4.88,4.88,,,23.65,5.23,,270.00,15.79,150.39,212.81,132.07,2.41,4.32,58.23,55.72,55.72,56.93,26.15,24.56,,,212.97,0.00,1.39,231.99
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,511.40,19.85,15.78,9.69,92.23,66.72,31.34,3.54,4.29,3.48,5.56,0.00,0.00,11.13,16.52,20.60,19.52,19.35,19.97,19.52,-6.99,14.44,14.87,162409.00,5.76,112.07,96.07,109.66,10.00,8.12,25.24,20.13,23.17,25.05,6470.88,1502.48,1373.57,317.79,126.45,0.38,5.35,4701.56
Aarti Industries,524208,AARTIIND,Chemicals,738.40,16.11,15.54,35.44,100.54,85.50,28.68,2.20,2.34,3.06,3.16,0.00,0.00,73.40,13.26,13.64,14.69,16.13,17.94,17.15,-18.81,20.70,20.32,397907.00,12.01,54.89,64.29,67.97,8.61,8.85,34.50,26.08,30.25,33.70,20837.46,12083.21,5552.26,961.84,99.02,-1.29,4.93,26768.27
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,647.75,,13.92,,,,,,,,,,,,17.36,17.36,17.36,17.36,,,,,,258239.00,7.30,100.45,,,,9.99,21.19,21.19,21.19,21.19,,,,,170.15,,,5870.30
Aarti Surfactant,543210,AARTISURF,Chemicals,637.20,8.85,8.43,,156.07,,,5.63,4.76,,,0.00,16.40,0.45,10.77,10.28,10.28,10.28,,,,8.29,,40848.00,0.00,39.20,42.65,42.20,3.48,3.31,50.67,64.42,64.42,64.42,779.36,,,,63.39,-1.51,-0.38,538.98
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,38.05,-35.76,-55.22,2.35,71.45,98.46,109.10,1.26,1.97,3.42,3.19,0.00,0.00,0.00,-8.72,-6.69,-2.59,0.21,-11.83,-20.03,,-3.35,5.79,9634.00,0.00,249.13,286.71,139.67,-8.07,-9.08,,22.21,25.65,37.17,41.05,54.54,174.42,82.81,355.95,0.00,-0.01,89.27
Aarvi Encon,,AARVI,Miscellaneous,140.77,12.34,12.79,0.03,57.54,51.62,,,,,,0.00,0.00,2.51,14.41,13.32,14.24,16.21,13.05,12.59,-3.94,4.10,4.83,8686.00,23.64,85.50,96.64,86.36,8.22,8.64,13.25,9.97,9.97,11.68,76.43,60.61,,,58.64,0.00,0.00,208.11
Aashka Hospitals,543346,,Healthcare,111.50,2.56,0.86,,,,,12.46,6.38,,,0.00,0.00,0.00,3.90,7.39,7.39,7.39,,,,21.60,,2435.00,0.00,93.66,65.66,45.64,2.27,0.78,20.23,20.23,20.23,20.23,,,,,90.12,,,260.91
AastamangalamFin,511764,,Finance & Investments,42.93,6.27,8.16,0.43,32.68,31.56,27.37,,,,,0.00,0.00,0.00,6.51,4.86,4.59,5.11,5.40,5.48,28.76,77.25,68.46,5764.00,0.00,99.62,0.00,0.00,2.69,3.29,11.32,15.47,16.29,13.68,5.28,25.60,11.36,3.61,37.95,0.00,0.00,38.25
Aatmaj Health,,AATMAJ,Healthcare,27.20,,38.03,,,,,24.74,,,,0.00,0.00,0.00,41.39,47.01,47.01,47.01,,,,32.57,,,0.00,259.83,13.43,,,21.41,13.66,13.66,13.66,13.66,,,,,210.95,,,61.47
AAVAS Financiers,541988,AAVAS,Finance - Housing,1673.40,13.57,13.93,3.29,305.89,267.86,,,,,,0.00,0.00,0.00,9.64,9.81,10.05,10.72,13.38,13.22,3.68,73.70,73.57,94788.00,0.00,1.24,0.00,0.00,3.52,3.46,35.95,48.67,48.67,44.73,19004.79,9027.71,,,29.63,3.75,16.28,13243.24
Aayush Art,540718,,Trading,146.40,-0.27,0.38,0.01,25.23,25.33,,0.61,0.66,5.38,,0.00,0.00,0.00,0.45,-0.18,-0.05,0.77,-0.03,-0.29,69.20,-3.29,-1.93,70.00,0.00,5.63,0.00,201.74,-0.62,-0.15,102.74,95.00,95.00,105.70,5.20,5.87,,,371.15,0.00,0.00,190.50
Aayush Wellness,539528,,Trading,293.70,-3.07,-12.58,0.32,20.99,19.66,,5.69,5.08,18.27,,0.00,0.00,0.00,-2.37,4.47,9.41,7.89,1.71,1.13,2.16,0.50,0.31,2288.00,0.00,44.13,58.13,64.86,0.13,-0.63,401.81,19.23,18.12,21.55,8.49,10.45,9.23,,197.29,0.00,0.00,95.31
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,220.00,13.35,13.58,,,,,4.02,4.14,5.34,,0.00,0.00,0.00,12.01,11.33,10.59,10.59,,12.30,15.74,8.64,,247.00,0.00,23.04,22.91,28.43,4.74,5.14,13.68,13.68,13.68,13.68,,,,,86.90,,,226.43
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,66.08,,,5.78,-2882.32,-2624.97,937.42,0.03,0.10,0.08,0.05,0.00,0.00,0.00,0.00,-174.22,-72.72,-33.69,,,,-278.67,-57.17,106224.00,0.00,227.46,183.71,478.92,-63.81,-63.36,,3.93,,,171.89,334.72,1314.09,2314.43,-6756.34,-0.01,-0.16,385.68
ABans Enterprise,512165,,Trading,132.00,,9.41,,137.56,39.20,,75.37,,,,0.00,0.00,0.06,10.93,13.22,13.22,13.22,,,,0.81,,1503.00,0.00,27.06,22.55,,,5.45,7.77,7.70,7.70,7.70,157.63,56.98,7.07,0.81,39.12,8.38,0.00,184.14
Abans Holdings,543712,AHL,Finance & Investments,571.75,8.83,9.21,,,,,45.00,54.12,,,0.00,0.00,0.00,9.19,9.50,9.50,9.50,,,,6.94,,17761.00,0.00,104.09,93.99,19.64,4.14,4.49,21.68,21.68,21.68,21.68,,,,,203.95,,,2867.09
Abate As Indust,531658,,Trading,27.44,,,0.50,1.34,1.28,10.55,,,,,,,0.00,-103.09,-60.96,-51.28,-39.24,,,,,,1091.00,0.00,-4380.00,,,-57.78,-97.71,569.00,71.88,75.50,91.56,1.50,1.24,0.90,0.47,9307.50,0.00,0.00,13.77
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,28227.70,30.47,32.20,2.12,1224.59,1144.37,441.21,3.86,4.11,3.53,3.55,1.96,0.00,652.38,41.84,39.19,39.13,38.53,28.47,29.38,7.76,22.11,19.40,69582.00,72.81,21.03,21.19,27.40,20.62,22.03,49.53,46.06,48.50,50.30,31838.46,15522.19,9865.20,3729.78,-6.89,-0.07,2.07,59983.86
ABC Gas (Int.),513119,,Trading,96.15,-22.13,-23.72,0.20,7.12,9.19,12.07,0.55,0.93,0.63,0.73,0.00,0.00,0.00,-20.80,-16.77,-11.68,-8.32,-12.27,-16.03,,-100.63,-29.32,6527.00,0.00,654.16,3241.55,1336.75,-9.72,-11.73,,26.06,30.60,33.00,1.88,2.38,2.49,1.04,26884.38,0.00,0.00,19.04
ABC India,520123,,Miscellaneous,108.70,7.62,6.21,0.54,63.56,63.39,91.08,65.31,104.18,94.85,100.84,0.00,0.00,0.22,8.37,10.69,8.69,4.75,-4.34,4.58,-23.25,3.74,2.30,4874.00,9.38,73.18,111.40,78.02,3.06,2.66,20.18,18.90,18.90,18.78,33.48,28.82,46.86,46.53,78.53,0.00,0.00,58.89
Abhinav Capital,532057,,Finance & Investments,193.85,11.77,14.65,0.69,45.95,42.04,23.51,,,,,0.00,0.00,0.00,18.21,13.07,13.83,14.80,12.02,11.83,6.58,86.66,89.18,1019.00,0.00,0.00,0.00,0.00,8.72,12.51,10.22,13.62,12.01,11.59,21.12,50.17,62.32,19.77,999.29,0.00,0.00,134.23
Abhinav Leasing,538952,,Finance & Investments,2.07,1.57,1.95,5.00,1.12,1.11,1.10,46.92,4.91,5.66,0.56,0.00,0.00,0.00,24.44,17.14,13.92,11.05,0.90,1.17,59.27,2.96,3.42,5779.00,0.00,11.97,0.15,2.90,0.34,0.25,99.50,97.50,97.50,97.50,3.85,8.00,94.21,,-151.25,0.00,0.00,10.35
Abhishek Finle.,538935,,Finance & Investments,33.00,2.11,3.19,0.43,9.36,9.10,8.84,0.43,0.45,4.57,0.14,0.00,0.00,0.00,4.56,2.93,2.64,2.32,1.72,1.88,36.85,17.83,12.75,946.00,0.00,27.63,37.76,37.92,1.86,2.88,103.50,91.43,98.57,101.52,5.46,3.28,2.32,,196.37,0.00,0.00,14.07
Abhishek Infra.,539544,,Construction,6.74,,-5.04,,8.62,,,,,,,,,,-6.59,-6.59,-6.59,-6.59,,,,,,2572.00,,1228.94,1.44,,,-2.19,29.55,29.55,29.55,29.55,1.48,1.04,5.23,,1148.97,0.00,0.00,3.40
Abhishek Integr.,,AILIMITED,Construction,92.90,,8.85,,,,,,,,,0.00,,0.00,12.65,12.65,12.65,12.65,,,,6.41,,226.00,0.00,35.10,215.89,0.00,,5.79,26.74,27.01,27.01,27.01,,,,,133.52,0.00,0.00,55.94
Abirami Fin.,511756,,Finance & Investments,58.06,26.37,35.76,0.60,13.22,13.42,14.35,,,,,,,0.51,42.10,25.49,18.64,14.07,16.50,21.04,93.23,,,1349.00,33.77,0.00,,,17.91,29.69,18.16,23.76,24.41,23.18,2.22,5.20,3.41,3.90,0.00,0.00,0.00,31.35
ABM Knowledge,531161,,Computers - Software - Medium / Small,159.80,8.12,6.94,2.00,93.63,83.72,43.20,,,,,0.00,0.00,2.56,9.16,10.86,11.88,17.04,10.50,8.64,-7.92,22.98,27.44,4878.00,18.11,183.75,108.57,128.32,7.14,6.01,14.57,12.42,12.31,12.93,224.42,123.81,302.23,47.46,226.33,-0.23,0.00,319.64
ABS Marine,,ABSMARINE,Shipping,317.05,,12.22,,,,,,,,,0.00,,,11.24,11.24,11.24,11.24,,,,,,,0.00,76.76,63.68,,,6.76,,,,,,,,,42.15,,,778.36
ACC,500410,ACC,Cement - North India,2435.30,11.94,11.62,18.77,676.25,614.73,437.70,4.98,4.15,3.56,3.71,0.00,0.00,386.32,15.28,16.16,16.06,15.06,11.68,12.14,-1.53,14.53,14.17,177178.00,28.07,13.29,11.95,21.39,8.19,8.00,29.30,26.89,25.04,22.94,30377.41,28320.20,24995.43,20816.27,-4.48,-8.03,5.50,45731.83
Accedere,531533,,Computers - Software - Medium / Small,87.03,-0.63,-0.97,,8.30,8.28,,0.25,,,,0.00,0.00,0.00,-1.67,-1.14,-1.14,-1.14,,,,2.71,,2413.00,0.00,217.02,1338.33,691.83,-1.00,-1.59,187.88,120.97,120.97,123.25,5.49,1.71,2.28,9.02,341.10,0.00,0.00,43.78
Accel,517494,,Computers - Software - Medium / Small,23.15,0.51,5.47,,13.94,10.50,,12.28,97.73,7.28,,0.00,0.00,1.03,9.00,3.83,0.12,0.12,,-1.63,22.22,9.06,,12977.00,46.58,85.38,103.97,63.27,-0.76,2.12,35.94,35.94,35.94,35.94,89.62,52.22,5.56,4.82,28.32,0.00,-0.01,133.28
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,335.00,,,,,,,,,,,,,,70.92,70.92,70.92,70.92,,,,,,,,78.28,,,,,90.79,90.79,90.79,90.79,,,,,47.89,,,71.98
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1807.30,34.98,39.16,1.49,159.83,163.98,77.10,,,,,0.00,0.00,68.38,50.31,44.75,55.26,69.74,44.18,39.09,-5.67,36.58,37.72,27188.00,87.24,60.68,80.45,66.40,24.59,28.08,21.51,20.75,20.28,20.73,1738.62,1287.69,1982.21,1015.66,62.43,-0.23,0.40,2698.30
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.60,,44.98,,,,,4.95,,,,62.99,62.99,0.83,35.39,30.81,30.81,30.81,,,,10.38,,,10.82,38.62,59.36,,,15.50,26.47,26.47,26.47,26.47,,,,,56.01,,,598.88
Accord Synergy,,ACCORD,Telecommunications - Service Provider,25.00,-3.41,-12.12,0.00,57.75,54.58,,0.21,0.40,-1.99,,0.00,0.00,0.00,-8.76,-0.98,6.06,14.78,,2.50,-34.01,1.06,5.83,188.00,0.00,119.14,106.15,106.29,-3.21,-7.95,87.07,4.06,4.18,7.03,6.25,8.68,,,121.86,0.00,0.00,8.68
Accuracy Shippi.,,ACCURACY,Miscellaneous,12.24,8.65,8.64,,5.45,4.88,,37.29,5.09,,,0.00,0.00,15.06,11.70,11.20,11.20,11.20,,,,5.28,,11975.00,138.67,54.49,102.60,90.78,3.44,3.37,20.34,17.13,17.13,17.13,75.45,118.97,,,69.05,0.00,-12.30,184.29
ACE EduTremd Ltd,530093,,Miscellaneous,3.22,-3.53,-2.94,0.92,10.44,10.80,14.26,,,,,0.00,0.00,0.00,-2.32,-2.78,-3.30,-4.13,-4.35,-4.44,10.14,,,3631.00,0.00,0.00,16637.92,3457.55,-2.40,-2.02,,4.71,,,1.21,1.82,1.91,30.14,0.00,0.00,0.00,2.95
Ace Integrated,,ACEINTEG,Computers - Software - Medium / Small,36.81,3.47,3.51,,16.58,16.44,,,,,,0.00,0.00,0.00,4.68,4.80,6.37,12.90,6.88,4.41,-1.07,10.05,12.82,848.00,0.00,247.04,366.65,294.17,2.91,3.02,48.35,34.12,34.46,47.43,9.82,24.31,,,434.09,0.00,0.00,37.55
Ace Men,539661,,Trading,56.00,4.89,5.87,0.31,10.42,9.62,,,,2.00,,0.00,,0.00,7.88,6.52,4.28,4.15,2.63,3.35,,7.21,4.81,1655.00,0.00,0.00,0.00,,3.42,3.80,23.48,41.13,36.14,36.14,10.84,6.34,5.34,,-217.70,0.00,0.00,17.35
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,339.00,1.57,6.65,0.47,42.01,41.30,38.40,0.22,0.02,0.22,-0.60,0.00,0.00,0.00,5.79,0.08,0.34,1.59,2.05,1.27,50.28,-5.68,-2.28,3609.00,0.00,6.81,0.41,4.56,-0.72,4.38,32.29,11.44,11.96,32.29,5.85,11.30,8.99,3.49,161.30,0.00,0.00,216.96
Achyut Healthcar,543499,,Trading,55.20,2.74,2.71,,,,,4.60,,,,0.00,100.00,0.00,3.29,4.79,4.79,4.79,,,,-1.93,,158.00,0.00,23.53,378.52,54.48,2.56,2.10,210.53,210.53,210.53,210.53,,,,,804.63,,,92.88
ACI Infocom,517356,,Computers - Software - Medium / Small,2.34,0.46,0.46,11.05,1.51,1.49,1.46,0.00,0.89,1.03,0.19,0.00,0.00,0.00,0.73,0.72,0.91,1.03,0.53,0.47,54.55,-42.60,-10.22,45315.00,0.00,17.38,365.00,307.37,0.44,0.45,82.00,111.50,80.50,73.00,3.20,3.31,76.46,65.52,7782.18,0.00,0.00,25.85
Acknit Indus.,530043,,Textiles - Products,317.45,11.85,12.56,0.25,178.36,160.23,107.54,2.20,1.97,2.51,3.27,0.00,0.00,0.46,11.88,11.56,11.37,11.26,11.21,11.34,1.04,7.54,6.57,2165.00,5.38,50.48,51.07,64.84,5.29,5.98,5.63,6.28,5.79,5.32,27.79,27.51,24.92,8.54,139.89,-0.44,0.00,96.50
