Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Average return on equity 3Years,Number of equity shares 10years back,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
Cistro Telelink,531775,,Trading,0.67,-0.93,-0.24,5.13,0.86,0.88,0.95,,,,,0.00,,0.00,-0.19,-0.85,-1.09,-1.07,-1.12,-1.16,17.64,,,8690.00,0.00,61.67,0.00,,-0.79,-0.17,,,,,1.69,1.08,1.03,0.36,-447.12,0.00,0.00,3.44
Citadel Realty,502445,,Construction,38.60,7.22,8.17,0.71,11.97,11.37,1.65,0.00,0.00,0.17,-0.79,0.00,0.00,0.00,9.77,9.26,9.67,12.79,12.95,7.39,12.53,89.60,71.79,3667.00,0.00,0.00,0.00,0.00,2.48,2.75,23.73,20.95,21.65,21.98,7.10,13.54,13.80,3.66,3742.65,0.00,0.00,30.46
CitiPort Fin.,531235,,Finance & Investments,16.76,0.66,0.76,0.31,9.77,9.74,10.58,,,,,0.00,0.00,0.00,4.14,2.68,2.68,2.05,0.23,0.42,,23.21,16.54,876.00,0.00,0.00,0.00,0.00,0.47,0.53,171.35,171.35,171.35,171.35,5.92,3.91,1.85,2.31,3087.05,0.00,0.00,5.20
Citizen Infoline,538786,,Trading,38.00,-2.40,-2.82,0.54,8.62,8.82,11.21,,,,10.00,0.00,0.00,0.00,-2.81,-2.36,-1.41,-0.94,-1.10,-1.61,-12.13,-25.67,-7.78,6686.00,0.00,0.00,0.00,1.50,-2.35,-2.77,221.73,134.50,196.36,221.73,2.31,2.10,2.38,,12.10,0.00,0.00,20.51
City Crops Agro,544000,,Trading,24.05,,10.41,,,,,,,,,0.00,0.00,0.00,11.41,48.56,48.56,48.56,,,,4.93,,,0.00,143.31,222.77,0.00,,8.14,22.36,22.36,22.36,22.36,,,,,142.17,,,39.24
City Online Ser.,538674,,Telecommunications - Service Provider,6.41,,,0.52,0.21,3.19,7.16,0.54,0.28,0.21,0.23,0.00,0.00,0.00,-1.29,-14.86,-11.81,-9.86,,,,-10.21,-3.64,1272.00,0.00,68.35,98.18,129.72,-7.59,-3.73,13.15,9.74,12.42,13.15,1.01,2.23,2.19,,-126.17,0.00,0.00,3.31
City Pulse Multi,542727,,Entertainment / Electronic Media Software,447.00,-6.94,-6.51,0.03,16.79,19.47,,,,,,0.00,0.00,0.00,-4.60,-4.26,0.66,-1.03,,,-44.97,12.27,,221.00,0.00,1272.71,17812.00,183.09,-3.50,-3.46,622.67,5.27,5.27,5.22,4.95,,,,704.68,0.00,0.00,148.32
City Union Bank,532210,CUB,Banks - Private Sector,166.92,11.89,12.82,72.18,79.08,71.83,37.34,,,,,0.00,0.00,66.58,6.09,6.20,6.57,7.24,13.12,12.58,-3.27,62.87,66.38,184778.00,9.52,0.00,0.00,0.00,1.28,1.42,12.57,17.06,19.71,15.78,11521.93,15046.25,9112.34,2922.32,18.81,9.29,-9.10,12363.30
CL Educate,540403,CLEDUCATE,Miscellaneous,88.70,1.60,6.00,4.66,43.64,50.07,,0.10,-0.07,1.09,1.23,0.00,0.00,0.00,6.94,3.33,4.14,6.42,3.80,2.25,-1.63,4.04,6.55,22740.00,0.00,82.95,105.07,139.78,1.44,4.46,22.38,21.20,19.33,15.35,129.50,172.01,597.30,,122.42,-0.62,-1.78,479.85
Clara Industries,543435,,Packaging,37.61,,,,,,,,,,,,,,51.12,51.12,51.12,51.12,,,,,,161.00,0.00,234.08,,,,,22.28,22.28,22.28,22.28,,,,,411.92,,,77.75
Class. Gl. Fin.,538433,,Finance & Investments,1.05,0.44,0.22,3.52,1.61,1.60,,,,,,0.00,0.00,0.00,0.47,0.57,0.77,0.89,0.61,0.55,-6.53,13.56,7.04,4114.00,,286.97,519.85,280.54,0.29,0.15,51.00,62.00,47.00,37.00,0.73,7.71,35.12,,4767.93,0.00,0.00,3.86
Classic Filament,540310,,Trading,33.82,-1.49,-1.68,,9.96,10.11,,,,,,0.00,0.00,0.00,-1.64,-1.46,-1.32,-1.53,-1.58,-1.33,-26.67,,,840.00,0.00,0.00,2087.34,275.25,-1.17,-1.32,,,,,2.04,9.87,,,0.00,0.00,0.00,20.68
Classic Leasing,540481,,Finance & Investments,20.59,,,0.30,9.77,9.77,,0.06,0.00,0.00,0.00,0.00,0.00,0.00,5.27,4.07,2.99,2.41,,,,-46.84,-20.61,617.00,0.00,45.62,365.00,0.00,1.51,2.90,37.75,198.86,198.86,198.86,5.04,0.91,,,3119.07,0.00,0.00,6.18
Clean Science,543318,CLEAN,Chemicals,1649.80,32.55,28.97,,,,,3.65,4.63,,,0.00,0.00,81.92,40.23,48.05,49.90,49.90,,,-12.30,44.26,,266971.00,18.29,71.45,52.87,55.47,29.95,25.48,62.98,63.14,63.14,63.14,,,,,128.08,6.05,3.78,17531.00
