Name,BSE Code,NSE Code,Industry,Current Price,Sales,OPM,Profit after tax,Return on capital employed,EPS,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year,Dividend last year,Material cost last year,Employee cost last year,OPM last year,NPM last year,Operating profit,Interest,Depreciation,EPS last year,EBIT,Net profit,Current Tax,Tax,Other income,Last annual result date,Sales preceding year,Operating profit preceding year,Other income preceding year,EBIDT preceding year,Depreciation preceding year,EBIT preceding year,Interest preceding year,Profit before tax preceding year,Tax preceding year,Profit after tax preceding year,Extraordinary items preceding year,Net Profit preceding year,Dividend preceding year,OPM preceding year,NPM preceding year,EPS preceding year,Sales preceding 12months,Net profit preceding 12months,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,287.75,817.48,13.30,60.12,21.70,16.72,0.00,777.49,105.65,2.14,109.59,14.35,95.24,16.46,76.98,20.82,57.38,-1.80,56.16,4.41,53.49,63.75,13.59,7.39,108.76,16.48,14.86,15.89,99.42,59.12,21.16,22.24,3.96,202403.00,701.69,85.79,2.97,88.76,13.80,74.96,17.76,57.20,15.24,41.82,0.00,41.96,2.65,12.23,5.98,11.85,777.49,56.14,1015.37
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,86.30,146.13,42.95,59.40,78.43,56.57,0.05,38.59,32.98,0.00,32.98,0.05,32.93,0.00,32.93,0.76,32.17,0.00,32.17,2.62,8.37,1.55,85.46,83.36,62.77,0.00,0.05,30.64,62.80,59.40,3.17,3.41,0.08,202403.00,-9.07,-17.99,0.12,-17.87,0.06,-17.93,0.00,-17.93,0.13,-18.06,0.00,-18.06,0.00,-198.35,5.63,-17.20,38.56,32.18,90.62
360 ONE,542772,360ONE,Finance & Investments,1056.30,2831.50,55.18,926.34,14.47,24.04,-1.97,2920.91,1704.85,3.82,1708.63,56.64,1651.99,643.49,1008.54,204.33,804.18,0.04,804.21,592.18,5.14,689.82,58.37,27.53,1562.46,733.93,60.53,22.41,1950.88,864.37,217.24,264.95,361.32,202403.00,2056.65,1290.91,4.89,1295.79,46.31,1249.48,399.20,850.29,192.40,657.88,0.01,657.89,2457.09,62.77,31.99,18.48,2555.16,804.21,38329.62
3B Blackbio,532067,,Healthcare,1245.65,74.12,44.50,32.10,20.95,38.13,0.00,74.12,32.98,12.53,45.51,1.06,44.45,0.12,44.33,12.23,32.10,0.00,32.10,0.00,29.47,6.50,44.50,43.31,32.98,0.12,1.06,38.13,44.45,32.10,10.84,12.23,12.53,202403.00,61.84,29.14,7.23,36.37,0.86,35.51,0.20,35.31,9.37,25.94,0.00,25.94,1.87,47.12,41.95,34.55,69.24,28.49,1069.10
3C IT Solutions,544190,,Computers - Software - Medium / Small,39.30,29.84,7.44,0.12,9.60,0.28,,29.84,2.22,0.38,2.60,0.92,1.68,1.44,0.24,0.11,0.12,0.00,0.12,0.00,83.51,1.60,7.44,0.40,2.22,1.44,0.92,0.28,1.68,0.12,0.21,0.11,0.38,202403.00,61.93,3.20,1.00,4.20,0.29,3.91,2.32,1.59,0.45,1.14,0.00,1.14,0.00,5.17,1.84,31.67,,,23.66
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,35.69,813.88,-1.65,-73.56,-6.65,-17.63,0.00,813.88,-13.40,-233.32,-10.08,27.15,-37.23,10.09,-283.96,14.31,-73.56,-236.64,-298.27,0.00,0.00,576.89,-1.65,-9.04,-13.40,10.09,27.15,-17.63,-37.23,-298.27,14.31,14.31,-233.32,202403.00,729.11,-36.88,73.35,43.06,22.80,20.26,9.29,4.38,3.01,3.01,-6.59,1.37,0.00,-5.06,0.41,0.08,807.30,-226.46,604.10
3M India,523395,3MINDIA,Diversified - Large,39413.25,3926.76,17.98,535.73,33.04,476.05,0.00,3926.76,705.87,67.47,772.62,51.83,720.79,3.20,718.31,182.04,535.73,0.72,536.27,772.00,60.05,359.43,17.98,13.64,705.87,3.20,51.83,476.05,720.79,536.27,181.81,182.04,67.47,202403.00,3733.44,559.79,64.22,623.66,56.12,567.54,7.10,560.79,144.66,415.88,0.35,416.14,1070.65,14.99,11.14,369.41,3880.51,498.31,44418.73
3P Land Hold.,516092,3PLAND,Finance & Investments,37.25,3.98,66.58,1.93,2.94,1.07,0.00,3.56,2.51,0.00,2.51,0.09,2.42,0.00,2.42,0.61,1.81,0.00,1.81,0.00,0.00,0.74,70.51,50.84,2.65,0.00,0.07,1.01,2.58,1.93,0.66,0.65,0.00,202403.00,2.52,2.14,0.00,2.14,0.10,2.04,0.00,2.04,0.51,1.54,0.00,1.54,0.00,84.92,61.11,0.86,3.56,1.81,67.05
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.57,0.28,60.71,0.17,0.87,0.05,0.00,0.28,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.00,0.02,60.71,60.71,0.17,0.00,0.00,0.05,0.17,0.17,0.00,0.00,0.00,202403.00,0.00,-0.11,-0.05,-0.11,0.00,-0.11,0.00,-0.16,0.00,-0.11,-0.05,-0.16,0.00,,,-0.05,0.28,0.12,5.48
5Paisa Capital,540776,5PAISA,Finance & Investments,486.00,412.24,28.72,57.34,12.85,18.47,-0.02,394.53,106.68,0.03,106.71,9.47,97.24,28.57,68.67,16.82,51.85,0.00,51.85,0.00,0.00,89.50,27.04,13.14,118.39,31.88,10.53,16.62,107.89,57.34,21.05,18.68,0.03,202403.00,338.15,86.59,0.00,86.59,8.04,78.55,20.79,57.76,14.46,43.30,0.00,43.30,0.00,25.61,12.80,14.13,394.53,51.85,1516.79
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,403.40,472.11,20.59,209.76,6.70,48.29,0.00,472.11,97.19,147.97,245.16,30.29,214.87,0.97,213.90,1.55,209.76,0.00,209.76,9.22,0.64,191.57,20.59,44.43,97.19,0.97,30.29,48.29,214.87,209.76,1.55,1.55,147.97,202403.00,290.07,-26.77,70.34,84.92,23.39,61.53,0.63,19.55,41.36,-44.56,-41.35,-26.64,9.22,-9.23,-25.09,-3.54,546.17,179.83,1858.81
7NR Retail Ltd,540615,,Trading,7.61,11.62,-11.62,-1.11,-3.12,-0.40,0.00,11.62,-1.35,0.59,-0.76,0.27,-1.03,0.13,-1.16,-0.05,-1.11,0.00,-1.11,0.00,106.88,0.08,-11.62,-9.55,-1.35,0.13,0.27,-0.40,-1.03,-1.11,0.00,-0.05,0.59,202403.00,47.68,-0.06,0.66,0.60,0.21,0.39,0.05,0.34,0.11,0.24,0.00,0.24,0.00,-0.13,0.50,0.09,21.00,-1.09,21.31
7Seas Enter.,540874,,Computers - Software - Medium / Small,70.00,11.79,13.91,0.96,18.36,0.51,-6.14,11.79,1.64,0.00,1.64,0.39,1.25,0.22,1.03,0.07,0.96,0.00,0.96,0.00,0.00,7.17,13.91,8.14,1.64,0.22,0.39,0.51,1.25,0.96,0.00,0.07,0.00,202403.00,5.52,0.57,0.04,0.61,0.08,0.53,0.00,0.53,0.10,0.43,0.00,0.43,0.00,10.33,7.79,0.28,9.70,0.83,130.62
A B B,500002,ABB,Electric Equipment,7578.80,11115.67,15.92,1462.61,30.69,68.73,0.00,10446.52,1501.06,288.59,1802.75,119.92,1682.83,16.97,1652.76,410.71,1247.24,-13.10,1242.05,504.32,60.58,716.24,14.37,11.94,1769.65,14.24,123.86,58.61,1962.37,1456.45,501.00,485.52,310.42,202312.00,8567.53,967.71,505.80,1147.18,104.70,1042.48,15.40,1353.41,337.18,764.16,326.33,1016.23,116.54,11.30,8.92,47.96,10446.52,1242.05,160601.12
A B Infrabuild,,ABINFRA,Construction,63.25,183.81,13.06,11.71,31.33,2.30,0.00,183.81,24.00,0.29,24.68,3.49,21.19,5.21,15.59,4.17,11.71,-0.39,11.42,0.00,79.02,3.39,13.06,6.37,24.00,5.21,3.49,2.30,21.19,11.42,4.14,4.17,0.29,202403.00,123.09,12.69,2.77,13.39,0.74,12.65,4.45,10.27,2.73,6.00,2.07,7.54,0.00,10.31,4.87,5.27,,,314.63
A B M Internatl.,,ABMINTLLTD,Trading,60.05,93.64,-4.77,-3.42,-18.65,-3.64,0.00,93.64,-4.47,0.49,-3.98,0.04,-4.02,0.56,-4.58,-1.16,-3.42,0.00,-3.42,0.00,103.59,0.68,-4.77,-3.65,-4.47,0.56,0.04,-3.64,-4.02,-3.42,0.00,-1.16,0.49,202403.00,85.37,-9.64,1.05,-9.17,0.05,-9.22,0.13,-8.77,-2.09,-7.28,0.58,-6.70,0.00,-11.29,-8.53,-7.12,101.07,0.21,56.50
A F Enterprises,538351,,Trading,16.57,8.50,-9.29,0.00,-1.67,0.00,0.00,8.50,-0.79,2.35,0.56,1.11,-0.55,0.18,0.27,0.27,0.00,1.00,-0.01,0.00,51.65,0.32,-9.29,-8.71,-0.79,0.18,1.11,0.00,-0.55,-0.01,0.22,0.27,2.35,202403.00,24.29,-4.35,6.74,1.08,1.25,-0.17,0.26,0.88,0.54,-0.29,1.31,0.34,0.00,-17.91,-1.19,0.10,23.50,-2.27,60.80
A G Universal,,AGUL,Trading,61.00,78.37,6.14,1.92,17.40,3.50,0.00,78.37,4.81,0.58,5.39,1.31,4.08,1.52,2.56,0.64,1.92,0.00,1.92,0.00,90.86,1.00,6.14,2.45,4.81,1.52,1.31,3.50,4.08,1.92,0.71,0.64,0.58,202403.00,59.33,1.24,1.58,1.62,0.32,1.30,1.03,1.47,0.31,0.20,1.20,1.16,0.00,2.09,0.34,2.88,,,33.45
A K Spintex,539300,,Textiles - Processing,200.10,111.18,15.51,7.01,28.05,13.93,0.00,117.24,18.97,0.04,19.01,6.87,12.14,0.76,11.38,2.94,8.45,0.00,8.45,0.00,21.18,14.87,16.18,7.21,17.24,0.71,7.67,16.79,9.57,7.01,2.38,1.86,0.00,202403.00,116.43,16.29,0.12,16.41,6.14,10.27,0.84,9.43,2.10,7.32,0.00,7.32,0.00,13.99,6.29,14.55,117.24,8.75,100.69
A R C Finance,540135,,Finance & Investments,1.12,9.24,7.14,0.27,0.69,0.01,0.00,9.24,0.66,0.00,0.66,0.20,0.46,0.09,0.37,0.10,0.27,0.00,0.27,0.00,85.28,0.20,7.14,2.92,0.66,0.09,0.20,0.01,0.46,0.27,0.10,0.10,0.00,202403.00,6.92,1.83,0.00,1.83,0.07,1.76,1.32,0.44,0.11,0.33,0.00,0.33,0.00,26.45,4.77,0.01,5.97,-0.23,56.55
A-1 Acid,542012,,Trading,348.70,206.14,-0.15,1.10,4.08,0.96,0.00,206.14,-0.30,6.36,6.06,3.59,2.47,0.76,1.71,0.61,1.10,0.00,1.10,1.72,87.89,3.39,-0.15,0.53,-0.30,0.76,3.59,0.96,2.47,1.10,0.67,0.61,6.36,202403.00,330.60,4.30,6.29,10.61,4.00,6.61,1.83,4.76,1.15,3.62,-0.02,3.61,1.72,1.30,1.09,3.14,217.34,1.42,401.01
A.K.Capital Serv,530499,,Finance & Investments,1033.75,518.54,62.97,91.71,9.46,138.95,0.00,518.54,326.51,0.51,327.02,8.46,318.56,195.80,122.76,30.25,91.71,0.00,92.52,5.28,0.00,97.14,62.97,17.84,326.51,195.80,8.46,138.95,318.56,92.52,28.12,30.25,0.51,202403.00,406.51,256.09,0.30,256.39,7.89,248.50,130.56,117.94,29.52,87.63,0.00,88.41,7.92,63.00,21.75,132.77,488.74,87.08,682.28
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,20.44,388.49,-22.80,-46.39,-19.96,-0.32,0.00,388.49,-88.58,95.40,-50.81,5.18,-55.99,6.23,-4.59,2.77,-46.39,57.63,-7.36,0.00,44.80,169.08,-22.80,-15.45,-88.58,6.23,5.18,-0.32,-55.99,-7.36,4.98,2.77,95.40,202403.00,349.44,1.45,-85.51,38.03,8.83,29.20,13.29,-106.18,19.87,15.51,-122.09,-126.05,0.00,0.41,4.55,-6.98,381.22,-70.59,359.99
AA Plus Trade,543319,,Trading,25.31,19.95,-0.95,0.53,4.90,0.21,0.00,19.95,-0.19,0.92,0.76,0.03,0.73,0.00,0.70,0.19,0.53,-0.03,0.51,0.00,96.69,0.43,-0.95,2.66,-0.19,0.00,0.03,0.21,0.73,0.51,0.20,0.19,0.92,202403.00,16.32,-0.53,0.85,0.32,0.00,0.32,0.00,0.32,0.11,0.21,0.00,0.21,0.00,-3.25,1.29,0.09,,,61.57
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,113.85,23.79,17.95,3.21,16.12,2.50,0.00,23.79,4.27,0.89,5.16,0.86,4.30,0.00,4.30,1.08,3.21,0.00,3.21,0.64,0.00,6.87,17.95,13.49,4.27,0.00,0.86,2.50,4.30,3.21,1.14,1.08,0.89,202403.00,19.28,3.55,0.51,4.06,0.21,3.85,0.01,3.84,0.97,2.87,0.00,2.87,0.64,18.41,14.89,2.24,26.39,3.91,146.03
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,427.15,2586.81,76.04,749.64,11.36,18.99,,2586.81,1967.09,0.17,1967.26,20.98,1946.28,986.69,959.59,209.95,749.64,0.00,749.64,0.00,0.00,403.48,76.04,28.98,1967.09,986.69,20.98,18.99,1946.28,749.64,217.51,209.95,0.17,202403.00,2043.23,1536.21,-24.71,1536.42,16.49,1519.93,799.19,695.82,151.06,564.05,-24.92,544.76,0.00,75.19,27.61,13.80,,,18218.74
Aadi Industries,530027,,Plastics Products,5.80,0.00,,-0.09,-40.82,-0.09,0.00,0.00,-0.21,0.12,-0.09,0.01,-0.10,0.00,-0.10,0.00,-0.09,0.00,-0.09,0.00,,0.08,,,-0.21,0.00,0.01,-0.09,-0.10,-0.09,0.00,0.00,0.12,202403.00,0.00,-0.23,0.06,-0.17,0.01,-0.18,0.00,-0.18,0.00,-0.18,0.00,-0.18,0.00,,-1166.67,-0.18,0.00,-0.20,5.80
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,13.92,92.23,18.56,6.21,13.27,0.61,0.00,92.23,17.12,0.59,17.71,7.55,10.16,1.78,8.38,2.17,6.21,0.00,6.21,0.00,11.51,29.16,18.56,6.73,17.12,1.78,7.55,0.61,10.16,6.21,1.76,2.17,0.59,202403.00,92.58,13.42,1.41,14.91,7.02,7.89,1.68,6.13,1.60,4.60,-0.08,4.54,0.00,14.50,4.97,0.45,81.05,3.77,140.94
Aananda Lakshmi,539096,,Construction,19.00,2.10,86.19,5.94,207.33,11.66,0.00,2.10,1.81,2.27,5.94,0.00,5.94,0.00,4.08,0.00,5.94,-1.86,4.08,0.00,4.76,0.10,86.19,282.86,1.81,0.00,0.00,11.66,5.94,4.08,0.00,0.00,2.27,202403.00,0.21,-1.11,7.51,0.57,0.08,0.49,1.30,5.02,0.00,-0.82,5.83,5.01,0.00,-528.57,-390.48,14.32,2.03,11.18,6.65
Aanchal Ispat,538812,,Steel - Medium / Small,5.53,109.35,-3.15,-6.25,-3.93,-3.00,-0.24,109.35,-3.44,0.04,-3.40,0.63,-4.03,3.51,-7.54,-1.29,-6.25,0.00,-6.25,0.00,90.98,2.47,-3.15,-5.72,-3.44,3.51,0.63,-3.00,-4.03,-6.25,0.00,-1.29,0.04,202403.00,194.06,-22.83,0.68,-22.35,0.64,-22.99,7.68,-30.47,-7.02,-23.66,0.20,-23.46,0.00,-11.76,-12.19,-11.25,117.75,-24.04,11.53
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,49.57,395.62,1.13,4.68,4.44,1.84,0.00,395.62,4.46,6.96,11.42,4.38,7.04,1.70,5.34,0.66,4.68,0.00,4.68,0.00,96.53,0.72,1.13,1.18,4.46,1.70,4.38,1.84,7.04,4.68,1.33,0.66,6.96,202403.00,418.90,7.72,2.73,10.45,1.57,8.88,2.87,6.01,2.24,3.77,0.00,3.77,0.00,1.84,0.90,1.49,348.15,4.22,125.83
Aarnav Fashions,539562,,Textiles - Products,48.70,366.18,7.89,7.16,6.71,1.70,-4.72,356.49,27.17,0.27,27.44,7.70,19.74,12.15,7.59,1.98,5.62,0.00,5.62,0.00,67.46,8.67,7.62,1.58,28.89,11.79,7.71,1.33,21.45,7.16,3.27,2.49,0.27,202403.00,396.78,19.77,0.24,20.09,7.63,12.46,11.44,0.94,0.56,0.44,-0.08,0.38,0.00,4.98,0.11,0.09,356.49,5.61,205.70
Aaron Industries,,AARON,Engineering,277.15,63.23,17.59,6.33,19.83,6.04,0.00,63.23,11.12,0.14,11.26,1.42,9.84,1.34,8.50,2.17,6.33,0.00,6.33,1.05,66.31,5.32,17.59,10.01,11.12,1.34,1.42,6.04,9.84,6.33,1.81,2.17,0.14,202403.00,55.85,9.54,0.06,9.60,1.15,8.45,1.01,7.44,2.03,5.40,0.00,5.40,1.00,17.08,9.67,5.38,60.20,5.67,290.27
Aartech Solonics,542580,AARTECH,Electric Equipment,219.06,32.74,1.44,1.30,9.37,1.23,0.00,32.74,0.47,3.15,3.62,0.57,3.05,0.47,2.58,1.27,1.30,0.00,1.32,0.00,65.49,4.43,1.44,4.03,0.47,0.47,0.57,1.23,3.05,1.32,1.23,1.27,3.15,202403.00,21.69,1.32,1.72,2.43,0.38,2.05,0.31,2.35,0.49,1.37,0.61,1.86,0.53,6.09,6.32,1.76,25.60,1.46,231.99
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,511.40,2168.24,11.46,129.25,13.49,14.06,-1.46,2266.91,266.13,4.18,270.31,47.67,222.64,30.16,192.48,50.60,141.88,0.00,141.88,9.19,67.46,80.98,11.74,6.26,248.45,29.85,47.63,15.43,204.45,129.25,44.60,45.35,3.63,202403.00,2497.97,286.05,2.23,288.28,47.29,240.99,36.18,204.81,52.00,152.81,0.00,152.81,9.26,11.45,6.12,16.50,2266.91,141.88,4701.56
Aarti Industries,524208,AARTIIND,Chemicals,738.40,6372.32,15.40,419.75,7.47,11.49,-0.19,6372.32,981.52,3.48,988.99,378.12,610.87,211.47,395.41,-21.05,419.75,-3.99,416.46,36.25,54.66,403.74,15.40,6.59,981.52,211.47,378.12,11.49,610.87,416.46,0.00,-21.05,3.48,202403.00,6618.58,1088.97,0.86,1089.60,310.45,779.15,168.28,611.10,65.87,545.05,0.23,545.23,90.62,16.45,8.24,15.04,6256.00,434.00,26768.27
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,647.75,1852.61,20.84,216.49,16.62,23.93,0.00,1852.61,386.04,4.90,390.37,73.24,317.13,17.21,300.49,83.59,216.49,0.57,216.90,27.19,55.10,138.58,20.84,11.69,386.04,17.21,73.24,23.93,317.13,216.90,55.77,83.59,4.90,202403.00,1945.23,342.05,2.32,344.29,62.54,281.75,21.05,260.78,67.28,193.43,0.08,193.49,18.12,17.58,9.94,21.35,1831.91,194.52,5870.30
Aarti Surfactant,543210,AARTISURF,Chemicals,637.20,584.57,9.90,19.35,14.84,22.81,0.00,589.86,63.01,0.13,63.14,15.98,47.16,14.03,33.13,10.86,22.27,0.00,22.27,0.00,75.70,18.67,10.68,3.78,57.87,13.29,16.19,26.33,42.28,19.35,6.80,9.63,0.60,202403.00,601.29,47.75,0.33,48.08,15.49,32.59,14.79,17.80,5.10,12.71,0.00,12.71,0.00,7.94,2.11,14.95,589.86,22.27,538.98
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,38.05,84.73,-36.85,-44.62,-9.65,-19.02,0.00,84.73,-31.22,6.61,-24.61,11.71,-36.32,36.65,-72.97,-28.35,-44.62,0.00,-44.62,0.00,95.35,11.73,-36.85,-52.66,-31.22,36.65,11.71,-19.02,-36.32,-44.62,0.00,-28.35,6.61,202403.00,260.90,-28.16,6.93,-27.26,25.28,-52.54,45.90,-92.41,-27.36,-66.82,6.03,-65.05,0.00,-10.79,-25.61,-27.73,110.65,-53.60,89.27
Aarvi Encon,,AARVI,Miscellaneous,140.77,406.15,3.08,11.34,11.41,7.67,0.00,406.15,12.51,2.33,14.84,1.27,13.57,1.47,12.10,0.76,11.34,0.00,11.34,2.96,0.00,293.47,3.08,2.79,12.51,1.47,1.27,7.67,13.57,11.34,0.79,0.76,2.33,202403.00,436.52,18.58,0.45,19.85,1.23,18.62,2.13,15.67,1.16,15.26,-0.82,14.51,2.96,4.26,3.50,9.81,409.34,11.76,208.11
Aashka Hospitals,543346,,Healthcare,111.50,22.87,19.98,2.37,4.90,1.01,0.00,22.87,4.57,4.21,8.79,2.92,5.87,3.02,2.84,0.49,2.37,-0.01,2.36,0.00,12.11,3.48,19.98,10.36,4.57,3.02,2.92,1.01,5.87,2.36,0.49,0.49,4.21,202403.00,18.94,0.35,3.10,3.45,2.93,0.52,3.09,-2.57,0.00,-2.57,0.00,-2.57,0.00,1.85,-13.57,-1.10,,,260.91
AastamangalamFin,511764,,Finance & Investments,42.93,7.03,91.47,3.60,9.32,4.04,0.00,7.03,6.43,0.00,6.43,0.02,6.41,1.60,4.81,1.21,3.60,0.00,3.60,0.00,0.00,0.08,91.47,51.21,6.43,1.60,0.02,4.04,6.41,3.60,1.21,1.21,0.00,202403.00,3.35,3.11,0.00,3.11,0.02,3.09,1.18,1.91,0.46,1.45,0.00,1.45,0.00,92.84,43.28,3.39,5.97,2.35,38.25
Aatmaj Health,,AATMAJ,Healthcare,27.20,15.74,16.20,0.88,10.01,0.39,0.00,15.74,2.55,0.85,3.40,0.81,2.59,1.25,1.34,0.46,0.88,0.00,0.88,0.00,15.63,3.57,16.20,5.59,2.55,1.25,0.81,0.39,2.59,0.88,0.32,0.46,0.85,202403.00,23.74,9.83,0.03,9.86,0.69,9.17,0.90,8.27,2.37,5.91,0.00,5.91,0.00,41.41,24.89,3.65,,,61.47
AAVAS Financiers,541988,AAVAS,Finance - Housing,1673.40,2093.08,74.18,507.09,9.91,64.08,0.00,2017.50,1482.67,2.80,1485.16,32.66,1452.50,828.36,624.45,133.76,490.45,0.31,490.69,0.00,0.00,357.22,73.49,24.31,1552.59,876.90,33.89,62.00,1521.62,507.09,130.46,137.64,2.92,202403.00,1608.30,1166.93,1.84,1168.49,28.72,1139.77,591.05,549.00,118.92,429.85,0.28,430.07,0.00,72.56,26.73,54.41,2017.50,490.70,13243.24
Aayush Art,540718,,Trading,146.40,7.33,-2.05,0.26,1.57,0.21,-4.58,7.33,-0.15,0.41,0.26,0.03,0.23,0.00,0.23,-0.03,0.26,0.00,0.26,0.00,97.41,0.07,-2.05,3.55,-0.15,0.00,0.03,0.21,0.23,0.26,-0.03,-0.03,0.41,202403.00,13.23,0.00,0.41,0.41,0.03,0.38,0.00,0.38,0.12,0.26,0.00,0.26,0.00,0.00,1.97,0.86,,,190.50
Aayush Wellness,539528,,Trading,293.70,0.60,58.33,0.57,12.65,1.76,0.00,0.60,0.35,0.24,0.59,0.00,0.59,0.00,0.59,0.02,0.57,0.00,0.57,0.00,0.00,0.11,58.33,95.00,0.35,0.00,0.00,1.76,0.59,0.57,0.03,0.02,0.24,202403.00,8.10,-0.81,0.55,-0.33,0.03,-0.36,0.06,-0.35,0.00,-0.41,0.07,-0.34,0.00,-10.00,-5.06,-1.05,1.69,0.10,95.31
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,220.00,255.77,10.34,6.70,12.65,6.51,0.00,255.77,26.44,1.20,27.64,9.85,17.79,9.34,8.45,1.75,6.70,0.00,6.70,0.00,76.40,10.31,10.34,2.62,26.44,9.34,9.85,6.51,17.79,6.70,1.86,1.75,1.20,202403.00,169.10,10.44,0.56,11.00,4.92,6.08,3.50,2.58,0.64,1.93,0.00,1.93,0.00,6.17,1.14,1.88,,,226.43
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,66.08,399.67,-38.64,-1317.84,,-225.79,0.00,399.67,-154.43,48.08,-106.35,97.14,-203.49,1092.08,-1295.57,20.69,-1317.84,0.00,-1317.84,0.00,11.65,90.42,-38.64,-329.73,-154.43,1092.08,97.14,-225.79,-203.49,-1317.84,16.93,20.69,48.08,202403.00,396.73,-131.10,225.28,3.17,47.11,-43.94,1109.58,-1062.51,28.24,-1184.12,91.01,-1090.75,0.00,-33.05,-298.47,-186.88,335.15,-1358.34,385.68
ABans Enterprise,512165,,Trading,132.00,1770.84,1.70,9.17,10.66,6.65,0.00,1770.84,30.15,4.69,34.58,1.69,32.89,12.14,21.01,11.25,9.17,0.26,9.75,0.00,97.47,5.33,1.70,0.54,30.15,12.14,1.69,6.65,32.89,9.75,5.28,11.25,4.69,202403.00,1867.21,14.32,10.15,24.47,1.38,23.09,4.70,18.39,0.66,16.68,0.00,17.73,0.00,0.77,0.95,11.96,1548.58,12.72,184.14
Abans Holdings,543712,AHL,Finance & Investments,571.75,1380.04,11.01,81.76,9.23,16.30,0.00,1380.04,152.00,0.35,152.35,0.63,151.72,51.71,100.01,10.77,81.76,0.00,89.24,0.00,83.13,38.38,11.01,6.47,152.00,51.71,0.63,16.30,151.72,89.24,12.06,10.77,0.35,202403.00,1163.44,85.83,0.46,86.42,0.65,85.77,9.68,75.96,5.66,64.89,-0.13,70.29,0.00,7.38,6.05,12.92,1689.38,90.65,2867.09
Abate As Indust,531658,,Trading,27.44,0.00,,-0.91,-191.58,-1.81,0.00,0.00,-0.91,0.00,-0.91,0.00,-0.91,0.00,-0.91,0.00,-0.91,0.00,-0.91,0.00,,0.07,,,-0.91,0.00,0.00,-1.81,-0.91,-0.91,0.00,0.00,0.00,202403.00,-0.02,-0.35,0.00,-0.35,0.00,-0.35,0.00,-0.35,0.00,-0.35,0.00,-0.35,0.00,-1750.00,,-0.70,0.00,-0.27,13.77
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,28227.70,5848.91,24.84,1201.10,46.02,565.30,0.00,5848.91,1453.10,248.27,1701.21,71.17,1630.04,12.45,1617.75,416.53,1201.10,0.16,1201.22,871.25,55.06,576.58,24.84,20.54,1453.10,12.45,71.17,565.30,1630.04,1201.22,415.46,416.53,248.27,202403.00,5348.73,1205.89,153.89,1360.04,69.97,1290.07,15.99,1273.82,324.41,949.60,-0.26,949.41,690.62,22.55,17.75,446.80,5753.36,1145.58,59983.86
ABC Gas (Int.),513119,,Trading,96.15,0.01,-5300.00,-0.57,-13.53,1.06,-1.21,0.01,-0.53,0.83,-0.53,0.03,-0.56,0.01,0.26,0.05,-0.57,0.83,0.21,0.00,700.00,0.09,-5300.00,-5700.00,-0.53,0.01,0.03,1.06,-0.56,0.21,0.05,0.05,0.83,202403.00,0.02,-0.15,2.56,-0.01,0.03,-0.04,0.02,2.36,0.27,-0.10,2.42,2.09,0.00,-750.00,-500.00,10.56,0.01,-0.84,19.04
ABC India,520123,,Miscellaneous,108.70,164.59,3.55,2.20,8.10,4.21,0.00,164.59,5.85,0.67,6.41,1.22,5.19,2.22,3.08,0.79,2.20,0.11,2.28,0.27,39.15,7.54,3.55,1.34,5.85,2.22,1.22,4.21,5.19,2.28,0.49,0.79,0.67,202403.00,145.17,4.93,2.56,5.65,1.14,4.51,2.28,4.07,-0.19,2.43,1.84,4.26,0.27,3.40,1.67,7.86,161.92,4.04,58.89
Abhinav Capital,532057,,Finance & Investments,193.85,15.29,93.00,9.26,16.26,13.37,0.00,15.29,14.22,0.00,14.22,0.00,14.22,3.33,10.89,1.63,9.26,0.00,9.26,0.00,0.00,0.54,93.00,60.56,14.22,3.33,0.00,13.37,14.22,9.26,1.69,1.63,0.00,202403.00,13.13,12.54,0.11,12.65,0.00,12.65,0.49,12.16,2.49,9.68,0.00,9.68,0.00,95.51,73.72,13.98,15.32,10.05,134.23
