Name,BSE Code,NSE Code,Industry,Current Price,Sales,OPM,Profit after tax,Return on capital employed,EPS,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year,Dividend last year,Material cost last year,Employee cost last year,OPM last year,NPM last year,Operating profit,Interest,Depreciation,EPS last year,EBIT,Net profit,Current Tax,Tax,Other income,Last annual result date,Sales preceding year,Operating profit preceding year,Other income preceding year,EBIDT preceding year,Depreciation preceding year,EBIT preceding year,Interest preceding year,Profit before tax preceding year,Tax preceding year,Profit after tax preceding year,Extraordinary items preceding year,Net Profit preceding year,Dividend preceding year,OPM preceding year,NPM preceding year,EPS preceding year,Sales preceding 12months,Net profit preceding 12months,Market Capitalization
Rajshree Sugars,500354,RAJSREESUG,Sugar,77.74,763.65,7.30,13.76,6.84,4.15,0.00,763.65,55.71,12.73,68.44,23.65,44.79,23.73,21.06,7.30,13.76,0.00,13.76,0.00,72.42,50.00,7.30,1.80,55.71,23.73,23.65,4.15,44.79,13.76,-0.18,7.30,12.73,202403.00,766.92,52.10,7.03,55.12,24.21,30.91,14.19,20.73,29.70,-10.40,4.01,-8.97,0.00,6.79,-1.36,-2.71,795.64,21.36,257.60
Rajvir Inds.,532665,RAJVIR,Textiles - Jute - Yarn / Products,7.62,18.01,-102.67,-40.20,-16.12,-95.97,,33.94,-12.05,3.45,-10.49,2.60,-13.09,17.70,-28.90,3.93,-34.73,1.89,-32.84,0.00,61.84,8.72,-35.50,-102.33,-18.49,18.53,2.55,-82.20,-21.38,-38.34,0.00,0.31,1.55,202003.00,57.88,-20.01,0.26,-19.75,2.79,-22.54,16.88,-39.42,0.70,-40.13,0.00,-40.13,0.00,-34.57,-69.33,-100.45,19.23,-38.54,3.04
Rallis India,500355,RALLIS,Pesticides / Agrochemicals - Indian,339.60,2649.00,11.21,132.25,11.20,6.84,0.00,2648.38,312.94,15.80,328.54,114.09,214.45,18.99,195.66,47.79,147.73,0.20,147.87,48.62,55.87,264.53,11.82,5.58,297.00,20.00,120.00,7.60,195.00,133.00,43.00,43.00,19.00,202403.00,2966.97,220.68,12.55,233.39,91.36,142.03,13.80,128.07,36.13,92.04,-0.16,91.94,48.62,7.44,3.10,4.73,2648.00,148.00,6604.16
Ram Info,530951,,Computers - Software - Medium / Small,125.45,82.09,12.51,6.38,20.04,8.46,0.00,82.09,10.27,2.88,13.15,2.47,10.68,0.26,10.42,4.04,6.38,0.00,6.38,0.00,5.69,8.96,12.51,7.77,10.27,0.26,2.47,8.46,10.68,6.38,3.79,4.04,2.88,202403.00,80.98,9.56,2.13,12.33,2.60,9.73,0.34,8.75,2.92,6.35,-0.64,5.83,0.67,11.81,7.84,8.68,77.73,6.27,94.62
Ram Ratna Wires,522281,RAMRAT,Mining / Minerals / Metals,426.70,3150.39,4.13,56.68,18.16,12.88,0.00,2983.25,118.98,15.33,134.31,19.68,114.63,39.99,74.64,20.03,52.26,0.00,54.62,22.00,90.95,55.52,3.99,1.83,130.19,41.83,20.37,11.88,126.15,61.83,21.91,22.46,16.33,202403.00,2649.60,109.19,7.18,115.70,18.46,97.24,33.50,64.41,17.40,44.42,0.67,47.00,11.00,4.12,1.76,10.20,2983.25,54.60,1877.48
Rama Paper Mills,500357,,Paper,15.09,56.70,-30.90,-19.48,-53.08,-20.16,0.00,56.70,-17.52,4.90,-12.62,3.94,-16.56,2.78,-19.34,0.14,-19.48,0.00,-19.48,0.00,103.88,7.95,-30.90,-34.36,-17.52,2.78,3.94,-20.16,-16.56,-19.48,0.14,0.14,4.90,202403.00,77.05,-4.62,3.97,-0.65,3.68,-4.33,1.19,-5.52,0.00,-5.52,0.00,-5.52,0.00,-6.00,-7.16,-5.71,72.35,-6.73,14.58
Rama Petrochem,500358,,Trading,8.60,0.81,-132.10,-1.67,,-0.39,0.00,0.81,-1.07,2.07,-0.26,0.02,-0.28,1.39,-0.41,0.00,-1.67,1.26,-0.41,0.00,93.83,0.59,-132.10,-206.17,-1.07,1.39,0.02,-0.39,-0.28,-0.41,0.00,0.00,2.07,202403.00,0.90,-0.90,0.01,-0.89,0.01,-0.90,0.45,-1.35,0.00,-1.35,0.00,-1.35,0.00,-100.00,-150.00,-1.29,1.03,-0.90,9.00
Rama Phosphates,524037,RAMAPHO,Fertilizers,191.34,603.17,-3.34,-31.08,-6.06,-17.56,0.00,603.17,-20.16,1.01,-19.16,8.97,-28.13,13.09,-41.21,-10.14,-31.08,0.01,-31.07,0.00,77.81,32.30,-3.34,-5.15,-20.16,13.09,8.97,-17.56,-28.13,-31.07,0.00,-10.14,1.01,202403.00,874.83,72.70,0.66,73.37,9.88,63.49,8.62,54.86,13.93,40.93,-0.01,40.93,1.77,8.31,4.68,23.13,659.32,-25.18,338.48
Rama Steel Tubes,539309,RAMASTEEL,Steel - Medium / Small,11.62,1046.51,5.67,29.13,12.73,0.20,-0.37,1046.51,59.36,5.06,64.42,5.64,58.78,21.25,37.53,7.54,29.13,0.00,30.00,0.00,90.65,12.62,5.67,2.87,59.36,21.25,5.64,0.20,58.78,30.00,8.30,7.54,5.06,202403.00,1336.75,51.43,8.47,59.92,4.73,55.19,20.21,34.96,7.53,26.68,-0.02,27.44,0.00,3.85,2.05,0.19,1177.48,34.63,1719.84
Rama Vision,523289,,Trading,91.04,89.57,7.28,3.39,15.31,3.25,0.00,89.57,6.52,0.26,6.78,0.81,5.97,1.37,4.60,1.21,3.39,0.00,3.39,0.00,69.60,11.26,7.28,3.78,6.52,1.37,0.81,3.25,5.97,3.39,1.06,1.21,0.26,202403.00,81.86,4.68,0.03,4.75,0.42,4.33,0.83,3.46,0.93,2.57,-0.04,2.54,0.00,5.72,3.14,2.53,86.11,3.00,94.92
Ramasigns Indus.,515127,,Trading,2.35,10.33,-35.43,-5.20,-14.98,-1.82,0.00,10.33,-3.66,0.13,-3.53,0.26,-3.79,0.89,-4.68,0.52,-5.20,0.00,-5.20,0.00,79.57,2.96,-35.43,-50.34,-3.66,0.89,0.26,-1.82,-3.79,-5.20,0.03,0.52,0.13,202403.00,24.96,-0.11,2.14,2.03,0.60,1.43,0.82,0.61,0.15,0.46,0.00,0.46,0.00,-0.44,1.84,0.16,13.96,-1.73,6.71
Ramchandra Leas.,538540,,Finance & Investments,1.43,0.46,4.35,0.02,0.35,0.00,0.00,0.46,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.00,0.01,4.35,4.35,0.02,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,202403.00,0.47,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.01,0.00,4.26,2.13,0.00,0.48,0.01,7.32
