Name,BSE Code,NSE Code,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Market Capitalization
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,403.40,3.94,-156.98,2.37,6.12,221.52,0.17,334.41,-95.73,-76.65,3347.37,3.94,221.52,2.70,1.00,0.02,1948.60,-0.37,0.18,1.06,4.14,529.75,37.27,0.73,38.02,41.60,77.63,0.58,-8.85,4.14,888.42,39.43,2.25,4.96,342.47,39.41,2.95,486.60,1858.81
7NR Retail Ltd,540615,,Trading,7.61,1.83,-2.63,-34.79,4.50,-7.92,,286.75,51.06,-47.37,28.71,1.83,-7.92,-25.67,-0.88,-4.75,33.93,-24.56,0.18,1.60,0.00,,-24.07,0.02,50.95,28.88,72.95,0.71,-0.35,0.00,,-7.45,2.10,,11.90,-7.45,2.83,-92.65,21.31
7Seas Enter.,540874,,Computers - Software - Medium / Small,70.00,11.08,-29.33,79.15,12.63,5.68,8.60,56.32,-22.22,5.32,10.17,11.08,5.68,103.85,-0.04,0.38,10.03,-65.54,0.04,0.69,0.00,16.74,0.62,0.01,78.03,16.17,217.46,0.84,-5.47,0.00,7.94,-18.62,12.58,1747.01,3.55,-18.58,22.73,622.00,130.62
A B B,500002,ABB,Electric Equipment,7578.80,14.45,211.61,74.70,1.90,137.81,5.50,40.96,35.62,11.71,5944.60,14.45,137.81,79.41,0.04,0.04,5607.25,13.84,0.11,1.71,40.60,1122.58,2.61,0.02,69.71,17.62,96.98,0.82,17.23,40.60,658.67,118.83,23.27,2966.80,214.88,118.83,26.21,349.44,160601.12
A B Infrabuild,,ABINFRA,Construction,63.25,1.71,-64.33,13.21,2.01,4.07,0.82,43.41,-37.00,-29.71,50.00,1.71,4.07,15.39,-0.03,1.88,117.09,-7.23,0.26,3.55,0.00,43.56,-6.24,0.01,90.97,5.61,149.31,0.94,7.32,0.00,29.13,32.08,19.97,103.45,16.05,32.11,5.89,49.24,314.63
A B M Internatl.,,ABMINTLLTD,Trading,60.05,0.60,-9.40,-15.66,1.27,-7.18,,17.65,90.23,-25.63,14.86,0.60,-7.18,-15.51,-0.14,-2.94,17.09,-27.86,1.95,2.50,0.00,,-43.86,0.07,58.10,25.63,91.55,0.74,-2.00,0.00,,-5.87,-17.05,,17.59,-5.87,5.40,-269.05,56.50
A F Enterprises,538351,,Trading,16.57,7.15,-7.38,119.09,1.34,-3.06,,372.24,320.00,345.83,33.34,7.15,-3.06,-121.25,,-664.00,37.49,-25.03,0.21,4.31,,,-10.03,0.01,100.00,0.00,285.35,1.00,,,,-2027.06,2.36,,8.62,-2026.67,1.40,225.19,60.80
A G Universal,,AGUL,Trading,61.00,0.43,-8.04,9.06,1.64,2.68,,18.49,66.67,-4.47,15.97,0.43,2.68,11.97,-0.22,8.06,22.92,-17.80,0.89,6.53,0.00,89.68,-45.98,0.00,19.74,49.15,31.18,0.51,11.95,0.00,50.02,-14.59,12.91,33.45,26.35,-14.54,3.84,,33.45
A K Spintex,539300,,Textiles - Processing,200.10,0.91,62.01,6.25,1.10,13.48,0.31,7.28,-76.67,-20.56,38.97,0.91,13.48,11.26,0.23,0.84,46.22,3.73,0.18,1.65,0.00,137.93,-7.06,0.00,59.26,24.39,88.42,0.76,0.82,0.00,155.81,4.71,22.13,37.05,16.18,4.74,5.37,205.49,100.69
A R C Finance,540135,,Finance & Investments,1.12,6.12,-8.46,109.58,5.94,5.11,10.59,227.38,177.78,1321.82,51.18,6.12,5.11,157.22,-0.48,59.56,22.38,-10.01,0.32,1.39,0.00,0.52,-27.89,0.01,64.20,20.57,86.67,0.79,-1.21,0.00,0.35,-91.21,1.36,232.48,0.42,-91.21,2.77,807.86,56.55
A-1 Acid,542012,,Trading,348.70,1.95,63.12,66.85,3.48,3.25,-15.53,18.84,257.14,52.79,47.77,1.95,3.25,164.01,0.05,9.76,52.22,10.49,0.24,1.37,156.82,21.90,-1.15,0.01,28.12,20.74,11.41,0.79,4.83,156.82,29.90,37.10,9.72,3058.57,33.77,37.10,15.26,534.68,401.01
A.K.Capital Serv,530499,,Finance & Investments,1033.75,1.32,8.02,10.42,4.13,1.63,1.46,55.95,51.05,11.31,919.07,1.32,1.63,10.69,1.04,29.77,371.13,2.53,3.00,3.77,5.76,1991.23,-399.25,0.05,78.40,12.39,105.52,0.88,0.24,5.76,2086.56,2.01,8.91,5.51,439.55,2.01,1.13,22.78,682.28
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,20.44,0.93,5.67,-10.92,0.72,-8.99,,7.54,75.14,3.73,32.18,0.93,-8.99,-9.91,-0.17,-26.90,162.34,22.63,16.53,26.01,0.00,,-147.18,0.02,76.67,16.98,205.07,0.83,0.91,0.00,,3.78,-11.33,,1.66,3.78,1.26,-17.65,359.99
AA Plus Trade,543319,,Trading,25.31,3.09,-22.10,82.59,2.00,,2.93,73.83,-11.11,22.41,13.44,3.09,,85.99,-0.13,2.61,14.76,-18.68,0.10,1.19,0.00,6.22,-2.10,0.00,91.16,5.84,177.83,0.94,-2.25,0.00,5.07,-341.69,3.15,535.54,6.06,-342.06,5.88,615.70,61.57
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,113.85,6.14,29.44,24.33,19.53,,4.90,111.39,-92.47,70.60,27.96,6.14,,29.19,0.18,0.00,27.92,18.56,0.04,1.02,19.98,73.60,13.32,0.11,65.22,22.55,120.21,0.77,5.64,19.98,35.03,18.88,15.40,237.46,20.70,18.92,11.66,1327.55,146.03
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,427.15,7.04,-12.07,15.71,2.39,1.97,0.71,35.30,-1.23,2.78,4449.75,7.04,1.97,15.88,-0.95,18.62,992.85,-8.81,,4.01,0.00,,-69.68,0.09,69.33,12.28,46.28,0.88,-0.90,0.00,,-7.50,10.50,,21.41,-7.50,2.38,90.30,18218.74
Aadi Industries,530027,,Plastics Products,5.80,,-47.03,-139.33,0.03,,,,260.00,,-6.69,,,-125.40,-1.21,-75.89,0.14,-50.34,-3.17,-0.05,0.00,,-363.79,0.02,47.28,34.83,92.05,0.65,-5.66,0.00,,64.44,-52.89,,0.13,64.44,-1.37,72.50,5.80
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,13.92,1.53,880.44,8.93,1.21,5.71,1.69,19.38,756.10,41.70,58.53,1.53,5.71,15.57,0.24,2.92,76.90,0.21,0.40,1.51,0.00,13.59,-15.86,0.01,71.79,18.83,144.21,0.81,0.80,0.00,8.93,13.80,13.31,54.71,1.77,13.80,4.85,40.15,140.94
Aananda Lakshmi,539096,,Construction,19.00,3.17,1.23,4.71,1.29,,0.03,119.52,-155.87,-91.55,-18.44,3.17,,4.71,-3.16,5.24,4.31,188.02,-3.44,-0.64,0.00,,-953.53,0.01,44.95,41.47,137.20,0.59,5.91,0.00,,1.91,74.92,,7.17,1.91,0.71,14.46,6.65
Aanchal Ispat,538812,,Steel - Medium / Small,5.53,0.11,3.82,-26.33,0.82,-1.15,,60.86,159.02,465.99,16.82,0.11,-1.15,-22.21,-7.33,-13.46,91.62,2.95,5.64,6.79,0.00,,-772.16,0.27,8.35,58.82,14.97,0.41,-0.43,0.00,,1.83,-7.82,,31.84,1.83,1.86,9.53,11.53
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,49.57,0.32,-51.60,13.62,1.68,4.14,-4.16,36.02,12.57,175.04,132.77,0.32,4.14,22.10,-0.20,6.70,157.15,-1.54,0.24,2.25,0.00,27.77,-23.65,0.01,40.55,27.10,33.97,0.73,10.11,0.00,46.58,-48.80,6.96,25.55,56.10,-48.77,3.20,58.53,125.83
Aarnav Fashions,539562,,Textiles - Products,48.70,0.56,7.09,10.67,1.49,1.82,0.29,47.09,-19.09,-11.81,178.97,0.56,1.82,14.50,-0.39,19.44,302.65,9.86,0.62,2.26,0.00,96.16,-52.36,0.02,77.99,12.25,97.97,0.88,4.52,0.00,40.20,6.48,6.15,33.04,40.86,6.49,3.13,115.56,205.70
Aaron Industries,,AARON,Engineering,277.15,4.59,-29.43,28.36,1.47,7.34,1.06,27.44,94.17,30.51,35.84,4.59,7.34,32.45,-0.07,4.99,68.60,-19.92,0.88,1.58,16.54,134.18,-10.03,0.01,47.27,15.09,18.95,0.85,7.49,16.54,68.22,51.97,24.11,371.47,16.52,51.83,8.45,124.58,290.27
Aartech Solonics,542580,AARTECH,Electric Equipment,219.06,7.09,-378.59,64.60,2.70,6.49,5.66,70.59,-164.41,35.97,29.53,7.09,6.49,76.67,0.05,3.18,27.69,-1.88,0.26,1.32,0.00,41.00,-2.29,0.01,70.59,17.15,98.69,0.83,-113.17,0.00,27.75,155.84,8.25,1402.62,21.80,155.70,11.75,-610.50,231.99
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,511.40,2.17,152.31,20.52,1.73,6.85,3.35,33.76,-25.54,-11.90,1175.21,2.17,6.85,25.30,0.02,3.35,1675.88,1.87,0.57,1.86,6.48,293.62,-14.09,0.00,41.74,18.18,18.93,0.82,2.11,6.48,201.09,13.94,16.52,145.52,79.65,13.95,5.94,174.71,4701.56
Aarti Industries,524208,AARTIIND,Chemicals,738.40,4.20,-106.55,30.21,0.96,2.89,-20.77,24.50,6.45,2.37,5289.76,4.20,2.89,48.92,0.00,7.79,8439.94,-3.07,0.71,1.72,8.70,180.99,-13.54,0.01,90.62,4.04,68.58,0.96,2.13,8.70,194.22,22.23,13.26,322.68,43.08,22.23,6.29,202.79,26768.27
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,647.75,3.17,-478.03,15.71,1.84,18.43,,45.85,23.67,12.72,1757.04,3.17,18.43,19.33,,1.32,2019.66,-0.64,0.17,1.37,12.53,283.82,-4.57,0.00,95.48,2.27,96.29,0.98,,12.53,323.12,27.13,17.36,90.58,93.75,27.13,6.11,89.97,5870.30
Aarti Surfactant,543210,AARTISURF,Chemicals,637.20,0.92,29.65,10.81,1.54,3.18,0.69,20.49,-58.32,-9.55,219.25,0.92,3.18,14.95,0.01,4.45,332.00,5.75,0.51,1.89,0.00,515.08,-19.60,0.01,30.35,25.40,17.42,0.75,1.41,0.00,364.74,10.42,10.77,68.51,140.94,10.37,4.81,231.32,538.98
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,38.05,1.05,1.21,-14.82,1.02,-0.99,,165.64,2.12,-6.07,17.20,1.05,-0.99,-10.04,-1.20,-6.22,212.73,19.60,17.85,28.09,0.00,,-341.86,0.05,77.88,11.76,88.37,0.88,0.13,0.00,,0.81,-8.72,,59.72,0.81,0.68,-13.82,89.27
Aarvi Encon,,AARVI,Miscellaneous,140.77,0.51,-89.80,13.11,2.56,9.23,2.73,22.59,27.73,3.23,116.70,0.51,9.23,14.34,0.12,0.86,101.39,-1.95,0.22,1.41,26.07,93.89,-0.89,0.07,39.02,23.60,24.63,0.76,5.01,26.07,116.72,66.35,14.41,32.66,61.99,66.28,6.18,68.46,208.11
Aashka Hospitals,543346,,Healthcare,111.50,11.41,-13.73,31.78,0.65,1.94,9.37,27.90,359.52,11.76,96.28,11.41,1.94,47.58,-0.17,8.64,49.61,-15.85,0.21,1.30,0.00,18.22,-7.06,0.01,81.34,11.89,142.87,0.88,-2.55,0.00,30.56,36.34,3.90,298.34,2.73,36.34,4.96,,260.91
AastamangalamFin,511764,,Finance & Investments,42.93,5.44,-2.30,11.24,2.57,4.01,0.20,58.04,-9.16,-2.21,37.68,5.44,4.01,11.27,-1.74,11.17,4.11,-24.18,1.07,1.87,0.00,130.72,-89.12,0.30,29.46,27.85,19.22,0.72,-0.29,0.00,62.01,-1.60,6.51,10.83,4.58,-1.60,1.83,32.14,38.25
Aatmaj Health,,AATMAJ,Healthcare,27.20,3.91,-36.66,16.51,6.42,2.07,,238.88,-161.57,-16.34,46.28,3.91,2.07,21.68,0.04,6.23,55.78,-6.48,0.11,2.19,0.00,35.93,-8.39,0.01,6.29,54.67,8.80,0.45,1.98,0.00,13.85,-7.67,41.39,86.61,16.64,-7.67,4.03,,61.47
AAVAS Financiers,541988,AAVAS,Finance - Housing,1673.40,6.33,-7.74,15.33,7.67,1.74,1.15,91.64,-11.58,-0.66,3773.32,6.33,1.74,15.67,-1.13,25.27,2045.36,-11.66,3.29,3.97,0.00,1144.29,-80.04,0.12,54.53,15.44,28.03,0.85,-0.73,0.00,829.11,-6.66,9.64,91.68,242.50,-6.67,2.17,105.02,13243.24
Aayush Art,540718,,Trading,146.40,25.99,190.96,727.27,44.71,,7.98,208.73,125.00,-97.63,21.81,25.99,,822.13,0.02,0.00,15.42,6.81,0.00,0.81,0.00,9.57,0.74,0.00,99.32,0.68,,0.99,19.05,0.00,9.10,761.28,0.45,6103.31,11.77,762.00,14.43,6350.00,190.50
Aayush Wellness,539528,,Trading,293.70,158.85,142.40,161.46,5.60,,-163.93,76.67,466.67,,4.92,158.85,,161.46,-0.01,0.00,0.47,14.15,0.00,0.97,0.00,14.60,0.05,0.00,93.08,6.45,1291.28,0.94,-17.98,0.00,24.48,-164.88,-2.37,3238.86,1.44,-167.21,32.37,560.65,95.31
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,220.00,0.89,-6.72,12.59,1.45,1.90,0.85,44.27,138.38,30.38,68.47,0.89,1.90,19.56,-0.63,18.16,185.31,-23.95,1.81,3.51,0.00,142.14,-54.43,0.00,52.02,43.01,450.00,0.57,-2.56,0.00,98.71,-7.04,12.01,111.88,109.93,-7.04,4.59,68.20,226.43
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,66.08,0.96,0.96,-147.16,0.02,-0.19,,-2380.11,-4.09,45.79,-23871.92,0.96,-0.19,-76.91,-40.60,-11.62,-8843.49,-5.11,-0.70,-0.07,0.00,,-4341.79,0.25,49.60,29.33,69.00,0.71,-0.23,0.00,,-5.33,0.00,,-1628.86,-5.33,-29.37,-1.13,385.68
ABans Enterprise,512165,,Trading,132.00,0.10,6.20,9.33,1.41,2.71,,12.72,-128.31,15.88,185.53,0.10,2.71,9.81,-0.12,15.91,228.67,9.60,1.04,2.03,0.00,108.15,-95.46,0.08,23.25,34.00,18.49,0.66,-81.84,0.00,141.09,3.11,10.93,19.89,162.06,3.12,6.07,-139.50,184.14
Abans Holdings,543712,AHL,Finance & Investments,571.75,2.08,21.32,23.02,1.96,2.93,1.92,66.11,-11.24,-50.15,930.83,2.08,2.93,23.12,0.23,10.41,932.99,8.17,1.14,2.56,0.00,169.56,-26.99,0.11,85.66,8.37,119.90,0.92,2.36,0.00,260.95,64.25,9.19,108.02,182.11,64.31,3.06,147.11,2867.09
Abate As Indust,531658,,Trading,27.44,,121.06,-16.38,0.19,,,,-700.00,,-0.90,,,-16.38,-0.08,-1.34,0.22,23.86,-1.36,-0.53,0.00,,-8.28,0.01,74.84,8.93,41.15,0.91,91.80,0.00,,16.53,-103.09,,0.44,16.59,54.65,-86.06,13.77
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,28227.70,10.26,61.31,34.05,2.42,130.93,2.27,33.33,-7.69,0.10,3698.89,10.26,130.93,35.54,0.08,0.07,2184.64,27.56,0.05,1.32,72.53,8222.36,3.27,0.03,81.75,4.76,28.85,0.95,5.44,72.53,4705.37,49.34,41.84,810.03,919.62,49.46,22.09,208.96,59983.86
ABC Gas (Int.),513119,,Trading,96.15,1904.00,14.95,-28.94,57.29,-56.00,,39400.00,415.00,-100.00,3.96,1904.00,-56.00,-27.39,0.13,0.00,3.96,31.08,0.06,1.10,0.00,13.03,18.12,0.10,100.00,0.00,159.86,1.00,-3.66,0.00,21.85,6.01,-20.80,,19.70,5.95,9.65,-105.78,19.04
ABC India,520123,,Miscellaneous,108.70,0.36,30.10,11.96,1.62,2.34,-1.74,27.06,-75.76,-6.83,45.20,0.36,2.34,14.78,0.36,9.06,56.27,3.04,0.59,2.06,11.89,73.72,-40.35,0.05,34.77,32.35,34.20,0.68,1.07,11.89,88.89,7.77,8.37,34.80,82.48,7.80,3.98,392.60,58.89
Abhinav Capital,532057,,Finance & Investments,193.85,8.78,13.47,8.48,3.25,4.27,0.50,799.02,-49.38,-31.04,77.06,8.78,4.27,8.48,0.67,4.05,122.19,11.35,0.49,1.22,0.00,244.93,10.08,0.23,68.86,18.89,106.22,0.81,1.22,0.00,182.99,3.82,18.21,25.23,177.06,3.83,4.35,163.70,134.23
Abhinav Leasing,538952,,Finance & Investments,2.07,0.31,-4.91,18.74,1.15,1.13,1.01,3.91,-305.88,103.10,5.85,0.31,1.13,19.11,-2.61,176.76,1.42,-10.17,5.14,9.21,0.00,2.14,-276.62,0.09,17.58,42.02,18.29,0.58,2.59,0.00,0.95,-0.57,24.44,107.76,0.26,-0.57,1.49,-9.86,10.35
Abhishek Finle.,538935,,Finance & Investments,33.00,13.53,43.89,38.97,7.30,,1.70,224.04,300.00,-9.09,4.42,13.53,,43.14,0.19,0.06,2.40,7.42,0.00,1.07,0.00,13.48,14.14,0.13,54.03,24.52,61.76,0.75,7.04,0.00,9.64,33.79,4.56,213.06,5.42,33.50,6.96,351.75,14.07
Abhishek Infra.,539544,,Construction,6.74,,-7.33,-17.42,2.94,,,,-40.00,,4.08,,,-17.42,,-4.65,4.83,-8.60,0.30,1.93,0.00,,-33.24,0.16,43.94,32.46,60.48,0.68,,0.00,,-7.17,-6.59,,9.66,-7.23,2.07,-48.57,3.40
Abhishek Integr.,,AILIMITED,Construction,92.90,2.20,-35.88,31.75,2.37,2.32,,46.17,85.19,34.35,6.22,2.20,2.32,34.06,,7.30,13.90,-12.37,0.84,1.68,0.00,55.67,-13.34,0.01,93.82,4.52,256.62,0.95,,0.00,21.00,75.32,12.65,440.26,19.58,75.59,8.83,,55.94
Abirami Fin.,511756,,Finance & Investments,58.06,,6.40,11.24,44.78,110.00,0.16,,-72.53,,20.61,,110.00,11.35,0.51,0.00,19.71,22.82,0.00,1.15,93.10,,60.19,0.64,58.19,31.71,182.67,0.68,-2.06,93.10,48.02,-65.32,42.10,32.86,36.48,-65.31,5.05,125.40,31.35
ABM Knowledge,531161,,Computers - Software - Medium / Small,159.80,4.06,104.44,14.92,4.61,68.46,-18.36,89.98,126.36,27.06,222.16,4.06,68.46,15.83,0.47,0.00,112.59,1.42,0.23,1.11,17.20,150.60,-11.16,0.05,88.55,5.72,88.55,0.94,3.63,17.20,136.35,101.14,9.16,30.93,35.39,101.15,4.14,54.73,319.64
ABS Marine,,ABSMARINE,Shipping,317.05,5.76,69.51,17.85,1.73,6.67,,30.26,,,117.17,5.76,6.67,25.32,,1.80,122.70,6.96,,1.54,0.00,,-5.11,0.02,54.06,25.40,66.87,0.75,,0.00,,67.47,11.24,,16.63,67.33,9.20,,778.36
ACC,500410,ACC,Cement - North India,2435.30,2.30,1222.21,12.75,1.47,15.70,3.13,15.07,-61.75,-4.69,16329.67,2.30,15.70,17.32,0.17,0.15,14012.75,0.24,0.23,1.35,6.03,1345.30,-4.28,0.02,60.74,14.37,35.07,0.86,2.02,6.03,1524.84,15.27,15.28,63.48,159.83,15.27,5.47,126.55,45731.83
Accedere,531533,,Computers - Software - Medium / Small,87.03,17.10,251.05,297.79,7.04,-7.00,,135.55,-200.00,-19.39,4.05,17.10,-7.00,-595.57,0.08,-3.00,3.94,3.90,0.07,1.16,0.00,,4.77,0.05,67.94,13.72,50.83,0.86,7.92,0.00,,197.80,-1.67,,6.94,199.00,17.60,-2189.00,43.78
Accel,517494,,Computers - Software - Medium / Small,23.15,0.80,15.72,10.40,1.02,1.68,1.55,12.93,-25.22,20.14,65.30,0.80,1.68,16.30,-0.23,22.45,113.88,6.30,1.25,2.85,49.76,24.32,-53.96,0.05,26.95,34.75,24.46,0.65,1.17,49.76,12.40,5.69,9.00,74.91,3.75,5.68,2.86,115.90,133.28
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,335.00,10.62,,36.42,31.29,89.00,,62.54,205.36,50.18,3.72,10.62,89.00,39.49,,18.00,4.64,,0.14,1.33,0.00,47.46,0.42,0.01,75.62,17.27,183.90,0.83,,0.00,7.56,-62.26,70.92,11042.87,20.19,-63.70,28.48,,71.98
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1807.30,5.28,21.74,12.99,3.48,92.77,12.62,45.05,15495.00,-2.20,282.86,5.28,92.77,15.30,0.19,0.36,299.44,41.22,0.14,1.38,63.63,943.28,2.43,0.03,60.83,15.08,38.09,0.85,1.73,63.63,517.78,17.25,50.31,220.37,154.54,17.28,14.75,86.51,2698.30
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.60,2.44,143.44,12.51,4.32,33.63,,55.75,13.97,26.83,155.73,2.44,33.63,13.94,0.02,0.42,167.77,6.22,0.08,2.58,6.97,361.18,-1.80,0.00,43.29,21.81,27.05,0.78,6.65,6.97,158.48,197.25,35.39,70.71,65.18,197.65,8.37,84.83,598.88
Accord Synergy,,ACCORD,Telecommunications - Service Provider,25.00,0.27,238.64,11.53,6.54,37.00,-0.64,42.57,-5.00,4.95,14.81,0.27,37.00,23.38,1.49,0.00,14.51,0.25,0.00,1.20,0.00,19.58,0.46,0.00,13.04,26.47,5.71,0.74,0.23,0.00,32.83,23.03,-8.76,13.13,38.77,22.84,4.79,10.99,8.68
Accuracy Shippi.,,ACCURACY,Miscellaneous,12.24,0.26,63.86,11.42,1.61,1.04,-8.64,22.56,417.65,-8.60,116.14,0.26,1.04,24.09,-0.29,218.58,229.81,1.31,0.94,2.43,0.00,1.86,-52.83,0.08,46.34,32.93,73.62,0.67,1.02,0.00,2.40,6.60,11.70,586.04,10.61,6.60,5.02,20.08,184.29
ACE EduTremd Ltd,530093,,Miscellaneous,3.22,,888.72,-58.60,1.45,,,,-100.00,,8.76,,,-29.30,0.01,0.00,2.69,0.04,0.00,1.46,0.00,,0.68,0.01,100.00,0.00,69.47,1.00,,0.00,,148.12,-2.32,,1.87,147.50,1.49,-147.50,2.95
Ace Integrated,,ACEINTEG,Computers - Software - Medium / Small,36.81,4.11,94.65,63.94,12.26,19.50,34.69,137.42,562.50,40.08,19.03,4.11,19.50,88.54,0.15,0.49,14.50,2.09,0.01,1.08,0.00,18.86,8.04,0.08,27.84,33.68,24.36,0.66,5.91,0.00,12.99,104.30,4.68,180.43,12.31,104.31,5.49,50.74,37.55
Ace Men,539661,,Trading,56.00,,2604.00,96.22,0.04,6.00,,,0.00,,3.87,,6.00,96.22,0.00,0.00,-0.68,0.17,0.00,1.45,0.00,19.63,0.17,0.00,69.66,10.76,38.27,0.89,-694.00,0.00,10.43,1736.00,7.88,647.72,-2.19,1735.00,7.21,1735.00,17.35
