Name,BSE Code,NSE Code,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,287.75,1.24,30.96,9.42,1.75,6.03,0.94,30.30,31.11,8.58,352.95,1.24,6.03,10.83,0.11,2.16,472.18,7.47,0.39,1.57,7.87,252.75,-7.76,0.04,96.28,2.39,173.01,0.98,1.63,7.87,194.00,18.66,20.14,48.64,70.17,18.65,6.05,56.85,1015.37
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,86.30,0.62,15.11,1.38,20.37,,0.03,28.37,47.11,497.25,53.27,0.62,,1.38,0.19,0.00,42.17,14.28,0.14,0.88,8.16,151.53,-3.96,0.03,98.75,1.00,387.57,0.99,10.04,8.16,254.12,-33.07,24.82,2.60,39.48,-33.07,11.21,3.71,90.62
360 ONE,542772,360ONE,Finance & Investments,1056.30,13.54,-109.08,23.45,0.84,2.66,2.51,-11.64,0.47,7.28,3449.73,13.54,2.66,24.18,-0.06,11.78,674.11,-3.08,2.83,3.81,73.64,209.91,-24.07,0.02,78.65,13.12,125.27,0.87,12.50,73.64,228.04,-81.54,13.73,454.77,-9.08,-81.53,4.96,125.38,38329.62
3B Blackbio,532067,,Healthcare,1245.65,14.42,39.01,22.14,7.04,370.42,0.76,142.92,3.29,30.16,223.05,14.42,370.42,22.67,0.28,0.03,113.33,12.95,0.00,1.04,0.00,1384.50,5.72,0.06,95.13,3.06,161.42,0.97,2.23,0.00,472.22,39.75,22.23,159.55,123.17,39.67,9.56,121.63,1069.10
3C IT Solutions,544190,,Computers - Software - Medium / Small,39.30,0.79,70.74,10.83,1.54,1.17,,26.88,220.97,-28.21,2.42,0.79,1.17,16.76,,43.42,9.31,1.90,,7.04,0.00,,-20.79,0.01,25.35,24.80,12.61,0.75,,0.00,,2.05,21.52,,13.37,2.06,5.37,,23.66
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,35.69,0.74,-67.24,-62.90,1.05,-3.69,,8.98,-236.55,-7.14,293.44,0.74,-3.69,-17.03,0.29,-0.28,324.25,-1.60,1.18,2.79,0.00,,-48.51,0.10,16.17,44.15,17.98,0.56,0.73,0.00,,11.79,-2.13,,4.32,11.79,3.25,-12.65,604.10
3M India,523395,3MINDIA,Diversified - Large,39413.25,11.31,112.87,56.07,2.38,225.25,7.78,34.92,29.44,9.66,2370.20,11.31,225.25,60.10,0.06,0.03,1701.16,18.09,0.28,1.33,143.96,4455.55,1.04,0.02,88.96,3.87,48.01,0.96,9.49,143.96,4747.23,76.34,24.51,1552.90,1213.35,76.14,24.23,275.48,44418.73
3P Land Hold.,516092,3PLAND,Finance & Investments,37.25,16.85,4023.00,25.22,1.04,,0.40,0.25,5.56,0.00,98.72,16.85,,25.90,1.26,0.00,0.47,0.02,0.02,0.87,0.00,38.96,-2.40,0.00,81.02,10.28,95.85,0.90,-32.71,0.00,36.37,558.75,2.93,23.62,0.01,558.75,2.47,176.45,67.05
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.57,19.57,-10.27,53.47,4.88,,2.07,6789.29,-111.11,-100.00,15.92,19.57,,53.47,0.11,21.29,19.01,-2.74,0.23,1.25,0.00,1.33,-65.88,0.00,38.39,30.53,37.72,0.69,0.32,0.00,2.24,54.79,-1.65,10.96,5.45,54.80,2.75,-182.67,5.48
5Paisa Capital,540776,5PAISA,Finance & Investments,486.00,3.68,-18.65,1.83,1.57,3.38,0.72,161.74,539.17,-9.40,540.81,3.68,3.38,2.01,0.68,6.49,691.61,-10.74,1.54,3.41,0.00,552.77,52.95,0.97,23.09,35.98,20.30,0.64,-1.38,0.00,268.45,-16.62,11.17,74.06,213.70,-16.62,2.32,75.57,1516.79
