Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization
Fortune Interntl,530213,,Trading,56.11,0.00,1.99,,101.01,,-29.37,-0.05,0.01,-0.04,0.00,-0.04,0.00,-0.04,-0.01,0.00,1.99,,,,7.04,2.83,-0.03,-0.06,0.00,0.00,-0.10,2.50,5.56,202403.00,,,,,,0.00,-0.03,0.01,-0.02,0.00,-0.02,0.00,-0.02,0.00,0.67,0.00,0.67,,,7.04,0.95,39.50
Foseco India,500150,FOSECOIND,Chemicals,5003.15,125.01,18.50,3.36,1.31,12.02,16.95,23.54,4.04,27.58,2.56,25.02,0.05,24.97,6.47,0.00,18.50,46.84,18.83,14.80,6.39,28.97,19.53,16.16,122.32,123.19,16.31,14.77,18.43,202406.00,12.38,138.44,20.85,18.25,28.58,122.55,19.87,3.58,23.45,2.17,21.28,0.02,21.26,5.41,15.85,0.00,15.85,16.21,12.93,6.39,24.82,3197.01
Foundry Fuel,513579,,Miscellaneous,11.33,0.00,-0.11,,-120.00,-100.00,-13.64,-0.05,0.00,-0.05,0.00,-0.05,0.06,-0.11,0.00,0.00,-0.11,,,,8.02,-0.14,-0.04,-0.05,0.00,0.00,-0.04,-0.05,-11.76,202403.00,,,,,,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,,,8.02,-0.06,9.09
Fourth Gen.,532403,,Computers - Software - Medium / Small,5.43,0.02,-0.05,,16.67,,12.50,-0.03,0.00,-0.03,0.01,-0.04,0.00,-0.04,0.00,0.00,-0.05,100.00,-150.00,-250.00,3.55,-0.14,-0.05,-0.02,0.00,0.00,-0.06,-0.03,0.00,202403.00,,,,,,0.03,-0.01,0.03,0.02,0.01,0.01,0.00,0.01,0.00,0.01,0.00,0.01,-33.33,33.33,3.55,0.03,1.93
Franklin Indust.,540190,,Trading,3.61,26.63,5.65,266.30,841.67,176.92,368.58,5.97,0.00,5.97,0.01,5.96,0.00,5.96,0.31,0.00,5.65,23.77,22.42,21.22,14.46,0.39,4.68,1.01,16.73,8.53,3.45,0.75,361.54,202406.00,206.97,26.18,4.85,4.83,0.33,18.06,4.54,0.29,4.84,0.01,4.83,0.00,4.82,-0.83,5.66,-0.01,5.66,25.14,31.34,3.62,0.39,52.20
Franklin Leasing,539839,,Finance & Investments,13.21,5.89,,,,-4.50,26.67,0.47,,,,,,,,,0.39,,,,,0.25,,,,,,,-97.14,202403.00,,,,,,5.35,-0.18,,,,,,,,,,-0.20,,,,-0.13,20.85
Fraser & Company,539032,,Trading,4.76,0.00,-0.37,,-305.56,-99.77,-332.35,-0.17,0.00,-0.17,0.04,-0.21,0.00,-0.21,0.16,0.00,-0.37,,,,8.12,-0.46,-0.10,-0.17,0.01,0.00,-0.10,-0.15,-198.48,202403.00,,,,,,0.02,-0.21,0.00,-0.21,0.00,-0.21,0.02,-0.23,-0.07,-0.17,0.00,-0.17,-1050.00,-850.00,,-0.21,3.87
Fredun Pharma,539730,,Pharmaceuticals - Indian - Formulations,837.70,78.82,4.13,27.03,72.08,26.09,34.50,10.48,0.00,10.48,1.05,9.43,3.91,5.52,1.39,0.00,4.13,26.99,13.30,5.24,4.70,8.82,10.52,9.61,87.00,81.98,4.22,3.94,22.96,202406.00,27.75,104.73,12.22,7.13,15.23,118.03,11.16,0.00,11.16,0.96,10.20,4.37,5.83,0.78,5.06,0.00,5.06,9.46,4.29,4.68,10.80,392.39
Freshtrop Fruits,530077,,Food - Processing - Indian,130.70,37.83,-0.21,31.95,-107.12,-56.73,-153.63,-0.89,1.59,0.70,1.22,-0.52,0.08,-0.60,-0.39,0.00,-0.21,23.16,-2.35,-0.56,9.89,-0.21,0.58,17.09,17.28,106.24,-0.06,12.96,-124.67,202403.00,-0.65,105.55,5.66,1.31,1.64,23.74,-4.06,52.40,-3.21,1.16,-4.37,0.12,47.06,-0.19,-4.30,51.55,47.25,-17.10,-18.11,9.89,47.75,104.17
Frog Cellsat,,FROG,Telecommunications - Equipment,342.50,35.94,1.15,7.60,-57.41,18.56,-7.97,2.83,0.25,3.05,1.16,1.89,0.06,1.86,0.69,0.03,1.17,40.62,7.87,3.20,15.44,0.76,4.64,4.61,44.68,35.15,2.87,2.58,-7.23,202406.00,,,,,,44.50,7.53,2.43,9.96,1.21,8.75,0.29,8.46,1.09,7.38,0.00,7.38,16.92,16.58,15.38,4.78,528.67
Frontier Capital,508980,,Finance & Investments,22.22,0.10,0.03,25.00,-92.11,-9.68,-60.71,0.02,0.01,0.03,0.00,0.03,0.00,0.03,0.00,0.00,0.03,100.00,20.00,30.00,16.76,0.02,0.03,0.02,0.06,0.06,0.03,0.02,152.63,202403.00,-7.14,0.06,0.02,0.02,0.01,0.06,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,50.00,50.00,16.76,0.02,37.25
Frontier Springs,522195,,Auto Ancillaries,1505.60,44.14,5.05,51.42,132.72,26.13,79.42,7.42,0.46,7.88,1.08,6.80,0.06,6.74,1.69,0.00,5.05,49.57,16.81,11.44,3.96,12.82,4.72,3.48,32.75,25.49,2.85,1.86,64.06,202403.00,28.24,32.69,4.78,3.79,9.63,33.02,5.16,0.05,5.21,0.86,4.35,0.04,4.31,1.08,3.22,0.00,3.22,15.63,9.75,3.96,8.18,593.21
Frontline Corp.,532042,,Trading,68.48,22.56,0.25,9.73,-60.32,14.57,-38.07,-0.46,0.96,0.50,0.38,0.12,0.18,-0.06,-0.32,0.00,0.25,26.64,-2.04,1.11,4.98,0.50,0.33,0.02,21.27,22.84,0.42,0.14,-96.39,202403.00,15.67,26.42,0.02,-0.64,-1.29,21.18,0.16,0.87,1.03,0.38,0.65,0.02,0.63,0.22,0.41,0.00,0.41,0.76,1.94,4.98,0.82,34.24
Fruition Venture,538568,,Finance & Investments,50.00,0.16,-0.22,,-466.67,-96.39,-562.50,-0.21,0.06,-0.15,0.01,-0.16,0.00,-0.16,0.06,0.00,-0.22,-62.50,-131.25,-137.50,4.00,-0.55,-0.21,0.06,0.00,0.00,-0.27,0.14,-150.00,202403.00,,,,,,0.00,-0.01,0.03,0.02,0.00,0.02,0.00,0.02,0.02,0.00,0.00,0.00,,,4.00,0.00,20.00
FSN E-Commerce,543384,NYKAA,Trading,200.12,1667.98,6.93,28.14,205.29,24.14,67.55,93.28,7.06,100.34,59.65,40.69,21.13,19.56,9.83,0.00,9.07,42.58,5.59,0.54,285.60,0.02,80.63,73.47,1507.02,1421.82,7.80,5.42,34.66,202403.00,24.19,1765.73,94.07,10.67,0.03,1788.80,98.78,7.58,106.36,58.03,48.33,21.84,26.49,8.26,16.19,0.00,17.46,5.52,0.98,285.37,0.06,57174.41
Fundviser Capit.,530197,,Finance & Investments,154.35,0.25,0.00,933.33,100.00,340.91,588.89,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.04,0.00,0.00,100.00,20.00,0.00,4.47,0.00,0.01,-0.04,0.06,0.02,0.50,-0.03,5900.00,202403.00,630.89,,,,,0.08,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.04,-0.03,0.00,-0.03,12.50,-37.50,3.69,-0.08,70.46
Fusion Microfin.,543652,FUSION,Finance & Investments,435.85,645.99,132.69,28.97,15.87,33.00,30.52,360.22,29.15,389.37,2.78,386.59,214.88,171.71,39.02,0.00,132.69,100.00,55.76,20.54,100.62,13.19,334.07,322.99,546.64,531.07,125.69,120.46,23.85,202403.00,33.92,711.19,424.78,206.66,20.54,593.03,350.13,20.21,370.34,2.38,367.96,201.46,166.50,40.05,126.45,0.00,126.45,59.04,21.32,100.48,12.57,4385.99
Future Consumer,533400,FCONSUMER,Trading,0.76,93.67,-25.92,10.11,-11.41,-2.98,47.17,-9.45,12.83,-1.97,3.88,-5.85,20.23,-20.73,-0.15,5.35,-20.57,15.25,-10.09,-27.67,1196.29,-0.12,-2.68,-7.74,89.74,88.77,-72.62,-24.40,70.29,202403.00,-1.78,87.19,-6.30,-30.77,-0.15,97.63,-4.04,4.29,-0.17,3.91,-4.08,13.59,-17.25,-0.17,-17.50,0.42,-17.08,-4.14,-17.92,1191.92,-0.09,151.77
Future Ent. DVR,570002,FELDVR,Trading,5.46,2899.46,6.10,22.43,-90.68,,,285.18,9.23,294.41,134.21,160.20,151.08,9.12,3.02,0.00,6.10,27.68,9.84,0.21,82.84,2.36,,265.27,,2546.01,,-8.04,,201506.00,,,,,,2772.62,298.54,7.25,305.73,132.37,173.36,158.19,15.23,4.92,10.27,0.06,10.31,10.77,0.37,,3.98,21.50
Future Enterp.,523574,FEL,Trading,0.78,7.89,-1422.11,-97.55,-118.40,-93.09,53.74,-1333.92,1.01,-1332.91,85.82,-1418.73,3.38,-1422.11,0.00,0.00,-1422.11,-3527.25,-16906.46,-18024.21,98.86,-31.26,-7.75,-15.34,23.94,61.84,-97.74,935.49,-389.72,202303.00,-85.83,8.76,-249.54,-305.38,-6.71,10.86,-8.01,4.44,-3.57,85.80,-89.37,4.26,-93.63,0.00,-93.63,0.00,-93.63,-73.76,-862.15,98.86,-2.06,56.98
Future Lifestyle,536507,FLFL,Trading,2.33,177.61,-7.53,-78.68,96.27,-20.58,-71.94,-18.31,154.16,135.85,90.04,45.81,53.34,-7.53,0.00,0.00,-7.53,40.38,-10.31,-4.24,40.35,-0.37,-647.86,117.22,607.42,1255.38,-1879.91,-111.67,-1482.69,202209.00,3.32,1297.11,-193.93,-636.01,-31.52,272.88,-2.05,27.87,25.82,100.33,-74.51,61.45,-135.96,0.00,-135.96,0.00,-135.96,-0.75,-49.82,40.36,-6.74,47.01
Future Market,533296,FMNL,Miscellaneous,6.51,23.09,-4.90,-8.45,51.78,0.68,95.82,5.85,2.22,8.07,3.45,4.62,3.65,0.97,6.70,0.00,-5.72,100.00,25.34,-24.77,57.54,-0.85,-8.64,8.88,24.13,22.40,-15.65,8.95,-65.39,202403.00,1.21,22.67,5.91,-1.07,-0.16,23.42,11.20,1.43,12.63,3.43,9.20,3.90,5.30,1.07,4.22,0.00,4.22,47.82,18.02,57.54,0.82,37.46
Future Retail,540064,FRETAIL,Trading,2.28,2786.40,-1078.19,87.47,-28.18,-1.87,-74.31,-345.06,5.33,-339.73,398.69,-738.42,339.77,-1078.19,0.00,0.00,-1078.19,17.21,-12.38,-38.69,108.46,-19.88,-395.27,-291.02,1405.73,2002.28,-1147.28,-1100.33,-372.24,202112.00,34.28,2688.71,-445.42,-1317.22,-24.29,2346.62,-358.84,1.95,-356.89,403.00,-759.89,359.74,-1119.63,0.00,-1119.63,0.00,-1119.63,-15.29,-47.71,108.46,-20.65,123.64
Future Supply,540798,FSC,Miscellaneous,3.53,67.04,-30.02,-48.03,29.55,9.30,92.29,-11.39,10.66,-0.73,14.18,-14.91,15.10,-30.01,0.00,0.00,-30.02,100.00,-16.99,-44.78,43.88,-6.84,43.47,23.63,182.78,163.14,-4.29,-26.79,51.64,202206.00,27.17,207.47,25.53,-30.61,-6.98,133.85,31.56,-621.57,82.08,18.86,63.22,15.35,-624.22,0.00,47.87,-672.09,-624.22,23.58,35.76,43.88,-142.24,15.49
Futuristic Sec.,523113,,Finance & Investments,24.35,0.02,0.00,0.00,,-14.29,-250.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,-0.02,0.00,0.00,100.00,-100.00,0.00,1.95,0.00,-0.01,-0.10,0.02,0.02,-0.01,-0.08,-366.67,202403.00,0.00,0.02,-0.06,-0.06,-0.28,0.02,0.00,0.02,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,100.00,1.95,0.10,4.75
Futuristic Solu,534063,,Finance & Investments,93.62,1.93,1.29,-44.86,-53.09,-6.63,-47.19,1.67,0.12,1.79,0.00,1.79,0.00,1.79,0.50,0.00,1.29,94.82,86.53,66.84,10.47,1.23,0.13,-0.14,0.52,0.00,0.19,-0.02,-41.06,202403.00,1524.81,,,,,0.59,-0.15,0.12,-0.03,0.00,-0.03,0.01,-0.04,0.00,-0.04,0.00,-0.04,-25.42,-6.78,10.47,-0.04,98.02
G G Automotive,531399,,Engineering,153.70,29.37,1.24,30.53,117.54,23.97,128.35,4.23,0.16,4.39,1.05,3.34,0.67,2.67,1.43,0.00,1.24,43.31,14.40,4.22,8.33,1.49,3.16,2.20,24.19,21.94,1.35,0.82,57.31,202403.00,24.53,27.32,3.19,1.39,1.67,19.78,2.48,0.07,2.55,0.77,1.78,0.61,1.17,0.15,1.02,0.00,1.02,12.54,5.16,7.92,1.22,128.05
G G Dandekar,505250,,Miscellaneous,142.75,0.62,-3.60,-22.50,-958.82,17.93,-231.43,0.19,0.06,0.36,0.69,-0.33,0.11,-0.55,3.15,-0.11,-3.71,100.00,30.65,-580.65,0.48,-7.79,0.53,0.58,0.89,0.93,0.20,-0.10,12.93,202403.00,,,,,,0.52,0.03,0.14,0.19,0.69,-0.50,0.11,-0.63,0.16,-0.77,-0.02,-0.79,5.77,-148.08,0.48,-1.66,67.97
G G Engineering,540614,,Trading,2.11,69.73,-2.18,267.97,-741.18,137.39,-49.50,-2.32,0.73,-1.59,0.14,-1.73,0.04,-1.77,0.41,0.00,-2.18,-0.67,-3.33,-3.13,158.45,-0.01,-1.98,1.29,43.50,73.24,0.54,0.75,437.96,202406.00,166.02,194.83,2.40,2.11,0.01,76.42,7.64,0.68,8.32,0.18,8.14,0.05,8.09,2.62,5.47,0.00,5.47,10.00,7.16,87.95,0.04,323.78
G K Consultants,531758,,Finance & Investments,16.05,0.45,0.01,164.71,133.33,66.67,187.50,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.05,0.00,0.01,44.44,11.11,2.22,5.31,0.02,0.04,0.07,0.11,0.43,0.04,0.07,195.00,202403.00,125.04,0.97,0.18,0.18,0.33,0.23,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,13.04,13.04,5.31,0.06,8.52
G K P Printing,542666,,Trading,9.25,5.73,-1.95,-57.84,-2266.67,-49.71,-282.47,-1.55,0.03,-1.52,0.22,-1.74,0.27,-2.01,-0.05,0.00,-1.95,-2.79,-27.05,-34.03,22.00,-0.89,0.23,0.35,7.99,9.07,0.02,0.14,-141.03,202403.00,-46.67,4.84,-0.08,-0.47,-0.21,5.40,0.15,0.03,0.18,0.15,0.03,0.01,0.02,0.00,0.01,0.00,0.01,2.78,0.19,22.00,0.00,20.35
G M Breweries,507488,GMBREW,Breweries & Distilleries,793.65,152.40,24.94,3.77,25.26,3.75,51.08,31.45,3.63,35.08,1.50,33.58,0.26,33.32,8.38,0.00,24.94,27.45,20.64,16.36,22.85,10.92,25.39,29.72,156.95,151.57,22.60,22.37,-8.67,202406.00,3.78,157.30,29.21,27.34,11.97,159.85,25.21,71.09,96.30,1.63,94.67,0.16,94.51,7.87,86.64,0.00,86.64,15.77,54.20,18.29,38.00,1813.25
G M D C,532181,GMDCLTD,Mining / Minerals / Metals,395.35,818.13,184.05,6.86,-15.84,-19.05,-45.97,211.38,59.77,271.15,21.39,249.76,0.69,249.07,65.02,0.00,184.05,99.90,25.84,22.50,63.60,5.79,120.54,51.22,564.27,382.74,116.83,74.59,-48.51,202406.00,-16.02,321.41,61.44,49.31,1.55,750.75,205.34,74.30,279.64,21.01,258.63,1.23,257.40,50.27,207.13,0.00,207.13,27.35,27.59,63.60,6.51,12572.13
G M Polyplast,543239,,Plastics Products,186.90,48.68,,,,11.86,43.70,4.18,,,,,,,,,2.00,,,,,1.49,,,,,,,43.18,202403.00,,,,,,43.34,7.17,,,,,,,,,,5.09,,,,3.78,251.56
G N F C,500670,GNFC,Chemicals,679.45,2110.00,127.00,-7.09,-61.98,-22.46,-66.85,145.00,108.00,253.00,78.00,175.00,4.00,171.00,44.00,0.00,127.00,24.55,6.87,6.02,147.00,8.64,169.00,105.00,2080.00,1652.00,178.00,85.00,-73.22,202403.00,-20.86,1307.45,83.00,26.16,1.78,2088.00,84.00,121.00,205.00,76.00,129.00,7.00,122.00,27.00,95.00,0.00,95.00,4.02,4.55,155.00,6.47,9983.88
G R Infraproject,543317,GRINFRA,Construction,1680.55,2030.30,186.44,-18.07,-39.83,-7.93,-29.73,368.12,19.98,437.51,63.24,374.27,102.51,222.35,66.27,-49.41,156.07,28.59,18.13,9.22,48.34,16.08,507.60,467.06,2134.02,1882.78,242.88,217.16,-23.88,202406.00,-7.30,1745.40,401.67,234.47,24.15,2485.12,540.29,343.17,577.18,61.22,515.96,128.49,693.75,140.66,308.91,306.28,553.09,21.74,12.43,48.34,57.29,16249.07
G S Auto Intl.,513059,,Auto Ancillaries,46.00,39.11,0.29,3.00,123.20,17.25,124.64,2.24,0.14,2.38,1.09,1.29,1.06,0.23,-0.06,0.00,0.29,50.29,5.73,0.74,7.26,0.20,2.26,2.48,35.16,37.42,0.15,0.17,143.31,202403.00,17.11,43.82,2.77,0.58,0.40,39.01,2.28,0.02,2.30,0.88,1.42,1.16,0.26,0.18,0.08,0.00,0.08,5.84,0.21,7.26,0.06,66.77
G S F C,500690,GSFC,Fertilizers,236.90,1965.25,24.42,-17.56,-89.14,-19.47,-55.43,25.85,53.93,79.78,46.60,33.18,7.03,26.15,1.73,0.00,24.42,26.96,1.32,1.24,79.70,0.62,237.29,142.41,3118.72,2062.92,308.91,112.46,-67.69,202403.00,-11.53,1824.97,106.44,61.35,1.54,2007.75,107.61,83.25,190.86,45.99,144.87,0.68,144.19,26.20,117.99,0.00,117.99,5.36,5.88,79.70,2.96,9439.93
G V Films,523277,,Entertainment / Electronic Media Software,0.91,0.00,0.35,-100.00,139.33,-58.87,58.25,-0.49,0.00,-0.49,0.02,-0.51,0.14,-0.65,-1.01,0.00,0.35,,,,91.46,0.00,0.22,-0.08,0.46,0.12,0.12,-0.46,-277.27,202403.00,11.33,0.13,,,,0.00,-0.46,0.23,-0.23,0.10,-0.33,0.14,-0.47,0.00,-0.46,0.00,-0.46,,,91.46,-0.01,83.23
G-Tec Janix,,GTECJAINX,Miscellaneous,75.36,1.76,-0.47,-20.00,-181.03,0.24,-109.23,-0.28,0.03,-0.25,0.10,-0.35,0.00,-0.35,0.12,0.00,-0.47,100.00,-15.91,-26.70,10.19,-0.46,0.16,0.38,1.97,2.57,0.08,0.25,-74.31,202403.00,1.86,2.62,0.18,0.06,0.06,2.01,0.10,0.03,0.13,0.10,0.03,0.01,0.02,0.01,0.02,0.00,0.02,4.98,1.00,10.19,0.02,76.79
G-Tech Info.,532139,,Computers - Software - Medium / Small,1.68,0.00,0.00,,,-100.00,0.00,-0.02,0.03,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,,,,0.35,0.00,-0.03,-0.03,0.00,0.00,0.00,0.00,-1000.00,202403.00,,,,,,0.00,-0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.35,0.00,0.59
Gabriel India,505714,GABRIEL,Auto Ancillaries,497.20,858.63,52.71,16.51,56.13,12.48,39.19,77.57,7.92,85.49,14.31,71.18,1.23,69.95,17.25,0.00,52.71,24.85,9.03,6.14,14.36,3.67,73.54,69.00,864.45,805.77,46.95,42.49,35.67,202403.00,12.58,907.15,78.41,61.65,4.29,813.81,70.21,4.53,74.74,14.40,60.34,1.00,59.34,16.38,42.96,0.00,42.96,8.63,5.28,14.36,2.99,7141.98
Gabriel Pet,544108,,Textiles - Manmade,144.30,9.82,,,,,,0.80,,,,,,,,,0.57,,,,,2.15,,,,,,,,202403.00,,,,,,,,,,,,,,,,,,,,,,38.19
GACM Tech,531723,GATECH,Finance & Investments,1.23,1.57,0.35,-13.26,52.17,-32.00,186.05,0.66,0.01,0.67,0.17,0.50,0.16,0.34,0.00,0.00,0.35,100.00,42.04,22.29,39.94,0.01,0.58,0.56,1.42,1.85,0.29,0.27,12.33,202406.00,-30.66,1.28,0.45,0.11,0.00,2.13,0.75,0.01,0.76,0.18,0.58,0.26,0.32,0.00,0.32,0.00,0.32,35.21,15.02,39.94,0.00,110.66
GACM Tech-DVR,570005,GATECHDVR,Finance & Investments,2.28,2.19,0.02,,,505.03,84.90,0.44,0.02,0.46,0.43,0.03,-0.01,0.04,0.01,0.00,0.02,100.00,20.09,0.91,22.90,,,,,,,,104.64,202303.00,,,,,,,,,,,,,,,,,,,,,,26.95
Gagan Gases,524624,,Chemicals,23.50,1.34,-0.01,294.12,83.33,90.85,-92.98,0.00,0.00,0.00,0.02,-0.02,0.00,-0.02,0.00,0.00,-0.01,17.91,0.00,-0.75,4.52,-0.02,0.08,0.05,0.60,0.55,0.07,0.04,950.00,202406.00,154.68,1.40,0.12,0.06,0.14,0.64,0.08,0.03,0.11,0.02,0.09,0.04,0.05,0.03,0.02,0.00,0.02,12.50,3.12,4.52,0.04,10.62
GAIL (India),532155,GAIL,Miscellaneous,237.01,34737.77,3182.93,5.94,77.63,-3.83,173.41,4790.02,684.75,5474.77,1152.19,4322.58,208.76,4113.82,930.47,0.00,3183.35,20.64,13.79,9.16,6575.11,4.84,4208.34,3580.22,34697.82,32985.69,3193.35,2442.18,193.26,202406.00,-3.24,31916.18,3735.71,2551.40,3.88,32756.32,3848.64,650.87,4499.51,1240.77,3258.74,159.47,3099.27,624.96,2468.71,0.00,2474.31,11.75,7.55,6575.10,3.75,155836.44
Gajanan Sec.Serv,538609,,Finance & Investments,80.75,0.13,0.69,533.33,6800.00,500.00,88.46,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.02,0.00,0.69,100.00,69.23,530.77,3.10,2.22,0.00,0.11,0.07,0.13,-0.01,0.14,318.18,202403.00,269.20,0.48,0.29,0.28,0.91,0.03,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.01,0.16,0.00,0.16,33.33,533.33,3.10,0.52,25.05
Gala Global,539228,,Printing & Stationery,3.45,16.20,-0.92,-46.94,21.37,-10.87,-566.67,-0.89,0.27,-0.89,0.05,-0.94,0.23,-0.90,-0.24,0.27,-0.66,-3.70,-5.49,-5.68,27.29,-0.12,0.49,0.53,25.95,17.37,0.23,0.18,-103.49,202403.00,11.76,19.41,0.13,-0.15,-0.03,15.78,-0.22,1.11,0.83,0.04,0.79,0.23,0.62,0.15,0.41,0.06,0.46,-1.39,2.60,27.29,0.08,18.83
Galactico Corpo.,542802,,Finance & Investments,3.90,6.04,0.69,-9.17,-6.76,-37.32,-79.96,0.64,0.83,1.47,0.25,1.22,0.20,1.02,0.33,0.00,0.69,40.40,10.60,11.42,14.90,0.05,0.90,0.62,5.44,4.54,0.61,0.42,-78.54,202406.00,-26.57,3.33,0.42,0.07,0.00,6.00,0.45,0.45,0.90,0.23,0.67,0.22,0.45,0.16,0.29,0.00,0.29,7.50,4.83,14.90,0.02,58.11
Galada Finance,538881,,Finance & Investments,18.86,0.48,0.20,65.52,150.00,47.25,3300.00,0.42,0.00,0.42,0.07,0.35,0.13,0.22,0.03,0.00,0.20,100.00,87.50,41.67,3.00,0.67,0.13,0.09,0.28,0.21,0.09,0.01,134.21,202403.00,51.44,0.32,0.17,0.00,-0.01,0.37,0.24,0.02,0.26,0.07,0.19,0.12,0.07,0.03,0.04,0.00,0.04,64.86,10.81,3.00,0.13,5.66
Galaxy Agrico,531911,,Castings & Forgings,44.80,0.97,0.05,-25.38,133.33,30.60,40.00,0.12,0.06,0.18,0.10,0.08,0.01,0.07,0.02,0.00,0.05,109.28,12.37,5.15,2.73,0.18,0.20,-0.30,3.92,1.29,0.10,-0.36,94.74,202406.00,89.42,2.44,-0.24,-0.50,-1.83,0.82,-0.05,0.06,0.01,0.13,-0.12,0.02,-0.14,0.00,-0.15,0.00,-0.15,-6.10,-18.29,3.91,-0.55,12.23
Galaxy Bearings,526073,,Bearings,1510.35,38.97,6.12,-9.41,3.73,7.11,18.49,7.47,1.72,9.19,0.56,8.63,0.22,8.41,2.29,0.00,6.12,58.17,19.17,15.70,3.18,19.25,4.80,3.44,33.23,28.94,4.20,3.48,-0.95,202403.00,12.49,32.55,4.84,4.14,13.03,25.98,5.19,2.23,7.42,0.44,6.98,0.18,6.80,1.76,5.05,0.00,5.05,19.98,19.44,3.18,15.88,480.29
Galaxy Cloud,506186,,Food - Processing - Indian,41.98,0.39,1.32,-83.88,213.79,-90.40,41.14,-0.47,-0.77,1.73,0.02,1.71,0.39,-1.65,0.00,-2.97,-1.65,30.77,-120.51,338.46,44.94,-0.37,-2.04,-1.37,3.26,3.42,-3.05,-2.42,14.62,202403.00,-56.97,1.47,-2.56,-3.22,-0.72,0.51,-3.78,-2.87,-3.68,0.10,-3.78,0.35,-7.10,0.00,-4.13,-2.97,-7.10,-741.18,-809.80,44.94,-1.58,188.65
Galaxy Surfact.,540935,GALAXYSURF,Chemicals,2942.90,929.00,77.50,-5.17,-14.39,-15.01,-20.72,101.66,23.91,125.57,26.22,99.35,5.39,93.96,16.46,0.00,77.50,32.62,10.94,8.34,35.45,21.86,124.89,123.18,983.12,941.77,77.42,75.18,-18.66,202403.00,-14.45,805.72,100.51,73.76,20.80,940.49,112.49,6.38,118.87,25.13,93.74,5.90,87.84,16.47,71.37,0.00,71.37,11.96,7.59,35.45,20.13,10433.98
Gallantt Ispat L,532726,GALLANTT,Steel - Medium / Small,311.70,1177.39,95.39,7.58,40.44,4.77,59.88,183.54,3.37,186.91,34.09,152.82,7.55,145.27,49.88,0.00,95.39,26.34,15.59,8.10,241.28,3.95,86.44,70.65,949.87,1036.17,47.26,30.71,31.04,202403.00,4.33,1081.08,99.40,62.17,2.58,1062.67,106.54,1.15,107.69,29.28,78.41,7.88,70.53,18.55,51.98,0.00,51.98,10.03,4.89,241.28,2.15,7520.73
Gallops Enterp.,531902,,Construction,22.50,0.08,-0.03,-20.00,-160.00,,125.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,0.00,-0.03,25.00,-37.50,-37.50,5.01,-0.06,-0.04,0.10,0.00,0.00,-0.04,0.10,107.14,202403.00,,,,,,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,,,,-0.06,11.28
Gandhar Oil Ref.,544029,GANDHAR,Refineries,210.67,939.24,9.14,-4.81,-58.81,0.83,-26.11,33.60,4.79,38.39,5.54,32.85,13.64,19.21,7.10,0.00,12.11,11.38,3.58,1.29,19.57,0.93,75.93,84.08,1001.00,1070.36,48.06,54.23,-12.21,202403.00,,,,,,1102.62,85.12,1.69,86.81,5.01,81.80,16.08,65.72,14.81,47.32,0.00,50.91,7.72,4.62,16.00,4.83,2061.82
