Name,BSE Code,NSE Code,Industry,Current Price,Number of equity shares 10years back,Average return on equity 5Years,Average return on equity 3Years,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,225.20,3.38,14.98,16.11,60.78,53.22,21.01,2.89,3.49,3.43,3.53,0.00,0.00,1.83,20.14,18.86,19.18,17.75,14.20,15.09,1.90,12.74,12.83,22336.00,4.73,56.42,68.03,52.97,7.30,8.53,8.41,9.12,8.38,8.23,124.03,134.79,123.50,105.34,84.01,0.70,0.00,794.66
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,70.44,1.05,-6.55,1.40,48.70,52.02,55.55,,,,,,0.00,0.00,-1.17,-6.00,-0.97,4.67,4.35,-0.85,60.10,,,7783.00,0.00,89.26,-765.87,7.66,-6.34,-2.05,4.82,2.43,3.57,4.69,14.65,20.21,19.16,4.25,51.05,-0.35,-0.15,73.96
360 ONE,542772,360ONE,Finance & Investments,994.55,,17.25,21.97,80.43,85.77,,,4.25,,,0.00,0.00,865.34,13.73,11.58,11.46,11.46,,,9.29,57.85,,35480.00,177.18,47.33,49.95,68.46,4.65,6.02,27.09,29.05,29.05,29.05,10894.33,,,,-109.10,38.31,6.97,36088.98
3B Blackbio,532067,,Healthcare,1184.50,0.64,34.65,17.98,175.88,42.77,15.78,0.23,0.04,0.12,2.51,0.00,0.00,3.40,22.23,51.94,44.46,33.72,32.79,34.11,-8.68,54.75,48.43,13136.00,10.55,171.51,56.00,289.74,31.57,14.46,13.44,15.49,13.15,10.69,213.76,48.38,22.11,4.79,210.92,1.50,1.80,1016.66
3C IT Solutions,544190,,Computers - Software - Medium / Small,44.10,,,,,,,,,,,,,,27.48,27.48,27.48,27.48,,,,,,,0.00,66.12,,,,,1.51,1.51,1.51,1.51,,,,,64.30,,,26.55
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,36.46,60.38,-0.83,-5.90,4.66,2.42,-6.89,,14.37,7.14,7.03,0.00,0.00,0.00,-2.13,-1.02,3.43,3.16,,3.46,,-1.96,-2.44,309577.00,0.00,60.67,52.93,79.52,-1.23,-3.98,99.56,8.20,8.33,8.32,1204.41,622.41,597.74,443.80,40.42,0.87,-4.68,617.12
3M India,523395,3MINDIA,Diversified - Large,37310.00,1.13,14.61,18.08,1972.03,1841.77,717.01,3.58,4.12,3.97,3.90,0.00,0.00,345.99,24.53,19.83,23.28,25.03,16.55,15.92,5.48,13.97,14.92,29884.00,124.72,59.74,69.45,70.97,10.58,13.02,78.53,76.48,76.34,81.08,34287.19,27330.09,13030.96,3973.82,31.22,-0.31,0.74,42048.39
3P Land Hold.,516092,3PLAND,Finance & Investments,38.00,1.80,2.26,2.19,25.90,16.28,10.67,,,,4.65,0.00,0.00,0.00,2.93,2.73,3.38,4.54,1.63,2.07,42.05,62.14,6.99,7052.00,0.00,0.00,0.00,0.00,2.30,2.12,29.00,29.40,26.07,25.63,15.48,20.16,19.44,12.20,-1.11,0.00,0.00,68.41
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.69,3.49,-11.25,-3.65,5.09,4.86,4.57,1.91,0.00,-1.31,,,0.00,0.00,-1.65,-6.92,-5.49,-2.51,-4.37,-8.68,15.69,,,6043.00,0.00,-10503.89,,253.25,-7.53,-2.80,40.80,72.98,17.77,32.80,2.96,4.95,559.13,25.17,50749.48,0.00,0.00,5.88
5Paisa Capital,540776,5PAISA,Finance & Investments,514.30,,8.41,9.55,61.17,54.26,,,,0.32,,0.00,0.00,0.00,11.30,9.40,-1.23,-1.23,,4.83,18.22,22.35,,26278.00,0.00,0.05,0.00,11.71,1.39,2.25,39.81,59.94,59.94,59.94,637.13,369.29,,,-954.91,-2.39,0.29,1604.75
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,379.45,4.61,0.36,1.32,670.78,679.62,635.50,,1836.00,78.33,0.18,0.00,0.00,7.38,2.25,0.98,1.04,-0.16,-0.90,0.16,52.14,-21.59,-48.54,43600.00,-17.46,60.85,91.60,98.04,0.10,0.84,15.17,16.21,22.67,16.13,319.55,373.70,347.43,1721.49,209.01,-0.55,0.00,1748.43
7NR Retail Ltd,540615,,Trading,5.23,2.40,-0.62,-0.15,2.09,2.20,,0.54,1.88,3.13,1.48,0.00,0.00,0.00,2.10,0.63,1.11,1.13,-0.17,-0.21,,-1.11,-0.15,35721.00,0.00,319.37,19.84,3.04,-0.02,0.91,71.65,113.33,113.33,110.00,21.50,156.14,,,479.26,0.00,0.00,14.66
7Seas Enter.,540874,,Computers - Software - Medium / Small,60.36,0.71,,,-5.19,-6.80,,,,,,0.00,0.00,0.00,12.58,-100.56,-97.11,-72.71,,,,5.98,-32.56,2440.00,0.00,58.36,182.50,73.00,69.19,9.29,61.84,61.63,61.63,61.63,7.74,10.18,,,372.67,0.00,0.00,112.65
A B B,500002,ABB,Electric Equipment,8522.40,21.19,14.06,17.76,170.19,166.12,132.70,4.39,5.21,3.64,5.20,0.00,0.00,187.74,23.27,18.23,17.55,17.25,12.87,13.72,11.71,9.83,8.84,106396.00,24.42,92.41,106.28,92.03,6.60,8.86,103.79,84.92,87.77,100.14,25683.34,25058.87,19566.42,12996.67,-5.51,8.16,-1.11,180596.80
A B Infrabuild,,ABINFRA,Construction,55.00,0.28,15.88,19.34,18.78,20.34,,1.12,1.13,1.04,2.56,0.00,0.00,0.00,19.97,16.88,17.84,16.86,15.83,17.23,8.29,10.70,11.00,137.00,0.00,105.04,213.22,104.87,3.93,5.03,8.50,7.35,7.35,7.35,9.15,,,,178.27,0.00,0.00,273.60
A B M Internatl.,,ABMINTLLTD,Trading,61.99,0.20,-4.44,-15.23,19.50,10.88,,15.21,10.92,51.11,,0.00,0.00,0.00,-17.05,-0.09,-1.26,-0.25,,-4.73,,-0.61,-0.33,1349.00,0.00,13.80,15.13,23.87,-2.43,-9.38,40.99,29.82,35.28,27.42,68.27,17.46,71.27,,30.90,,,58.32
A F Enterprises,538351,,Trading,10.91,,,1.32,4.35,,,,,,,0.00,,,2.36,2.36,2.36,2.36,,,,,,4732.00,,2614.47,1036.99,,,0.03,31.73,31.73,31.73,31.73,44.68,4.22,6.10,,626.60,0.00,0.00,40.03
A G Universal,,AGUL,Trading,64.40,,,20.30,,,,71.50,,,,0.00,0.00,0.00,12.91,12.02,12.02,12.02,,,,3.41,,,0.00,50.65,31.62,,,3.02,21.47,21.47,21.47,21.47,,,,,39.89,,,35.31
A K Spintex,539300,,Textiles - Processing,259.40,0.50,15.95,20.95,42.51,41.60,,2.24,3.89,6.75,5.03,0.00,0.00,0.00,22.13,16.44,14.55,14.36,13.94,14.47,28.65,13.07,12.11,3212.00,0.00,63.76,110.79,90.31,7.02,9.95,9.58,9.56,8.68,8.61,13.33,15.70,30.12,,40.32,0.00,0.00,130.54
A R C Finance,540135,,Finance & Investments,1.18,50.50,0.51,0.57,1.01,1.01,,0.84,2.13,2.72,74.91,0.00,0.00,0.00,1.36,1.02,0.66,0.74,0.32,0.24,19.73,6.11,5.18,82068.00,0.00,50.74,4.36,33.11,0.39,0.41,86.00,74.00,74.00,77.00,19.19,5.05,66.16,,478.56,0.00,0.00,59.61
A-1 Acid,542012,,Trading,346.00,0.12,7.95,8.04,34.97,32.59,,82.39,102.14,136.62,,0.00,0.00,1.04,9.72,9.87,12.13,13.43,,9.24,-33.28,1.87,1.69,1961.00,77.31,50.52,91.19,69.56,5.38,5.25,76.88,59.03,59.03,63.87,99.85,60.00,,,51.88,2.90,0.00,397.91
A.K.Capital Serv,530499,,Finance & Investments,1051.00,0.66,10.60,10.89,1036.14,931.32,581.44,0.00,0.00,0.00,0.00,0.00,0.00,5.28,8.91,9.13,9.29,9.60,11.17,11.08,-4.17,63.01,61.81,2188.00,7.07,4.19,4.60,7.01,3.12,3.04,3.75,3.83,3.68,3.58,203.74,217.14,257.80,80.78,464.14,0.00,0.00,693.66
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,21.67,8.65,-33.02,-54.06,19.18,23.44,82.27,0.09,1.21,8.64,3.47,0.00,0.00,0.00,-11.33,-7.50,-5.04,-3.39,-29.84,-30.48,,-13.79,-3.35,45414.00,0.00,338.19,794.15,413.10,-5.53,-5.50,,13.20,13.20,13.20,66.04,292.36,629.08,77.52,97.17,0.30,0.00,381.65
AA Plus Trade,543319,,Trading,20.00,,2.55,2.65,,,,,,,,0.00,0.00,0.00,3.15,3.15,3.16,3.16,,,17.74,-3.28,,322.00,0.00,109.54,165.57,44.12,1.63,1.91,108.33,108.33,108.33,108.33,,,,,380.47,,,48.65
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,110.90,0.08,13.49,11.46,17.49,,,,,,,0.00,0.00,0.46,15.40,22.64,27.06,20.96,13.99,15.05,-19.52,22.07,16.46,1265.00,20.20,169.92,331.88,225.21,13.36,10.35,34.58,30.44,30.44,30.44,36.26,,,,232.43,0.00,0.00,142.24
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,416.55,,15.76,16.88,,,,,,,,0.00,0.00,0.00,10.50,10.24,10.24,10.24,,,,76.63,,,0.00,1.26,0.63,1.11,3.08,3.67,21.06,21.06,21.06,21.06,,,,,-58.67,,,17766.62
Aadi Industries,530027,,Plastics Products,6.86,1.00,,,-6.07,-5.96,-6.05,0.00,10.67,,,0.00,0.00,0.00,-52.89,-45.64,-45.64,-28.85,,,,,,4655.00,0.00,3163.33,,2246.15,-11.76,-42.74,,2.74,,,1.03,1.03,1.29,3.49,3771.67,0.00,0.00,6.86
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,14.16,3.00,11.60,11.25,4.10,3.69,,,,,,0.00,0.00,0.00,13.31,13.61,13.32,12.20,,11.80,-2.51,19.02,18.54,23860.00,0.00,86.22,91.23,130.40,7.18,7.29,23.58,20.45,20.45,21.58,131.69,12.16,,,45.93,0.03,0.00,143.37
Aananda Lakshmi,539096,,Construction,14.58,0.35,,,-82.45,-69.99,,18.29,13.29,0.95,6.32,0.00,0.00,0.00,74.92,37.64,22.09,12.34,,,,-12.81,-5.55,6830.00,0.00,726.08,153.99,513.39,-0.74,11.38,2.23,1.77,2.27,2.23,1.82,0.79,1.17,,-140.78,0.00,0.01,5.10
Aanchal Ispat,538812,,Steel - Medium / Small,6.14,2.09,-22.20,-33.35,24.20,26.85,18.80,6.61,6.94,9.90,6.99,0.00,0.00,0.00,-7.82,-5.18,-1.34,1.63,-8.96,-12.91,,-4.68,-0.07,4393.00,0.00,152.11,221.85,69.72,-7.67,-9.41,,15.93,14.51,12.61,12.51,19.25,19.35,,178.72,0.00,0.00,12.80
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,45.65,1.68,5.24,4.40,41.28,38.50,21.05,18.87,15.17,33.77,45.22,0.00,0.00,0.00,6.96,7.84,9.43,10.23,6.14,6.01,-14.08,1.61,1.68,17699.00,0.00,145.50,169.72,108.88,2.43,1.90,20.00,18.52,13.00,12.76,54.25,67.58,183.83,18.21,107.93,-0.02,0.00,115.88
Aarnav Fashions,539562,,Textiles - Products,47.85,0.30,3.62,2.97,110.05,13.88,,4.88,153.19,,1.25,2.32,0.00,0.99,6.15,10.30,9.08,7.14,3.60,3.63,-8.78,6.81,6.84,42120.00,7.55,124.06,270.80,323.42,3.61,1.15,16.11,27.91,27.91,27.90,133.54,4.51,,,160.65,0.00,0.00,202.12
Aaron Industries,,AARON,Engineering,263.20,,22.91,25.57,12.12,10.56,,2.78,2.71,2.95,,0.00,0.00,0.63,24.11,21.16,24.69,23.60,,22.98,6.68,16.27,,6988.00,18.93,20.22,25.30,38.27,11.66,13.79,42.39,34.62,34.62,37.02,57.45,22.81,,,86.91,0.00,0.00,275.65
Aartech Solonics,542580,AARTECH,Electric Equipment,200.40,,3.08,5.23,23.58,23.32,,2.30,2.05,,,0.00,0.00,0.28,8.25,5.11,4.88,4.88,,,23.65,5.23,,238.00,15.79,150.39,212.81,132.07,2.41,4.32,57.50,54.30,54.30,55.96,26.15,24.56,,,212.97,0.01,1.39,212.22
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,523.90,9.69,20.42,16.32,98.01,70.01,31.80,3.77,4.42,3.44,,0.00,0.00,11.13,16.96,21.20,20.00,19.53,,20.06,-4.52,14.23,14.61,169090.00,5.15,109.30,94.05,107.22,10.09,8.19,23.61,18.99,21.20,23.20,6470.88,1502.48,1373.57,317.79,122.17,-0.01,3.99,4816.45
Aarti Industries,524208,AARTIIND,Chemicals,694.55,35.44,16.09,15.52,100.54,85.50,28.68,2.20,2.34,3.06,3.16,0.00,0.00,73.39,13.24,13.63,14.68,16.12,17.93,17.13,-18.96,20.68,20.31,385751.00,12.01,54.88,64.29,67.97,8.61,8.84,34.49,25.87,29.81,33.45,20837.46,12083.21,5552.26,961.84,99.01,-0.97,3.62,25177.75
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,608.00,,,13.94,,,,,,,,,,,17.38,17.38,17.38,17.38,,,,,,276664.00,7.30,99.82,,,,10.02,20.90,20.90,20.90,20.90,,,,,174.86,,,5510.05
Aarti Surfactant,543210,AARTISURF,Chemicals,682.35,,8.85,8.43,156.07,,,5.63,4.76,,,0.00,16.40,0.45,10.61,10.18,10.18,10.18,,,,8.29,,41140.00,0.00,39.20,42.65,42.20,3.48,3.32,54.22,66.94,66.94,66.94,779.36,,,,63.00,-1.46,-0.38,577.17
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,28.21,2.35,-35.76,-55.22,71.45,98.46,109.10,1.26,1.97,3.42,3.19,0.00,0.00,0.00,-8.72,-6.69,-2.59,0.21,-11.83,-20.03,,-3.35,5.79,9787.00,0.00,249.13,286.71,139.67,-8.07,-9.08,,22.21,25.65,37.17,41.05,54.54,174.42,82.81,355.95,0.00,-0.01,66.18
Aarvi Encon,,AARVI,Miscellaneous,139.27,0.03,12.34,12.79,57.54,51.62,,,,,,0.00,0.00,2.51,14.41,13.32,14.24,16.21,13.05,12.59,-3.94,4.10,4.83,8132.00,23.64,85.50,96.64,86.36,8.22,8.64,13.08,9.79,9.79,11.42,76.43,60.61,,,58.64,0.00,0.00,205.91
Aashka Hospitals,543346,,Healthcare,117.15,,2.56,0.86,,,,12.46,6.38,,,0.00,0.00,0.00,3.82,7.34,7.34,7.34,,,,21.50,,2435.00,0.00,104.51,65.66,45.64,2.25,0.76,19.76,19.76,19.76,19.76,,,,,102.41,,,274.12
AastamangalamFin,511764,,Finance & Investments,44.23,0.43,6.27,8.16,32.68,31.56,27.37,,,,,0.00,0.00,0.00,6.51,4.86,4.59,5.11,5.40,5.48,28.76,77.25,68.46,6033.00,0.00,99.62,0.00,0.00,2.69,3.29,11.73,15.53,16.64,14.41,5.28,25.60,11.36,3.61,37.95,0.00,0.00,39.41
Aatmaj Health,,AATMAJ,Healthcare,26.25,,,38.03,,,,24.74,,,,0.00,0.00,0.00,41.39,47.01,47.01,47.01,,,,32.57,,,0.00,259.83,13.43,,,21.41,13.41,13.41,13.41,13.41,,,,,210.95,,,59.33
AAVAS Financiers,541988,AAVAS,Finance - Housing,1868.60,3.29,13.57,13.94,305.89,267.86,,,,,,0.00,0.00,0.00,9.64,9.81,10.05,10.72,13.38,13.22,3.69,73.70,73.57,60388.00,0.00,2.21,0.00,0.00,3.52,3.46,37.33,49.21,49.21,45.62,19004.79,9027.71,,,31.39,2.67,15.88,14788.04
Aayush Food&Herb,539528,,Trading,299.00,0.32,-3.07,-12.58,20.99,19.66,,5.69,5.08,18.27,,0.00,0.00,0.00,-2.37,4.47,9.41,7.89,1.71,1.13,2.16,0.50,0.31,2330.00,0.00,44.13,58.13,64.86,0.13,-0.63,465.65,19.00,17.97,20.24,8.49,10.45,9.23,,197.29,0.00,0.00,97.02
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,259.00,,13.35,13.58,,,,4.02,4.14,5.34,,0.00,0.00,0.00,12.01,11.33,10.59,10.59,,12.30,15.74,8.64,,247.00,0.00,23.04,22.91,28.43,4.74,5.14,13.32,13.32,13.32,13.32,,,,,86.90,,,266.57
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,65.50,5.78,,,-2882.32,-2624.97,937.42,0.03,0.10,0.08,0.05,0.00,0.00,0.00,0.00,-174.22,-72.72,-33.69,,,,-278.67,-57.17,108202.00,0.00,227.46,183.71,478.92,-63.81,-63.36,,3.97,,,171.89,334.72,1314.09,2314.43,-6756.34,0.34,-0.16,382.29
ABans Enterprise,512165,,Trading,132.20,,,9.46,137.56,39.20,,75.37,,,,0.00,0.00,0.06,10.97,13.25,13.25,13.25,,,,0.81,,1565.00,0.00,27.06,22.55,,,5.48,7.53,7.66,7.66,7.66,157.63,56.98,7.07,0.81,43.49,8.38,0.00,184.42
Abans Holdings,543712,AHL,Finance & Investments,487.30,,8.83,9.21,,,,45.00,54.12,,,0.00,0.00,0.00,9.18,9.50,9.50,9.50,,,,6.91,,28243.00,0.00,104.11,93.99,19.64,4.14,4.49,21.46,21.46,21.46,21.46,,,,,276.46,,,2443.61
Abate As Indust,531658,,Trading,28.70,0.50,,,1.34,1.28,10.55,,,,,,,0.00,-103.09,-60.96,-51.28,-39.24,,,,,,1109.00,0.00,-4380.00,,,-57.78,-97.71,354.50,71.88,71.94,91.56,1.50,1.24,0.90,0.47,9307.50,0.00,0.00,14.41
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,27674.35,2.12,30.47,32.20,1224.59,1144.37,441.21,3.86,4.11,3.53,3.55,1.96,0.00,652.38,41.84,39.19,39.13,38.53,28.47,29.38,7.77,22.11,19.40,72086.00,72.81,20.98,21.19,27.40,20.62,22.03,49.60,45.60,48.31,50.29,31838.46,15522.19,9865.20,3729.78,-6.89,-0.07,2.17,58808.00
ABC Gas (Int.),513119,,Trading,91.58,0.20,-22.13,-23.72,7.12,9.19,12.07,0.55,0.93,0.63,0.73,0.00,0.00,0.00,-20.80,-16.77,-11.68,-8.32,-12.27,-16.03,,-100.63,-29.32,6398.00,0.00,654.16,3241.55,1336.75,-9.72,-11.73,,25.87,30.60,30.60,1.88,2.38,2.49,1.04,26884.38,0.00,0.00,18.13
ABC India,520123,,Miscellaneous,112.30,0.54,7.62,6.21,63.56,63.39,91.08,65.31,104.18,94.85,100.84,0.00,0.00,0.22,8.37,10.69,8.69,4.75,-4.34,4.58,-23.25,3.74,2.30,4755.00,9.38,73.18,111.40,78.02,3.06,2.66,19.78,18.76,18.76,18.46,33.48,28.82,46.86,46.53,78.53,0.00,0.00,60.83
Abhinav Capital,532057,,Finance & Investments,207.70,0.69,11.77,14.65,45.95,42.04,23.51,,,,,0.00,0.00,0.00,18.21,13.07,13.83,14.80,12.02,11.83,6.58,86.66,89.18,951.00,0.00,0.00,0.00,0.00,8.72,12.51,10.14,13.27,11.86,11.37,21.12,50.17,62.32,19.77,999.29,0.00,0.00,143.83
Abhinav Leasing,538952,,Finance & Investments,2.76,5.00,1.57,1.95,1.12,1.11,1.10,46.92,4.91,5.66,0.56,0.00,0.00,0.00,24.44,17.14,13.92,11.05,0.90,1.17,59.27,2.96,3.42,5725.00,0.00,11.97,0.15,2.90,0.34,0.25,100.50,99.00,99.00,98.00,3.85,8.00,94.21,,-151.25,0.00,0.00,13.80
Abhishek Finle.,538935,,Finance & Investments,37.00,0.43,2.11,3.19,9.36,9.10,8.84,0.43,0.45,4.57,0.14,0.00,0.00,0.00,4.56,2.93,2.64,2.32,1.72,1.88,36.85,17.83,12.75,942.00,0.00,27.63,37.76,37.92,1.86,2.88,105.44,93.57,101.52,103.60,5.46,3.28,2.32,,196.37,0.00,0.00,15.78
Abhishek Infra.,539544,,Construction,7.14,,,-5.04,8.62,,,,,,,,,,-4.86,-4.86,-4.86,-4.86,,,,,,2553.00,,1228.94,1.44,,,-2.19,29.55,29.55,29.55,29.55,1.48,1.04,5.23,,1148.97,0.00,0.00,3.60
Abhishek Integr.,,AILIMITED,Construction,69.45,,,8.85,,,,,,,,0.00,,0.00,12.65,12.65,12.65,12.65,,,,6.41,,226.00,0.00,35.10,215.89,0.00,,5.79,26.61,26.79,26.79,26.79,,,,,133.52,0.00,0.00,41.82
Abirami Fin.,511756,,Finance & Investments,58.20,0.60,26.37,35.76,13.22,13.42,14.35,,,,,,,0.24,42.10,25.49,18.64,14.07,16.50,21.04,93.23,,,1387.00,2.74,0.00,,,17.91,29.69,17.74,23.76,25.00,23.76,2.22,5.20,3.41,3.90,0.00,0.00,0.00,31.43
ABM Knowledge,531161,,Computers - Software - Medium / Small,148.00,2.00,8.12,6.94,93.63,83.72,43.20,,,,,0.00,0.00,2.55,9.15,10.85,11.88,17.04,10.50,8.64,-7.92,22.98,27.44,4929.00,17.97,183.75,108.57,128.32,7.14,6.00,14.41,12.37,12.31,12.71,224.42,123.81,302.23,47.46,344.45,-0.23,0.00,296.03
ABS Marine,,ABSMARINE,Shipping,355.00,,,12.22,,,,,,,,0.00,,,11.24,11.24,11.24,11.24,,,,,,,0.00,76.76,63.68,,,6.76,,,,,,,,,42.15,,,871.54
ACC,500410,ACC,Cement - North India,2648.40,18.77,11.94,11.62,676.25,614.73,437.70,4.98,4.15,3.56,3.71,0.00,0.00,386.32,15.28,16.16,16.06,15.06,11.68,12.14,-1.53,14.53,14.17,170373.00,28.07,13.29,11.95,21.39,8.19,8.00,29.32,26.89,25.41,22.75,30377.41,28320.20,24995.43,20816.27,-4.48,-7.50,5.32,49733.60
Accedere,531533,,Computers - Software - Medium / Small,85.50,,-0.63,-0.97,8.30,8.28,,0.25,,,,0.00,0.00,0.00,-1.67,-1.14,-1.14,-1.14,,,,2.71,,2423.00,0.00,217.02,1338.33,691.83,-1.00,-1.59,190.91,120.97,120.97,123.25,5.49,1.71,2.28,9.02,341.10,0.00,0.00,43.01
Accel,517494,,Computers - Software - Medium / Small,22.44,,0.51,5.47,13.94,10.50,,12.28,97.73,7.28,,0.00,0.00,1.03,9.00,3.83,0.12,0.12,,-1.63,22.22,9.06,,12960.00,46.58,85.38,103.97,63.27,-0.76,2.12,35.89,35.89,35.89,35.89,89.62,52.22,5.56,4.82,28.32,0.00,-0.01,129.18
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,339.00,,,,,,,,,,,,,,70.92,70.92,70.92,70.92,,,,,,,,78.28,,,,,86.91,86.91,86.91,86.91,,,,,47.89,,,72.85
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1744.90,1.49,36.75,31.12,163.98,132.36,73.39,,,,,0.00,0.00,65.99,38.52,50.56,61.75,76.28,46.50,41.17,-2.20,36.89,38.20,25446.00,127.35,69.26,67.47,53.15,26.68,22.05,21.50,20.61,20.24,20.46,1373.22,1737.12,1708.99,678.25,54.91,-0.12,0.40,2605.14
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.00,,,44.98,,,,4.95,,,,62.99,62.99,0.83,35.39,30.81,30.81,30.81,,,,10.38,,,10.82,38.62,59.36,,,15.50,26.77,26.77,26.77,26.77,,,,,56.01,,,597.62
Accord Synergy,,ACCORD,Telecommunications - Service Provider,28.30,0.00,-3.41,-12.12,57.75,54.58,,0.21,0.40,-1.99,,0.00,0.00,0.00,-8.76,-0.98,6.06,14.78,,2.50,-34.01,1.06,5.83,188.00,0.00,119.14,106.15,106.29,-3.21,-7.95,89.14,4.02,4.02,6.67,6.25,8.68,,,121.86,0.00,0.00,9.83
Accuracy Shippi.,,ACCURACY,Miscellaneous,13.54,,8.65,8.64,5.45,4.88,,37.29,5.09,,,0.00,0.00,15.06,11.70,11.20,11.20,11.20,,,,5.28,,6384.00,138.67,54.49,102.60,90.78,3.44,3.37,19.90,16.20,16.20,16.20,75.45,118.97,,,69.05,0.03,-12.30,203.85
ACE EduTremd Ltd,530093,,Miscellaneous,3.20,0.92,-3.53,-2.94,10.44,10.80,14.26,,,,,0.00,0.00,0.00,-2.32,-2.78,-3.30,-4.13,-4.35,-4.44,10.14,,,3631.00,0.00,0.00,16637.92,3457.55,-2.40,-2.02,,6.54,,,1.21,1.82,1.91,30.14,0.00,0.00,0.00,2.93
Ace Engitech,530669,,Computers - Software - Medium / Small,21.56,0.33,-21.94,-12.32,1.76,2.69,,,,,,0.00,0.00,0.00,-11.73,-20.64,-26.34,-18.84,-16.40,-30.55,7.57,-122.03,-212.26,3081.00,0.00,399.60,60.83,0.00,-17.19,-7.53,498.50,498.50,498.50,498.50,1.09,1.60,,,-192.97,0.00,0.00,7.12
Ace Integrated,,ACEINTEG,Computers - Software - Medium / Small,34.19,,3.47,3.51,16.58,16.44,,,,,,0.00,0.00,0.00,4.68,4.80,6.37,12.90,6.88,4.41,-1.07,10.05,12.82,852.00,0.00,247.04,366.65,294.17,2.91,3.02,47.63,33.65,33.65,44.25,9.82,24.31,,,434.09,0.00,0.00,34.87
Ace Men,539661,,Trading,45.99,0.31,4.89,5.87,10.42,9.62,,,,2.00,,0.00,,0.00,7.88,6.52,4.28,4.15,2.63,3.35,,7.21,4.81,1561.00,0.00,0.00,0.00,,3.42,3.80,23.48,36.55,34.21,34.21,10.84,6.34,5.34,,-217.70,0.00,0.00,14.24
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,243.75,0.47,1.57,6.65,42.01,41.30,38.40,0.22,0.02,0.22,-0.60,0.00,0.00,0.00,5.79,0.08,0.34,1.59,2.05,1.27,50.28,-5.68,-2.28,3634.00,0.00,6.81,0.41,4.56,-0.72,4.38,31.60,11.33,11.70,31.31,5.85,11.30,8.99,3.49,161.30,0.00,0.00,156.00
Achyut Healthcar,543499,,Trading,56.70,,2.74,2.71,,,,4.60,,,,0.00,100.00,0.00,3.29,4.79,4.79,4.79,,,,-1.93,,158.00,0.00,23.53,378.52,54.48,2.56,2.10,234.21,234.21,234.21,234.21,,,,,804.63,,,95.40
ACI Infocom,517356,,Computers - Software - Medium / Small,2.44,11.05,0.46,0.46,1.51,1.49,1.46,0.00,0.89,1.03,0.19,0.00,0.00,0.00,0.73,0.72,0.91,1.03,0.53,0.47,54.55,-42.60,-10.22,43843.00,0.00,17.38,365.00,307.37,0.44,0.45,78.50,110.75,80.00,71.50,3.20,3.31,76.46,65.52,7782.18,0.00,0.00,26.96
Acknit Indus.,530043,,Textiles - Products,312.00,0.25,11.85,12.56,178.36,160.23,107.54,2.20,1.97,2.51,3.27,0.00,0.00,0.46,11.88,11.56,11.37,11.26,11.21,11.34,1.04,7.54,6.57,2217.00,5.38,50.48,51.07,64.84,5.29,5.98,5.63,6.22,5.79,5.30,27.79,27.51,24.92,8.54,139.89,-0.44,0.00,94.84
