Name,BSE Code,NSE Code,Industry,Current Price,Number of equity shares 10years back,Average return on equity 5Years,Average return on equity 3Years,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
Mindteck (India),517344,MINDTECK,Computers - Software - Medium / Small,307.75,2.51,8.37,11.98,54.58,50.59,65.25,,,,,0.00,0.00,1.51,14.19,10.69,8.15,9.33,2.84,-0.36,57.75,6.59,5.42,19962.00,9.59,90.07,87.16,86.22,6.04,9.11,20.19,20.63,24.58,22.33,106.84,88.52,199.01,70.07,53.92,0.33,0.00,782.65
Mini Diamonds(I),523373,,Diamond Cutting / Jewellery,85.81,0.34,4.80,12.04,16.55,15.80,14.93,4.53,5.04,3.99,4.29,0.00,0.00,0.00,5.80,2.80,3.28,5.49,3.21,1.36,26.73,0.60,1.16,12808.00,0.00,219.25,716.36,230.90,0.16,0.61,14.94,14.29,14.29,14.89,1.67,1.38,1.36,1.31,32.58,0.00,0.00,30.63
Minolta Finance,532164,,Finance & Investments,7.26,1.00,0.74,0.47,10.58,10.53,8.65,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.61,1.02,1.09,0.92,0.79,1.02,-18.87,16.77,12.03,2033.00,0.00,0.00,0.00,0.00,0.67,0.39,93.75,69.27,71.10,80.45,1.23,1.14,0.58,3.20,16.01,0.00,0.00,7.26
Mipco Seaml Ring,505797,,Computers - Software - Medium / Small,31.75,0.36,,,-7.67,-7.48,-5.77,,,,,,,0.00,-354.14,-260.40,-192.88,-141.16,,,,,,18622.00,0.00,0.00,,,-42.45,-54.56,,,,,2.77,3.58,4.09,0.54,0.00,0.00,0.00,11.38
MIRC Electronics,500279,MIRCELECTR,Electronics - Consumer,20.68,19.62,-9.86,-14.43,9.68,9.61,8.50,1.88,1.69,2.44,3.08,0.00,0.00,0.00,-5.68,-2.79,0.49,1.56,-6.17,-5.71,,-0.19,1.44,72919.00,0.00,40.61,54.71,67.74,-3.51,-4.82,132.67,82.78,89.47,132.67,308.32,510.41,295.39,86.18,38.52,-1.39,0.00,477.60
Mirza Internatio,526642,MIRZAINT,Leather / Leather Products,44.28,,6.17,7.45,53.05,52.20,,1.46,1.73,1.57,,0.00,0.00,2.17,10.93,10.16,11.69,11.69,,7.61,-22.98,11.58,,73029.00,0.00,36.53,27.72,49.34,3.74,4.66,6.85,3.48,3.48,5.43,71.58,86.26,135.22,34.02,82.12,0.30,-0.04,611.93
Mish Designs,544015,,Textiles - Products,270.00,,,35.85,,,,1.27,0.80,,,4.76,0.00,0.00,22.88,15.19,15.19,15.19,,,,8.73,,,0.00,67.67,89.51,88.31,4.93,7.87,44.43,44.43,44.43,44.43,,,,,137.81,,,75.60
Mishka Exim,539220,,Trading,35.56,,-0.39,0.11,13.61,13.67,,0.79,0.98,2.01,,0.00,0.00,0.00,-0.46,-0.70,-0.52,-0.41,,-0.29,11.84,-2.07,,330.00,0.00,49.35,0.00,9.77,-0.34,0.10,628.00,303.64,303.64,304.55,37.43,38.80,47.76,,214.75,0.00,0.00,51.38
Mishra Dhatu Nig,541195,MIDHANI,Steel - Medium / Small,465.05,0.19,13.42,11.53,57.26,51.16,,0.30,0.26,0.77,0.62,0.00,0.00,36.91,14.28,16.79,18.67,21.18,15.22,14.09,-15.30,26.82,25.57,82463.00,20.63,124.06,173.31,180.86,5.96,5.14,22.64,20.62,20.62,22.82,3313.11,2643.37,,,471.64,0.83,-3.15,8712.19
Mishtann Foods,539594,,Food - Processing - Indian,17.78,20.60,,,,,,,,13.25,0.89,,,,88.74,88.74,54.13,25.18,,,,,,94592.00,,145.67,,,,,107.67,99.33,99.33,96.78,246.70,3251.43,26.88,,140.07,5.02,0.00,1889.69
Misquita Engg.,542801,,Engineering,69.00,0.00,4.13,2.73,20.19,19.38,,2.95,3.36,14.11,10.96,0.00,0.00,0.00,5.46,7.05,8.30,10.19,5.78,5.14,,5.12,4.95,177.00,0.00,76.61,81.84,53.74,2.81,1.85,31.83,28.81,28.81,28.81,7.14,,,,140.55,0.00,0.00,23.76
Mitcon Consult.,,MITCON,Miscellaneous,133.38,,2.32,3.59,50.22,53.26,,0.17,0.17,,,0.00,0.00,0.16,7.12,6.40,5.61,5.61,,1.71,144.87,18.89,,2638.00,8.44,156.63,200.73,171.98,1.01,1.55,29.82,30.84,30.84,34.22,62.41,68.37,87.66,,143.43,16.85,-14.78,235.71
Mitshi India,523782,,Trading,20.91,0.58,11.46,-7.61,2.08,1.41,,8.65,44.80,,,0.00,0.00,0.00,-4.53,20.80,80.97,80.97,,,,4.81,3.32,20958.00,0.00,117.66,23.34,61.04,7.24,-5.05,33.45,38.70,38.70,34.22,43.69,8.80,6.80,,117.32,0.00,0.00,18.40
Mitsu Chem Plast,540078,,Plastics Products,141.55,0.06,19.35,18.52,29.15,22.18,,6.20,7.25,7.91,7.76,0.08,0.00,0.24,16.77,16.87,16.05,15.50,18.91,19.04,-3.90,9.79,9.46,9245.00,2.35,58.59,59.66,68.25,6.56,6.86,29.23,25.79,26.93,28.46,145.30,74.74,68.38,,77.69,0.00,0.00,191.91
Mittal Life Styl,,MITTAL,Trading,2.16,,2.57,1.00,1.06,1.04,,0.28,-0.79,19.95,,0.00,0.00,0.00,2.04,4.75,8.01,8.66,,4.59,-43.13,1.33,,13790.00,0.00,98.91,150.69,79.56,1.77,0.83,78.33,55.00,55.00,61.50,11.77,75.64,,,95.81,0.00,0.00,63.92
Miven Mach. Tool,522036,,Engineering,114.00,0.30,,,-35.13,-30.80,,0.04,1.69,0.40,0.86,0.00,0.00,0.00,0.00,0.00,0.00,-186.00,,,,-50.71,-37.40,2260.00,0.00,29.74,121.67,25.64,-57.87,-65.38,,0.75,0.75,0.64,2.20,2.42,3.25,,-858.12,0.00,0.00,34.24
MKP Mobility,521244,,Trading,225.00,0.46,5.32,8.13,22.78,23.86,2.65,,,,,,,0.00,-0.94,-3.49,-4.33,-2.62,2.95,3.41,37.19,,,5998.00,0.00,255.75,,,-2.45,0.71,127.80,127.80,127.80,127.80,0.25,0.50,0.53,2.39,1425.16,0.00,-1.07,76.74
MKVentures Cap.,514238,,Finance & Investments,2363.30,0.38,36.44,42.10,29.05,22.11,21.50,,,28.03,4.56,0.00,0.00,0.08,44.96,43.78,37.40,29.93,27.65,31.96,124.62,92.21,23.73,2098.00,0.61,0.00,0.00,0.00,12.72,17.70,41.48,35.58,38.61,40.56,7.46,7.66,5.08,5.97,-218.52,4.26,0.00,908.32
MMP Industries,,MMP,Aluminium and Aluminium Products,275.55,1.24,10.48,11.01,82.26,75.09,,3.98,5.95,9.54,,1.85,0.00,2.29,13.11,12.68,15.33,17.40,,11.90,-6.76,8.66,9.37,5864.00,10.91,36.14,61.74,60.00,7.75,7.89,18.08,15.13,15.13,16.01,216.56,312.50,,,80.27,5.07,-8.80,699.98
MMTC,513377,MMTC,Trading,79.04,150.00,,,0.66,5.89,9.10,217.10,101.62,7.48,69.52,0.00,0.00,0.00,17.14,9.52,9.04,5.74,,,1.15,0.01,0.03,185233.00,0.00,8966.29,10.15,5.30,-0.89,-0.44,57.22,77.50,75.93,67.06,6352.50,4200.00,6195.00,5314.50,-1004.87,0.15,-0.82,11856.00
Modella Woollens,503772,,Trading,67.45,0.09,,,-22.64,-22.53,-12.64,,,,,,,0.00,20.78,10.04,10.04,10.04,,,,,,5201.00,0.00,0.00,,,78.80,95.78,18.53,16.09,16.09,15.82,1.17,0.99,0.52,1.90,0.00,0.00,-0.97,6.14
Modern Dairies,519287,,Food - Processing - Indian,50.00,2.33,,,-48.50,-33.59,-14.45,22.48,36.17,17.84,7.90,0.11,0.00,0.00,0.00,-83.99,-44.97,-28.13,,,,3.00,1.13,15629.00,0.00,18.59,5.50,20.04,6.37,13.63,4.22,3.91,3.91,3.93,23.48,11.96,28.50,26.49,-176.87,0.00,0.00,116.59
Modern Engineer.,539762,,Construction,183.35,0.31,,,9.94,10.26,,2.00,1.20,14.48,28.25,0.00,0.00,0.00,5.98,2.34,0.24,0.06,,,,3.14,2.59,241.00,0.00,172.00,0.00,0.00,-11.03,-16.31,25.71,25.71,25.71,25.71,3.40,,,,260.71,0.00,0.00,56.65
Modern Insulator,515008,,Electric Equipment,145.20,,8.05,7.33,72.13,,,1.55,1.90,2.65,3.63,0.00,0.00,0.00,7.58,8.50,8.72,9.48,7.89,8.06,-1.07,7.37,8.02,135020.00,0.00,88.50,87.88,75.63,5.52,5.40,9.57,8.96,8.96,8.96,213.09,,,,172.38,0.00,-4.16,684.53
