Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization
Aashka Hospitals,543346,,Healthcare,117.15,11.26,10.63,-0.63,-11.70,-1.08,3.06,3.06,4.02,4.09,-0.07,-2.03,1.99,1.07,3.06,-49.85,-44.53,,,-47.28,-33.74,,,,,-10.79,-2.57,2.93,1.41,,274.12
AastamangalamFin,511764,,Finance & Investments,44.23,-23.86,-23.86,0.00,12.98,-10.88,17.08,6.20,-25.98,-25.98,0.00,42.99,17.01,0.07,17.08,-49.91,-52.60,-62.69,-60.90,-49.84,-52.53,-62.61,-60.82,6.84,8.67,-0.07,-0.07,0.14,2.83,0.02,39.41
Aatmaj Health,,AATMAJ,Healthcare,26.25,-8.01,-15.83,-7.82,26.32,10.49,0.32,0.32,4.35,5.33,-1.42,-3.78,0.14,0.18,0.32,-5.03,-0.21,,,6.87,12.44,,,,,-13.50,-12.61,0.55,,,59.33
AAVAS Financiers,541988,AAVAS,Finance - Housing,1870.35,-1986.59,-2017.99,-646.80,2477.28,-156.11,176.67,1797.82,-1948.64,-1910.20,186.31,1858.26,134.36,42.31,1381.63,-5117.78,-7388.12,-9625.06,,-5032.70,-7275.66,-9484.65,,,-2079.34,-1534.56,-927.60,1120.96,679.15,275.77,14801.89
Aayush Food&Herb,539528,,Trading,299.00,-0.57,-0.57,0.00,0.00,-0.57,0.62,0.05,4.80,4.62,0.18,-4.95,-0.15,0.77,0.62,1.98,-1.72,0.81,-3.70,1.36,-2.12,1.17,-3.34,-0.36,-0.36,0.40,0.62,0.27,2.60,0.19,97.02
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,259.00,-32.18,-36.75,-3.16,35.26,-0.08,0.10,0.69,-64.32,-23.70,-41.15,64.30,-0.56,0.66,0.69,-101.09,-100.02,-84.73,,-42.31,-35.42,-19.13,,,-66.26,-65.31,-59.46,0.08,0.67,0.13,266.57
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,65.50,-72.34,-88.78,-11.04,-21.61,-104.99,148.50,43.51,1525.56,130.47,1399.64,-1469.51,60.60,87.90,148.50,1205.14,278.43,-60.78,1311.68,-375.57,-672.69,701.54,3139.31,-2196.34,-687.49,970.45,1595.03,74.07,71.70,94.31,382.29
ABans Enterprise,512165,,Trading,132.20,59.01,56.96,-110.73,53.16,1.44,8.42,16.58,-25.29,-25.11,27.32,-44.08,-41.88,55.20,13.33,88.98,-21.21,,,97.28,-0.76,,,,,-47.33,-125.37,18.15,,,184.42
Abans Holdings,543712,AHL,Finance & Investments,486.05,44.58,43.80,-447.26,402.68,-0.01,232.01,288.76,252.88,253.16,-462.13,417.78,208.80,141.81,350.61,445.55,521.18,,,446.65,527.00,,,,,-1012.35,-944.04,208.57,108.45,,2437.34
Abate As Indust,531658,,Trading,28.70,0.83,0.83,0.00,0.60,1.43,0.14,0.08,-0.41,-0.41,0.00,0.40,-0.01,0.15,0.14,0.34,0.06,0.04,-0.97,0.34,0.06,0.06,-0.95,1.06,0.03,0.05,0.05,0.08,0.10,0.14,14.41
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,27674.35,1212.81,1164.68,-416.03,-744.71,52.07,239.67,2134.49,859.76,893.39,-147.71,-638.72,106.96,132.71,1937.06,2928.26,4242.37,4925.99,5637.97,3053.86,4406.71,5058.54,5829.22,-2323.75,-1904.43,-1432.59,-959.58,2409.04,1684.28,1090.92,58808.00
ABC Gas (Int.),513119,,Trading,91.58,3.20,3.34,1.05,-0.59,3.66,0.03,3.70,-0.61,-6.14,5.66,0.45,-0.03,0.06,0.03,3.86,3.56,3.39,2.93,-1.81,-2.08,-2.25,-2.63,8.19,7.72,6.88,7.08,0.09,0.06,0.05,18.13
ABC India,520123,,Miscellaneous,112.30,7.55,1.21,-5.47,-2.58,-0.50,3.36,2.86,4.21,0.03,2.66,-1.54,1.15,1.53,2.67,5.85,21.93,48.30,91.71,5.01,22.06,34.48,43.69,33.13,0.92,-9.47,0.77,1.86,2.59,3.01,60.83
Abhinav Capital,532057,,Finance & Investments,207.75,35.02,35.02,5.59,0.00,40.61,10.53,51.14,9.31,9.31,0.32,0.00,9.63,0.90,10.53,29.78,44.14,36.68,35.73,29.78,44.14,36.68,35.73,15.35,14.22,6.96,21.18,0.18,0.02,0.22,143.86
Abhinav Leasing,538952,,Finance & Investments,2.70,-18.15,-18.15,19.21,0.00,1.06,0.36,1.42,-7.06,-7.06,-23.34,30.05,-0.35,0.71,0.36,-6.33,1.39,0.47,12.97,-6.12,1.60,0.68,12.99,-29.47,-29.31,-30.46,-23.24,0.73,0.24,0.01,13.50
Abhishek Finle.,538935,,Finance & Investments,37.00,0.42,0.42,0.00,-0.07,0.36,1.64,2.00,0.26,0.35,-0.09,0.04,0.30,1.34,1.64,0.97,0.70,0.87,1.15,1.07,0.80,0.98,1.41,0.19,0.32,0.21,-0.10,1.11,1.01,0.71,15.78
Abhishek Infra.,539544,,Construction,7.14,-0.47,-0.47,-0.60,0.13,-0.94,1.02,0.08,-1.06,-1.06,0.00,1.96,0.90,0.13,1.02,-1.38,,,,-1.38,,,,,,,-0.60,0.00,,,3.60
Abhishek Integr.,,AILIMITED,Construction,69.45,0.74,0.11,0.45,-0.89,0.30,0.29,0.29,-2.21,-2.03,0.83,1.27,0.06,0.23,0.29,-4.66,,,,-2.40,,,,,,,-1.56,0.25,0.01,,41.82
Abirami Fin.,511756,,Finance & Investments,58.20,-0.48,-0.48,1.53,-3.18,-2.13,21.00,18.87,16.29,-4.69,20.74,0.00,16.05,4.91,20.96,15.70,15.88,17.54,20.99,-5.26,-5.09,-3.42,0.06,18.39,21.32,21.88,22.31,4.95,4.58,0.27,31.43
ABM Knowledge,531161,,Computers - Software - Medium / Small,148.00,3.16,3.14,-0.22,-2.76,0.18,6.60,16.16,3.28,3.43,-14.10,-2.76,-13.43,20.03,15.40,9.18,33.37,67.69,116.33,10.62,35.24,70.70,122.70,-86.46,-75.10,-43.48,-28.09,52.20,34.69,46.50,296.03
ABS Marine,,ABSMARINE,Shipping,355.00,11.56,0.91,-15.18,-7.82,-11.44,12.80,7.06,-3.09,4.65,19.41,-17.23,6.83,5.97,18.25,33.66,,,,31.39,,,,,,,18.93,20.76,,,871.54
ACC,500410,ACC,Cement - North India,2649.00,2995.11,1646.16,-1204.64,-443.15,1347.32,256.63,1862.87,-3216.05,-1235.08,-4637.17,-1237.71,-7109.96,7366.59,414.71,112.26,3343.40,4997.85,5972.30,4595.52,9069.42,11741.41,15939.75,-11322.05,-8427.95,-7685.78,-6829.55,6005.70,3096.98,1977.16,49744.87
Accedere,531533,,Computers - Software - Medium / Small,85.50,0.22,0.08,-0.03,0.02,0.21,2.15,2.36,0.24,0.50,-0.20,0.24,0.53,1.62,2.15,0.52,1.26,,,1.24,2.21,,,,,-0.78,-0.55,1.31,0.52,,43.01
Accel,517494,,Computers - Software - Medium / Small,22.42,23.45,14.66,-8.64,-8.61,6.20,2.97,9.73,9.31,17.09,-7.64,-8.17,1.28,1.70,3.35,25.45,-50.25,-77.48,,41.40,45.66,32.63,,,-94.92,-97.82,-18.79,10.45,11.82,1.49,129.06
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,339.00,-1.13,-1.16,0.57,1.96,1.39,0.84,0.84,-0.57,0.00,-1.17,2.00,0.84,0.00,0.84,,,,,,,,,,,,,,,,72.85
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1744.90,133.47,127.53,13.54,-132.43,14.57,30.14,56.05,100.84,118.25,-71.88,-64.22,-17.86,48.00,64.43,296.52,442.53,615.88,828.26,338.38,556.23,760.14,1010.41,-177.69,-173.20,-133.42,-69.51,60.49,28.01,26.77,2605.14
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.00,3.03,-1.99,-74.04,72.27,1.26,0.31,2.04,3.49,7.82,-4.29,-4.35,-0.82,1.10,2.04,12.50,15.69,,,25.72,36.04,,,,,-90.87,-82.63,3.62,,,597.62
Accord Synergy,,ACCORD,Telecommunications - Service Provider,28.30,0.38,0.36,-0.39,0.00,-0.01,0.04,0.04,-3.87,-3.85,4.98,-1.70,-0.56,0.60,0.04,0.11,14.91,10.19,4.33,0.15,15.01,13.04,10.86,-9.84,-6.16,-3.40,0.63,2.52,0.04,0.14,9.83
Accuracy Shippi.,,ACCURACY,Miscellaneous,13.54,27.92,18.65,-8.74,-18.86,0.32,2.39,11.93,20.79,46.12,-25.14,-20.53,0.46,1.94,15.80,8.66,2.17,,,54.82,72.20,,,,,-67.25,-44.80,5.77,1.65,,203.85
