Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization
Balu Forge,531112,BALUFORGE,Castings & Forgings,325.55,-17.97,-165.84,-147.87,248.64,82.79,5.15,90.87,4.91,12.17,-7.26,-5.68,-0.77,5.92,7.90,-226.34,,,,-63.54,,,,,,,-162.80,3.06,,,3339.88
Balurghat Tech,520127,,Miscellaneous,30.00,1.14,1.05,-0.63,-1.06,-0.55,5.51,4.96,2.71,3.95,-1.37,-2.12,0.46,5.05,5.51,6.59,-2.44,-7.05,-7.62,7.66,-1.75,-5.99,-4.21,-1.46,0.68,0.98,-0.07,3.84,1.90,2.67,54.60
Bambino Agro Ind,519295,,Food - Processing - Indian,362.00,26.40,17.28,-9.23,-19.75,-2.59,3.77,1.18,-7.46,-1.48,-4.11,4.63,-0.97,4.73,3.77,22.52,35.90,32.45,84.03,55.39,104.41,105.81,164.36,-70.57,-63.84,-59.23,-31.01,2.84,1.53,2.53,289.97
BAMPSL Sec.,531591,,Finance & Investments,8.63,0.02,0.02,0.00,0.00,0.02,0.00,0.02,-0.14,-0.14,0.14,0.00,0.00,0.01,0.00,-2.13,-4.12,-11.46,-11.55,-2.13,-4.12,-11.45,-11.45,7.17,7.26,4.15,2.16,0.00,0.00,0.01,29.37
Banaras Beads,526849,BANARBEADS,Glass & Glass Products,100.50,-3.47,-4.49,12.94,1.42,10.88,1.11,11.99,-5.67,-4.45,0.95,-7.62,-11.12,12.22,1.11,-5.76,-13.57,-18.40,-14.20,-11.92,-17.59,-12.83,-3.62,13.30,16.13,23.99,23.95,6.25,8.51,12.68,66.70
Banas Finance,509053,,Finance & Investments,10.00,-5.51,-5.51,7.62,-0.55,1.57,5.50,7.17,-0.83,-0.83,-49.19,44.31,-5.70,11.20,5.60,13.35,28.28,,,13.35,28.28,,,,,-65.99,-47.15,1.61,,,89.57
Banco Products,500039,BANCOINDIA,Auto Ancillaries,690.00,458.09,366.83,-113.79,-339.30,5.00,6.79,63.46,-134.98,-41.46,-23.37,58.71,-6.13,12.91,18.33,216.51,367.67,438.00,635.67,473.87,682.80,844.25,1087.89,-211.62,-224.48,-150.68,-241.44,122.61,127.12,85.21,4934.81
Bandaram Pharma,524602,,Healthcare,34.28,-4.13,-4.31,-1.58,5.59,-0.11,0.16,0.04,-3.89,-1.10,-5.30,4.47,-1.93,2.09,0.16,,,,,,,,,,,,,,,,41.14
Bandhan Bank,541153,BANDHANBNK,Banks - Private Sector,204.95,14808.42,14252.14,1690.98,-8578.53,7920.87,8247.50,8249.72,-4654.43,-4244.62,-1617.94,4791.25,-1071.30,9318.80,8249.72,10289.09,15640.83,15493.97,,11465.99,17139.82,17236.42,,,-11139.43,-6529.64,-538.79,6228.32,5802.66,7365.00,33016.84
Bang Overseas,532946,BANG,Trading,47.70,-13.09,-15.77,17.12,-4.08,-0.05,0.28,3.80,9.49,10.58,-15.55,4.37,-0.59,0.87,3.81,-19.76,-17.79,-15.44,21.05,-16.15,-11.40,-1.71,38.61,5.46,7.92,15.36,11.10,7.46,7.51,11.86,64.68
Bangalore Fort,539120,,Trading,49.00,1.88,0.99,-0.85,-0.98,0.05,0.13,0.18,-0.29,0.93,-0.97,-0.93,-0.96,1.09,0.13,1.07,1.26,-4.16,-7.12,3.03,4.41,0.72,-2.24,-1.20,-3.72,-2.23,-1.63,0.15,0.24,0.02,23.52
Bank of Baroda,532134,BANKBARODA,Banks - Public Sector,274.70,-62.74,-71.53,-12.85,54.76,-20.84,1023.73,100289.85,-221.40,-213.54,-10.96,-54.05,-278.55,1302.29,102373.39,2512.29,19759.35,-44332.42,-23752.65,5934.07,23577.58,-37563.19,-11871.36,-12342.33,-7230.27,-4279.27,-3668.88,128661.12,97884.84,154115.00,142057.31
Bank of India,532149,BANKINDIA,Banks - Public Sector,120.10,-4436.94,-5263.90,-991.05,3867.67,-1560.32,84683.28,83122.96,-7568.71,-7045.04,-521.34,540.77,-7025.61,91708.89,84683.28,-48868.01,-16514.22,-33224.80,-8254.37,-46968.89,-13927.97,-30512.07,-4187.16,-4492.97,-2758.56,-2569.74,-2156.34,126693.63,94860.00,96464.71,54677.50
Bank of Maha,532525,MAHABANK,Banks - Public Sector,64.42,11580.85,11305.36,-259.54,461.45,11782.75,18528.95,30311.70,-1617.21,-1439.92,-175.08,227.93,-1387.07,19916.02,18528.95,16282.52,19124.63,6298.35,15216.69,17037.27,20177.45,7611.54,16930.81,-1644.81,-1243.87,-1003.30,-734.80,12941.78,9154.96,16642.08,45618.24
Banka Bioloo,,BANKA,Miscellaneous,96.99,2.76,-7.21,-9.43,6.78,0.11,2.59,2.69,0.94,7.35,-7.46,-3.33,-3.44,4.28,2.59,-9.86,-11.48,,,9.67,9.97,,,,,-33.33,-23.57,6.48,,,105.21
Bannari Amm Spg.,532674,BASML,Textiles - Cotton/Blended,48.51,125.35,112.85,-6.86,-112.62,5.87,4.63,8.00,-42.73,1.03,-48.02,38.33,-8.66,18.66,11.92,94.83,384.76,398.91,465.26,182.40,482.03,571.55,768.57,-363.25,-161.59,-93.71,-88.65,17.49,13.25,21.88,314.54
Bannari Amm.Sug.,500041,BANARISUG,Sugar,3220.00,274.22,134.55,-129.93,-143.60,0.69,5.68,6.97,438.05,502.26,-56.61,-442.82,2.84,2.84,6.31,527.60,536.73,883.87,1308.90,809.01,987.53,1383.94,2226.61,-873.26,-471.59,-428.81,-261.77,3.84,4.18,9.18,4037.78
Bansal Roofing,538546,,Steel - Medium / Small,81.03,7.93,2.39,-5.95,-2.71,-0.73,0.80,0.52,1.90,8.62,-6.70,-1.40,0.51,0.29,0.80,-0.75,-2.66,-2.57,-4.10,22.09,25.83,27.09,28.25,-32.63,-29.72,-28.77,-23.20,0.48,1.73,0.24,106.84
Bansisons Tea,519353,,Tea,3.99,-0.14,-0.14,0.00,0.00,-0.14,0.22,0.09,0.14,0.14,0.01,0.00,0.14,0.08,0.22,-0.07,-0.20,-0.40,-1.60,-0.06,-0.07,-0.20,0.80,-0.80,-0.10,-0.03,0.04,0.11,0.18,0.38,2.53
Banswara Syntex,503722,BANSWRAS,Textiles - Spinning - Synthetic / Blended,150.05,142.44,48.37,-90.08,-58.41,-6.05,14.61,28.22,-79.59,20.09,-99.44,75.21,-4.14,18.75,37.31,-25.67,299.90,504.77,869.60,216.73,557.55,800.71,1297.44,-417.11,-281.92,-246.98,-237.55,14.40,17.65,14.86,513.65
Barak Valley,532916,BVCL,Cement - North India,67.26,16.35,13.69,-5.10,-10.37,0.88,0.53,3.25,23.25,23.68,0.64,-26.49,-2.16,2.69,1.47,87.51,75.99,97.61,130.46,34.01,49.46,83.10,159.14,-33.98,9.09,21.11,48.08,2.41,5.89,8.03,149.05
Barbeque-Nation,543283,BARBEQUE,Hotels,579.35,220.51,133.08,-105.95,-121.15,-6.59,42.56,35.98,81.67,227.59,-151.79,-118.58,-42.78,85.34,42.56,181.34,332.01,350.98,,507.91,756.89,1006.69,,,-735.31,-506.88,-347.90,245.49,11.98,5.27,2263.62
Baroda Extrusion,513502,,Mining / Minerals / Metals,6.57,-5.11,-5.40,-0.15,6.31,1.06,0.50,1.55,-2.57,-2.30,-0.22,2.87,0.35,0.15,0.50,-8.16,-10.96,-11.10,-10.20,-7.56,-10.07,-10.08,-9.16,-0.56,-0.41,-0.57,-0.45,0.10,0.14,0.08,97.92
Baroda Rayon,500270,,Construction,167.95,-2.99,5.25,8.39,-11.90,-6.50,8.30,1.80,63.65,39.03,24.61,-56.63,7.01,1.29,8.30,24.41,7.00,-5.17,-66.71,-48.96,-69.61,-81.78,-143.32,76.10,76.10,76.10,72.86,0.04,0.11,0.05,384.80
Baron Infotech,532336,,Computers - Software - Medium / Small,0.88,-0.01,-0.01,0.00,0.00,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,-0.02,0.00,0.01,0.01,-0.02,0.00,0.01,0.94,-0.93,0.00,0.00,0.00,0.02,0.01,0.00,0.90
Bartronics India,532694,ASMS,Computers - Software - Medium / Small,20.34,-0.48,-0.52,0.96,0.00,0.48,3.94,10.33,-4.10,-4.10,0.59,-2.25,-5.77,14.90,9.13,-0.68,66.18,160.86,261.51,-0.63,62.11,156.95,262.44,40.19,33.11,12.69,1.67,10.80,5.91,6.27,619.51
Basant Agro Tech,524687,,Fertilizers,23.00,-12.77,-14.57,-1.96,14.15,-0.57,1.14,0.60,-41.47,-20.05,-20.35,40.45,0.04,1.11,1.18,-88.11,-68.11,-44.11,18.05,-42.35,-14.87,12.43,90.16,-71.86,-56.29,-52.95,-45.36,0.82,0.92,1.79,208.45
BASF India,500042,BASF,Chemicals,5033.45,807.24,708.15,-449.90,-102.07,255.27,366.59,624.28,468.23,530.72,-199.04,-90.69,240.99,125.60,367.19,1382.61,2314.81,2418.22,2487.35,1667.89,2722.60,2935.45,3259.05,-302.74,-273.04,-608.09,-768.84,173.12,13.21,25.10,21789.82
Basilic Fly Stud,,BASILIC,Entertainment / Electronic Media Software,433.00,-21.23,-21.78,-36.03,52.57,-4.69,5.36,5.36,2.52,4.32,-0.88,-1.25,2.19,3.17,5.36,-18.17,,,,-15.10,,,,,,,-39.50,1.10,,,1006.28
Bata India,500043,BATAINDIA,Leather / Leather Products,1510.00,453.11,355.22,40.36,-517.95,-24.48,74.59,407.97,539.14,628.82,438.53,-1010.53,56.82,17.77,531.20,1058.15,1979.47,2327.02,2685.55,1293.44,2336.20,2841.32,3420.23,-468.72,-59.55,330.00,571.69,1096.82,840.32,522.04,19407.62
Batliboi,522004,,Engineering,121.35,7.50,2.74,-3.11,5.54,9.92,4.64,15.41,-0.58,0.94,-3.03,-4.96,-7.05,11.69,6.63,18.95,31.99,32.82,28.45,28.06,36.12,39.05,8.39,21.84,-3.47,-3.31,-8.76,5.91,6.75,6.20,416.36
Baweja Studios L,,BAWEJA,Entertainment / Electronic Media Software,84.75,-18.29,-22.63,-4.15,69.09,46.65,1.32,1.32,2.26,3.72,-5.98,2.97,0.71,0.61,1.32,-21.56,,,,-15.26,,,,,,,-9.72,0.15,,,156.17
Bayer Crop Sci.,506285,BAYERCROP,Pesticides / Agrochemicals - Multinational,6902.80,951.60,912.20,0.40,-656.30,295.70,860.80,1164.00,536.70,609.30,83.30,-613.20,79.40,780.90,868.00,1617.10,2910.60,3368.40,3943.40,1776.40,3129.00,3683.20,4247.40,543.70,51.10,125.70,147.90,1209.50,582.00,839.00,31022.67
Bazel Internatio,539946,,Finance & Investments,52.50,-1.29,-1.30,-0.01,0.85,-0.45,0.73,1.57,-33.13,-32.87,-1.02,33.87,-0.02,0.76,0.73,-33.34,-36.11,-40.81,-46.03,-33.07,-35.84,-40.54,-45.74,8.16,2.30,-0.71,-0.83,0.07,0.05,1.15,10.24
BCL Enterprises,539621,,Finance & Investments,1.07,1.79,1.79,-2.93,1.26,0.12,0.40,0.52,0.27,0.55,-0.28,0.00,0.27,0.13,0.40,2.58,2.60,1.86,-1.16,2.86,2.88,2.14,-0.88,-3.55,-3.80,-3.80,-3.21,0.10,0.18,0.92,12.48
BCL Industries,524332,BCLIND,Solvent Extraction,52.89,39.18,-97.98,-130.86,92.06,0.39,1.75,5.74,-221.89,34.58,-256.47,205.66,-16.24,17.99,7.59,-391.88,-393.89,-357.95,,168.81,202.25,265.22,,,-617.51,-558.71,-532.67,13.89,13.54,18.84,1440.47
BCPL Railway,542057,,Engineering - Turnkey Services,104.05,-3.37,-27.75,-24.23,34.24,6.64,0.60,7.32,-9.09,0.95,-9.99,2.13,-6.92,7.52,1.99,-36.64,,,,2.65,,,,,,,-37.84,,,,174.00
BDH Industries,524828,,Pharmaceuticals - Indian - Formulations,350.05,-1.87,-3.76,-0.31,1.36,-0.82,25.96,25.14,6.29,6.29,0.49,0.37,7.15,18.82,25.96,6.05,18.11,13.62,20.02,7.44,19.57,15.80,33.51,-5.50,4.58,3.59,1.56,22.62,17.27,19.19,201.63
Beacon,,BEACON,Finance & Investments,123.00,5.77,4.07,-0.73,0.00,5.04,0.60,5.64,-1.57,-0.67,-0.14,0.00,-0.81,1.41,0.60,2.22,,,,5.76,,,,,,,-1.43,0.91,,,222.20
Beardsell,539447,BEARDSELL,Plastics Products,37.77,10.70,-1.44,-10.93,-4.60,-4.84,-7.08,6.96,2.04,12.48,-10.33,-0.89,1.26,-8.34,8.20,4.93,23.47,27.58,35.94,30.20,52.74,56.16,73.52,-32.22,-25.24,-25.71,-23.77,2.22,3.63,4.17,148.96
Bedmutha Indus.,533270,BEDMUTHA,Steel - Medium / Small,236.20,73.86,45.41,-28.50,-50.74,-5.37,16.90,11.52,63.40,72.29,-8.49,-56.99,6.81,10.09,16.90,167.86,293.34,306.10,212.30,216.95,352.00,381.23,424.37,-210.31,-69.83,-56.41,-48.25,12.69,12.75,24.82,762.07
Beekay Niryat,539546,,Trading,47.60,-1.86,-2.05,0.29,1.30,-0.27,0.59,0.32,0.01,0.22,1.65,-0.23,1.64,0.22,0.59,4.06,,,,4.41,,,,,,,-3.75,0.01,,,36.58
Beekay Steel Ind,539018,,Steel - Medium / Small,776.90,128.90,-27.82,-89.93,-38.08,0.89,1.06,4.85,139.94,404.21,-370.21,-37.01,-3.01,4.07,1.33,-4.52,128.43,180.58,257.89,427.60,602.69,706.28,825.35,-698.31,-658.06,-607.63,-489.64,30.00,5.10,8.79,1481.74
Beeyu Overseas,532645,,Trading,5.29,0.06,0.06,0.01,-0.06,0.02,0.03,0.05,0.03,0.03,0.01,-0.06,-0.01,0.04,0.03,0.12,0.26,-1.70,-1.74,0.12,0.26,-1.70,-1.74,0.08,0.07,0.05,0.03,0.06,0.03,0.02,7.50
Bella Casa Fashi,539399,,Textiles - Products,356.85,3.63,0.68,-3.06,-0.60,-0.04,0.17,0.14,13.38,15.27,9.06,-24.31,0.02,0.15,0.18,8.89,21.08,-5.94,-7.78,16.05,32.75,12.84,12.43,-10.99,-9.66,-0.54,1.59,10.67,1.35,0.85,409.49
Bemco Hydraulics,522650,,Engineering,1325.25,10.47,6.99,-14.45,6.01,2.03,0.26,7.96,-7.21,-7.09,0.70,-2.36,-8.75,9.01,2.60,10.99,20.24,29.12,,15.86,26.34,40.15,,,-18.81,-15.35,-14.69,5.53,0.83,1.57,289.79
BEML Land Assets,543898,BLAL,Construction,294.35,0.57,0.57,0.00,-0.57,0.00,0.01,0.01,0.48,0.48,-9.64,9.17,0.00,0.01,0.01,1.05,,,,1.05,,,,,,,-9.64,,,,1225.78
BEML Ltd,500048,BEML,Engineering,4469.15,457.72,357.73,-67.68,-129.80,260.23,-312.77,8.86,576.89,563.41,-20.09,-334.85,208.47,-521.24,39.34,964.93,668.10,925.07,1624.30,1072.06,876.87,1263.43,2100.22,-465.79,-337.21,-212.90,-112.62,5.36,31.43,14.54,18609.56
Benara Bearings,541178,,Bearings,16.49,0.91,1.44,0.74,-1.52,0.13,0.19,0.19,2.37,2.47,0.05,-2.76,-0.24,0.44,0.19,4.41,-6.69,-28.02,-17.03,3.20,-2.10,-9.60,5.82,-33.11,-28.93,-1.98,1.47,0.89,0.69,3.64,29.20
Benares Hotels,509438,,Hotels,8821.95,40.55,29.48,-25.31,-2.91,12.34,9.82,50.42,26.26,27.81,-17.13,-1.60,9.08,0.74,30.15,71.53,74.33,54.39,69.86,84.54,103.37,127.81,161.84,-116.56,-91.57,-67.04,-52.97,1.68,2.90,12.33,1146.87
Benchmark Comp.,544052,,Computers - Software - Medium / Small,46.00,7.62,0.30,-3.14,9.86,14.33,3.75,11.04,2.14,3.86,-2.45,-0.08,1.33,2.42,11.04,4.09,,,,13.17,,,,,,,-6.31,9.31,8.97,,31.57
Bengal & Assam,533095,,Finance & Investments,8471.00,1817.22,1246.35,-1260.22,-589.95,-32.94,184.00,32.60,957.28,1437.27,-647.25,-778.15,11.87,172.13,313.31,2198.70,4935.33,5656.33,5898.38,3605.13,6884.32,7979.17,8344.97,-3303.24,-3150.42,-2619.83,-2095.11,308.44,239.08,6.34,9569.13
Bengal Tea & Fab,532230,,Tea,153.80,79.43,74.86,-79.06,-1.82,-1.45,1.71,0.32,11.39,6.14,-23.52,4.63,-12.75,14.46,1.61,121.26,130.26,159.75,216.81,92.18,102.66,115.01,187.56,-71.38,-55.35,-76.44,-74.38,0.82,0.81,2.57,138.53
Berger Paints,509480,BERGEPAINT,Paints / Varnishes,508.85,1591.05,1320.52,-398.06,-1068.87,124.12,116.17,450.65,232.12,975.97,-600.25,-362.85,12.87,103.30,244.69,1359.56,2264.23,2716.22,3576.97,3133.52,4653.92,5686.66,7089.54,-3512.85,-2761.69,-2199.67,-1519.60,439.61,238.48,102.45,59321.52
Bervin Invest.,531340,,Finance & Investments,41.42,27.19,27.19,-6.05,-21.04,0.10,0.15,0.25,-30.33,-30.33,2.37,28.02,0.06,0.09,0.15,8.41,28.53,-3.64,-1.85,8.41,28.53,-3.64,-1.85,-7.28,-5.24,-23.30,-13.14,0.19,0.04,0.03,24.44
Beryl Drugs,524606,,Pharmaceuticals - Indian - Bulk Drugs & Formln,32.76,0.82,-0.32,-1.08,0.10,-0.16,0.28,0.22,1.73,2.48,-1.30,-1.17,0.01,0.27,0.57,1.51,-0.09,-2.97,-2.64,3.01,3.53,6.78,7.72,-7.66,-8.17,-3.13,-1.84,0.45,0.10,0.63,16.62
Beryl Securities,531582,,Finance & Investments,28.10,0.97,0.80,-0.94,0.00,0.03,0.27,1.06,-0.10,-0.10,0.00,0.00,-0.10,0.37,0.27,0.58,0.85,0.60,0.58,0.75,1.02,0.17,-0.70,0.75,-0.13,-0.90,-0.94,0.50,0.19,0.27,13.63
Best Agrolife,539660,BESTAGRO,Trading,680.30,35.53,-10.06,-63.31,-0.84,-28.62,61.56,46.82,-217.54,-180.45,-19.02,248.17,48.70,12.86,88.08,-293.61,,,,-204.76,,,,,,,-97.14,32.79,,0.79,1608.54
Best Eastern Hot,508664,,Hotels,16.50,0.38,-0.02,-0.40,-0.01,-0.03,0.07,0.04,-0.15,0.87,-1.00,0.10,-0.03,0.10,0.08,0.35,1.02,2.69,3.56,1.87,2.72,4.85,8.28,-4.66,-2.12,-1.67,-1.49,0.14,0.14,0.19,27.80
Beta Drugs Ltd,,BETA,Pharmaceuticals - Indian - Bulk Drugs,1228.00,30.93,19.31,-13.97,-7.49,9.47,19.16,19.16,5.17,23.38,-19.07,-2.47,1.84,17.32,19.16,34.68,40.63,28.89,,83.94,110.95,128.16,,,-107.26,-75.69,-54.79,10.42,3.30,,1180.56
Betex India,512477,,Textiles - Processing,206.25,12.34,10.00,-5.45,0.03,6.92,2.90,9.82,6.60,9.79,-6.42,-1.52,1.85,1.04,2.90,18.19,25.85,28.40,32.16,23.90,32.07,33.95,40.29,-17.87,-10.04,-12.16,-11.95,1.00,1.10,1.34,30.94
BEW Engg,,BEWLTD,Engineering,1656.15,-7.89,-22.19,-18.77,27.43,0.77,0.16,0.16,-1.59,-0.48,-1.07,1.55,0.00,0.16,0.16,-22.03,-13.58,-15.90,,-6.33,3.38,2.09,,,-22.08,-21.36,-20.87,0.38,3.12,,541.28
BF Investment,533303,BFINVEST,Finance & Investments,693.80,9.09,9.06,18.18,0.00,27.27,7.84,287.19,-0.19,-0.19,6.88,0.00,6.70,1.15,202.82,14.41,5.18,-20.83,,14.44,5.21,-21.49,,,56.33,21.38,-1.69,103.12,8.51,33.93,2612.86
BF Utilities,532430,BFUTILITIE,Power Generation And Supply,894.35,-4.87,-4.89,11.53,-5.63,1.03,0.66,39.40,-2.46,-2.45,3.82,-2.32,-0.95,1.61,34.10,-7.05,-9.69,2.49,28.48,-7.00,-9.59,2.00,34.63,16.24,38.17,32.47,12.52,32.46,40.29,8.84,3368.11
BFL Asset Finves,539662,,Finance & Investments,15.68,-1.80,-1.80,0.00,1.85,0.05,0.02,0.10,0.46,0.32,0.15,-0.46,0.01,0.01,0.05,-1.65,7.85,4.10,1.66,-1.65,0.85,-2.90,-5.34,8.20,8.11,7.79,0.79,0.04,0.08,0.09,16.00
BGIL Films & Tec,511664,,Entertainment / Electronic Media Software,10.30,-1.27,-1.27,0.15,0.78,-0.34,0.40,0.06,0.22,0.22,0.04,0.05,0.31,0.09,0.40,-0.94,-1.39,-1.95,0.65,-0.94,-1.16,-1.60,2.58,-3.80,0.55,0.09,0.10,0.06,0.31,0.07,11.66
BGR Energy Sys.,532930,BGRENERGY,Engineering - Turnkey Services,38.00,150.38,150.71,0.34,-142.94,7.78,16.18,90.21,302.14,304.15,-2.00,-306.40,-4.25,20.43,296.53,787.83,1624.54,1842.24,2405.30,781.54,1620.47,1894.52,2352.93,95.67,-9.01,47.34,6.31,353.81,396.08,531.72,274.23
Bhagawati Oxygen,509449,,Chemicals,49.96,-4.22,4.82,9.15,-5.55,-0.62,0.64,0.65,1.16,0.31,2.25,-1.94,0.61,0.03,1.25,5.55,8.02,12.81,-1.06,-4.33,-1.86,2.94,3.85,0.23,13.70,12.42,12.00,1.96,4.09,4.38,11.56
Bhageria Indust.,530803,BHAGERIA,Dyes And Pigments,170.50,33.71,8.36,-32.14,-4.94,-3.37,7.61,5.07,-0.75,12.89,-26.24,-1.16,-14.52,22.13,17.68,34.36,49.42,122.74,120.35,131.47,252.68,429.17,555.41,-450.66,-221.88,-202.98,-113.60,22.63,35.81,109.52,744.14
Bhagiradha Chem.,531719,BHAGCHEM,Pesticides / Agrochemicals - Indian,252.55,38.90,17.67,-127.68,88.33,-0.45,2.17,7.71,-14.57,12.89,-59.38,46.48,-0.02,2.18,3.11,-5.48,-5.61,-39.52,-34.13,58.51,110.20,132.32,159.48,-335.48,-314.22,-263.57,-204.22,0.58,3.06,0.69,3142.60
Bhagwati Auto,504646,,Castings & Forgings,502.70,7.63,4.17,-3.45,-4.01,0.17,2.80,3.24,11.77,12.03,-0.21,-9.05,2.78,0.03,3.06,3.65,9.56,11.44,12.63,27.15,37.79,45.38,49.49,-36.61,-33.71,-28.13,-23.43,0.34,0.34,0.69,144.78
Bhagyanagar Ind,512296,BHAGYANGR,Mining / Minerals / Metals,108.65,96.11,134.39,39.38,-132.57,2.92,0.09,3.87,-48.73,-39.53,3.16,27.33,-9.04,9.14,1.15,80.35,33.99,1.99,-14.56,52.26,25.21,5.02,-3.08,69.87,41.18,26.74,41.71,4.17,4.03,5.43,347.62
Bhakti Gems,540545,,Trading,17.28,6.84,6.82,-0.02,-0.02,6.81,0.03,6.84,0.83,1.59,-1.61,0.00,-0.02,0.05,0.03,8.16,8.24,-2.36,-3.55,9.03,9.22,-1.28,-2.43,-4.60,-2.83,-2.37,-2.23,0.06,0.02,0.18,25.98
Bhandari Hosiery,512608,BHANDARI,Textiles - Products,7.92,15.96,-13.59,-29.23,12.40,-0.86,1.50,0.64,9.72,12.11,-2.70,-9.04,0.37,2.50,2.87,1.52,-19.39,-36.17,-75.79,32.19,29.76,28.37,11.72,-88.00,-64.51,-49.20,-30.72,2.25,1.53,0.70,190.12
Bhanderi Infra.,538576,,Construction,96.60,4.75,4.51,0.42,-5.37,-0.21,1.26,1.26,3.31,3.34,-0.06,-2.31,0.97,0.29,1.26,7.10,7.60,3.70,,7.70,8.24,4.35,,,-0.35,-0.68,-0.60,2.12,1.13,0.62,25.08
Bhansali Engg.,500052,BEPL,Petrochemicals,129.90,229.88,208.72,45.12,-323.52,-48.53,152.31,207.32,135.04,140.11,-15.32,-49.77,75.02,77.28,279.50,628.03,803.14,984.13,1102.94,667.75,859.21,1104.66,1274.94,-457.24,-404.59,-333.97,-270.39,153.10,23.98,17.16,3232.66
Bharat Agri Fert,531862,,Fertilizers,96.90,-14.77,-19.68,2.18,13.57,0.99,0.10,1.99,-0.67,5.24,-5.74,0.57,0.08,0.01,0.78,-22.65,-21.55,-16.72,-41.57,-2.01,7.10,18.06,3.74,-37.38,-26.77,-19.13,-13.35,1.96,2.61,0.79,512.18
Bharat Bhushan,511501,,Finance & Investments,36.50,0.27,0.27,-0.10,-0.20,-0.03,0.05,0.15,0.25,0.25,-0.04,-0.20,0.00,0.05,0.20,0.78,0.42,-0.13,0.11,0.78,0.43,-0.12,0.12,1.77,1.80,0.61,-0.19,0.20,0.20,0.19,12.35
Bharat Bijlee,503960,BBL,Electric Equipment,4705.00,241.06,209.16,-52.05,-181.92,7.09,15.40,169.33,36.08,51.69,-9.83,-31.21,10.65,4.75,16.09,219.47,225.88,250.98,207.64,283.43,334.77,335.07,302.55,-101.21,-104.97,-110.26,-75.57,15.51,13.79,19.62,5318.08
Bharat Dynamics,541143,BDL,Engineering,1616.00,411.72,331.00,-722.40,-148.36,-459.04,1052.88,4228.48,2022.18,2130.25,-1171.03,-171.38,787.84,265.04,3858.86,2780.80,4239.64,3724.74,2294.01,3071.63,4643.86,4385.88,3485.57,-1626.04,-2016.60,-3233.40,-2466.44,1560.95,371.32,1738.01,59236.51
Bharat Electron,500049,BEL,Electronics - Components,308.50,4659.49,4015.49,-5923.85,-1475.01,-2739.37,3945.69,11056.59,678.11,1266.86,2690.84,-1312.87,2644.83,1300.86,8111.58,8353.66,14803.65,14096.41,16059.17,10133.57,17797.20,18624.49,22257.35,-11446.04,-12251.20,-11348.85,-8104.67,5073.76,971.87,3827.19,225506.64
Bharat Forge,500493,BHARATFORG,Castings & Forgings,1685.80,1664.40,164.07,-666.75,-202.69,794.96,508.71,1689.92,324.61,1294.47,-1665.58,280.27,-90.84,558.42,1039.52,29.90,724.18,902.88,2101.84,3464.72,6006.69,7885.52,11327.49,-9657.20,-7565.35,-5647.20,-3022.02,472.86,475.46,336.08,78488.92
Bharat Gears,505688,BHARATGEAR,Auto Ancillaries,110.55,46.61,33.36,-13.15,-37.46,-4.00,-16.39,9.08,16.37,41.96,-26.33,-2.80,12.83,-29.22,6.60,75.44,154.14,133.59,178.52,118.85,231.44,287.69,350.94,-169.97,-152.98,-76.21,-44.48,5.67,7.34,5.64,169.74
Bharat Hig.InvIT,544137,BHINVIT,Construction,105.66,128.71,128.71,0.20,62.38,191.29,0.01,512.25,,,,,,,,,,,,,,,,,,,,,,,4680.10
Bharat Immunolog,524663,,Pharmaceuticals - Indian - Formulations,29.12,10.89,10.89,0.46,-14.71,-3.36,4.64,8.74,-42.12,-42.12,0.53,45.00,3.42,1.23,13.01,-19.45,-17.50,-32.42,-46.07,-19.45,-17.47,-31.95,-45.37,5.05,2.92,3.27,1.66,12.10,20.00,20.14,125.74
Bharat Parenter.,541096,,Pharmaceuticals - Indian - Formulations,1535.00,-4.71,-108.31,-104.78,110.43,0.94,7.84,12.09,-68.43,21.66,-77.82,60.60,4.44,3.40,9.98,-216.68,-193.40,-183.56,,15.88,54.78,81.55,,,-262.62,-245.20,-189.23,2.43,12.13,1.58,886.41
Bharat Rasayan,590021,BHARATRAS,Pesticides / Agrochemicals - Indian,11865.95,41.08,14.12,-89.70,48.96,0.33,18.58,48.62,191.24,213.35,-42.99,-152.11,18.25,0.33,33.63,84.48,448.21,345.01,426.55,188.97,621.74,598.23,720.45,-386.25,-348.06,-271.34,-68.74,32.88,9.42,3.36,4930.61
