Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,224.65,17.15,10.14,35.20,17.97,9.98,10.80,10.27,9.05,21.32,9.06,9.68,12.31,35.20,17.97,20.05,48.07,20.05,48.68,0.12,36.19,24.91,68.28,56.31,792.72
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,70.44,,32.41,121.08,42.37,-33.33,-82.18,51.34,41.57,123.89,36.18,103.71,71.66,121.08,42.37,79.29,62.19,79.29,62.19,3.62,-2.82,2.22,-2.63,3.60,73.96
360 ONE,542772,360ONE,Finance & Investments,1007.00,20.86,13.10,29.42,16.51,-0.73,8.78,,,21.88,11.52,,,28.54,,,,,,-5.16,522.53,,1142.50,,36540.75
3B Blackbio,532067,,Healthcare,1186.85,-31.11,26.06,-34.43,43.69,-6.75,19.86,24.31,12.95,-33.23,41.72,48.71,41.85,-37.29,35.54,54.71,51.35,61.30,55.84,2.94,42.36,22.22,57.19,30.33,1018.66
3C IT Solutions,544190,,Computers - Software - Medium / Small,44.01,,,,,-7.32,-7.32,,,,,,,,,,,,,,,,,,26.50
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,36.70,10.17,-6.22,,,-1.26,7.70,-2.95,-4.63,5.73,,,,,,,2.81,,6.05,0.00,-4.67,-57.30,-5.36,31.00,621.19
3M India,523395,3MINDIA,Diversified - Large,37169.50,17.50,6.93,53.53,10.67,8.17,5.18,7.53,8.47,43.27,7.43,9.18,19.34,53.53,10.67,12.12,28.59,12.12,28.59,0.00,316.87,276.22,435.62,400.45,41890.05
3P Land Hold.,516092,3PLAND,Finance & Investments,38.18,36.17,14.11,146.23,86.60,0.54,17.21,40.46,-32.57,128.64,14.24,3.22,-12.13,146.23,86.60,44.75,11.55,44.75,11.55,0.06,1.25,0.55,1.54,2.23,68.73
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.68,,-44.91,26.48,15.56,-100.00,-100.00,,,26.49,15.57,-26.87,7.28,26.48,15.56,-26.66,7.27,-26.66,7.28,0.00,-1.87,-0.72,-1.68,-0.59,5.85
5Paisa Capital,540776,5PAISA,Finance & Investments,514.90,26.58,45.36,54.79,37.26,78.09,53.14,76.24,,34.75,53.53,37.79,,44.76,34.17,32.80,,31.10,,-1.73,23.71,,53.51,,1606.63
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,377.50,43.36,12.57,147.67,52.43,-2.35,0.02,11.67,-1.83,215.86,92.35,11.21,20.64,147.67,52.43,37.20,14.83,37.20,14.83,0.00,11.26,-28.05,31.72,-4.50,1739.44
7NR Retail Ltd,540615,,Trading,5.23,61.47,-2.55,,,-10.44,-10.44,0.35,8.76,,,,,,,,,,,-27.03,-0.10,-0.02,-0.02,0.06,14.66
7Seas Enter.,540874,,Computers - Software - Medium / Small,60.36,738.48,125.99,-18.60,15.83,-60.00,113.59,8.34,21.16,-10.53,16.69,-12.92,13.02,-31.52,15.44,-8.44,7.69,-1.41,8.49,-12.58,0.33,-2.65,0.52,-2.20,112.65
A B B,500002,ABB,Electric Equipment,8533.85,21.52,9.32,92.69,19.98,6.22,19.12,2.75,3.07,68.31,17.85,12.22,13.78,92.69,19.98,19.52,21.40,19.52,21.40,0.00,592.76,478.20,828.37,715.94,180839.43
A B Infrabuild,,ABINFRA,Construction,55.40,43.83,27.34,96.64,32.57,-1.87,15.90,14.81,8.38,75.57,22.46,20.09,12.07,29.82,-5.19,20.39,-4.07,81.57,27.90,-22.37,4.57,3.00,10.04,8.59,275.59
A B M Internatl.,,ABMINTLLTD,Trading,62.00,-10.04,3.89,,-34.47,-1.27,9.69,-5.78,,,,,,,,,,,,0.00,-0.84,-0.10,-0.25,0.10,58.33
A F Enterprises,538351,,Trading,11.30,-39.13,,,,-50.00,-50.00,,,-26.67,,,,12.55,,,,,,-2.77,,,,,41.46
A G Universal,,AGUL,Trading,64.40,26.80,,151.98,,32.09,32.09,,,73.61,,,,-10.59,,,,,,,0.59,,1.76,,35.31
A K Spintex,539300,,Textiles - Processing,259.40,34.67,14.28,163.86,46.09,5.72,5.72,12.03,11.48,58.32,23.05,17.94,16.72,163.86,46.09,22.43,34.69,22.43,34.69,5.44,3.99,2.71,6.20,4.69,130.54
A R C Finance,540135,,Finance & Investments,1.18,30.16,14.82,14.47,19.78,-22.83,33.53,2.49,97.96,30.06,27.76,16.99,36.22,14.48,19.78,9.84,-12.36,9.84,39.04,0.00,0.26,0.15,0.67,0.41,59.61
A-1 Acid,542012,,Trading,346.00,12.40,7.89,-25.50,-23.47,6.52,6.52,10.01,,-7.15,-2.31,-1.76,,-25.50,-23.47,-37.29,,-13.39,,0.03,3.40,2.72,5.75,5.13,397.91
A.K.Capital Serv,530499,,Finance & Investments,1054.00,21.69,4.23,7.22,5.09,3.96,11.97,6.40,7.91,20.24,5.30,7.40,11.37,7.22,5.09,6.91,10.00,6.91,10.00,0.99,77.35,66.17,225.89,208.09,695.64
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,21.96,-2.17,-14.87,12.55,,-14.93,-14.84,-12.58,-5.70,,,,2.56,12.55,,8.84,6.75,8.49,6.14,0.00,-86.30,-120.61,-40.87,-16.12,386.76
AA Plus Trade,543319,,Trading,20.00,31.72,34.40,59.75,39.59,22.24,22.57,,,51.17,28.14,,,31.61,8.02,,,,,,0.24,,0.35,,48.65
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,110.90,29.24,18.13,41.21,9.28,-1.06,23.39,10.14,6.04,44.51,10.87,47.48,30.51,41.11,-37.26,6.36,2.93,58.10,35.84,0.00,2.65,1.67,3.59,2.32,142.24
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,413.25,17.98,15.37,30.10,34.27,13.52,13.52,,,16.01,14.73,,,30.10,-22.59,,,,,,458.15,,1414.24,,17625.88
Aadi Industries,530027,,Plastics Products,6.99,,,5.73,10.20,-100.00,-100.00,,,3.23,9.98,4.46,7.15,5.73,10.20,4.92,7.15,4.92,7.15,0.00,0.10,0.21,0.10,-0.02,6.99
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,14.16,15.56,12.29,15.12,13.41,21.98,20.42,15.53,,10.15,12.11,14.58,,15.14,13.42,22.67,,28.22,,-6.66,5.21,3.42,8.91,6.22,143.37
Aananda Lakshmi,539096,,Construction,14.58,-32.57,-7.19,51.40,34.95,-30.22,-30.22,-33.87,-32.75,304.12,70.42,14.95,0.33,51.40,34.95,13.04,7.59,13.04,22.24,0.00,-1.23,-3.89,0.41,-1.32,5.10
Aanchal Ispat,538812,,Steel - Medium / Small,6.14,-3.25,-20.89,-5.63,,0.30,-28.87,-12.54,-5.38,,,,,-5.63,,,,,,-33.05,-9.64,-4.14,-5.81,0.56,12.80
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,45.65,4.33,2.22,-10.42,-6.47,1.47,-5.56,-0.01,7.07,-0.69,-1.35,-1.78,14.65,-12.84,-8.00,-6.83,11.43,-2.20,16.12,-4.10,5.46,4.79,9.56,8.78,115.88
Aarnav Fashions,539562,,Textiles - Products,47.50,12.73,195.58,5.11,99.02,68.30,68.30,147.88,,16.62,153.91,112.55,,-25.56,17.31,21.89,12.54,77.81,,45.23,4.51,2.30,14.62,7.38,200.64
Aaron Industries,,AARON,Engineering,262.35,36.32,29.22,48.32,43.23,45.02,21.94,44.53,,47.07,40.45,72.28,,46.27,41.91,25.25,,99.69,,-1.91,3.74,,5.76,,274.76
Aartech Solonics,542580,AARTECH,Electric Equipment,203.22,44.02,18.45,302.07,31.55,32.74,32.74,,,76.36,27.13,,,302.20,31.57,,,,,0.30,0.82,,1.52,,215.21
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,525.55,5.48,10.13,-15.11,14.47,9.14,15.49,11.30,,-10.36,8.48,7.57,,-14.72,15.06,12.02,,11.43,,-3.07,192.20,135.68,287.50,221.03,4831.62
Aarti Industries,524208,AARTIIND,Chemicals,693.00,12.24,8.86,-7.36,-3.24,7.64,7.64,10.52,9.30,0.07,0.38,5.99,9.34,-8.58,-4.09,2.58,10.09,4.04,10.34,-3.39,639.78,479.02,880.42,715.63,25121.56
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,605.00,,,,,-4.76,-4.76,,,,,,,,,,,,,,,,,,5482.87
Aarti Surfactant,543210,AARTISURF,Chemicals,684.95,8.19,17.42,0.96,40.25,23.28,23.28,,,11.48,64.64,,,1.13,,,,,,1.13,12.84,,29.27,,579.37
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,28.21,-31.62,-35.37,10.02,,-9.13,-38.04,-28.00,-18.86,-20.14,,,,10.02,,,,,,0.00,-52.32,-24.31,-33.73,6.12,66.18
Aarvi Encon,,AARVI,Miscellaneous,139.09,26.26,14.54,2.73,6.72,13.24,5.83,14.95,15.21,7.25,4.29,6.14,3.35,2.73,6.72,-35.90,-25.75,11.33,9.28,0.07,11.29,8.65,13.12,11.20,205.64
Aashka Hospitals,543346,,Healthcare,116.90,-17.47,-3.74,-16.88,11.65,-1.59,-1.59,,,-4.55,-2.12,,,-23.84,5.95,,,,,,1.53,,5.14,,273.54
AastamangalamFin,511764,,Finance & Investments,44.25,125.88,45.99,95.74,52.25,-1.85,106.56,26.72,10.29,128.35,58.64,38.43,11.95,53.28,31.48,16.60,0.84,29.48,8.52,-19.59,1.14,0.82,2.08,1.37,39.43
Aatmaj Health,,AATMAJ,Healthcare,26.25,0.54,,-40.22,,17.18,17.18,,,-13.70,,,,-76.63,,,,,,,3.14,,4.81,,59.33
AAVAS Financiers,541988,AAVAS,Finance - Housing,1864.55,22.29,23.23,19.24,22.77,27.09,23.30,30.98,43.55,21.31,23.23,30.28,43.55,18.92,22.45,30.11,40.16,35.96,54.48,-23.61,363.18,219.39,998.90,629.38,14755.99
Aayush Food&Herb,539528,,Trading,304.00,-84.18,-65.98,10.72,-1.02,-3.27,-53.37,-51.85,34.93,-34.40,-14.75,0.24,50.34,10.72,-1.02,8.12,,8.12,,-51.28,-0.17,0.08,0.53,0.57,98.64
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,259.00,30.40,16.16,19.97,39.68,20.19,21.96,13.12,,38.96,28.56,16.48,,-25.45,4.99,12.61,,38.08,,,4.03,,9.14,,266.57
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,65.53,-27.97,-13.97,10.33,11.84,-17.48,0.74,-19.07,-20.45,22.83,14.51,,,10.33,11.84,-4.11,,-4.11,,0.00,-3142.23,-2433.82,-2095.23,-1274.78,382.47
ABans Enterprise,512165,,Trading,135.55,-24.15,,-34.10,,-29.00,-29.00,,,-10.51,,,,-34.10,,,,,,0.00,22.77,,36.03,,189.09
Abans Holdings,543712,AHL,Finance & Investments,475.35,1.17,-20.64,24.96,18.27,-36.70,-36.70,,,23.08,21.64,,,21.72,-78.48,,,,,,55.96,,100.87,,2383.68
Abate As Indust,531658,,Trading,28.70,,,,,-100.00,-100.00,,,,,,,,,,,,,10.99,-0.31,-0.17,-0.33,-0.18,14.41
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,27624.35,10.71,9.72,20.25,22.02,11.02,9.35,10.53,9.90,19.28,19.15,20.73,18.76,20.25,22.02,23.33,20.21,23.33,20.21,0.00,846.75,583.93,1155.07,827.51,58701.76
ABC Gas (Int.),513119,,Trading,91.58,-71.23,-58.05,-16.84,,-50.00,-50.00,-57.43,-42.78,-17.20,,,,-16.84,,,,,,-31.88,-0.52,-0.27,-0.48,-0.24,18.13
ABC India,520123,,Miscellaneous,112.30,-0.53,-1.44,-3.79,-15.38,-7.70,7.72,3.51,0.12,-2.61,-6.62,44.39,3.79,-3.79,-15.38,13.00,8.02,13.00,8.02,4.64,2.82,-1.59,5.66,1.96,60.83
Abhinav Capital,532057,,Finance & Investments,207.75,67.56,31.02,93.40,28.82,16.36,16.45,19.48,47.67,96.65,30.62,18.99,40.93,93.40,28.82,16.34,68.56,16.34,68.56,0.00,5.19,3.89,7.42,5.58,143.86
Abhinav Leasing,538952,,Finance & Investments,2.69,-23.19,39.92,23.61,60.04,44.40,35.92,38.33,61.47,67.83,34.08,20.31,34.17,23.61,60.04,35.76,5.45,,32.75,0.00,0.09,0.05,1.26,0.84,13.45
Abhishek Finle.,538935,,Finance & Investments,37.00,17.88,4.29,24.05,39.33,25.00,29.31,9.29,12.99,32.15,27.23,13.99,11.61,24.05,39.33,16.99,13.35,16.99,13.35,0.00,0.09,0.07,0.12,0.10,15.78
Abhishek Infra.,539544,,Construction,7.04,,,5.90,,-99.43,-99.43,,,5.90,,,,13.89,,,,,,-3.24,,,,,3.55
Abhishek Integr.,,AILIMITED,Construction,69.45,121.24,235.36,85.82,,221.92,221.92,,,109.10,,,,62.14,,,,,,,0.42,,0.82,,41.82
Abirami Fin.,511756,,Finance & Investments,58.20,,,141.49,135.54,-39.47,,,,383.46,49.23,26.01,7.27,148.93,140.56,60.01,20.97,57.62,19.71,6.57,3.18,1.68,3.92,2.07,31.43
ABM Knowledge,531161,,Computers - Software - Medium / Small,148.00,2.21,7.40,-8.76,-1.17,6.05,13.48,-2.67,-0.29,-9.57,-3.48,-5.91,-1.06,-8.76,-1.17,-2.94,0.27,-2.94,0.27,0.00,15.50,16.11,20.37,22.65,296.03
ABS Marine,,ABSMARINE,Shipping,357.00,15.14,,164.55,,21.13,21.13,,,23.64,,,,,,,,,,,,,,,876.45
ACC,500410,ACC,Cement - North India,2644.15,13.13,6.16,11.85,7.24,5.28,5.78,8.90,6.08,11.49,10.10,12.19,6.67,11.85,7.24,18.13,7.33,18.13,7.33,2.16,1578.88,1286.34,2135.81,1686.06,49653.81
Accedere,531533,,Computers - Software - Medium / Small,85.50,64.99,10.84,,,49.12,49.12,,,2.50,6.96,,,,,,,,,8.76,-0.03,,-0.05,,43.01
Accel,517494,,Computers - Software - Medium / Small,22.46,33.13,89.99,39.74,23.70,40.28,57.69,61.42,,67.90,63.09,41.99,,39.62,23.62,11.72,,16.41,,-0.79,0.36,,6.45,,129.29
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,339.00,,,,,142.14,142.14,,,,,,,,,,,,,,,,,,72.85
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1744.95,4.44,4.18,10.82,5.74,4.25,13.20,4.67,4.44,7.15,4.90,4.61,3.71,10.82,5.74,5.13,3.41,5.13,3.41,-14.61,85.88,85.00,123.47,127.21,2605.21
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.00,22.80,,86.23,,20.23,20.23,,,49.35,,,,9.70,,,,,,,11.78,,17.24,,597.62
Accord Synergy,,ACCORD,Telecommunications - Service Provider,28.30,-6.55,-16.29,-25.94,-35.00,-12.89,-19.27,-9.49,,-34.43,-35.95,-26.05,,-25.94,-35.00,-28.57,,-25.14,,0.00,-0.57,0.87,0.06,2.20,9.83
Accuracy Shippi.,,ACCURACY,Miscellaneous,13.55,23.65,15.91,-61.63,-42.65,6.46,6.46,,,-7.34,-3.47,,,-61.63,-42.65,,,,,0.29,7.89,,20.87,,204.00
ACE EduTremd Ltd,530093,,Miscellaneous,3.20,,,14.47,11.02,-55.56,-55.56,,,,,,,14.47,11.02,8.05,,8.05,,0.00,-0.33,-0.47,-0.27,-0.46,2.93
Ace Engitech,530669,,Computers - Software - Medium / Small,21.56,,,13.62,12.03,-8.00,-8.00,,,14.47,12.22,-1.05,,13.62,12.03,-2.18,,-2.18,,25.45,-0.17,-0.24,-0.16,-0.23,7.12
Ace Integrated,,ACEINTEG,Computers - Software - Medium / Small,34.19,11.24,12.60,43.07,2.64,7.52,31.63,-9.83,-4.24,-7.85,-16.11,-22.65,-11.09,43.07,2.64,-18.57,,-14.91,-10.11,0.00,0.61,0.88,0.88,1.48,34.87
Ace Men,539661,,Trading,46.00,,,-27.89,,-58.54,53.13,,,-24.86,55.18,,,-27.89,28.47,3.66,,,,-8.47,0.17,0.08,0.22,0.11,14.24
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,239.00,38.91,24.28,111.68,52.86,5.52,10.51,15.93,17.57,209.28,69.09,21.85,21.56,95.51,46.03,19.83,19.49,25.31,23.29,7.12,0.33,0.42,0.23,0.42,152.96
Achyut Healthcar,543499,,Trading,56.70,183.31,55.75,284.85,126.03,-18.18,-18.18,,,321.72,137.14,,,10.66,27.39,,,,,,0.17,,0.24,,95.40
ACI Infocom,517356,,Computers - Software - Medium / Small,2.44,164.95,-25.27,-20.63,55.18,-73.93,-95.19,-32.14,,-10.37,,-6.12,-3.61,-20.63,55.18,-11.40,-4.98,-11.40,-4.98,0.00,0.08,0.09,0.12,0.15,26.96
Acknit Indus.,530043,,Textiles - Products,312.00,8.70,5.13,13.42,12.71,1.30,1.30,4.81,5.09,6.30,4.74,5.22,7.88,13.42,12.71,12.18,11.16,15.23,13.27,-0.01,7.04,5.20,12.82,11.24,94.84
Acme Resources,539391,,Finance & Investments,33.10,13.44,2.89,28.50,16.67,-15.71,18.66,-16.84,-10.86,29.14,19.40,-25.02,-17.49,28.50,16.67,-24.83,-16.69,-24.83,-16.69,0.00,0.63,1.67,2.09,6.60,85.21
Acrow India,513149,,Diversified - Medium / Small,750.15,,,68.18,33.56,-100.00,-100.00,,,70.26,14.62,37.09,16.49,68.18,33.56,26.51,13.73,26.51,13.73,0.04,-0.14,-0.09,-0.26,-0.33,48.01
Action Const.Eq.,532762,ACE,Engineering,1460.45,33.41,16.76,62.97,42.56,17.84,32.53,21.37,16.81,55.04,35.02,39.57,32.09,60.38,42.13,57.40,56.77,57.73,59.71,-3.29,143.49,84.88,204.87,128.05,17391.53
Active Clothing,541144,,Textiles - Products,97.65,42.66,6.57,332.67,9.69,6.05,5.92,8.50,,25.50,5.25,6.51,,332.67,9.69,-37.69,,17.10,,0.00,1.71,1.87,9.31,8.94,151.48
AD Manum Finance,511359,,Finance & Investments,79.39,5.44,2.04,36.16,48.28,-5.24,-0.40,-2.96,-8.01,28.55,13.02,9.21,-4.29,36.16,48.28,37.23,3.04,37.23,3.04,4.39,4.54,2.48,7.05,6.78,59.54
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,1003.40,18.71,17.85,-5.05,13.38,31.08,18.08,28.47,,6.86,14.70,17.45,,-5.50,13.05,13.86,,14.09,,-1.69,1088.45,791.27,4010.27,2756.87,111928.51
Adani Enterp.,512599,ADANIENT,Trading,3177.50,34.60,19.02,48.28,42.77,7.42,7.49,14.87,5.78,58.42,37.79,25.53,2.20,46.52,41.75,20.61,4.65,21.24,5.02,-2.31,1777.20,1422.59,5218.66,4488.78,362235.36
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1778.80,43.44,34.98,67.90,36.08,39.03,23.86,51.57,,48.13,40.80,55.00,,67.19,35.89,40.05,,43.70,,0.08,628.41,,3598.80,,281767.71
Adani Ports,532921,ADANIPORTS,Miscellaneous,1481.90,28.63,19.58,21.06,17.00,18.72,21.81,17.89,18.65,17.02,16.50,15.01,17.20,18.61,16.01,11.88,17.71,12.56,18.21,2.15,5840.42,4602.80,9148.07,7241.00,320110.98
Adani Power,533096,ADANIPOWER,Power Generation And Supply,719.75,24.29,16.09,153.37,88.46,10.82,10.82,12.11,12.63,38.35,30.39,23.55,19.27,153.37,88.46,42.50,55.22,42.50,59.76,-3.22,7321.02,3072.44,11496.93,7893.68,277603.17
Adani Total Gas,542066,ATGL,Miscellaneous,888.35,38.19,21.09,12.13,22.74,9.05,9.05,,,15.92,17.05,,,12.13,22.74,,,,,0.00,525.37,,764.28,,97701.64
Adani Wilmar,543458,AWL,Solvent Extraction,333.50,11.39,12.22,-39.91,-15.88,7.44,7.44,,,-0.55,2.33,,,-73.28,-48.27,,,,,,547.14,,1309.92,,43344.27
Adarsh Plant,526711,,Packaging,34.00,13.87,12.52,30.59,20.16,8.34,8.43,8.33,9.05,18.22,26.55,3.43,8.38,30.59,20.16,29.55,12.32,29.55,12.32,21.57,0.19,-0.18,0.39,0.15,33.69
ADC India,523411,,Telecommunications - Equipment,2100.00,44.00,15.86,79.12,28.70,8.77,18.39,17.01,13.93,69.38,25.47,22.95,20.89,79.12,28.70,27.01,19.97,27.01,19.97,0.00,8.95,6.83,12.17,9.49,966.00
Adcon Capital,539506,,Finance & Investments,0.87,81.71,47.58,95.74,71.88,7.69,8.33,45.79,29.16,95.74,77.26,94.42,27.85,136.93,92.74,65.44,38.83,,31.10,0.00,0.15,0.09,0.21,0.12,17.25
Add-Shop E-Reta.,541865,,Trading,15.89,37.39,55.34,-25.62,29.43,86.62,65.43,72.05,,-12.86,33.50,62.84,,-17.53,37.49,,,54.56,,-35.79,10.09,,14.78,,44.99
Addi Industries,507852,,Textiles - Products,50.07,,,61.44,57.38,-69.70,-100.00,,,264.32,81.21,,55.59,61.44,57.38,,26.31,,26.31,0.00,1.33,,1.49,,54.06
Addictive Learn,,LAWSIKHO,Miscellaneous,308.00,111.30,,768.45,,90.75,90.75,,,756.35,,,,34.08,,,,,,,1.70,,3.10,,490.02
Adeshwar Meditex,543309,,Healthcare,27.00,6.57,8.58,4.13,-2.32,-1.83,6.05,,,1.89,-1.51,,,-6.25,-21.04,,,,,,1.75,,4.60,,38.96
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,242.95,12.05,17.59,14.20,23.49,6.90,15.56,14.57,9.62,16.67,21.70,22.35,20.30,10.72,21.22,25.40,33.05,26.04,33.03,5.00,53.57,34.02,73.17,48.43,2669.13
Adhbhut Infra.,539189,,Construction,29.07,231.93,84.42,74.86,46.87,-19.42,20.75,34.00,,518.85,160.73,42.40,13.30,74.86,46.87,22.88,,22.88,5.08,-1.33,0.08,0.05,0.33,0.27,31.98
Adinath Exim Res,532056,,Finance & Investments,23.88,5.39,9.64,5.27,8.06,6.56,4.62,10.56,13.13,3.89,10.96,12.72,15.18,5.27,8.06,8.02,14.28,8.82,14.87,0.00,0.49,0.37,0.66,0.47,10.31
Adinath Textiles,514113,,Textiles - Spinning - Synthetic / Blended,25.91,,,14.47,24.93,-3.97,-100.00,,,7.84,32.70,3.54,5.83,14.47,24.93,9.15,8.11,9.15,8.11,-0.06,0.31,0.18,0.39,0.26,17.65
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,164.55,26.57,17.87,49.76,39.66,12.72,14.27,17.69,18.90,47.38,28.81,39.78,62.25,49.58,39.56,35.82,24.55,36.21,24.74,-0.27,28.15,17.22,82.73,51.34,929.85
Aditya AMC,543374,ABSLAMC,Finance & Investments,649.10,4.04,-0.78,14.03,11.80,0.30,-2.67,4.22,,12.36,8.91,17.21,,-54.75,-35.79,-19.53,,19.58,,,614.05,,815.90,,18700.54
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,316.95,38.67,11.51,2.26,,12.71,12.71,,,37.67,21.05,,,6.96,,,,,,-4.25,-332.52,,158.43,,32205.35
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,238.80,21.45,17.87,44.49,32.67,31.59,15.35,28.76,,30.51,17.44,20.25,,40.98,28.33,16.89,,30.05,,-1.74,2353.76,1465.91,7941.48,5683.41,62137.63
Aditya Consumer,540146,,Trading,83.50,-0.12,2.09,,,9.69,0.63,4.85,5.86,,,,,,,,,,,0.00,0.01,0.94,0.80,2.07,122.19
Aditya Ispat,513513,,Steel - Medium / Small,10.40,7.65,9.38,,,6.21,16.28,8.62,7.85,-10.40,-4.07,-2.55,2.09,,,,,,,0.00,-0.20,0.10,1.94,1.78,5.56
Aditya Spinners,521141,,Textiles - Spinning - Synthetic / Blended,20.20,22.40,0.13,84.94,15.37,5.96,-6.41,2.02,4.03,24.18,7.69,6.45,11.04,84.94,15.37,15.46,5.39,15.46,5.39,0.00,2.50,1.65,3.68,3.01,33.82
Aditya Vision,540205,,Trading,4520.00,32.58,25.33,55.62,67.99,31.84,31.84,25.19,30.20,44.93,58.47,65.39,57.44,52.35,71.25,74.67,-14.62,72.29,59.35,-19.87,42.18,22.34,81.19,43.76,5815.55
Adjia Tech,543269,,Computers - Software - Medium / Small,45.49,14.47,,33.30,,66.67,66.67,49.25,,51.83,,,,33.30,,10.51,,,,0.00,-0.07,,-0.07,,4.00
Adline Chem Lab,524604,,Pharmaceuticals - Indian - Formulations,13.12,,,23.48,,-3.95,-88.31,,,10.46,,,,23.48,,,,,,-1.85,-1.14,-0.56,-1.09,-0.37,7.68
Ador Fontech,530431,,Electrodes - Welding Equipment,144.40,12.01,2.42,33.54,17.23,2.22,-1.91,5.28,4.14,20.99,12.27,13.56,4.60,33.54,17.23,18.68,7.01,18.68,7.01,-0.04,16.18,12.75,23.65,19.07,505.41
Ador Multi Prod.,523120,,Personal Care - Indian,34.55,-29.66,-1.56,,,-1.79,-9.45,0.09,,,-40.80,-22.21,,,,-7.81,,,,-0.25,-4.81,,-4.40,,16.15
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,1411.70,25.49,11.53,60.55,21.45,5.23,13.78,10.43,9.15,51.74,13.35,14.26,9.76,60.55,21.45,19.53,22.39,19.53,22.39,0.01,40.47,30.04,57.38,45.20,1919.91
Adroit Info.,532172,ADROITINFO,Computers - Software - Medium / Small,18.22,59.04,9.61,29.23,37.49,-4.55,3.07,-10.24,90.26,27.28,76.79,-16.23,60.72,108.27,34.83,-23.01,33.61,-20.98,36.22,-13.72,1.84,3.65,2.28,4.46,39.49
Advait Infratech,543230,,Construction,1690.00,47.03,49.42,69.92,57.47,47.60,47.60,,,81.54,54.58,,,69.92,48.07,,,,,0.01,8.05,,13.71,,1725.10
Advance Lifes.,521048,,Textiles - Jute - Yarn / Products,45.99,,,58.06,16.91,-100.00,-100.00,,,119.52,-9.83,27.05,-6.42,57.95,16.90,15.26,16.29,15.33,16.32,0.00,-0.61,-0.53,-0.40,1.43,28.63
Advance Meter.,534612,,Electric Equipment,37.71,1.82,-28.34,20.71,,8.82,-10.36,-9.21,0.97,-11.33,-21.84,3.35,11.22,20.71,,8.07,6.29,8.07,6.29,0.00,-7.73,-7.69,-3.62,-2.78,60.56
Advance Petroch.,506947,,Chemicals,288.00,26.36,10.57,-6.60,14.87,-5.12,25.47,21.80,10.87,13.29,12.05,11.01,10.13,-6.60,14.87,13.62,6.25,13.62,6.25,-5.75,0.37,0.22,1.28,1.00,25.92
Advance Syntex,539982,,Textiles - Spinning - Synthetic / Blended,7.30,-73.77,-60.57,13.46,,-18.49,-34.20,-47.32,-32.13,,,,,13.46,,,,,,0.00,-1.76,-0.18,0.27,3.35,8.10
Advanced Enzyme,540025,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,380.05,7.53,8.26,-0.41,5.24,7.31,5.82,9.57,10.08,0.06,5.04,6.59,16.84,-0.44,5.21,6.62,21.38,6.65,21.71,-11.89,128.87,106.56,184.53,159.26,4249.89
Advani Hotels.,523269,ADVANIHOTR,Hotels,71.07,56.56,8.45,100.00,17.03,9.53,6.87,8.48,10.24,171.09,15.92,10.49,15.68,99.98,17.02,15.81,26.28,15.82,26.28,0.08,13.41,10.62,17.94,14.93,656.95
