Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization
DRA Consultants,540144,,Miscellaneous,56.15,9.48,-2.54,15.12,-13.66,3.57,-0.40,2.48,7.04,11.35,-3.26,-0.11,5.76,15.12,-13.66,0.55,-58.26,0.55,5.83,0.00,1.81,2.25,2.59,3.04,61.59
DRC Systems,543268,DRCSYSTEMS,Computers - Software - Medium / Small,28.31,,,,,31.44,31.44,,,,,,,,,,,,,-6.11,,,,,375.03
Dreamfolks Servi,543591,DREAMFOLKS,Miscellaneous,484.05,120.67,35.52,299.64,35.06,47.83,47.83,,,334.08,32.73,,,96.79,-16.39,,,,,,37.30,,51.25,,2529.17
Dredging Corpn.,523618,DREDGECORP,Miscellaneous,1094.40,7.37,6.45,30.29,-0.85,1.15,4.88,7.10,2.07,105.29,3.62,6.91,0.96,30.29,-0.85,25.55,-0.30,25.55,-0.30,0.00,-25.93,1.89,-2.76,25.29,3064.32
Drone Destinatio,,DRONE,Miscellaneous,372.15,333.72,,423.66,,371.48,371.48,,,674.18,,,,,,,,,,,,,,,904.33
Droneacharya Aer,543713,,Miscellaneous,147.20,,,,,89.82,89.82,,,,,,,,,,,,,,,,,,353.11
DRS Dilip Road,,DRSDILIP,Miscellaneous,135.00,7.51,3.88,11.23,2.67,0.59,0.37,3.63,3.28,-3.94,-6.37,-4.83,1.50,11.23,2.67,3.68,13.20,15.71,25.01,0.00,3.07,2.25,5.57,5.28,203.34
DSJ Keep Learn,526677,KEEPLEARN,Miscellaneous,2.90,227.45,129.16,27.62,29.20,20.00,20.00,83.56,,31.24,59.01,40.69,22.23,27.46,28.07,21.04,13.68,21.90,14.22,5.34,-0.55,-0.38,-0.29,-0.23,45.16
DU Digital,,DUGLOBAL,Miscellaneous,75.00,137.62,-4.46,79.52,2.67,-14.24,-14.24,,,100.41,35.37,,,,,,,,,,0.24,,1.12,,523.06
Ducol Organics,,DUCOL,Dyes And Pigments,143.20,3.37,,16.66,,5.61,5.61,,,10.62,,,,-31.06,,,,,,,3.37,,7.41,,208.21
Ducon Tech,534674,DUCON,Engineering - Turnkey Services,8.30,7.05,,162.88,,6.05,6.05,,,18.74,,,,138.57,,,,,,-13.38,,,,,215.75
Dugar Housing,511634,,Construction,12.26,,,,,-100.00,,,,,,,,,,,,,,-0.26,-0.19,-0.12,-0.19,-0.12,0.37
Duke Offshore,531471,,Oil Drilling / Allied Services,19.30,35.34,-14.85,38.02,18.09,1.54,-12.57,-6.78,-4.41,50.96,-20.29,-12.62,-11.34,38.02,18.09,1.40,-4.29,1.34,-4.33,0.00,-1.21,0.00,-1.60,0.47,19.02
Duncan Engg.,504908,,Engineering,552.50,16.21,7.93,-4.71,14.84,-4.38,-2.43,9.63,-0.60,30.31,12.01,33.88,16.08,-4.71,14.84,17.89,16.99,17.89,16.99,0.00,7.17,2.05,8.05,3.30,204.43
Durlax Top,,DURLAX,Miscellaneous,88.85,66.87,,100.70,,40.79,40.79,,,32.46,,,,27.51,,,,,,,,,,,147.74
Duropack,526355,,Packaging,75.30,15.41,12.75,24.11,21.37,13.63,16.99,14.75,11.16,22.15,21.79,21.85,13.86,24.11,21.37,23.25,15.53,23.25,15.53,0.01,1.37,0.99,1.85,1.32,39.68
