Name,BSE Code,NSE Code,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
Siyaram,544047,,Mining / Minerals / Metals,73.49,59.33,13.81,0.00,57.93,49.67,17.40,170.33,20.87,0.00,13.92,6.09,0.00,0.00,158.70,91.39,0.00,0.00,0.06,170.33,124.96,0.00,119.28,29.38,10.00,0.52,6.69,17.78,1.38,67.07,105.36,6.96,20.87,0.00,56.99,,,,29.32,,,,7.04,,,138.14
Siyaram Silk,503811,SIYSIL,Textiles - Processing,517.00,174.94,9.07,0.00,1131.88,119.62,43.12,1605.56,860.02,0.00,382.91,474.49,18.70,40.70,1066.48,392.05,0.00,0.00,24.17,1605.56,840.52,10.66,465.65,467.70,2.00,6.97,26.07,164.20,4.69,162.74,722.38,477.11,860.02,5.41,376.85,681.71,462.15,332.57,139.30,444.32,304.61,314.02,486.56,519.02,408.79,2345.64
Sizemasters Tech,513496,,Auto Ancillaries,238.00,12.26,10.00,,1.55,,,27.55,,,,0.44,0.00,0.00,27.12,16.08,,,,27.55,23.17,0.17,3.76,4.64,10.00,9.52,,3.20,1.00,0.48,10.01,0.23,,0.00,,,,,,,,,,,,238.00
SJ Corp,504398,,Diamond Cutting / Jewellery,41.89,0.00,0.84,0.00,7.97,0.77,0.00,8.86,0.59,0.00,0.24,0.81,0.00,0.90,7.09,0.06,0.00,0.48,0.00,8.86,7.03,0.00,4.00,1.44,1.00,0.73,0.00,0.00,0.84,0.77,8.23,0.35,0.59,0.00,6.78,6.83,6.82,12.17,0.00,0.00,0.73,5.66,0.80,0.90,1.02,35.00
SJS Enterprises,543387,SJS,Plastics Products,785.75,84.21,31.04,0.00,519.50,12.00,18.49,789.63,310.29,0.00,111.49,474.53,2.33,39.64,292.82,144.03,0.00,0.00,4.02,789.63,181.36,15.87,71.96,162.41,10.00,15.32,1.18,61.62,3.04,30.49,111.64,198.80,310.29,1.72,,,,,,,,,,,,2438.84
SJVN,533206,SJVN,Power Generation And Supply,132.60,20323.20,3929.80,0.00,10141.05,7419.33,6640.01,39191.25,12168.76,0.00,3679.27,10906.36,20033.41,36.88,4896.15,4102.95,0.00,0.00,1036.20,39191.25,1371.57,71.55,81.81,167.09,10.00,3749.81,2.74,119.83,392.98,14059.34,1311.43,8489.49,12168.76,15673.87,1302.71,3405.56,4611.88,2074.46,2173.63,2155.11,2416.42,2457.19,8007.03,8141.93,8424.80,52109.07
SKF India,500472,SKFINDIA,Bearings,6669.00,11.76,49.44,0.00,2633.40,0.00,14.44,3651.49,835.41,0.00,411.33,472.37,88.69,9.01,2741.21,927.96,0.00,0.00,480.14,3651.49,1821.26,11.76,683.88,751.33,10.00,1222.11,4.46,713.14,4.94,14.44,1658.75,424.08,835.41,63.38,945.73,1189.71,1241.40,646.91,17.58,90.00,34.03,0.00,345.25,284.11,298.87,32970.16
SKIL Infrastr,539861,SKIL,Construction,6.20,1955.55,216.57,0.00,-18.70,1981.32,0.00,3195.12,14.32,0.00,14.30,0.01,0.00,3183.84,10.80,2916.31,0.00,0.00,1924.04,3195.12,-949.96,0.00,0.00,0.00,10.00,0.13,175.69,0.00,21.66,2469.61,-1107.78,0.03,14.30,0.00,-2620.88,-56.40,244.10,-117.98,2414.21,2425.44,3030.91,2611.68,255.63,254.48,444.00,134.28
Skipper,538562,SKIPPER,Engineering,357.40,592.49,10.52,0.00,880.65,478.44,6.49,3138.27,1074.83,0.00,377.86,749.38,16.02,10.42,2322.58,1756.41,0.00,0.00,111.91,3138.27,844.58,15.23,1203.15,766.15,1.00,134.89,0.00,1220.58,11.29,484.93,645.13,696.97,1074.83,7.14,496.65,654.24,485.00,311.23,439.78,523.05,435.99,439.50,656.91,514.48,496.85,3878.43
SKM Egg Prod.,532143,SKMEGGPROD,Food - Processing - Indian,261.50,146.15,26.33,0.00,250.65,89.10,-1.12,469.17,196.63,0.00,121.49,113.78,34.39,7.64,311.68,129.25,0.00,0.00,0.00,469.17,274.13,9.95,114.21,28.92,10.00,141.09,0.19,23.91,2.63,87.98,192.77,75.14,196.63,23.66,93.83,78.27,75.30,40.13,55.74,45.18,44.14,72.54,69.40,62.45,61.09,688.53
SKP Bearing,,SKP,Bearings,226.25,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,375.58
SKP Securities,531169,,Finance & Investments,145.00,0.00,6.81,0.00,35.03,2.66,0.00,71.79,11.91,0.00,1.43,10.42,0.00,9.48,61.24,26.64,0.00,5.65,0.28,71.79,34.60,0.00,0.00,15.31,10.00,22.86,0.00,25.12,0.68,2.66,20.87,10.49,11.91,0.00,12.43,7.78,4.83,16.04,0.90,0.41,0.91,0.17,4.19,4.09,3.87,98.74
Sky Gold,541967,SKYGOLD,Diamond Cutting / Jewellery,1670.00,310.06,13.24,0.00,230.88,145.93,0.51,585.64,14.42,0.00,5.27,34.97,1.01,90.55,456.52,311.41,0.00,0.00,0.21,585.64,428.46,11.30,266.13,102.15,10.00,76.76,0.00,4.33,1.07,146.44,170.33,9.15,14.42,0.07,95.42,76.79,33.59,,73.25,48.97,25.48,,5.09,3.91,1.22,2210.63
Sky Industries,526479,,Textiles - Products,88.22,12.81,7.89,0.00,31.86,12.21,0.60,62.13,17.91,0.00,6.86,11.05,0.41,8.25,42.02,21.28,0.00,0.00,0.70,62.13,33.41,0.60,20.53,10.91,10.00,5.37,0.61,6.26,0.79,13.80,32.13,11.44,17.02,0.23,,,14.90,9.67,,,9.66,18.07,,,9.79,69.61
Skyline Millars,505650,,Construction,25.20,0.00,4.02,0.00,20.75,0.00,0.00,27.23,0.41,0.00,0.16,0.27,0.00,0.00,23.56,1.43,0.00,0.00,1.75,27.23,22.13,0.00,13.59,0.00,1.00,6.86,0.00,0.00,4.02,0.00,23.11,0.25,0.41,0.00,24.30,17.57,19.73,11.84,0.00,0.00,2.12,4.48,0.28,1.35,1.71,101.36
Skyline Ventures,538919,,Trading,14.71,1.09,3.97,0.00,0.03,0.00,0.51,5.52,0.81,0.00,0.22,0.58,0.00,0.00,2.58,0.44,0.00,0.00,0.00,5.52,2.14,0.00,0.00,2.58,10.00,0.00,0.00,0.06,0.40,0.51,2.16,0.60,0.81,0.00,2.19,1.96,1.10,1.12,0.51,0.34,0.00,0.00,0.63,0.73,0.53,5.83
Slone,,SLONE,Computers - Hardware,165.05,1.57,1.85,0.00,9.35,1.77,0.97,20.87,2.35,0.00,1.41,2.00,0.00,0.00,18.81,6.04,0.00,0.00,0.00,20.87,12.77,0.00,3.06,11.78,10.00,0.05,2.60,4.29,0.18,2.74,3.85,0.94,2.35,0.00,,,,,,,,,,,,86.96
SM Auto Stamping,543065,,Auto Ancillaries,50.00,5.52,14.29,0.00,3.93,7.32,0.00,31.96,28.73,0.00,18.22,9.44,0.00,10.61,11.69,13.35,0.00,0.00,17.91,31.96,3.67,0.00,5.57,4.15,10.00,0.03,0.00,4.71,1.43,7.32,5.03,10.51,28.73,0.29,4.65,7.02,5.18,7.84,10.35,12.73,16.98,8.58,8.83,8.39,9.88,68.44
Smart Finsec,539494,,Finance & Investments,14.60,0.00,3.00,0.00,11.51,1.40,0.00,14.60,1.90,0.00,0.49,1.35,0.00,1.77,10.98,0.09,1.06,0.00,0.00,14.60,10.89,0.00,0.00,0.04,1.00,0.75,0.00,0.00,3.00,1.40,9.90,1.40,1.90,0.00,8.26,3.89,2.40,0.65,9.05,0.00,0.00,0.00,1.51,1.62,1.74,43.80
Smartlink Hold.,532419,SMARTLINK,Finance & Investments,281.85,31.63,2.00,0.00,188.28,17.63,16.04,271.18,73.24,0.00,40.14,31.97,0.00,130.11,95.96,44.12,15.37,43.65,66.42,271.18,51.84,0.00,22.44,57.38,2.00,8.86,1.61,38.60,1.00,33.67,58.59,33.10,73.24,0.00,21.05,34.79,43.77,90.02,23.62,19.75,0.68,0.00,29.56,20.40,22.38,281.15
