Name,BSE Code,NSE Code,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
Danlaw Tech.,532329,,Electronics - Components,1897.40,30.18,4.87,0.00,53.00,0.00,37.96,132.83,57.91,0.00,24.25,30.90,0.00,0.00,101.70,43.76,0.00,0.00,1.70,132.83,63.87,7.55,41.22,34.84,10.00,22.42,4.03,23.15,0.49,37.96,45.39,33.66,57.91,0.00,-6.04,6.62,18.65,14.20,1.10,0.00,0.00,0.01,6.99,1.18,0.69,924.16
Danube Industrie,540361,,Trading,5.47,9.77,12.00,0.00,4.36,11.99,7.33,34.84,0.95,0.00,0.09,0.80,0.00,0.22,32.23,17.93,0.17,0.00,0.00,34.84,23.56,0.00,11.53,18.11,2.00,1.68,0.07,7.89,6.00,19.32,17.97,0.86,0.95,0.00,0.68,1.87,1.48,0.22,0.21,0.17,0.88,0.00,0.18,0.00,0.00,32.82
DAPS Advertising,543651,,Miscellaneous,30.50,0.18,5.17,0.00,10.48,0.23,0.05,18.59,2.24,0.00,0.82,2.22,0.00,0.00,15.91,2.80,0.00,0.00,0.00,18.59,13.17,0.00,0.00,9.05,10.00,5.48,0.27,2.30,0.52,0.28,13.63,1.42,2.24,0.00,7.15,7.44,,,1.23,2.18,,,1.32,1.48,,15.79
Darjeeling Ropew,539770,,Construction,7.01,4.18,3.05,0.00,1.98,0.00,0.18,9.39,0.05,0.00,0.05,0.00,0.00,0.00,8.79,0.18,0.00,0.00,0.00,9.39,8.61,0.00,0.00,0.00,10.00,0.12,0.00,0.00,0.30,0.18,5.23,0.00,0.05,0.00,4.16,5.71,2.26,0.12,1.62,0.64,0.00,0.00,0.02,0.05,0.26,2.14
Darshan Orna,539884,,Trading,4.29,3.69,10.01,0.00,8.91,0.00,0.00,24.59,0.04,0.00,0.04,0.01,0.00,5.71,18.87,5.32,0.00,0.00,0.00,24.59,17.24,0.00,18.34,0.00,2.00,0.03,0.00,0.15,5.00,0.00,11.41,0.01,0.04,0.00,10.55,7.18,11.03,0.39,0.00,0.00,0.01,0.10,0.01,0.01,0.02,21.46
Data Infr.Trust,543225,,Construction,148.00,31366.70,26101.70,14.70,-12732.00,27507.20,2122.20,49658.50,48707.10,0.00,6600.60,45674.40,51.70,0.00,2107.00,4187.50,0.00,0.00,607.80,49658.50,900.20,162.30,0.00,101.30,,658.80,113.60,749.40,260.30,29629.40,353.40,42106.50,48707.10,49.40,818.10,,,,18172.50,,,,38031.10,,,38524.40
Data Pattern,543428,DATAPATTNS,Electronics - Components,3017.75,3.50,11.20,0.00,1313.01,0.72,1.77,1691.77,134.24,0.00,22.20,191.11,7.18,262.16,1400.87,350.21,0.00,0.00,361.10,1691.77,1051.31,3.50,266.80,398.78,2.00,392.69,0.00,50.11,5.60,2.49,1055.05,112.04,134.24,1.35,214.58,152.40,109.09,100.67,37.17,60.14,34.99,34.48,33.21,36.44,23.61,16894.57
Datamatics Glob.,532528,DATAMATICS,Computers - Software - Medium / Small,645.15,17.38,29.50,0.00,1199.50,0.00,21.26,1463.26,415.21,0.00,197.12,218.87,0.00,546.23,945.20,192.94,70.28,228.32,43.79,1463.26,762.18,17.38,0.00,286.34,5.00,131.25,6.90,100.60,5.89,21.26,492.38,218.09,415.21,0.00,350.49,292.70,195.87,187.82,20.07,35.88,54.66,91.26,213.44,352.03,263.36,3808.41
Datasoft Applica,526443,,Computers - Software - Medium / Small,60.63,0.57,1.13,0.00,-0.88,0.00,0.24,0.97,0.00,0.00,0.00,0.06,0.00,0.00,0.90,0.15,0.00,0.00,0.00,0.97,0.75,0.00,0.00,0.00,10.00,0.88,0.00,0.04,0.11,0.24,0.01,0.00,0.00,0.00,0.31,0.56,0.46,0.00,0.03,0.16,0.06,0.11,0.00,0.00,0.00,6.86
Datiware Mari.,519413,,Aquaculture,9.95,8.31,5.00,0.00,-6.90,0.77,6.28,7.08,5.96,0.00,0.71,5.68,0.00,0.00,0.19,0.82,0.00,0.00,0.00,7.08,-0.08,0.00,0.00,0.13,10.00,0.02,0.00,0.22,0.50,7.05,-0.03,5.25,5.96,0.17,0.52,-1.94,0.28,0.00,5.88,0.56,1.95,1.18,5.59,3.74,3.69,4.98
Daulat Securitie,530171,,Finance & Investments,43.50,0.00,5.00,0.00,15.97,0.02,0.00,24.65,1.76,0.00,0.99,0.85,0.00,7.64,10.92,3.23,0.20,0.00,0.00,24.65,7.69,0.00,8.98,0.14,10.00,0.48,0.00,2.13,0.50,0.02,7.22,0.77,1.76,0.00,6.64,6.96,5.94,6.41,0.06,0.02,0.06,0.25,0.71,0.66,0.67,21.75
Davangere Sugar,543267,DAVANGERE,Sugar,8.54,264.14,94.08,0.00,245.90,244.63,0.00,681.67,544.82,0.00,195.24,358.94,0.00,4.56,298.29,224.57,0.00,0.00,0.00,681.67,269.37,0.00,121.90,18.43,1.00,3.42,0.56,21.83,94.08,244.63,215.16,349.58,544.82,0.00,156.19,170.61,50.56,,131.98,148.71,105.20,,271.08,127.86,144.91,803.46
DB Intl.Stock,530393,DBSTOCKBRO,Finance & Investments,47.37,2.88,7.00,0.00,56.70,0.00,0.40,125.81,7.48,0.00,2.69,5.29,0.00,1.40,118.12,61.83,0.00,0.00,0.38,125.81,59.17,0.00,0.00,0.44,2.00,112.77,0.00,58.92,3.50,0.40,37.51,4.79,7.48,0.00,32.51,32.64,25.07,30.81,0.00,0.00,0.00,0.00,0.84,0.63,0.30,165.80
DC Infotech,543636,DCI,Trading,235.00,37.51,13.00,0.00,37.59,10.75,15.25,207.71,3.38,0.00,1.98,1.88,0.00,0.00,205.49,156.73,0.00,0.00,0.41,207.71,86.27,0.00,58.74,126.41,10.00,12.44,0.00,108.77,1.20,26.00,53.89,1.40,3.38,0.00,34.77,21.92,,,17.19,18.81,,,0.73,0.78,,305.51
DCB Bank,532772,DCBBANK,Banks - Private Sector,141.40,55572.51,312.80,0.00,4758.47,6219.48,49353.03,63036.97,1435.80,290.07,594.69,841.10,23.78,16210.85,4898.20,2393.19,3700.78,0.00,9908.73,63036.97,2505.01,0.00,0.00,0.00,10.00,3065.89,0.00,956.56,31.15,45357.03,1973.68,782.67,1291.62,43.60,3069.31,2247.21,594.64,326.23,34186.11,31158.31,20565.02,11185.32,568.51,525.98,488.57,4428.84
DCG Cables,,DCG,Cables - Power,144.00,25.47,13.15,0.00,10.93,17.36,0.76,84.43,2.84,0.00,0.31,5.46,2.97,2.54,73.34,55.33,0.00,0.00,0.00,84.43,38.51,0.00,17.90,48.86,10.00,2.21,0.03,30.29,1.31,18.12,28.30,2.53,2.84,0.00,0.39,,,,0.30,,,,0.01,,,261.36
DCM,502820,DCM,Castings & Forgings,78.33,1.70,18.68,0.00,2.09,0.00,0.57,113.32,120.64,0.00,85.77,34.10,0.00,10.92,50.76,62.02,0.00,0.00,12.84,113.32,-10.80,1.70,9.20,15.98,10.00,22.19,0.17,3.63,1.87,0.57,-17.51,34.87,120.64,0.00,-29.09,191.95,274.69,265.79,32.23,249.40,360.61,320.20,51.86,172.61,231.66,146.29
DCM Financial,511611,DCMFINSERV,Finance & Investments,5.71,69.58,22.13,0.00,-70.90,27.38,46.37,23.65,13.40,0.00,2.25,10.86,0.00,1.15,7.80,69.55,0.00,0.00,0.00,23.65,5.75,0.00,0.00,0.00,10.00,6.37,0.00,0.00,2.21,73.75,9.60,11.15,13.40,0.00,1.03,-68.89,47.45,7.09,79.93,89.43,108.03,96.56,11.74,12.24,12.88,12.65
DCM Nouvelle,542729,DCMNVL,Textiles - Cotton/Blended,235.95,372.26,18.68,0.00,296.87,264.07,0.83,763.05,384.18,0.00,107.83,324.42,0.10,0.00,414.80,345.18,0.00,0.00,0.21,763.05,358.71,0.65,264.31,114.64,10.00,1.01,0.00,28.29,1.87,264.90,287.29,276.35,384.18,11.13,,,,,,,,,,,,440.69
DCM Shriram,523367,DCMSHRIRAM,Diversified - Mega,993.00,2151.55,31.35,0.00,6490.75,1956.63,194.92,11547.18,5680.33,0.00,1458.44,4221.89,2615.21,53.72,4459.93,2757.81,0.00,0.00,61.05,11547.18,2415.97,68.92,2677.05,645.87,2.00,672.44,347.83,1040.12,15.59,1707.17,2628.26,4105.14,5300.44,1630.10,2801.97,1967.05,1267.76,1081.46,1520.73,1610.05,1073.85,1177.30,3359.51,2689.66,2021.78,15485.10
DCM Shriram Inds,523369,DCMSRIND,Sugar,218.00,529.02,17.40,0.00,797.98,485.83,24.49,2198.95,777.33,0.00,145.61,626.76,6.84,50.97,1456.28,1189.00,0.00,0.00,105.37,2198.95,749.41,16.67,739.54,275.87,2.00,30.69,4.87,316.84,8.70,510.32,589.18,631.72,777.33,2.21,557.54,490.74,436.75,192.86,507.68,465.89,408.79,298.50,495.18,389.69,329.30,1896.41
DCW,500117,DCW,Petrochemicals,55.70,438.96,59.03,0.00,972.69,504.86,3.42,2088.54,1941.13,0.00,645.08,1311.52,41.04,19.70,690.66,613.57,0.00,0.00,284.25,2088.54,233.09,2.61,376.54,114.20,2.00,169.46,11.04,336.59,29.52,508.28,314.00,1296.05,1941.13,59.65,-29.63,-295.42,-187.39,-123.71,624.15,682.93,769.69,671.24,1406.92,1533.88,1531.15,1644.00
DCX Systems,543650,DCXINDIA,Electronics - Components,377.95,265.31,22.28,0.00,1096.63,509.48,0.00,1802.07,24.65,0.00,9.47,45.18,0.00,3.73,1750.73,681.32,0.00,0.00,393.28,1802.07,1334.72,0.00,125.42,667.07,2.00,834.76,3.13,380.14,9.67,509.48,1049.48,15.18,24.65,5.29,167.50,105.05,,,136.38,110.48,,,15.60,5.85,,4209.86
DDev Plastiks,543547,,Chemicals,411.25,66.27,10.35,0.00,649.52,55.77,0.40,995.07,314.13,0.00,88.80,231.18,2.89,0.00,748.27,308.87,0.00,0.00,73.30,995.07,505.61,0.22,205.29,398.19,1.00,76.78,2.82,181.24,10.35,56.17,336.74,225.33,314.13,0.67,0.09,,,,0.08,,,,0.00,,,4255.49
De Neers Tools,,DENEERS,Trading,190.00,58.34,6.33,20.00,36.58,26.18,34.59,143.06,3.91,0.00,1.38,2.02,0.00,0.00,138.96,44.85,0.00,0.00,0.00,143.06,119.60,0.00,85.68,0.00,10.00,0.22,0.00,11.99,0.63,60.77,91.31,2.53,3.91,0.00,,,,,,,,,,,,163.52
DE Nora India,590031,DENORA,Engineering,1681.00,0.00,5.31,0.00,114.38,0.00,0.00,126.67,20.46,0.00,12.56,13.45,1.95,54.50,100.95,6.97,0.00,0.17,0.97,126.67,93.98,0.00,27.56,10.22,10.00,7.94,4.41,3.52,0.53,0.00,48.28,7.89,20.46,2.20,51.48,23.87,13.77,14.94,0.00,0.00,0.00,0.00,9.59,11.93,7.25,892.60
Debock Industrie,,DIL,Trading,7.93,0.00,162.74,0.00,52.00,4.52,8.24,237.20,15.98,0.00,3.46,14.08,3.86,0.00,76.05,22.27,0.00,0.00,50.70,237.20,53.78,0.00,1.12,72.49,10.00,0.56,1.26,6.13,10.92,12.76,31.51,12.52,15.98,1.21,20.97,21.41,12.45,-0.10,21.24,12.20,20.02,3.21,10.35,7.60,4.74,129.06
Dec.Gold Mines,512068,,Mining / Minerals / Metals,111.65,99.85,14.73,0.00,196.68,0.00,3.35,325.14,1.26,0.00,1.21,153.97,35.24,65.41,69.68,113.13,0.00,0.00,0.00,325.14,56.16,0.33,41.57,0.00,1.00,9.63,0.00,4.67,12.68,3.35,1.68,0.05,1.26,40.54,4.76,8.39,26.02,0.09,0.00,0.00,0.00,0.00,0.12,0.32,0.58,1648.37
Deccan Bearings,505703,,Trading,63.13,0.00,2.18,0.00,-1.95,0.00,0.00,0.29,0.11,0.00,0.11,0.00,0.00,0.00,0.14,0.03,0.00,0.00,0.00,0.29,0.11,0.00,0.00,0.00,10.00,0.07,0.00,0.00,0.22,0.00,0.05,0.00,0.11,0.00,0.18,0.60,1.58,2.26,0.00,0.00,0.00,0.40,0.02,0.35,0.61,13.78
Deccan Cements,502137,DECCANCE,Cement - South India,704.85,520.10,7.00,0.00,711.97,234.00,31.34,1446.04,592.45,0.00,152.73,423.06,513.67,0.18,413.06,281.98,0.00,0.00,32.82,1446.04,266.24,0.78,101.07,54.09,5.00,230.62,7.58,40.74,1.40,265.34,251.49,439.72,592.45,241.00,241.08,175.77,93.97,108.98,103.78,53.95,70.20,239.07,446.14,354.21,377.01,987.32
Deccan Healthcar,542248,,Food - Processing - Indian,37.89,1.41,20.38,0.00,76.66,0.49,0.13,107.33,33.24,0.00,16.39,15.69,0.00,0.01,87.45,7.14,0.00,0.00,17.02,107.33,80.53,0.00,45.70,9.89,10.00,2.22,0.38,4.25,1.70,0.62,63.16,16.85,33.24,0.00,53.74,43.51,15.65,,1.03,1.41,10.94,,19.87,20.85,17.32,77.22
Deccan Polypacks,531989,,Packaging,8.10,0.39,2.12,0.00,-3.59,0.00,0.72,0.05,0.49,0.00,0.47,0.02,0.00,0.00,0.04,1.06,0.00,0.00,0.00,0.05,-1.02,0.00,0.00,0.00,10.00,0.02,0.00,0.00,0.21,0.72,-1.01,0.02,0.49,0.00,0.76,0.23,-0.13,13.80,2.75,2.99,5.49,13.03,0.05,0.11,1.32,1.71
Decillion Financ,539190,,Finance & Investments,31.49,0.00,3.50,0.00,8.87,0.00,0.77,13.71,0.00,0.00,0.00,0.00,0.00,0.39,0.55,1.33,0.00,0.00,0.00,13.71,-0.78,0.00,0.00,0.38,10.00,0.06,0.00,0.50,0.35,0.77,0.83,0.00,0.00,0.00,1.39,0.09,9.57,6.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.03
Decipher Labs,524752,,Pharmaceuticals - Indian - Formulations,17.98,0.00,10.10,0.00,11.76,0.00,0.95,33.63,3.46,0.00,0.14,2.91,5.49,0.00,24.68,11.77,3.76,0.00,0.00,33.63,12.91,0.00,0.00,7.80,10.00,9.31,0.00,4.99,1.01,0.95,16.07,3.31,3.46,0.00,7.74,2.70,,,16.39,0.20,,,4.43,0.01,,18.17
Deco-Mica,531227,,Miscellaneous,98.00,20.95,4.20,0.00,20.80,10.97,6.85,69.92,18.79,0.00,7.10,11.70,0.32,0.27,57.40,42.03,0.00,0.00,3.49,69.92,35.20,0.00,21.41,34.17,10.00,1.12,1.97,12.33,0.42,17.82,29.79,11.69,18.79,0.17,27.96,20.35,14.01,10.74,18.80,14.65,12.31,9.59,10.63,11.32,11.67,41.16
Decorous Investm,539405,,Miscellaneous,8.82,0.00,3.45,0.00,0.32,0.00,0.00,3.79,0.03,0.00,0.03,0.00,0.00,0.00,0.46,0.02,0.00,0.00,0.06,3.79,0.44,0.00,0.00,0.00,10.00,0.19,0.00,0.00,0.34,0.00,0.19,0.00,0.03,0.00,0.09,3.39,3.40,0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.01,3.04
DEE Development,544198,DEEDEV,Steel - Medium / Small,316.50,363.76,10.61,0.00,413.04,305.94,57.82,963.06,581.20,0.00,200.67,380.53,3.49,0.01,562.00,450.03,0.00,0.00,4.64,963.06,405.09,11.14,289.18,172.78,10.00,32.79,9.13,132.08,1.06,290.39,348.01,354.30,518.29,4.27,359.89,,,,313.21,,,,387.81,,,2185.56
Deem Roll,,DEEM,Castings & Forgings,101.75,22.47,1.38,0.00,75.92,20.15,0.66,134.09,52.91,0.00,19.83,34.02,0.58,0.00,97.77,43.66,0.00,0.00,7.20,134.09,74.28,0.00,38.45,23.55,10.00,24.08,0.00,15.70,,20.81,39.31,33.08,52.91,0.68,24.18,,,,18.02,,,,34.26,,,84.83
Deep Diamond,539559,,Diamond Cutting / Jewellery,6.03,1.66,4.81,,15.59,,,23.04,,,,0.03,0.00,7.96,5.84,2.64,,,,23.04,4.86,0.00,0.66,1.46,1.00,3.37,,0.59,3.20,,,,,,,,,,,,,,,,,19.30
Deep Energy,532760,DEEPENR,Oil Drilling / Allied Services,171.10,0.00,32.00,0.00,353.78,0.00,0.00,386.33,320.72,0.00,0.87,319.77,12.04,18.62,34.70,0.28,0.00,0.00,32.10,386.33,34.42,0.00,0.00,0.00,10.00,0.15,0.00,0.02,3.20,0.00,33.00,319.84,320.72,11.95,0.09,30.82,18.34,33.33,0.00,0.00,272.22,111.77,319.98,320.12,518.63,547.52
Deep Industries,543288,DEEPINDS,Oil Drilling / Allied Services,291.35,159.68,32.00,0.00,1411.25,142.57,17.11,1906.07,1541.02,0.00,562.23,978.79,219.93,141.70,532.06,220.69,29.38,0.00,13.77,1906.07,373.19,1.16,49.40,276.69,5.00,55.46,2.73,41.03,6.40,69.87,387.82,1007.13,1539.31,19.83,198.39,148.58,,,40.89,101.74,,,867.73,979.74,,1864.64
Deep Polymers,541778,,Plastics Products,81.30,35.71,24.18,0.00,58.24,0.00,51.13,131.00,38.85,0.00,11.72,44.13,1.67,0.10,58.97,16.44,18.00,0.00,0.00,131.00,46.12,0.00,23.56,27.81,10.00,6.02,0.00,11.68,2.30,51.13,69.40,27.13,38.85,0.00,18.88,25.48,,7.30,0.00,5.13,,6.72,2.73,2.99,,196.58
Deepak,544036,,Dyes And Pigments,80.05,1.54,0.50,0.00,31.78,0.04,1.32,51.15,8.01,0.00,4.48,4.85,0.00,0.10,40.43,8.14,0.00,0.00,0.18,51.15,33.83,0.00,4.69,15.15,10.00,19.06,0.24,3.87,,1.36,12.59,3.53,8.01,0.00,4.44,,,,1.83,,,,2.65,,,86.96
Deepak Fertiliz.,500645,DEEPAKFERT,Chemicals,688.80,4148.85,126.24,0.00,5281.99,3355.35,343.53,11830.29,4057.18,0.00,1378.94,6279.01,748.54,260.76,4157.83,3054.41,0.00,0.00,954.34,11830.29,2114.76,103.60,1192.44,1475.75,10.00,360.94,21.96,1284.86,12.62,3698.88,1382.98,2678.24,4057.18,3528.35,320.72,700.53,729.28,639.56,2592.96,3032.11,2012.80,963.58,2620.85,2208.90,2056.23,8695.23
Deepak Nitrite,506401,DEEPAKNTR,Chemicals,2549.20,286.08,27.28,0.00,4769.34,54.48,18.38,6096.22,2707.17,0.00,765.56,2292.72,773.51,121.85,2841.60,785.06,0.00,0.00,77.17,6096.22,2063.39,69.13,759.91,1298.35,2.00,465.46,15.92,582.26,13.64,72.86,1583.77,1941.61,2707.17,300.83,773.20,540.63,207.26,,589.74,1186.51,723.89,,1863.74,1715.83,585.93,34769.30
Deepak Spinners,514030,,Textiles - Spinning - Synthetic / Blended,217.00,43.94,7.19,0.00,228.26,48.31,1.20,353.01,282.14,0.00,102.48,177.58,8.59,0.02,157.89,103.12,0.00,0.00,0.00,353.01,97.93,1.01,101.59,27.73,10.00,0.57,1.38,32.92,0.72,49.51,102.81,179.65,282.14,3.70,72.39,65.51,64.14,58.09,56.18,113.40,149.93,138.07,152.84,176.66,197.16,156.01
Delaplex,,DELAPLEX,Computers - Software - Medium / Small,217.50,0.00,0.01,0.00,55.54,0.00,0.00,66.25,3.63,0.00,3.13,0.44,0.00,28.80,63.87,1.59,0.00,0.00,0.00,66.25,62.28,0.00,0.00,21.72,10.00,11.44,0.00,0.06,,0.00,23.74,0.50,3.63,0.00,9.33,,,,0.00,,,,0.70,,,198.14
Delhivery,543529,DELHIVERY,Miscellaneous,400.40,1169.34,73.68,0.00,9070.97,198.87,724.57,11453.02,4346.80,0.00,1352.19,3353.65,28.56,2776.22,5950.19,1346.52,0.00,0.00,97.92,11453.02,4889.19,1043.74,16.43,1429.69,1.00,403.22,40.83,797.37,72.87,923.44,4450.80,2994.61,4346.80,23.47,1500.75,1888.84,,,1098.42,410.59,,,1053.38,487.97,,29571.55
Delphi World,533452,DELPHIFX,Finance & Investments,211.30,30.98,11.13,0.00,210.56,0.00,0.62,320.06,11.36,0.00,7.96,2.52,0.00,0.00,306.06,65.20,0.00,0.00,75.16,320.06,271.50,0.52,2.15,58.40,10.00,55.76,5.10,23.41,1.11,0.62,228.23,3.40,11.36,0.00,200.46,145.45,106.97,142.52,33.36,55.95,63.11,144.17,5.43,7.92,38.51,235.13
Delta Corp,532848,DELTACORP,Recreation / Amusement Parks,132.70,51.51,26.78,0.00,2491.03,0.00,67.51,2865.69,1629.20,0.00,418.55,1311.29,175.87,647.32,909.22,256.01,0.00,536.52,57.78,2865.69,669.97,51.51,18.61,10.24,1.00,131.27,3.59,35.39,26.76,67.51,307.43,1210.65,1629.20,21.88,116.68,227.38,-5.03,66.82,35.28,0.19,221.00,352.35,1242.09,1229.46,852.10,3553.32
Delta Industrial,539596,,Trading,31.35,0.81,5.39,0.00,-0.48,0.00,0.00,5.78,0.00,0.00,0.00,0.00,0.00,0.02,2.90,0.06,0.00,0.00,0.00,5.78,2.84,0.00,0.00,0.00,10.00,0.42,0.04,0.00,0.54,0.00,2.36,0.00,0.00,0.00,-1.05,4.88,5.15,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.01,16.91
Delta Manufact.,504286,DELTAMAGNT,Electronics - Components,96.48,39.86,10.85,0.00,16.01,21.62,18.57,95.16,144.66,0.00,94.86,47.03,0.45,1.99,44.48,59.28,0.00,5.66,6.68,95.16,21.28,0.33,16.05,19.10,10.00,1.14,0.06,13.51,1.09,40.19,21.49,49.80,144.66,0.03,39.21,37.77,17.57,17.66,66.55,56.69,36.45,16.80,59.77,59.06,45.29,104.69
Delton Cables,504240,,Cables - Power,488.10,113.13,8.64,0.00,62.69,3.46,78.18,267.22,25.27,0.00,14.59,17.61,0.00,0.00,232.61,185.06,0.00,0.00,5.91,267.22,151.17,0.00,115.70,95.76,10.00,8.48,0.00,77.04,0.86,81.64,112.01,10.68,25.27,0.00,85.06,78.00,65.63,58.75,62.44,54.81,63.97,50.02,11.16,4.63,4.08,421.72
Den Networks,533137,DEN,Entertainment / Electronic Media Software,53.99,25.51,476.77,0.00,2943.34,0.00,27.60,3926.55,1776.30,0.00,1213.83,514.79,18.06,1708.82,3136.83,410.34,0.00,0.00,167.87,3926.55,2729.02,25.51,0.00,109.18,10.00,1287.00,0.89,262.45,47.72,27.60,1080.98,562.46,1776.30,29.43,7.90,-122.83,-82.27,417.41,0.00,479.89,505.43,1024.71,608.93,934.51,1298.69,2576.54
Denis Chem Lab,537536,,Pharmaceuticals - Indian - Bulk Drugs & Formln,187.60,1.04,13.88,0.00,66.49,0.50,1.43,109.35,102.19,0.00,66.77,37.62,0.22,0.00,69.37,27.20,0.00,0.00,3.33,109.35,42.76,0.00,10.19,31.66,10.00,24.67,0.46,21.41,1.39,3.22,29.04,41.66,100.62,0.00,24.02,24.96,3.94,12.44,13.53,24.97,43.89,16.58,45.84,39.92,39.68,260.33
Desh Rakshak,531521,,Pharmaceuticals - Indian - Formulations,9.26,2.78,4.66,0.00,4.82,0.00,4.10,16.32,13.22,0.06,5.15,7.68,2.37,0.05,5.92,4.01,0.00,0.00,0.00,16.32,1.91,0.00,0.30,5.13,10.00,0.14,0.00,3.81,0.44,4.10,2.56,8.07,13.22,2.37,2.70,2.47,1.96,2.64,2.90,1.23,0.69,0.99,6.49,4.39,3.87,4.11
Destiny Logistic,,DESTINY,Construction,34.25,2.84,15.39,0.00,11.06,0.72,2.12,40.46,5.58,0.00,0.03,5.56,0.00,7.60,27.31,13.20,7.60,0.00,0.00,40.46,16.12,0.00,1.97,24.07,10.00,0.23,0.00,9.80,1.54,2.84,16.12,5.56,5.58,0.00,4.74,1.56,,,3.75,0.91,,,0.01,0.00,,52.70
Dev Information,543462,DEVIT,Computers - Software - Medium / Small,114.90,14.58,11.24,0.00,44.21,6.80,0.50,95.49,28.43,0.00,14.18,21.98,3.26,3.48,65.05,31.01,0.00,0.00,0.00,95.49,43.07,1.74,6.34,51.30,5.00,6.06,0.01,10.26,2.21,7.30,27.46,14.25,28.43,1.14,25.77,25.23,13.17,8.64,11.11,11.13,7.86,6.38,10.49,13.93,9.14,258.34
Dev Labtech,543848,,Diamond Cutting / Jewellery,106.50,1.10,8.27,0.00,11.94,1.13,0.00,28.67,5.46,0.00,1.31,5.01,0.00,0.00,23.64,1.69,0.00,0.00,0.00,28.67,21.98,0.00,19.78,1.91,10.00,0.17,0.00,0.51,0.83,1.13,15.81,4.15,5.46,0.00,2.31,,,,1.78,,,,0.71,,,88.08
Devine Impex,531585,,Trading,8.48,0.00,9.62,0.00,4.05,0.00,0.00,13.74,0.02,0.00,0.01,0.00,0.00,1.22,12.42,0.08,0.00,0.00,0.32,13.74,12.34,0.00,11.09,1.06,10.00,0.01,0.00,0.00,0.95,0.00,12.30,0.00,0.02,0.00,12.22,12.14,9.41,9.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.08
Devyani Intl.,543330,DEVYANI,Hotels,167.20,2905.68,120.59,0.00,935.18,835.17,2070.51,4932.45,6131.24,0.00,1886.28,4216.49,10.96,0.00,486.12,911.30,0.00,0.00,32.41,4932.45,-99.88,1995.53,131.04,52.69,1.00,180.83,0.00,375.64,120.50,1564.81,-121.74,2426.67,3323.97,15.30,-156.29,-137.01,-156.18,,1328.04,488.21,306.29,,1392.25,1578.29,406.47,20165.92
Dhabriya Poly.,538715,,Plastics Products,325.00,52.86,10.82,0.00,71.53,53.81,3.23,164.58,87.30,0.00,24.64,71.05,5.07,0.02,87.07,57.61,0.00,0.00,6.25,164.58,61.58,0.00,49.74,24.03,10.00,6.87,2.92,12.57,1.08,57.04,65.14,62.65,87.30,0.07,50.71,48.61,29.41,14.32,48.57,47.14,41.22,26.57,43.04,43.69,38.77,351.80
Dhampur Bio,543593,DBOL,Sugar,141.95,1056.95,66.39,0.00,945.08,1047.13,9.82,2312.81,1559.75,0.00,523.30,1036.45,12.95,0.00,1251.56,1052.00,0.00,0.00,46.69,2312.81,1072.95,10.14,1082.55,87.53,10.00,33.47,12.11,137.23,6.64,810.33,902.76,909.32,1399.24,36.17,580.76,,,,402.84,,,,630.66,,,942.36
Dhampur Sugar,500119,DHAMPURSUG,Sugar,224.45,980.83,65.38,0.00,1034.95,678.79,65.09,2356.76,1717.90,0.00,672.58,1150.01,17.21,46.54,1181.89,980.93,0.00,1.80,50.70,2356.76,1005.09,17.72,917.06,163.39,10.00,19.34,6.28,114.50,6.64,743.88,703.15,1045.32,1717.90,103.34,1128.67,1318.33,1219.46,370.16,1158.05,1824.45,1914.90,1335.34,1614.14,1597.16,1493.90,1467.61
Dhampur.Spl.Sug.,531923,,Sugar,90.93,0.00,7.93,0.00,18.74,0.00,0.00,36.02,16.33,0.00,7.35,9.49,0.00,0.00,20.89,5.89,0.00,0.00,0.00,36.02,15.00,0.00,5.35,3.42,10.00,2.05,0.00,3.79,0.79,0.00,15.54,8.98,16.33,0.00,4.00,4.74,1.16,,9.01,7.36,0.00,,12.93,10.52,8.22,72.13
Dhanalaxmi Roto,521216,,Trading,196.00,1.38,3.90,0.00,45.05,0.67,0.71,80.70,7.48,1.03,3.24,4.24,0.00,6.42,69.96,30.82,0.02,0.00,37.85,80.70,39.74,0.00,0.68,27.71,10.00,38.68,0.68,27.85,0.39,2.37,31.34,4.80,7.77,0.00,19.46,10.95,4.49,3.14,4.76,4.60,0.83,1.04,4.40,4.73,4.67,76.44
