Name,BSE Code,NSE Code,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Market Capitalization
Reliance Power,532939,RPOWER,Power Generation And Supply,28.88,1.47,3.39,19.31,0.25,0.19,,-50.51,65.03,2.57,11613.86,1.47,0.19,63.58,-0.48,-9.07,30890.27,10.57,1.80,3.97,0.00,,-172.48,0.07,72.63,16.17,104.82,0.84,0.24,0.00,,3.66,3.24,,-9.92,3.66,0.90,-30.76,11601.05
Relic Tech.,511712,,Finance & Investments,14.95,3.52,-55.68,-3.71,29.67,-43.50,,281.05,-1016.67,-9.52,5.09,3.52,-43.50,-2.94,0.58,-0.39,5.29,-1.70,0.07,1.16,0.00,,52.42,0.63,8.51,27.60,3.68,0.72,11.96,0.00,,23.40,0.16,,11.94,23.39,3.50,-8.03,5.38
Relicab Cable,539760,,Cables - Power,100.00,2.65,50.50,23.14,1.87,1.64,9.42,47.29,219.23,87.07,11.89,2.65,1.64,24.17,-0.01,7.09,19.29,9.00,0.92,2.91,0.00,16.23,-7.77,0.03,61.24,16.67,46.20,0.83,3.72,0.00,20.11,29.28,15.63,556.43,17.80,29.26,7.44,121.61,100.94
Religare Enterp.,532915,RELIGARE,Finance & Investments,243.00,1.29,5.34,19.32,0.34,3.32,4.47,-55.39,438.89,22.85,2343.14,1.29,3.32,23.77,1.57,1.27,-3287.01,42.06,0.65,3.77,0.00,146.34,-5.52,0.12,68.77,13.40,51.69,0.87,0.38,0.00,106.28,5.35,6.18,244.64,-104.65,5.35,2.01,2498.23,8019.31
Remedium Life,539561,,Trading,65.00,0.16,-46.24,12.87,1.02,11.55,0.05,2.49,-178.10,-23.21,42.96,0.16,11.55,12.88,-0.14,1.76,100.63,-25.53,1.34,36.10,0.00,90.95,-8.57,0.02,5.36,63.82,11.11,0.36,-4.96,0.00,17.65,-8.83,73.45,306.22,9.98,-8.83,2.80,-12.20,655.17
Remi Edelstahl,513043,,Steel - Medium / Small,88.90,0.83,38.50,17.94,2.19,2.12,0.53,45.68,2516.67,42.26,43.46,0.83,2.12,35.93,-0.15,21.76,75.17,3.40,1.11,1.94,0.00,20.02,-48.09,0.02,66.96,22.63,145.58,0.77,1.67,0.00,33.57,-23.62,4.58,158.74,48.64,-23.58,4.84,62.18,97.63
Remsons Ind,530919,REMSONSIND,Auto Ancillaries,1032.65,2.31,92.20,21.50,1.61,3.44,,35.39,51.03,-1.48,111.28,2.31,3.44,31.60,,5.11,182.23,5.16,0.66,1.92,7.86,273.44,-3.49,0.04,91.84,6.54,371.10,0.93,,7.86,261.79,46.70,14.23,343.19,157.89,46.54,7.71,140.42,720.37
Remus Pharma.,,REMUS,Pharmaceuticals - Indian - Bulk Drugs & Formln,2080.10,5.77,,36.45,1.40,67.29,,32.38,259.82,531.75,,5.77,67.29,37.47,,0.44,80.45,,,,0.00,,,,85.74,9.56,174.60,0.90,,0.00,347.73,340.91,0.00,804.99,116.63,340.44,,,1225.60
Renaiss. Global,532923,RGL,Diamond Cutting / Jewellery,103.10,0.47,14.50,9.37,2.40,2.65,-10.87,70.58,-24.56,-18.15,1148.53,0.47,2.65,11.43,-0.09,8.91,1747.01,3.97,0.58,1.72,0.00,90.57,-59.68,0.11,18.93,29.55,10.86,0.70,0.67,0.00,142.26,-24.21,9.48,11.65,154.75,-24.22,3.73,50.33,991.09
Repco Home Fin,535322,REPCOHOME,Finance - Housing,559.00,2.29,-26.35,9.86,7.66,1.62,0.81,29.98,8.68,1.36,2893.95,2.29,1.62,9.99,-2.76,27.11,519.15,-1.02,3.70,4.53,4.76,527.93,-291.98,0.14,96.49,1.68,88.63,0.98,1.66,4.76,810.33,-5.11,9.14,10.72,73.02,-5.11,1.19,32.36,3497.16
Repro India,532687,REPRO,Printing & Stationery,622.70,1.86,1817.27,17.29,1.82,2.49,-5.94,23.10,-24.01,9.70,387.38,1.86,2.49,38.49,0.09,4.03,389.37,0.12,0.29,1.25,0.00,216.52,-11.60,0.01,0.05,37.35,0.03,0.63,1.84,0.00,227.14,32.77,2.69,169.95,77.44,32.77,5.30,289.99,890.28
Resgen,543805,,Refineries,74.99,3.46,-16.80,10.90,4.19,9.27,,72.48,51.72,101.52,49.62,3.46,9.27,16.13,-0.10,1.32,51.99,-17.17,0.17,1.57,0.00,109.82,-5.50,0.00,43.22,33.61,62.67,0.66,-6.06,0.00,40.83,30.76,17.31,75.89,15.70,30.72,6.72,,157.30
Resonance Speci.,524218,,Chemicals,101.15,2.11,-121.59,20.43,4.32,11.15,-21.24,70.89,-30.21,6.65,57.49,2.11,11.15,27.29,0.09,1.40,62.41,-1.60,0.19,1.21,0.00,68.85,-7.35,0.03,38.42,24.20,24.88,0.76,3.15,0.00,53.69,27.96,18.28,79.76,34.09,28.06,5.20,174.21,116.72
Response Info.,538273,,Computers - Software - Medium / Small,80.50,1.77,,22.15,2.16,22.42,,19.36,-286.96,-27.22,7.66,1.77,22.42,23.06,,1.12,9.00,,0.32,1.69,0.00,108.73,-3.09,0.01,78.75,14.75,178.74,0.85,,0.00,26.05,215.63,31.37,207.43,8.77,214.89,10.56,-79.17,60.17
Responsive Ind,505509,RESPONIND,Plastics Products,323.40,7.93,3146.66,33.74,1.96,8.51,1.30,51.16,2.59,7.83,1137.06,7.93,8.51,45.20,0.01,1.33,1370.77,0.21,0.19,1.30,1.65,67.11,-2.24,0.00,80.39,11.39,111.30,0.89,7.70,1.65,76.19,38.18,7.13,406.60,20.86,38.18,11.50,187.97,8622.14
Restaurant Brand,543248,RBA,Hotels,101.45,2.07,-65.09,24.74,0.34,-0.68,,-13.05,-130.60,-1.17,626.58,2.07,-0.68,-67.53,,-6.04,2051.25,-3.81,2.27,4.15,0.00,,-27.63,0.02,21.47,26.41,10.87,0.74,,0.00,,14.60,-6.43,,-6.38,14.60,3.95,-59.26,5052.60
