Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,607.15,95.68,485.06,79.99,0.74,80.73,15.95,64.78,5.94,58.84,15.97,42.87,0.00,42.87,16.49,8.84,45.56,4.73,5502.35
Aarti Surfactant,543210,AARTISURF,Chemicals,682.35,16.73,157.84,13.90,0.09,13.99,3.93,10.06,3.91,6.15,1.47,4.70,0.00,4.70,8.81,2.98,7.58,5.53,577.17
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,28.21,-9.17,49.92,-4.80,0.07,-4.73,5.43,-10.16,12.60,-22.76,-7.32,-15.44,0.00,-15.44,-9.62,-30.93,23.46,-6.58,66.18
Aarvi Encon,,AARVI,Miscellaneous,139.79,2.22,106.30,4.63,0.27,4.90,0.35,4.55,0.46,4.09,0.64,3.45,0.00,3.45,4.36,3.25,,2.33,206.68
Aashka Hospitals,543346,,Healthcare,116.50,0.83,7.41,-0.50,,,,,,,,,,-2.10,,,,-0.90,272.60
AastamangalamFin,511764,,Finance & Investments,42.31,2.15,1.15,0.98,0.01,0.99,0.00,0.99,1.18,-0.19,-0.11,-0.08,0.00,-0.08,85.22,-6.96,4.28,-0.19,37.70
Aatmaj Health,,AATMAJ,Healthcare,26.25,3.87,13.74,5.25,,,,,,,,,,3.01,,,,1.86,59.33
AAVAS Financiers,541988,AAVAS,Finance - Housing,1867.70,373.77,449.50,331.53,0.71,332.24,8.68,323.56,165.00,158.56,31.81,126.75,0.00,126.75,73.76,28.20,78.94,16.04,14780.92
Aayush Food&Herb,539528,,Trading,304.00,-0.03,1.09,-0.64,0.34,-0.30,0.01,-0.31,0.00,-0.31,0.00,-0.30,0.00,-0.30,-58.72,-27.52,3.25,-0.92,98.64
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,259.00,11.32,97.66,7.17,,,,,,,,,,1.35,,,,1.31,266.57
