Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Credent Global,539598,,Finance & Investments,126.05,0.63,15.64,9.62,0.10,9.72,0.54,9.18,1.27,7.91,2.73,5.18,0.00,5.18,61.51,33.12,5.55,4.98,129.73
CreditAcc. Gram.,541770,CREDITACC,Finance & Investments,1399.55,927.18,1065.41,754.85,0.81,755.66,12.49,743.17,345.64,397.53,100.98,296.55,0.00,296.55,70.85,27.83,155.87,18.98,22309.30
Credo Brands,544058,MUFTI,Trading,164.75,42.51,132.79,38.53,9.57,48.10,14.39,33.71,4.76,28.95,7.37,21.58,0.00,21.58,29.02,16.25,,67.12,1063.32
Cressanda Railwa,512379,,Trading,11.91,1.67,26.64,2.49,0.00,2.49,0.09,2.40,0.00,2.40,0.25,2.15,0.00,2.15,9.35,8.07,,0.05,494.16
Crest Ventures,511413,CREST,Finance & Investments,385.00,22.45,30.20,13.95,0.12,14.07,1.29,12.78,2.25,10.53,-1.30,12.23,0.00,12.23,46.19,40.50,28.45,4.30,1095.29
Crestchem,526269,,Chemicals,123.00,1.23,2.87,0.04,0.05,0.09,0.01,0.08,0.00,0.08,0.01,0.07,0.00,0.07,1.39,2.44,3.00,0.23,36.90
CRISIL,500092,CRISIL,Miscellaneous,4429.70,268.98,714.89,203.47,17.34,220.81,26.00,194.81,1.18,193.63,47.88,145.75,0.00,145.75,28.46,20.39,,19.94,32391.66
Croissance Ltd,531909,,Construction,4.26,0.03,1.77,0.48,0.03,0.51,0.00,0.51,0.00,0.51,0.22,0.29,0.00,0.29,27.12,16.38,6.85,0.00,29.19
Crompton Gr. Con,539876,CROMPTON,Electric Equipment,409.75,149.80,1790.96,211.44,16.77,228.21,30.40,197.81,27.38,170.43,38.88,131.16,0.00,131.55,11.81,7.35,126.68,2.06,26356.43
Crop Life Scienc,,CLSL,Pesticides / Agrochemicals - Indian,45.30,6.43,51.74,6.90,,,,,,,,,,3.13,,,,2.61,77.65
Cropster Agro,523105,,Packaging,422.95,5.04,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,,,0.14,-2.14,1057.38
Crown Lifters,,CROWN,Miscellaneous,315.50,3.81,6.07,1.67,0.43,1.85,0.85,1.00,0.11,1.14,-1.18,2.08,0.25,2.33,27.51,34.27,10.41,2.24,354.10
CRP Risk Mgt.,540903,,Miscellaneous,11.93,0.46,10.99,0.56,,,,,,,,,,0.04,,,,0.02,20.86
CSB Bank,542867,CSBBANK,Banks - Private Sector,378.50,454.23,636.49,373.14,125.99,499.13,0.00,499.13,288.05,211.08,54.74,156.34,0.00,156.34,58.62,24.56,,9.01,6566.45
CSL Finance,530067,CSLFINANCE,Finance & Investments,453.25,35.00,33.59,25.89,0.15,26.04,0.30,25.74,9.33,16.41,4.52,11.90,0.00,11.90,77.08,35.43,20.23,5.74,1032.63
Cubex Tubings,526027,CUBEXTUB,Mining / Minerals / Metals,98.59,2.27,59.55,2.55,0.00,2.55,0.37,2.18,0.33,1.85,0.56,1.29,0.00,1.29,4.28,2.17,14.26,0.90,141.17
Cubical Finan,511710,,Finance & Investments,2.57,0.09,0.35,-0.24,0.00,-0.24,0.00,-0.24,0.00,-0.24,0.03,-0.27,0.00,-0.27,-68.57,-77.14,13.03,-0.04,16.74
Cummins India,500480,CUMMINSIND,Engines,3974.00,537.93,1926.00,326.05,130.62,456.67,37.22,419.45,6.55,412.90,94.40,318.50,0.00,318.50,16.93,16.54,55.44,11.49,110159.30
Cupid,530843,CUPID,Miscellaneous,90.60,12.15,41.50,10.60,1.99,12.59,0.83,11.76,0.57,11.19,2.85,8.34,0.00,8.34,25.54,20.10,13.34,0.31,2432.33
CWD,543378,,Electronics - Components,690.00,-0.61,13.95,2.79,,,,,,,,,,0.76,,,,2.10,249.19
Cybele Industrie,531472,,Cables - Power,41.68,-0.78,10.64,0.36,0.21,0.57,0.21,0.36,0.19,0.17,0.06,0.11,0.00,0.11,3.38,1.03,10.70,0.10,44.60
Cyber Media Ind,532640,CYBERMEDIA,Entertainment / Electronic Media Software,25.30,1.26,23.00,1.34,0.12,1.47,0.10,1.37,0.23,1.13,0.48,0.66,-0.01,0.65,5.83,2.87,15.67,0.41,39.64
Cyber Media Res.,,CMRSL,Computers - Software - Medium / Small,172.20,1.35,19.34,1.28,0.05,1.33,0.07,1.26,0.23,1.03,0.46,0.57,0.00,0.57,6.62,2.95,2.52,1.95,50.42
Cybertech Sys.,532173,CYBERTECH,Computers - Software - Medium / Small,182.35,5.54,54.11,7.66,2.18,9.84,1.97,7.87,0.33,7.54,2.18,5.36,0.00,5.36,14.16,9.91,28.17,1.88,567.69
Cyient,532175,CYIENT,Computers - Software - Medium / Small,1849.00,326.10,1751.40,322.00,-15.70,322.50,72.60,249.90,26.20,207.50,44.30,175.47,-16.20,163.20,18.39,10.02,55.20,14.76,20508.38
Cyient DLM,543933,CYIENTDLM,Electronics - Components,743.10,29.44,277.36,31.91,-1.29,30.62,4.83,25.79,8.57,17.22,4.63,12.59,0.00,12.59,11.50,4.54,,2.38,5893.24
D & H India,517514,,Electrodes - Welding Equipment,103.20,2.73,39.44,2.47,0.05,2.51,0.47,2.04,0.53,1.52,0.59,0.91,0.01,0.92,6.26,2.31,7.40,1.18,84.50
D B Corp,533151,DBCORP,Entertainment / Electronic Media Software,343.00,183.05,530.96,75.26,13.68,88.94,29.64,59.30,5.67,53.63,12.59,41.03,0.00,41.03,14.17,7.73,177.06,2.31,6110.82
D P Wires,543962,DPWIRES,Steel - Medium / Small,452.60,9.18,387.21,20.40,1.99,22.39,1.02,21.37,0.61,20.76,5.69,15.06,0.00,15.06,5.27,3.89,13.57,9.72,701.54
D-Link India,533146,DLINKINDIA,Trading,486.75,28.43,309.18,26.32,2.56,28.88,1.29,27.59,0.68,26.91,7.17,19.73,0.00,19.73,8.51,6.38,7.10,5.56,1728.20
D.K. Enterprises,,DKEGL,Packaging,72.00,3.37,61.92,2.56,,,,,,,,,,1.97,,,,2.62,54.06
D.P. Abhushan,544161,DPABHUSHAN,Trading,1340.00,28.78,384.65,10.33,0.02,10.35,1.36,8.99,2.77,6.22,1.73,4.48,0.00,4.48,2.69,1.16,22.25,2.01,2982.16
Dabur India,500096,DABUR,Personal Care - Indian,608.50,667.42,2677.80,409.65,120.72,530.37,102.00,428.37,32.12,396.25,103.49,292.76,0.00,292.76,15.30,10.93,176.79,1.70,107845.14
Dai-ichi Karkari,526821,,Chemicals,615.00,2.45,42.46,5.08,1.32,6.40,2.16,4.24,1.06,3.18,3.64,0.57,0.00,0.57,11.96,1.34,7.45,0.76,458.19
Daikaffil Chem,530825,,Dyes And Pigments,128.00,-0.25,0.00,-0.40,0.11,-0.29,0.55,-0.84,0.00,-0.84,-0.22,-0.62,0.00,-0.62,,,6.00,-1.03,76.80
Dalal Street Inv,501148,,Finance & Investments,453.00,-0.09,0.31,0.03,0.04,0.07,0.00,0.07,0.04,0.03,0.00,0.02,0.00,0.02,9.68,6.45,0.32,0.63,14.50
Dalmia Bharat,500097,DALMIASUG,Sugar,413.10,109.25,1149.04,207.73,11.50,220.34,33.68,186.66,9.29,176.26,52.10,125.27,-1.11,124.16,18.08,10.90,16.19,15.35,3344.04
Dalmia BharatLtd,542216,DALBHARAT,Cement - South India,1831.60,779.00,3915.00,710.00,424.00,1277.00,336.00,941.00,64.00,734.00,125.00,700.32,-143.00,609.00,18.14,18.50,37.00,31.42,34351.23
Damodar Indust.,521220,DAMODARIND,Textiles - Spinning - Synthetic / Blended,52.76,4.20,218.18,7.49,6.21,13.70,5.53,8.17,6.86,1.31,0.84,0.47,0.00,0.47,3.43,0.22,11.65,0.20,122.93
Dangee Dums,,DANGEE,Food - Processing - Indian,7.88,1.41,5.55,-0.14,0.43,0.29,1.02,-0.73,0.56,-1.29,-0.38,-0.91,0.00,-0.91,-2.52,-16.40,10.27,-0.06,121.33
Danlaw Tech.,532329,,Electronics - Components,1897.40,9.75,48.25,8.43,0.07,8.50,3.74,4.76,0.88,3.88,1.50,2.38,0.00,2.38,17.47,4.93,3.71,4.89,924.16
Danube Industrie,540361,,Trading,5.52,0.76,30.44,0.55,0.01,0.56,0.05,0.51,0.20,0.31,0.13,0.19,0.00,0.19,1.81,0.62,6.00,0.03,33.12
DAPS Advertising,543651,,Miscellaneous,30.50,0.67,15.57,1.42,,,,,,,,,,1.11,,,,2.14,15.79
Darjeeling Ropew,539770,,Construction,7.01,0.00,0.00,-0.05,0.03,-0.02,0.00,-0.02,0.00,-0.02,-0.01,-0.02,0.00,-0.02,,,3.05,-0.07,2.14
Darshan Orna,539884,,Trading,4.21,0.32,2.30,-0.49,0.02,-0.47,0.00,-0.47,0.01,-0.48,-0.08,-0.40,0.00,-0.40,-21.30,-17.39,10.01,-0.08,21.06
Data Infr.Trust,543225,,Construction,148.00,1239.00,2713.60,1071.40,28.60,1100.00,370.60,729.40,419.00,310.40,-11.20,321.60,0.00,321.60,39.48,11.85,,1.24,38524.40
Data Pattern,543428,DATAPATTNS,Electronics - Components,3012.15,60.04,185.10,73.36,3.81,77.17,2.22,74.95,2.81,72.14,16.78,55.36,0.00,55.36,39.63,29.91,10.38,9.89,16863.22
Datamatics Glob.,532528,DATAMATICS,Computers - Software - Medium / Small,636.20,52.64,416.28,84.14,5.29,89.43,8.85,80.58,0.49,80.09,21.63,58.46,0.00,58.46,20.21,14.04,29.48,10.13,3755.57
Datasoft Applica,526443,,Computers - Software - Medium / Small,60.63,0.14,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,,,1.13,-0.44,6.86
Datiware Mari.,519413,,Aquaculture,9.95,-0.15,0.05,-0.09,0.01,-0.08,0.05,-0.13,0.12,-0.25,0.00,-0.26,0.00,-0.26,-180.00,-520.00,5.00,-0.52,4.98
Daulat Securitie,530171,,Finance & Investments,43.50,1.59,-1.35,-1.74,0.15,-1.59,0.05,-1.64,0.00,-1.64,0.27,-1.91,0.00,-1.91,,,,-3.82,21.75
Davangere Sugar,543267,DAVANGERE,Sugar,8.55,15.92,88.13,18.46,-1.32,17.14,2.27,14.87,3.40,11.47,2.90,8.57,0.00,8.57,20.95,9.72,55.68,0.09,804.40
DB Intl.Stock,530393,DBSTOCKBRO,Finance & Investments,47.37,5.46,4.94,1.75,0.05,1.80,0.54,1.26,0.22,1.04,0.26,0.78,0.00,0.78,35.43,15.79,7.00,0.22,165.80
DC Infotech,543636,DCI,Trading,236.00,4.13,96.17,3.78,0.07,3.85,0.19,3.66,0.79,2.87,0.72,2.15,0.00,2.15,3.93,2.24,12.00,1.79,306.81
DCB Bank,532772,DCBBANK,Banks - Private Sector,141.25,946.90,1179.28,762.46,122.33,884.79,0.00,884.79,693.33,191.46,49.25,142.21,0.00,142.21,64.65,12.06,,4.57,4424.14
DCG Cables,,DCG,Cables - Power,144.80,,35.89,1.39,,,,,,,,,,0.93,,,,0.71,262.81
DCM,502820,DCM,Castings & Forgings,78.33,1.72,17.07,-0.42,1.09,0.67,1.71,-1.04,0.55,-1.59,0.63,-2.22,0.00,-2.22,-2.46,-13.01,18.68,-1.19,146.29
DCM Financial,511611,DCMFINSERV,Finance & Investments,5.71,-0.31,0.00,-0.50,0.29,-0.21,0.08,-0.29,0.00,-0.29,4.11,-4.40,0.00,-4.40,,,22.13,-1.99,12.65
DCM Nouvelle,542729,DCMNVL,Textiles - Cotton/Blended,235.30,7.52,236.58,11.02,-0.04,13.92,4.64,9.28,3.25,3.09,1.96,1.34,-2.94,1.13,4.66,0.57,18.68,0.72,439.48
DCM Shriram,523367,DCMSHRIRAM,Diversified - Mega,993.00,445.31,2720.03,346.22,25.79,372.01,70.88,301.13,11.90,289.23,102.56,186.67,0.00,186.67,12.73,6.86,31.35,11.97,15485.10
DCM Shriram Inds,523369,DCMSRIND,Sugar,217.75,51.94,534.72,58.48,7.04,65.52,9.15,56.37,8.21,48.16,16.63,31.53,0.00,31.53,10.94,5.90,17.40,3.62,1894.24
DCW,500117,DCW,Petrochemicals,55.71,19.41,588.14,99.42,4.38,103.80,22.77,81.03,19.08,61.95,26.60,35.35,0.00,35.35,16.90,6.01,52.21,1.20,1644.29
DCX Systems,543650,DCXINDIA,Electronics - Components,375.00,10.85,510.55,45.85,9.70,55.55,0.40,55.15,4.75,50.40,9.31,41.09,0.00,41.09,8.98,8.05,15.48,4.25,4177.01
DDev Plastiks,543547,,Chemicals,411.25,60.12,667.23,66.53,8.91,75.44,3.15,72.29,7.82,64.47,16.17,48.29,0.00,48.29,9.97,7.24,9.41,4.67,4255.49
De Neers Tools,,DENEERS,Trading,190.00,7.72,49.53,7.18,,,,,,,,,,4.36,,,,6.89,163.52
DE Nora India,590031,DENORA,Engineering,1683.05,7.49,27.63,15.42,1.29,16.71,0.24,16.47,0.00,16.47,4.14,12.32,0.00,12.32,55.81,44.59,5.31,23.21,893.69
Debock Industrie,,DIL,Trading,7.98,0.56,17.22,-13.84,0.00,-13.84,0.13,-13.97,0.15,-14.12,-3.45,-10.67,0.00,-10.67,-80.37,-61.96,23.22,-0.98,129.87
Dec.Gold Mines,512068,,Mining / Minerals / Metals,111.75,-6.48,0.09,-0.83,0.00,-0.83,0.02,-0.85,0.00,-0.85,0.10,-0.95,0.00,-0.95,-922.22,-1055.56,9.33,-0.07,1649.85
Deccan Bearings,505703,,Trading,63.13,-0.06,0.00,-0.31,0.01,-0.30,0.00,-0.30,0.00,-0.30,0.00,-0.31,0.00,-0.31,,,2.18,-1.42,13.78
Deccan Cements,502137,DECCANCE,Cement - South India,705.00,28.58,195.94,20.52,3.14,23.66,6.78,16.88,3.50,13.38,3.49,9.90,0.00,9.90,10.47,5.05,7.00,7.07,987.53
Deccan Healthcar,542248,,Food - Processing - Indian,37.89,1.24,15.86,0.79,0.01,0.80,0.36,0.44,0.03,0.41,0.11,0.31,0.00,0.31,4.98,1.95,,0.18,77.22
Deccan Polypacks,531989,,Packaging,8.10,-0.02,0.00,-0.09,0.43,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,,,,1.61,1.71
Decillion Financ,539190,,Finance & Investments,31.49,0.15,0.23,-0.46,0.01,-0.45,0.00,-0.45,0.01,-0.46,-0.12,-0.34,0.00,-0.34,-200.00,-147.83,3.50,-0.97,11.03
Decipher Labs,524752,,Pharmaceuticals - Indian - Formulations,17.99,0.13,9.78,-3.85,0.15,-3.70,0.12,-3.82,0.07,-3.89,0.38,-4.27,0.00,-4.27,-39.37,-43.66,10.10,-4.23,18.18
Deco-Mica,531227,,Miscellaneous,101.40,0.81,17.97,2.30,0.28,2.58,0.33,2.25,0.72,1.53,0.51,1.02,0.00,1.02,12.80,5.68,4.20,2.43,42.59
Decorous Investm,539405,,Miscellaneous,8.82,-0.03,0.12,-0.03,0.05,0.02,0.00,0.02,0.00,0.02,0.03,-0.01,0.00,-0.01,-25.00,-8.33,3.45,-0.03,3.04
DEE Development,544198,DEEDEV,Steel - Medium / Small,315.90,,,,,,,,,,,,,,,,,,2181.42
Deem Roll,,DEEM,Castings & Forgings,101.75,6.64,,,,,,,,,,,,,,,,,84.83
Deep Diamond,539559,,Diamond Cutting / Jewellery,6.02,-0.58,1.50,0.82,0.06,0.88,0.00,0.88,0.05,0.83,0.22,0.61,0.00,0.61,54.67,40.67,,0.01,19.27
Deep Energy,532760,DEEPENR,Oil Drilling / Allied Services,171.10,-0.12,4.50,-0.07,0.24,0.17,0.02,0.15,0.00,0.15,0.04,0.11,0.00,0.11,-1.56,2.44,32.00,0.03,547.52
Deep Industries,543288,DEEPINDS,Oil Drilling / Allied Services,291.35,40.01,103.46,41.97,49.85,47.13,8.95,38.18,2.85,80.02,7.76,31.90,44.69,72.26,40.57,30.83,32.00,11.29,1864.64
Deep Polymers,541778,,Plastics Products,80.52,4.37,28.18,4.46,0.73,5.19,0.34,4.85,0.59,4.26,1.41,2.85,0.00,2.85,15.83,10.11,23.03,1.24,194.69
Deepak,544036,,Dyes And Pigments,80.05,,,,,,,,,,,,,,,,,,86.96
Deepak Fertiliz.,500645,DEEPAKFERT,Chemicals,690.90,282.18,2795.54,469.11,15.19,484.30,68.98,415.32,54.85,360.47,103.10,254.88,0.00,257.37,16.78,9.21,120.59,20.19,8721.74
Deepak Nitrite,506401,DEEPAKNTR,Chemicals,2554.95,304.65,1961.36,347.96,12.57,360.53,40.92,319.61,4.46,315.15,81.29,233.86,0.00,233.86,17.74,11.92,27.28,17.15,34847.71
Deepak Spinners,514030,,Textiles - Spinning - Synthetic / Blended,217.00,4.01,107.91,12.21,0.95,13.16,3.98,9.18,0.92,8.26,2.28,5.98,0.00,5.98,11.31,5.54,7.19,8.32,156.01
Delaplex,,DELAPLEX,Computers - Software - Medium / Small,219.00,,26.21,3.77,,,,,,,,,,3.05,,,,,199.51
Delhivery,543529,DELHIVERY,Miscellaneous,400.40,105.19,1859.63,13.39,75.36,88.75,242.45,-153.70,18.93,-172.63,-13.95,-158.67,0.00,-158.67,0.72,-8.53,64.21,-2.18,29571.55
Delphi World,533452,DELPHIFX,Finance & Investments,211.30,2.13,23.22,3.69,4.48,8.17,0.26,7.91,0.25,7.66,2.50,5.15,0.00,5.15,15.89,22.18,11.13,4.63,235.13
Delta Corp,532848,DELTACORP,Recreation / Amusement Parks,131.60,55.79,214.31,60.18,18.80,78.98,14.56,64.42,2.48,61.94,10.64,51.17,0.00,51.30,28.08,23.94,26.73,1.91,3523.86
Delta Industrial,539596,,Trading,31.35,-0.02,0.00,-0.04,-0.09,-0.13,0.00,-0.13,0.00,-0.13,0.03,-0.16,0.00,-0.16,,,5.39,-0.30,16.91
Delta Manufact.,504286,DELTAMAGNT,Electronics - Components,96.48,-0.52,19.72,-1.10,0.94,-0.16,1.18,-1.34,1.07,-2.41,0.04,-2.45,0.00,-2.45,-5.58,-12.42,10.85,-2.26,104.69
Delton Cables,504240,,Cables - Power,488.10,8.17,80.50,3.15,0.62,3.77,0.32,3.45,2.47,0.98,5.31,-4.33,0.00,-4.33,3.91,-5.38,8.64,-5.01,421.72
Den Networks,533137,DEN,Entertainment / Electronic Media Software,53.98,39.66,282.91,33.81,27.22,61.03,29.17,31.86,0.60,31.26,-94.94,126.20,0.00,126.20,11.95,44.61,476.77,2.80,2576.07
Denis Chem Lab,537536,,Pharmaceuticals - Indian - Bulk Drugs & Formln,189.00,5.99,39.73,4.74,0.34,5.08,3.72,1.36,0.26,1.10,0.32,0.78,0.00,0.78,11.93,1.96,13.88,0.56,262.27
Desh Rakshak,531521,,Pharmaceuticals - Indian - Formulations,9.26,0.31,1.65,0.46,0.00,0.46,0.14,0.32,0.12,0.20,0.08,0.12,0.00,0.12,27.88,7.27,4.66,0.27,4.11
Destiny Logistic,,DESTINY,Construction,34.25,0.91,49.63,1.88,,,,,,,,,,1.00,,,,0.65,52.70
Dev Information,543462,DEVIT,Computers - Software - Medium / Small,114.05,2.45,44.26,4.85,0.20,5.05,0.37,4.68,0.24,4.44,0.84,3.32,0.00,3.59,10.96,8.11,11.04,1.50,256.43
Dev Labtech,543848,,Diamond Cutting / Jewellery,106.50,2.10,20.68,0.88,,,,,,,,,,0.45,,,,0.54,88.08
Devine Impex,531585,,Trading,8.48,0.06,0.92,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.01,0.04,0.00,0.04,5.43,4.35,9.62,0.04,8.08
Devyani Intl.,543330,DEVYANI,Hotels,167.40,146.29,754.98,150.61,11.02,161.63,78.36,83.27,42.04,41.23,-18.65,59.88,0.00,59.88,19.95,7.93,120.47,0.50,20190.04
Dhabriya Poly.,538715,,Plastics Products,325.00,7.80,50.48,6.51,0.15,6.66,1.15,5.51,1.11,4.40,0.94,3.45,0.00,3.45,12.90,6.83,10.82,3.19,351.80
Dhampur Bio,543593,DBOL,Sugar,141.70,-4.43,803.23,116.19,1.74,117.93,13.11,104.82,12.53,92.29,12.09,80.20,0.00,80.20,14.47,9.98,66.39,12.08,940.70
Dhampur Sugar,500119,DHAMPURSUG,Sugar,224.00,53.50,671.44,104.38,3.57,107.95,15.70,92.25,10.72,81.53,20.84,60.38,0.00,60.69,15.55,9.04,66.38,9.09,1464.67
Dhampur.Spl.Sug.,531923,,Sugar,90.90,0.77,5.51,-0.85,3.22,2.37,0.12,2.25,0.01,2.24,0.46,1.78,0.00,1.78,-15.43,32.30,7.93,2.24,72.11
Dhanalaxmi Roto,521216,,Trading,196.00,2.05,49.92,2.48,2.11,4.61,0.06,4.55,0.28,4.25,1.18,3.09,-0.02,3.08,4.97,6.19,3.90,7.90,76.44
Dhanashree Elect,542679,,Electric Equipment,61.00,-0.26,12.04,-11.82,15.24,3.42,0.11,3.31,1.59,1.72,0.80,0.91,0.00,0.91,-98.17,7.56,14.19,0.64,86.56
Dhani Services,532960,DHANI,Finance & Investments,52.25,-70.77,84.29,-214.42,29.93,-184.49,17.11,-201.60,29.98,-231.58,-33.95,-196.05,0.00,-197.64,-254.38,-234.48,121.19,-3.25,3151.88
Dhanlaxmi Bank,532180,DHANBANK,Banks - Private Sector,41.12,161.07,274.10,141.98,37.39,179.37,0.00,179.37,158.95,20.42,-17.75,38.17,0.00,38.17,51.80,13.93,,1.51,1040.39
Dhanlaxmi Cotex,512485,,Finance & Investments,70.50,0.46,4.36,-1.10,0.69,-0.41,0.03,-0.44,0.00,-0.44,0.02,-0.46,0.00,-0.46,-25.23,-10.55,4.87,-0.94,34.34
Dhanlaxmi Fabric,521151,,Textiles - Products,71.25,-0.68,16.29,0.42,0.15,0.49,0.78,-0.29,0.28,-0.49,-0.13,-0.44,0.08,-0.36,2.58,-2.70,8.58,-0.42,61.13
Dhanuka Agritech,507717,DHANUKA,Pesticides / Agrochemicals - Indian,1665.25,62.17,371.23,77.88,14.74,92.62,5.10,87.52,0.77,86.75,21.44,65.30,0.00,65.30,20.98,17.59,9.32,14.33,7589.91
Dhanvantri Jeev.,531043,,Healthcare,21.40,0.47,4.96,0.23,0.06,0.29,0.23,0.06,0.00,0.06,0.08,-0.02,0.00,-0.02,4.64,-0.40,4.15,-0.05,8.77
Dharani Finance,511451,,Finance & Investments,7.16,0.16,0.13,-0.07,0.00,-0.07,0.03,-0.10,0.00,-0.10,0.00,-0.10,0.00,-0.10,-53.85,-76.92,5.00,-0.20,3.58
Dharmaj Crop,543687,DHARMAJ,Pesticides / Agrochemicals - Indian,259.50,10.72,68.79,0.56,3.08,3.64,1.53,2.11,0.36,1.75,0.50,1.25,0.00,1.25,0.81,1.82,24.68,0.37,877.04
Dharni Capital,543753,,Finance & Investments,43.40,1.73,1.73,0.62,,,,,,,,,,0.60,,,,0.29,88.41
Dhatre Udyog,540080,,Steel - Medium / Small,17.20,1.66,44.91,1.39,2.75,4.14,0.16,3.98,-0.08,4.06,1.13,2.93,0.00,2.93,3.10,6.52,0.55,0.27,187.40
Dhenu Buildcon,501945,,Finance & Investments,2.41,-0.10,0.00,-0.40,0.00,-0.40,0.00,-0.40,0.00,-0.40,-0.09,-0.30,0.00,-0.30,,,1.83,-0.16,4.41
Dhoot Indl.Fin,526971,,Trading,333.00,-1.11,9.36,-1.63,4.54,2.91,0.12,2.79,1.72,1.07,-5.96,7.02,0.00,7.02,-17.41,75.00,6.32,11.11,210.40
DHP India,531306,,Engineering,739.50,0.34,15.27,2.68,-0.29,2.39,0.93,1.46,0.00,1.46,0.56,0.90,0.00,0.90,17.55,5.89,3.00,3.00,221.86
Dhruv Consultanc,541302,DHRUV,Miscellaneous,120.50,4.71,21.02,1.13,0.74,1.87,1.20,0.67,0.60,0.07,-0.02,0.09,0.00,0.09,5.38,0.43,14.30,0.06,183.11
Dhruv Wellness,540695,,Trading,10.64,0.00,0.36,0.02,,,,,,,,,,0.02,,,,0.02,11.21
Dhruva Cap.Serv.,531237,,Finance & Investments,372.30,0.26,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,0.00,-0.01,0.00,-16.67,,-0.03,151.22
Dhunseri Invest.,533336,DHUNINV,Finance & Investments,1411.60,9.13,141.62,6.62,62.95,69.57,5.83,63.74,2.14,61.60,16.81,16.27,0.00,44.79,4.67,31.63,6.10,26.68,860.68
Dhunseri Tea,538902,DTIL,Tea,217.50,-37.58,41.16,-42.48,1.07,-41.41,4.36,-45.77,2.74,-48.51,-5.79,-42.72,0.00,-42.72,-103.21,-103.79,10.51,-40.66,228.54
Dhunseri Vent.,523736,DVL,Finance & Investments,372.00,12.67,140.05,3.92,86.69,90.61,5.82,84.79,2.14,82.65,16.96,65.69,0.00,65.69,2.80,46.90,35.03,18.82,1302.73
Dhyaani Trade,543516,,Trading,23.00,0.29,0.00,-0.01,,,,,,,,,,-0.04,,,,-0.09,9.79
Diamant Infra.,508860,,Construction,1.13,-0.01,0.00,-0.26,0.28,0.02,0.00,0.02,0.00,0.02,0.08,-0.05,0.00,-0.05,,,7.04,-0.01,3.98
Diamines & Chem.,500120,DIAMINESQ,Chemicals,522.45,4.72,35.69,12.37,0.98,13.35,0.47,12.88,0.05,12.83,3.25,9.57,0.00,9.57,34.66,26.81,9.78,9.78,511.16
Diamond Power,522163,DIACABS,Cables - Power,1316.65,3.01,14.11,-6.32,0.21,-6.11,7.06,-13.17,0.45,-13.62,0.00,-13.62,0.00,-13.62,-44.79,-96.53,269.71,-2.58,6938.37
Diana Tea Co,530959,,Tea,28.45,0.82,8.72,-9.21,1.32,-7.89,0.47,-8.36,0.71,-9.07,-0.79,-8.28,0.00,-8.28,-105.62,-94.95,7.50,-5.52,42.64
DIC India,500089,DICIND,Chemicals,529.60,0.45,199.36,2.92,3.16,6.08,3.63,2.45,1.17,1.28,0.37,0.91,0.00,0.91,1.46,0.46,9.18,0.99,486.13
Diggi Multitrade,540811,,Construction,26.17,-0.03,0.04,-0.01,,,,,,,,,,-0.02,,,,-0.02,25.33
Digicontent,542685,DGCONTENT,Entertainment / Electronic Media Software,35.94,9.34,91.37,5.61,1.87,7.48,4.51,2.97,4.51,-1.54,0.58,-2.12,0.00,-2.12,6.14,-2.32,11.64,-0.36,209.12
Digidrive Dist.,544079,DIGIDRIVE,Trading,37.35,0.04,10.26,0.08,7.40,7.48,0.11,7.37,0.01,7.36,1.65,5.71,0.00,5.71,0.78,55.65,,,144.02
Digikore Studios,,DIGIKORE,Entertainment / Electronic Media Software,407.05,9.38,,,,,,,,,,,,,,,,,257.78
DigiSpice Tech.,517214,DIGISPICE,Computers - Software - Medium / Small,52.18,2.64,107.27,2.31,1.88,7.92,6.60,1.32,0.33,-2.74,-0.93,1.43,-3.73,-1.81,2.15,1.75,61.46,-0.06,1212.99
Digjam,539979,DIGJAMLMTD,Textiles - Products,84.00,-1.50,7.17,-1.30,0.17,-1.13,0.15,-1.28,1.08,-2.36,0.00,-2.36,0.00,-2.36,-18.13,-32.91,20.00,-1.18,168.00
Diksat Transworl,540151,,Entertainment / Electronic Media Software,131.00,-1.67,15.14,2.26,,,,,,,,,,1.85,,,,1.05,229.81
Diksha Greens,542155,,Miscellaneous,4.67,-0.07,0.00,-0.09,,,,,,,,,,-1.48,,,,-1.50,4.61
Diligent Indust.,531153,,Solvent Extraction,5.84,1.27,29.17,1.34,0.75,2.09,0.32,1.77,0.86,0.91,0.38,0.54,0.00,0.54,4.59,1.85,11.44,0.05,66.78
