Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
PH Trading,512026,,Trading,2.04,0.10,0.62,0.00,0.04,6.13,0.00,6.96,74.30,220.00,0.00,34.16,0.10,0.05,49.58,0.00,1.18,,4.00,4.00,0.00,1.10,38.00,74.30,145.45,,3.16,,,7.36,60.98,,,,,25.69,0.00,0.00,0.00,0.00,46.25,-7.05,-14.87,-15.77,37.00
Phaarmasia,523620,,Pharmaceuticals - Indian - Bulk Drugs & Formln,52.95,36.17,,0.00,3.50,-1.74,0.01,-4.93,73.51,-1.33,0.00,34.70,35.68,0.68,15.09,3.31,0.45,0.00,7.00,5.00,1.02,2.91,20682.00,73.51,-4.88,96.05,3.58,,-41.05,-1.59,,-75.69,297.81,96.05,126.07,26.43,0.00,0.00,0.00,0.05,15.83,-12.00,-5.08,-11.02,20688.00
Phantom Digital,,PHANTOMFX,Entertainment / Electronic Media Software,383.90,521.31,21.62,0.00,3.60,38.22,0.14,54.54,54.79,6.67,0.00,41.23,523.50,1.36,106.59,-3.73,3.88,20.18,3.00,6.00,1.42,1.43,4142.00,54.79,51.35,64.31,2.96,,143.25,19.34,206.35,64.31,,64.31,,40.20,4.92,-3.84,-7.10,0.08,37.98,75.07,41.44,65.45,2359.00
Pharmaids Pharma,524572,,Pharmaceuticals - Indian - Formulations,50.79,179.13,,0.00,2.48,-20.44,0.12,-16.93,5.64,-7.82,0.00,26.15,182.86,3.53,20.43,6.39,0.86,,3.00,2.00,0.26,0.80,7567.00,5.64,-15.70,64.74,3.36,,-8.94,-15.38,,16.05,162.93,64.74,114.24,94.36,0.00,0.00,0.00,0.00,10.29,-64.39,-42.35,-49.12,7281.00
Phoenix Intl.,526481,,Leather / Leather Products,48.90,82.10,34.48,0.00,0.25,0.52,0.22,0.69,70.22,6.99,0.00,73.86,151.87,1.68,206.46,1.72,1.66,0.00,8.00,3.00,0.06,1.32,9052.00,70.22,2.36,176.98,2.81,,385.48,2.32,81.15,-99.44,484.29,176.98,207.87,29.78,0.00,0.00,0.00,0.00,204.78,2.25,0.46,0.63,9081.00
Phoenix Mills,503100,PHOENIXLTD,Construction,3543.45,63330.34,57.62,0.14,6.71,7.26,0.49,12.32,47.28,3.00,0.00,33.28,67259.94,17.87,529.26,0.69,1.16,0.00,7.00,4.00,0.22,1.94,76902.00,47.28,10.91,24.78,2.89,,113.58,10.57,855.87,428.58,143.67,24.78,547.47,4.12,32.82,2.02,-1.91,15.79,469.17,9.94,5.97,11.45,68847.00
Phoenix Township,537839,,Hotels,129.00,180.39,73.63,0.00,0.80,,1.03,,70.45,0.95,0.00,47.22,404.89,1.40,157.91,,2.64,,2.00,1.00,,,2033.00,70.45,10.97,15.32,4.25,,200.66,0.85,706.40,15.32,,15.32,,29.55,0.00,0.00,0.00,0.01,,,,,1988.00
Phosphate Co,542123,,Fertilizers,150.00,54.11,26.79,0.00,0.64,1.54,0.24,2.41,68.91,9.76,0.00,32.06,67.60,0.36,234.48,3.45,1.01,0.00,6.00,4.00,0.87,1.55,1787.00,68.91,4.46,18.67,2.11,,58.10,5.46,171.88,46.07,49.21,18.67,76.62,23.30,0.00,0.00,0.00,7.80,229.58,9.22,3.59,5.65,1689.00
Photon Capital,509084,,Finance & Investments,73.30,11.07,,0.00,1.35,-21.29,0.01,-21.44,74.89,3.86,0.00,23.18,7.26,0.15,54.44,,130.67,0.00,5.00,4.00,0.03,1.13,6611.00,74.89,-51.85,0.00,1.78,,29.20,3.36,,0.00,,0.00,,25.11,0.00,0.00,0.00,0.00,67.58,-2.98,-3.54,-3.55,6604.00
Photoquip India,526588,,Photographic And Allied Products,24.25,14.55,,0.00,1.89,-11.14,1.22,-29.38,47.07,-3.26,0.00,,23.14,0.60,12.81,2.78,0.53,0.00,6.00,4.00,0.81,2.60,4103.00,47.07,-5.33,69.75,0.49,,109.03,-3.65,,109.88,108.47,69.75,148.60,52.89,0.00,0.00,0.00,0.05,15.60,-10.73,-19.63,-42.98,4140.00
Phyto Chem (I),524808,,Pesticides / Agrochemicals - Indian,31.90,13.72,,0.00,1.87,-9.28,2.47,-37.06,40.40,-4.13,0.00,40.89,31.75,0.43,17.12,0.97,0.75,0.00,3.00,1.00,0.41,4.87,7031.00,40.40,-4.96,386.69,3.06,,567.09,-4.07,,640.78,81.98,386.69,336.08,54.79,0.00,0.00,0.00,0.19,24.67,7.55,0.51,1.90,7028.00
Piccadily Agro,530305,,Breweries & Distilleries,721.05,6802.28,77.66,0.03,20.02,13.16,0.51,30.67,70.97,1.88,0.00,29.92,6955.54,9.43,36.01,2.02,0.67,0.00,8.00,5.00,1.17,1.96,51172.00,70.97,23.52,63.95,7.31,,88.45,17.95,97.09,151.09,113.33,63.95,200.48,28.92,0.00,0.00,0.06,0.10,24.54,12.80,3.98,10.19,52070.00
Piccadily Sugar,507498,,Breweries & Distilleries,73.80,171.58,,0.00,14.07,-7.40,1.25,-34.31,74.98,-2.44,0.00,29.92,186.41,2.33,5.24,0.68,0.24,0.00,3.00,2.00,0.08,4.99,49445.00,74.98,-20.95,232.27,7.31,,-2091.96,-6.74,,-3516.71,4224.10,232.27,475.12,25.03,0.00,0.00,0.00,0.00,6.06,-21.00,-6.57,-21.89,48429.00
Picturehouse,532355,,Entertainment / Electronic Media Software,8.08,42.22,,0.00,,-0.40,,,73.90,1.90,19.42,41.23,292.63,5.22,-13.56,0.00,0.51,0.00,6.00,1.00,0.00,-2.31,5214.00,59.55,2.31,938.57,2.96,,179758.78,1.91,,938.57,,938.57,,26.09,0.00,0.00,0.00,0.00,-13.65,,-22.06,,5313.00
Pidilite Inds.,500331,PIDILITIND,Chemicals,3163.75,160911.28,90.35,0.35,19.14,15.92,0.05,22.81,69.77,1.56,0.00,39.79,160760.46,50.86,165.30,3.71,1.58,0.00,7.00,5.00,1.10,1.34,541114.00,69.77,21.18,49.36,3.67,,79.41,20.67,355.61,65.64,69.88,49.36,86.16,10.00,11.31,-0.18,0.61,8.93,141.89,23.83,12.89,18.70,577382.00
Pil Italica Life,500327,PILITA,Plastics Products,12.14,285.31,61.89,0.00,3.83,5.00,0.21,6.41,50.09,2.43,0.00,34.93,299.04,23.50,3.16,3.51,2.24,0.00,6.00,2.00,1.04,1.24,58448.00,50.09,6.09,24.98,3.72,,213.92,7.46,3.74,126.02,13.29,24.98,114.33,49.03,0.23,0.19,0.00,0.64,2.96,6.32,3.54,4.47,59602.00
Pilani Invest.,539883,PILANIINVS,Finance & Investments,5203.60,5761.52,34.61,0.30,0.38,1.15,0.06,1.29,57.55,4.26,0.00,23.18,6662.62,1.11,13192.60,,3.23,0.00,5.00,5.00,0.02,0.99,13415.00,57.55,509.35,0.47,1.78,,-13.79,1.68,6680.25,0.47,,0.47,,41.74,0.47,-0.03,0.00,0.25,10087.76,2.26,1.96,2.21,13116.00
Pion. Embroider.,514300,PIONEEREMB,Textiles - Products,49.11,144.74,40.76,0.00,1.00,1.13,0.76,2.59,29.65,5.35,60.65,31.14,253.47,2.95,49.38,3.32,0.63,0.00,5.00,4.00,1.07,2.15,24010.00,11.67,4.21,32.81,2.37,,86.72,4.07,37.45,98.45,57.10,32.81,122.74,53.39,8.48,8.48,-0.79,8.48,48.42,2.76,0.45,0.88,23685.00
Pioneer Invest,507864,,Finance & Investments,49.00,60.25,14.80,0.00,0.41,1.25,0.73,2.83,64.80,10.78,43.92,23.18,162.19,1.23,120.28,0.00,1.09,0.00,4.00,5.00,0.11,2.21,4093.00,36.34,12.87,1429.62,1.78,,727.95,4.27,94.64,1429.62,,1429.62,,31.19,3.79,0.00,0.00,0.22,113.25,4.93,0.91,1.49,4086.00
Piotex,544178,,Textiles - Cotton/Blended,72.70,37.09,12.33,0.00,,11.21,0.48,43.69,65.95,9.98,0.00,26.01,41.49,0.51,,813.50,1.52,0.00,3.00,3.00,4.41,2.86,1069.00,65.95,23.81,98.85,1.46,,40.89,11.82,,36.25,63.23,98.85,0.64,32.06,0.00,,,2.00,,64.65,18.39,97.80,
Piramal Enterp.,500302,PEL,Finance & Investments,935.00,21082.17,58.54,1.08,0.79,0.43,2.02,1.25,46.19,4.49,0.00,23.18,70246.45,22.55,1182.08,,3.64,0.00,6.00,2.00,0.12,3.13,315945.00,46.19,16.45,0.46,1.78,,71.51,3.81,,0.46,,0.46,,23.14,16.97,-0.22,0.17,13.19,1301.18,2.21,2.17,5.99,314913.00
Piramal Pharma,543635,PPLPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,158.65,21032.97,1339.66,0.07,2.61,0.11,0.60,0.21,35.02,2.75,0.00,34.70,25260.57,132.57,59.80,1.53,0.75,0.00,9.00,4.00,0.55,1.87,297996.00,35.02,0.58,95.34,3.58,,121.55,4.51,13.46,174.12,190.08,95.34,268.85,21.89,30.58,-1.93,2.44,12.12,51.20,1.98,-1.38,-2.76,292312.00
Pitti Engg.,513519,PITTIENG,Engineering,1018.85,3265.44,36.20,0.27,7.84,7.82,1.48,24.04,59.28,4.65,20.47,43.13,3772.21,3.21,129.88,3.16,0.77,0.00,6.00,5.00,1.04,2.77,43750.00,47.15,14.92,63.91,5.46,,97.40,12.92,286.79,83.22,103.06,63.91,122.37,34.33,0.50,0.28,-0.68,5.88,104.24,18.19,6.07,18.99,41372.00
Pix Transmission,500333,PIXTRANS,Miscellaneous,1379.80,1880.65,22.64,0.51,3.82,13.70,0.09,18.23,61.82,6.17,0.00,61.09,1868.86,1.36,361.60,1.85,3.60,0.00,9.00,4.00,0.81,1.23,23598.00,61.82,15.19,81.46,3.13,,176.15,18.13,703.96,210.73,60.29,81.46,189.56,32.69,0.27,0.03,0.00,5.23,306.78,19.54,11.48,16.56,23635.00
Plada Infotech S,,PLADAINFO,Computers - Software - Medium / Small,32.80,28.13,11.16,0.00,1.22,,0.62,,62.64,13.28,0.00,34.11,39.11,0.86,26.93,,6.54,,1.00,3.00,,,635.00,62.64,,,3.70,,,12.75,42.20,,,,,37.36,0.00,0.00,0.00,0.00,,20.76,9.09,39.12,767.00
Plastiblends (I),523648,PLASTIBLEN,Chemicals,269.05,699.24,20.24,1.49,1.72,7.14,0.02,8.63,64.38,6.77,0.00,39.79,703.98,2.60,155.99,4.91,3.21,0.00,9.00,4.00,1.66,1.19,15146.00,64.38,8.66,40.04,3.67,,104.64,9.81,215.95,101.99,13.65,40.04,75.61,34.79,0.84,0.02,0.00,0.00,151.96,9.20,5.28,6.82,14549.00
Platinum Industr,544134,PLATIND,Chemicals,201.80,1108.41,25.49,0.00,3.34,16.86,0.03,22.14,71.00,7.19,0.00,39.79,864.01,5.49,60.29,6.70,6.34,0.00,4.00,5.00,1.02,0.78,47278.00,71.00,13.38,68.92,3.67,,58.12,15.39,103.92,59.34,57.57,68.92,48.00,21.24,5.09,,,2.69,,74.76,36.56,89.28,
Platinumone Bus.,543352,,Computers - Software - Medium / Small,175.00,27.68,18.84,1.70,1.86,8.24,0.00,10.15,73.31,8.16,0.00,34.11,23.17,0.16,94.67,,4.05,0.00,7.00,4.00,1.49,1.19,117.00,73.31,16.82,85.12,3.70,,48.62,10.80,140.67,85.12,,85.12,,26.69,0.00,0.00,0.00,0.00,88.41,24.12,14.07,17.59,112.00
