Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,225.65,796.25,13.84,0.57,2.30,10.35,0.34,17.75,44.95,11.34,0.00,19.15,857.32,3.53,100.02,4.10,1.16,0.00,8.00,6.00,1.40,1.57,22492.00,44.95,15.11,58.93,3.52,,87.97,16.19,189.11,103.51,54.44,58.93,99.02,54.32,0.73,0.01,0.00,0.00,83.20,19.27,8.10,15.34,20546.00
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,70.44,73.96,2.30,3.54,1.39,64.72,0.08,88.07,64.25,47.01,0.00,23.18,74.21,1.05,50.84,,6.76,,6.00,5.00,0.70,0.93,5943.00,64.25,80.05,179.36,1.78,,379.01,55.17,187.38,179.36,,179.36,,35.75,0.00,0.00,0.00,0.00,18.87,-43.10,-38.53,-62.72,6333.00
360 ONE,542772,360ONE,Finance & Investments,997.60,36199.65,45.05,1.63,10.36,6.11,2.75,24.47,17.76,3.72,31.30,23.18,45033.41,36.29,96.13,,0.84,0.00,3.00,6.00,0.22,3.81,46512.00,12.20,215.86,41.01,1.78,,-120.92,10.93,220.16,41.01,,41.01,0.00,10.70,63.22,0.74,-0.53,8.34,87.67,13.33,6.00,21.41,42622.00
3B Blackbio,532067,,Healthcare,1184.50,1016.66,31.66,0.21,4.54,13.89,0.00,16.28,41.29,4.93,0.00,42.74,955.36,0.86,259.88,2.65,6.56,0.00,5.00,3.00,0.32,1.04,9753.00,41.29,28.40,178.51,5.67,,215.59,17.92,472.22,253.38,66.01,178.51,140.89,53.85,2.97,-0.41,0.71,1.89,228.05,19.06,12.77,16.00,10088.00
3C IT Solutions,544190,,Computers - Software - Medium / Small,44.10,26.55,23.30,0.00,,3.59,3.27,33.98,51.67,9.87,0.00,34.11,39.66,0.60,,3.52,0.89,0.00,3.00,2.00,1.95,7.75,1006.00,51.67,16.03,60.29,3.70,,98.54,13.55,,103.37,59.31,60.29,102.39,48.34,0.00,,,0.00,,29.33,4.19,53.37,
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,36.75,622.03,,0.00,2.12,-8.99,0.29,-15.71,0.00,-5.75,0.00,34.11,652.00,16.93,17.34,,1.05,0.00,4.00,3.00,1.00,2.79,272076.00,0.00,-11.48,70.33,3.70,,8.32,-5.61,,70.33,,70.33,,88.91,0.94,0.21,-0.02,10.15,38.16,2.59,0.31,0.45,280315.00
3M India,523395,3MINDIA,Diversified - Large,37310.00,42048.39,78.43,0.43,17.74,16.99,0.01,24.84,75.00,1.79,0.00,23.87,40948.25,1.13,2104.02,4.43,1.87,0.00,9.00,4.00,1.24,1.33,29198.00,75.00,31.90,63.12,2.87,,23.52,21.23,4747.23,21.18,119.02,63.12,77.08,12.92,3.64,0.08,-0.08,8.44,1729.09,25.29,13.48,18.75,27610.00
3P Land Hold.,516092,3PLAND,Finance & Investments,38.00,68.41,37.79,0.00,0.69,2.11,0.00,2.20,73.30,3.51,0.00,23.18,68.19,1.80,54.84,,3.71,0.00,5.00,5.00,0.04,0.87,8551.00,73.30,278.46,0.00,1.78,,-3.08,2.32,35.23,0.00,,0.00,,26.69,0.00,0.00,0.00,0.00,36.70,3.07,2.27,2.32,7528.00
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.69,5.88,34.69,0.00,0.37,0.85,0.23,1.07,9.43,1.84,0.00,41.23,9.49,3.49,4.56,0.00,4.84,,6.00,2.00,0.01,1.25,7278.00,9.43,0.89,0.00,2.96,,24767.86,0.85,2.24,0.00,,0.00,,90.57,0.00,0.00,0.00,0.00,4.52,-0.56,-0.55,-0.69,6424.00
5Paisa Capital,540776,5PAISA,Finance & Investments,514.30,1604.75,29.47,0.00,2.97,2.95,0.62,10.85,32.80,33.61,0.00,17.68,303.71,3.12,173.09,,1.57,0.00,4.00,5.00,0.21,3.42,42465.00,32.80,10.98,0.03,2.85,,-897.33,4.92,260.72,0.03,,0.03,,44.24,22.66,0.29,0.09,0.29,151.22,12.42,2.68,10.60,33164.00
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,378.20,1742.67,8.31,0.52,0.53,5.90,0.00,6.49,45.63,51.91,0.00,34.11,465.02,4.61,726.45,,6.12,1.20,8.00,5.00,0.13,1.06,50511.00,45.63,10.95,35.03,3.70,,228.81,5.89,888.42,35.03,,35.03,,49.89,4.35,-2.14,0.00,0.12,676.02,1.99,-2.13,-1.43,47121.00
7NR Retail Ltd,540615,,Trading,5.23,14.66,,0.00,0.51,-2.41,0.18,-3.79,10.96,-5.39,0.00,60.14,19.79,2.80,10.25,2.07,4.15,0.00,1.00,2.00,0.25,1.60,43624.00,10.96,-2.90,686.02,5.58,,1042.23,-2.38,,562.30,219.53,686.02,95.81,89.05,0.00,0.00,0.00,0.00,10.65,1.76,0.69,1.18,45615.00
7Seas Enter.,540874,,Computers - Software - Medium / Small,60.36,112.65,117.34,0.00,11.05,13.61,0.04,20.69,37.46,1.17,0.00,34.11,111.84,1.87,5.45,,12.63,0.00,5.00,3.00,1.67,0.69,2903.00,37.46,12.04,17.65,3.70,,169.34,11.50,7.94,17.65,,17.65,,62.53,0.00,0.00,0.00,0.00,-0.59,17.12,13.11,,2676.00
A B B,500002,ABB,Electric Equipment,8531.00,180779.04,123.62,0.28,30.46,12.28,0.01,22.92,75.00,1.12,0.00,58.82,176011.85,21.19,280.54,4.26,1.59,0.00,9.00,5.00,1.03,1.71,102557.00,75.00,22.80,88.90,8.34,,-9.18,17.84,658.67,-0.40,179.32,88.90,90.02,7.15,11.89,1.17,-0.97,5.95,233.10,23.03,8.79,17.01,102093.00
A B Infrabuild,,ABINFRA,Construction,55.00,273.60,23.36,0.00,3.36,9.35,0.26,33.15,36.82,7.38,0.00,23.53,284.99,4.97,16.41,2.75,1.14,0.00,5.00,4.00,1.47,3.55,231.00,36.82,27.37,64.14,2.74,,103.20,13.53,29.13,94.17,102.50,64.14,132.53,63.18,0.00,0.00,0.00,0.00,24.70,20.15,5.26,19.01,187.00
A B M Internatl.,,ABMINTLLTD,Trading,61.99,58.32,,0.00,3.92,-9.20,0.68,-20.70,74.70,-6.15,0.00,34.16,64.16,0.94,15.80,7.03,0.68,0.00,4.00,3.00,2.52,2.50,1597.00,74.70,-17.56,18.79,3.16,,48.02,-10.27,,21.12,50.76,18.79,53.09,25.30,0.00,0.00,0.00,0.00,19.35,-43.17,-23.51,-34.09,1412.00
A F Enterprises,538351,,Trading,10.91,40.03,,0.00,1.21,-0.52,0.20,0.00,5.72,-1.18,0.00,34.16,45.92,3.67,9.09,2.82,1.32,0.00,5.00,3.00,0.06,4.31,7476.00,5.72,0.00,5048.59,3.16,,1326.45,-0.41,,-1808.25,6984.05,5048.59,127.21,94.28,0.00,0.00,0.00,0.00,5.59,-0.67,-0.20,-1.51,5853.00
A G Universal,,AGUL,Trading,64.40,35.31,18.40,0.00,2.03,4.34,0.89,28.32,70.64,8.31,0.00,34.16,50.71,0.55,31.77,8.36,0.82,0.00,4.00,3.00,1.77,6.53,236.00,70.64,14.30,55.00,3.16,,38.66,8.47,50.02,15.95,82.73,55.00,43.67,29.35,0.00,0.00,0.00,0.00,,7.32,0.64,4.26,247.00
A K Spintex,539300,,Textiles - Processing,259.40,130.54,15.46,0.00,3.35,13.16,0.18,24.32,70.76,10.47,0.00,21.29,137.65,0.50,77.45,3.30,0.83,0.00,7.00,5.00,1.83,1.65,3520.00,70.76,19.48,52.52,2.79,,25.09,17.70,171.07,-91.69,253.57,52.52,109.37,29.24,0.00,0.00,0.00,0.00,60.65,27.52,13.05,27.25,3429.00
A R C Finance,540135,,Finance & Investments,1.18,59.61,220.68,0.00,1.16,0.38,0.31,0.53,12.02,0.61,0.00,23.18,75.38,50.49,1.01,0.45,0.48,0.00,4.00,4.00,0.13,1.39,182228.00,12.02,1.50,48.98,1.78,,817.69,0.64,0.35,937.40,188.06,48.98,1076.47,87.97,0.00,0.00,0.00,0.00,1.02,2.46,0.44,0.64,142377.00
A-1 Acid,542012,,Trading,346.00,397.91,361.74,0.43,8.33,1.68,0.22,2.29,70.03,0.61,0.00,34.16,402.01,1.15,41.54,112.53,3.33,0.00,6.00,2.00,3.14,1.37,2028.00,70.03,3.06,54.96,3.16,,57.01,3.89,29.90,52.68,6.06,54.96,3.79,27.07,2.90,0.00,0.00,0.00,42.09,9.79,4.91,7.63,2071.00
A.K.Capital Serv,530499,,Finance & Investments,1051.00,693.66,7.56,1.13,0.75,2.67,3.00,10.43,71.50,9.27,0.00,23.18,3417.65,0.66,1392.53,0.00,4.13,0.00,5.00,6.00,0.15,3.77,2557.00,71.50,65.01,1.37,1.78,,183.13,8.37,2086.56,1.37,,1.37,,28.50,0.00,0.00,0.00,0.00,1271.79,8.77,3.03,10.96,2342.00
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,21.67,381.65,,0.00,11.86,-7.17,6.15,-132.12,28.14,-9.62,99.68,37.82,576.74,17.61,1.83,75.35,0.72,0.00,5.00,3.00,0.46,26.01,41790.00,0.09,-53.49,146.75,4.55,,24.83,-8.20,,146.75,,146.75,0.00,70.25,1.61,0.00,0.00,0.00,2.16,6.57,1.32,15.74,42700.00
AA Plus Trade,543319,,Trading,20.00,48.65,91.80,0.00,3.64,3.43,0.10,4.10,21.32,1.49,0.00,34.16,49.85,2.43,5.49,,2.00,0.00,5.00,2.00,1.29,1.19,360.00,21.32,3.57,60.38,3.16,,271.69,2.73,5.07,60.38,,60.38,0.00,78.68,0.00,0.00,0.00,0.00,5.28,2.06,1.20,1.64,385.00
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,110.90,142.24,44.32,0.46,5.09,11.25,0.00,12.03,71.51,3.54,0.00,34.11,121.73,1.28,21.80,,19.53,1.14,8.00,2.00,0.83,1.02,6542.00,71.51,11.53,91.29,3.70,,91.90,14.63,35.03,91.29,,91.29,,28.50,0.00,0.00,0.00,0.00,19.79,15.93,10.76,11.88,6880.00
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,416.50,17764.49,23.71,0.00,,4.20,3.14,18.40,76.48,6.46,0.00,20.22,30450.68,42.65,,,2.39,0.00,6.00,5.00,0.14,4.01,730542.00,76.48,153.14,0.00,2.80,,-50.85,10.19,,0.00,,0.00,,11.88,4.47,,,7.17,,10.24,3.64,16.48,
Aadi Industries,530027,,Plastics Products,6.86,6.86,,0.00,,-28.57,,,24.86,-0.73,0.00,34.93,13.60,1.00,-6.69,,0.03,,4.00,2.00,0.00,-0.05,5126.00,24.86,-71.43,,3.72,,,-52.63,,,,,,74.89,0.00,0.00,0.00,0.24,-6.60,-43.37,-36.00,,4911.00
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,14.16,143.37,23.09,0.00,2.45,7.01,0.31,11.21,66.67,6.88,0.00,35.73,160.65,10.12,5.78,,1.21,0.00,9.00,5.00,1.04,1.51,37338.00,66.67,9.79,97.12,2.23,,67.44,10.84,8.93,97.12,,97.12,0.00,33.30,0.03,-0.03,0.00,0.00,5.17,11.25,5.97,9.19,33216.00
Aananda Lakshmi,539096,,Construction,14.58,5.10,0.86,0.00,,50.21,,,58.67,22.49,0.00,33.28,26.41,0.35,-52.70,0.17,1.15,0.00,8.00,1.00,0.18,-0.64,7072.00,58.67,137.82,448.43,2.89,,425.83,44.49,,448.43,,448.43,,41.32,0.00,0.00,0.00,0.02,-64.36,33.79,-7.18,,6857.00
Aanchal Ispat,538812,,Steel - Medium / Small,6.14,12.80,,0.00,0.76,-5.48,5.00,-31.23,32.09,-4.41,0.00,27.86,90.78,2.09,8.07,7.12,0.71,0.00,6.00,2.00,0.96,6.79,6332.00,32.09,-3.67,188.56,2.94,,201.68,-3.44,,222.86,8.91,188.56,43.22,67.90,0.00,0.00,0.00,0.00,11.13,-20.09,-19.25,-67.59,6478.00
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,45.65,115.88,24.77,0.00,0.87,1.57,0.24,3.78,45.28,4.73,0.00,32.00,145.64,2.54,52.30,12.03,1.47,0.00,5.00,3.00,1.33,2.25,16843.00,45.28,3.93,170.20,3.40,,129.99,2.31,46.58,80.11,123.23,170.20,33.15,51.31,3.40,-0.43,0.00,0.00,45.34,6.38,1.41,3.33,15269.00
Aarnav Fashions,539562,,Textiles - Products,47.85,202.12,35.97,0.00,1.12,1.39,0.61,3.20,72.44,6.41,0.00,31.14,307.44,4.22,42.37,2.13,0.83,0.20,8.00,3.00,0.88,2.26,33909.00,72.44,4.82,108.95,2.37,,172.52,5.05,35.62,211.78,64.37,108.95,167.19,27.55,0.00,0.00,0.00,0.00,40.86,3.98,0.10,0.25,35709.00
Aaron Industries,,AARON,Engineering,263.20,275.65,43.55,0.39,7.70,11.16,0.88,22.48,73.06,3.27,0.00,43.13,304.66,1.05,34.22,2.71,0.43,0.00,3.00,5.00,1.11,1.58,12497.00,73.06,17.57,20.38,5.46,,85.38,13.18,68.22,139.98,23.16,20.38,142.76,26.94,0.00,0.00,0.00,0.00,20.39,29.71,15.78,29.69,11826.00
Aartech Solonics,542580,AARTECH,Electric Equipment,200.40,212.22,163.25,0.25,7.19,3.40,0.14,4.46,52.68,1.41,0.00,58.82,214.08,1.06,27.88,3.33,2.01,0.00,6.00,3.00,0.84,1.32,4734.00,52.68,5.59,105.69,8.34,,231.55,7.42,27.75,143.82,93.63,105.69,131.77,45.92,0.01,0.01,1.39,1.39,27.13,6.90,3.99,4.88,4227.00
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,524.60,4822.89,28.11,0.20,3.76,7.07,0.44,13.86,57.13,5.18,0.00,32.00,5377.74,9.19,139.40,3.35,1.05,0.00,7.00,1.00,1.04,1.89,157547.00,57.13,11.81,101.70,3.40,,116.03,11.06,241.83,114.84,92.57,101.70,105.71,34.30,2.56,0.46,0.73,5.99,128.77,15.46,7.19,14.92,170414.00
Aarti Industries,524208,AARTIIND,Chemicals,693.85,25152.37,60.46,0.36,4.75,4.57,0.61,8.15,43.43,2.17,3.68,39.79,28264.37,36.25,145.93,3.54,0.51,53.98,6.00,2.00,0.70,1.72,377953.00,41.83,8.20,47.31,3.67,,81.97,6.30,194.11,107.43,49.01,47.31,109.12,28.38,10.93,0.10,1.42,17.24,135.73,10.44,6.63,11.55,418123.00
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,608.00,5510.05,25.41,0.33,3.14,9.01,0.16,13.08,46.46,5.48,0.00,34.70,5771.24,9.06,193.88,1.64,1.01,0.00,5.00,3.00,0.77,1.37,204122.00,46.46,11.40,102.32,3.58,,176.48,12.30,323.12,196.92,135.28,102.32,229.88,35.24,8.33,0.16,0.06,9.97,171.97,16.12,9.08,13.16,215796.00
Aarti Surfactant,543210,AARTISURF,Chemicals,682.35,577.17,25.90,0.00,2.62,5.39,0.45,11.50,49.81,7.11,0.00,39.79,670.16,0.85,259.21,5.06,0.78,29.38,8.00,5.00,1.43,1.88,43091.00,49.81,9.72,43.38,3.67,,70.28,11.14,391.86,69.49,54.98,43.38,81.09,50.10,0.09,0.05,-0.01,0.00,197.79,10.60,3.16,8.36,41711.00
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,28.21,66.18,,0.00,3.86,-9.24,16.14,-113.54,65.80,-10.67,51.00,26.01,341.61,2.35,7.33,0.77,0.70,0.00,6.00,1.00,0.18,28.09,11439.00,32.24,-10.44,429.62,1.46,,595.04,-8.28,,599.76,234.52,429.62,404.67,32.10,0.00,0.00,0.00,2.10,26.17,-10.54,-11.56,-71.18,10566.00
Aarvi Encon,,AARVI,Miscellaneous,139.27,205.91,18.15,1.44,1.77,6.89,0.08,10.09,73.54,6.98,0.00,34.07,192.33,1.48,78.94,,2.56,0.00,4.00,1.00,2.47,1.41,10663.00,73.54,12.54,74.56,3.20,,61.48,7.93,116.72,74.56,,74.56,,26.46,0.00,0.00,0.00,0.00,73.09,17.52,9.94,15.05,11262.00
Aashka Hospitals,543346,,Healthcare,117.15,274.12,116.14,0.00,2.84,1.84,0.21,2.51,61.28,2.06,0.00,42.74,292.53,2.34,41.15,6.92,0.62,0.00,7.00,1.00,0.18,1.36,1641.00,61.28,8.61,109.48,5.67,,107.09,4.73,30.56,-177.77,339.96,109.48,52.71,38.71,0.00,0.00,0.00,0.00,40.14,0.42,-2.00,-2.70,2066.00
AastamangalamFin,511764,,Finance & Investments,44.23,39.41,10.95,0.00,1.05,5.10,1.07,11.75,27.60,8.78,0.00,23.18,73.43,0.89,42.29,,2.57,0.00,4.00,6.00,0.10,1.87,6138.00,27.60,116.73,0.00,1.78,,-110.07,7.96,62.01,0.00,,0.00,,72.40,0.00,0.00,0.00,0.00,55.12,8.37,3.85,7.70,6071.00
Aatmaj Health,,AATMAJ,Healthcare,26.25,59.33,67.42,0.00,1.20,2.84,0.11,6.21,63.72,4.80,0.00,42.74,54.00,2.26,21.89,6.15,6.32,0.00,1.00,1.00,0.51,2.19,1537.00,63.72,6.41,413.47,5.67,,349.23,4.49,13.85,158.26,314.55,413.47,59.35,36.28,0.00,0.00,0.00,0.00,,46.64,24.38,52.65,1772.00
AAVAS Financiers,541988,AAVAS,Finance - Housing,1866.65,14772.61,30.10,0.00,3.91,3.28,3.29,13.93,26.47,5.75,0.00,20.22,25373.10,7.91,476.79,,9.09,0.00,3.00,4.00,0.13,3.97,151680.00,26.47,9.91,2.21,2.80,,27.06,8.79,815.57,2.21,,2.21,,14.76,34.80,2.48,8.70,23.99,413.68,9.51,3.52,14.14,132644.00
Aayush Food&Herb,539528,,Trading,299.00,97.02,170.22,0.00,19.71,11.99,0.00,12.22,0.00,0.60,0.00,34.16,96.97,0.32,15.16,,5.60,0.00,6.00,2.00,0.13,0.97,2069.00,0.00,121.28,12.17,3.16,,249.42,11.75,24.48,12.17,,12.17,,100.00,0.00,0.00,0.00,0.00,13.59,-5.10,-5.25,-8.95,2133.00
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,259.00,266.57,39.79,0.00,3.89,4.48,1.78,15.74,34.91,4.58,0.00,26.01,388.19,1.03,66.53,4.49,0.66,0.00,5.00,3.00,1.71,3.51,164.00,34.91,10.26,19.21,1.46,,84.80,8.98,98.71,97.90,2.67,19.21,81.36,65.09,0.00,0.00,0.00,0.00,41.37,5.79,1.66,4.74,171.00
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,65.50,382.29,,0.00,,-80.97,,,46.00,-1.30,19.37,19.71,15646.65,5.84,-4090.09,0.45,0.02,0.00,3.00,2.00,0.25,-0.07,101568.00,37.09,,126.61,1.40,,-8727.12,-13.43,,-2045.36,3050.34,126.61,878.37,51.87,0.43,0.34,0.00,1.71,-3820.21,,-50.30,,102027.00
ABans Enterprise,512165,,Trading,132.20,184.42,19.87,0.08,0.99,2.58,0.84,5.14,74.56,10.24,0.00,34.16,322.87,1.39,133.00,17.02,1.26,0.00,5.00,4.00,4.69,2.03,1647.00,74.56,5.25,37.19,3.16,,56.12,7.42,141.09,38.51,19.70,37.19,21.01,15.61,9.83,0.00,0.00,0.00,125.70,8.09,5.66,8.88,1549.00
Abans Holdings,543712,AHL,Finance & Investments,487.30,2443.61,29.88,0.00,2.63,3.75,1.00,9.30,72.09,5.11,12.12,23.18,3083.82,5.01,185.62,19.61,1.57,0.00,5.00,1.00,0.58,2.56,12871.00,63.35,7.70,58.53,1.78,,382.46,5.22,260.95,30.28,46.02,58.53,17.77,16.45,11.47,-0.11,0.00,0.00,164.89,7.91,4.58,8.90,13193.00
Abate As Indust,531658,,Trading,28.70,14.41,,0.00,,-189.58,62.00,,31.87,-5.85,0.00,34.16,15.55,0.50,-1.79,,0.19,,3.00,1.00,0.00,-0.53,1028.00,31.87,-413.64,,3.16,,,-275.76,,,,,,68.13,0.00,0.00,0.00,0.00,0.02,-57.85,-56.00,-184.21,1050.00
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,27674.35,58808.00,48.95,1.46,15.90,24.64,0.02,34.88,74.99,2.88,0.00,44.02,56756.74,2.12,1740.71,5.08,1.96,1.31,8.00,5.00,1.20,1.32,69382.00,74.99,55.67,19.91,12.56,,-11.54,31.39,4705.37,-23.50,113.64,19.91,70.22,15.92,0.18,0.00,0.18,8.91,1500.54,41.13,21.63,31.61,72252.00
ABC Gas (Int.),513119,,Trading,91.58,18.13,,0.00,4.58,-13.12,0.00,-14.79,1.21,-3.88,0.00,34.16,14.43,0.20,20.00,0.23,53.43,0.00,6.00,4.00,0.00,1.10,6545.00,1.21,-11.42,0.00,3.16,,8760.00,-13.90,21.85,1095.00,312.86,0.00,1407.86,98.79,0.00,0.00,0.00,0.00,18.94,-1.31,-1.66,-3.70,6483.00
ABC India,520123,,Miscellaneous,112.30,60.83,27.65,0.45,1.36,2.36,0.46,5.07,64.69,6.52,0.00,38.47,78.63,0.54,83.44,78.57,1.60,0.00,7.00,2.00,1.76,2.06,5843.00,64.69,6.86,58.86,3.17,,92.43,5.26,88.89,-82.26,145.37,58.86,4.25,35.31,0.00,0.00,0.00,0.00,76.72,7.64,2.78,6.16,5623.00
Abhinav Capital,532057,,Finance & Investments,207.70,143.83,15.54,0.00,1.87,9.87,0.49,13.47,71.48,10.92,0.00,23.18,130.19,0.69,111.28,,3.25,0.00,5.00,5.00,0.16,1.22,1223.00,71.48,9.90,0.00,1.78,,1695.61,11.63,182.99,0.00,,0.00,,28.51,0.00,0.00,0.00,0.00,87.23,23.20,16.49,18.11,1157.00
Abhinav Leasing,538952,,Finance & Investments,2.74,13.70,80.58,0.00,2.37,0.32,5.14,2.97,3.66,4.96,0.00,23.18,42.33,5.00,1.17,4.44,0.22,0.00,5.00,5.00,0.63,9.21,9727.00,3.66,112.43,1.30,1.78,,-1.08,4.56,0.95,97.53,0.00,1.30,96.23,96.35,0.00,0.00,0.00,0.00,1.12,47.46,0.20,1.78,7284.00
Abhishek Finle.,538935,,Finance & Investments,37.00,15.78,75.14,0.00,3.57,4.45,0.00,4.86,72.74,1.96,0.00,23.18,13.79,0.43,10.37,0.65,5.46,0.00,8.00,5.00,0.20,1.07,947.00,72.74,8.32,11.53,1.78,,126.79,5.61,9.64,575.62,0.00,11.53,564.09,27.26,0.00,0.00,0.00,0.00,9.87,3.33,1.96,2.17,951.00
Abhishek Infra.,539544,,Construction,7.14,3.60,,0.00,0.88,-3.31,0.30,-6.18,26.41,-5.56,0.00,36.76,4.73,0.50,8.08,,2.94,0.00,1.00,3.00,0.00,1.93,2774.00,26.41,-5.38,,3.11,,,-3.35,,,,,,73.58,0.00,0.00,0.00,0.00,8.60,0.00,0.00,0.00,2709.00
Abhishek Integr.,,AILIMITED,Construction,69.45,41.82,54.31,0.00,4.54,5.42,0.61,9.09,67.72,3.99,0.00,36.76,46.84,0.60,15.33,0.50,0.96,0.00,5.00,4.00,1.79,1.68,202.00,67.72,12.77,30.69,3.11,,125.49,11.00,21.00,692.04,75.52,30.69,736.87,32.28,0.00,0.00,0.00,0.00,14.12,12.09,5.25,8.24,215.00
Abirami Fin.,511756,,Finance & Investments,58.20,31.43,21.68,3.44,1.52,6.11,0.00,6.75,65.65,8.76,0.00,23.18,12.56,0.54,38.17,,44.78,,4.00,5.00,0.00,1.15,1416.00,65.65,5.58,,1.78,,,5.22,48.02,,,,,34.35,0.00,0.00,0.00,0.00,37.23,123.60,85.36,97.07,1181.00
ABM Knowledge,531161,,Computers - Software - Medium / Small,148.00,296.03,19.90,0.83,1.33,6.04,0.00,6.89,66.93,6.91,0.00,34.11,279.87,2.00,111.07,,8.75,0.00,7.00,3.00,0.32,1.11,5017.00,66.93,7.78,190.60,3.70,,630.83,7.56,136.35,190.60,,190.60,,32.73,0.34,0.00,0.00,0.00,104.94,8.33,5.44,6.29,4776.00
ABS Marine,,ABSMARINE,Shipping,355.00,871.54,35.93,0.00,,14.53,0.39,23.02,63.42,3.48,0.00,26.89,910.16,2.46,,,1.73,0.00,7.00,0.00,0.75,1.54,,63.42,25.39,86.58,1.92,,91.39,17.46,,86.58,,86.58,,,,,,,,10.57,5.50,9.90,
ACC,500410,ACC,Cement - North India,2648.40,49733.60,23.11,0.29,3.05,9.82,0.02,14.15,56.69,5.61,0.00,29.59,48225.58,18.78,869.58,5.62,1.16,0.00,8.00,4.00,0.91,1.35,149893.00,56.69,17.39,15.13,3.08,,20.83,11.44,1560.22,11.59,120.89,15.13,117.35,12.33,6.17,-0.07,0.50,24.64,752.90,9.37,4.49,6.57,164547.00
Accedere,531533,,Computers - Software - Medium / Small,85.50,43.01,,0.00,10.61,-1.92,0.07,-1.71,81.46,-0.17,0.00,34.11,40.92,0.50,8.06,0.00,6.00,0.00,6.00,5.00,0.55,1.16,1956.00,81.46,-1.78,52.75,3.70,,158.26,-1.50,,52.75,,52.75,,18.54,0.00,0.00,0.00,0.00,8.20,-2.27,-1.75,-0.73,2365.00
Accel,517494,,Computers - Software - Medium / Small,22.42,129.06,35.57,1.32,1.98,1.95,1.13,5.67,71.62,6.34,0.00,34.11,193.20,5.76,11.34,7.67,0.91,0.00,7.00,3.00,0.90,2.85,13493.00,71.62,7.88,75.95,3.70,,25.95,6.43,12.40,-35.59,158.74,75.95,47.20,28.11,0.00,0.00,0.00,0.24,10.89,10.63,1.50,3.77,13181.00
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,339.00,72.85,607.05,0.00,18.63,4.12,0.14,5.50,70.72,2.49,0.00,34.11,71.16,0.21,18.20,,31.29,0.00,3.00,3.00,2.33,1.33,247.00,70.72,2.24,45.76,3.70,,27.99,36.70,7.56,45.76,,45.76,,29.29,0.00,0.00,0.00,0.00,,,,,197.00
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1744.90,2605.14,22.35,3.72,8.99,32.54,0.04,44.25,74.66,6.87,0.00,34.11,2535.67,1.49,193.58,,3.63,0.00,8.00,4.00,1.30,1.34,33673.00,74.66,58.48,59.87,3.70,,47.65,46.68,525.87,59.87,,59.87,,24.31,0.39,0.12,0.21,0.65,175.99,37.70,21.78,30.36,31535.00
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.00,597.62,19.28,0.00,3.64,27.17,0.08,70.14,55.09,7.39,0.00,34.70,537.92,2.10,77.85,2.72,3.45,0.00,5.00,4.00,2.15,2.58,2418.00,55.09,47.47,35.56,3.58,,51.96,18.88,158.48,83.21,86.54,35.56,134.19,43.26,0.03,,,1.62,,29.26,12.47,34.11,
Accord Synergy,,ACCORD,Telecommunications - Service Provider,28.30,9.83,25.21,0.00,0.66,2.26,0.00,2.70,71.99,3.78,0.00,50.00,9.80,0.35,42.66,-0.94,5.97,0.00,6.00,1.00,1.84,1.20,220.00,71.99,3.35,107.16,2.25,,111.29,2.11,32.83,107.16,,107.16,,28.01,0.00,0.00,0.00,0.00,41.53,0.60,0.57,0.70,206.00
